PC	eigenvalue	variance_explained	cumulative_variance
PC1	4.699132988530106	0.07831888314216846	0.07831888314216846
PC2	3.329864205910776	0.05549773676517961	0.13381661990734808
PC3	2.880401865769826	0.048006697762830446	0.1818233176701785
PC4	2.4504924779430626	0.04084154129905105	0.22266485896922958
PC5	2.325901200453029	0.03876502000755049	0.26142987897678005
PC6	2.097416769833129	0.0349569461638855	0.29638682514066556
PC7	2.0337670029095527	0.03389611671515922	0.3302829418558248
PC8	1.8858939840556712	0.03143156640092786	0.36171450825675266
PC9	1.839451862352918	0.030657531039215306	0.392372039295968
PC10	1.7344019373565132	0.028906698955941893	0.42127873825190987
PC11	1.6670867353996353	0.02778477892332726	0.4490635171752371
PC12	1.6399712107795255	0.027332853512992097	0.4763963706882292
PC13	1.6045757224955233	0.02674292870825873	0.5031392993964879
PC14	1.5476542466606458	0.0257942374443441	0.528933536840832
PC15	1.4530113217521936	0.024216855362536566	0.5531503922033686
PC16	1.4174393400558682	0.023623989000931142	0.5767743812042997
PC17	1.3802496422278165	0.023004160703796947	0.5997785419080967
PC18	1.3273040122914637	0.022121733538191066	0.6219002754462878
PC19	1.3018464644813033	0.021697441074688392	0.6435977165209762
PC20	1.2792990285154666	0.021321650475257782	0.6649193669962339
PC21	1.242011153800702	0.02070018589667837	0.6856195528929123
PC22	1.189941803852343	0.019832363397539056	0.7054519162904513
PC23	1.1319043051215967	0.018865071752026615	0.724316988042478
PC24	1.129613511113897	0.018826891851898286	0.7431438798943762
PC25	1.111485156432018	0.018524752607200306	0.7616686325015766
PC26	1.0773064900671774	0.017955108167786293	0.7796237406693629
PC27	1.0466486116725862	0.01744414352787644	0.7970678841972393
PC28	1.0153405861531923	0.01692234310255321	0.8139902272997925
PC29	0.9896618526784792	0.01649436421130799	0.8304845915111005
PC30	0.9806385671770261	0.016343976119617108	0.8468285676307176
PC31	0.9377796174455949	0.01562966029075992	0.8624582279214775
PC32	0.9074531763775886	0.015124219606293147	0.8775824475277707
PC33	0.8939420445960325	0.014899034076600546	0.8924814816043712
PC34	0.8615085966330658	0.0143584766105511	0.9068399582149224
PC35	0.83051950454114	0.013841991742352336	0.9206819499572746
PC36	0.7917705991150776	0.013196176651917964	0.9338781266091926
PC37	0.7600260151076367	0.012667100251793947	0.9465452268609865
PC38	0.7440026180846436	0.012400043634744064	0.9589452704957306
PC39	0.67835556306367	0.011305926051061168	0.9702511965467918
PC40	0.6276204793380091	0.010460341322300155	0.9807115378690919
PC41	0.5931629907191943	0.009886049845319907	0.9905975877144119
PC42	0.5436808701162081	0.009061347835270139	0.999658935549682
PC43	0.012541904472661842	2.0903174121103074e-4	0.999867967290893
PC44	0.00792196254641651	1.3203270910694187e-4	1
PC45	1.6905784784111756e-29	2.81763079735196e-31	1
PC46	1.1112425983232562e-29	1.8520709972054274e-31	1
PC47	1.0989494153137634e-29	1.8315823588562727e-31	1
PC48	8.321503304050238e-30	1.3869172173417068e-31	1
PC49	7.181521288345227e-30	1.1969202147242048e-31	1
PC50	2.8745861540969582e-30	4.7909769234949315e-32	1
PC51	2.6885166647981075e-30	4.4808611079968467e-32	1
PC52	1.9249696492637612e-30	3.208282748772936e-32	1
PC53	1.782972626241071e-30	2.971621043735119e-32	1
PC54	1.6561840000042358e-30	2.760306666673727e-32	1
PC55	1.405025114277017e-30	2.3417085237950286e-32	1
PC56	8.64737226824394e-31	1.4412287113739902e-32	1
PC57	8.267472043712665e-31	1.3779120072854444e-32	1
PC58	7.867169954096859e-31	1.3111949923494766e-32	1
PC59	5.841748116982504e-31	9.736246861637509e-33	1
PC60	4.720930596889926e-31	7.868217661483212e-33	1
