PC	eigenvalue	variance_explained	cumulative_variance
PC1	4.6180800739014565	0.07696800123169098	0.07696800123169098
PC2	3.3756025111958676	0.05626004185326449	0.13322804308495548
PC3	2.959203584768107	0.049320059746135146	0.18254810283109063
PC4	2.4502810308509555	0.040838017180849284	0.22338612001193991
PC5	2.426125496566731	0.04043542494277887	0.26382154495471877
PC6	2.2817139341913775	0.038028565569856315	0.3018501105245751
PC7	2.022271310420162	0.03370452184033605	0.3355546323649111
PC8	1.8847472683260558	0.03141245447210095	0.36696708683701207
PC9	1.7912737430973835	0.029854562384956408	0.3968216492219685
PC10	1.7219084514151695	0.028698474190252843	0.42552012341222134
PC11	1.7130843206234223	0.02855140534372372	0.4540715287559451
PC12	1.6672953353007691	0.027788255588346168	0.4818597843442912
PC13	1.5976457190039643	0.02662742865006609	0.5084872129943573
PC14	1.5145801408975164	0.025243002348291955	0.5337302153426493
PC15	1.4566648092125487	0.02427774682020916	0.5580079621628584
PC16	1.4067046891320931	0.023445078152201565	0.58145304031506
PC17	1.3551121812726137	0.02258520302121024	0.6040382433362702
PC18	1.294163071458668	0.021569384524311147	0.6256076278605814
PC19	1.256047548505749	0.020934125808429162	0.6465417536690106
PC20	1.2391199674755793	0.020651999457926333	0.6671937531269369
PC21	1.2238009183717735	0.020396681972862905	0.6875904350997998
PC22	1.2008902118657057	0.02001483686442844	0.7076052719642282
PC23	1.1537685171950702	0.019229475286584516	0.7268347472508128
PC24	1.1336622228444369	0.018894370380740624	0.7457291176315534
PC25	1.0976991364336794	0.018294985607228	0.7640241032387813
PC26	1.083588050598116	0.018059800843301943	0.7820839040820833
PC27	1.0140412593121113	0.016900687655201866	0.7989845917372852
PC28	1.0017336415587546	0.016695560692645918	0.8156801524299311
PC29	0.9848527576550046	0.01641421262758342	0.8320943650575146
PC30	0.9515622720498967	0.015859371200831623	0.8479537362583461
PC31	0.9324920979907565	0.015541534966512617	0.8634952712248588
PC32	0.8973276501521451	0.014955460835869095	0.8784507320607279
PC33	0.885569220139312	0.014759487002321877	0.8932102190630498
PC34	0.8456698536127584	0.014094497560212648	0.9073047166232624
PC35	0.8021193820021056	0.01336865636670177	0.9206733729899641
PC36	0.7897463598711079	0.013162439331185138	0.9338358123211493
PC37	0.760690570873541	0.01267817618122569	0.946513988502375
PC38	0.7452833111140317	0.012421388518567202	0.9589353770209422
PC39	0.6748972499040823	0.011248287498401378	0.9701836645193436
PC40	0.6255960034363593	0.010426600057272662	0.9806102645766163
PC41	0.5924559563278962	0.009874265938798275	0.9904845305154145
PC42	0.536993465697215	0.008949891094953588	0.9994344216103681
PC43	0.033934703377917715	5.655783896319623e-4	1
PC44	1.6412169348094917e-29	2.735361558015821e-31	1
PC45	1.0356483775393188e-29	1.726080629232199e-31	1
PC46	5.0238769696533455e-30	8.373128282755581e-32	1
PC47	4.2896318236545216e-30	7.14938637275754e-32	1
PC48	3.38027690436967e-30	5.63379484061612e-32	1
PC49	3.0483727607368358e-30	5.08062126789473e-32	1
PC50	2.38233197690536e-30	3.970553294842269e-32	1
PC51	2.1985175524831644e-30	3.664195920805276e-32	1
PC52	1.8007189720627467e-30	3.001198286771246e-32	1
PC53	1.6724944465606167e-30	2.787490744267696e-32	1
PC54	1.0846797321997259e-30	1.807799553666211e-32	1
PC55	8.487232565283664e-31	1.4145387608806116e-32	1
PC56	7.7884808150716535e-31	1.2980801358452764e-32	1
PC57	6.5420556361048515e-31	1.0903426060174759e-32	1
PC58	4.340148848898718e-31	7.2335814148312e-33	1
PC59	3.8059118633235817e-31	6.34318643887264e-33	1
PC60	2.0095625132545565e-31	3.349270855424263e-33	1
