PC	eigenvalue	variance_explained	cumulative_variance
PC1	4.662186966800477	0.07770311611334131	0.07770311611334131
PC2	3.3726082546898315	0.05621013757816387	0.1339132536915052
PC3	2.9166772041420894	0.0486112867357015	0.18252454042720667
PC4	2.465821487502776	0.04109702479171294	0.22362156521891963
PC5	2.3291060516352005	0.03881843419392002	0.26243999941283963
PC6	2.088741369239999	0.034812356153999996	0.29725235556683965
PC7	2.065852873537117	0.034430881225618624	0.33168323679245826
PC8	1.9182803949279064	0.031971339915465115	0.3636545767079234
PC9	1.8557241405842073	0.030928735676403463	0.39458331238432687
PC10	1.7750237213921198	0.02958372868986867	0.4241670410741955
PC11	1.6725187570781854	0.027875312617969765	0.4520423536921653
PC12	1.6327056713023562	0.02721176118837261	0.4792541148805379
PC13	1.594887533035762	0.026581458883929373	0.5058355737644673
PC14	1.5281281561394677	0.025468802602324467	0.5313043763667917
PC15	1.4565840580221388	0.024276400967035653	0.5555807773338274
PC16	1.4313285026697535	0.023855475044495898	0.5794362523783233
PC17	1.3603522329379227	0.02267253721563205	0.6021087895939553
PC18	1.3237430612209622	0.02206238435368271	0.624171173947638
PC19	1.2959527070563563	0.021599211784272612	0.6457703857319107
PC20	1.2679918756897552	0.02113319792816259	0.6669035836600732
PC21	1.255984026890748	0.020933067114845806	0.6878366507749191
PC22	1.1922825429155282	0.019871375715258807	0.7077080264901778
PC23	1.1779308059346156	0.019632180098910264	0.7273402065890882
PC24	1.1306790562715179	0.018844650937858635	0.7461848575269467
PC25	1.0722763199372307	0.017871271998953848	0.7640561295259006
PC26	1.0614257260601745	0.01769042876766958	0.7817465582935702
PC27	1.0434514190460906	0.017390856984101515	0.7991374152776717
PC28	1.0213478427461078	0.017022464045768466	0.8161598793234401
PC29	1.0085668722546568	0.01680944787091095	0.8329693271943511
PC30	0.9655585325278053	0.01609264220879676	0.8490619694031478
PC31	0.9584380729946557	0.015973967883244265	0.8650359372863922
PC32	0.897734483966529	0.014962241399442154	0.8799981786858343
PC33	0.8779355294406462	0.014632258824010773	0.8946304375098451
PC34	0.8482387340088765	0.014137312233481279	0.9087677497433263
PC35	0.8332840494964251	0.013888067491607089	0.9226558172349334
PC36	0.7802675124779611	0.013004458541299354	0.9356602757762328
PC37	0.7356231285692775	0.012260385476154628	0.9479206612523874
PC38	0.7218775039546209	0.012031291732577018	0.9599519529849644
PC39	0.6778944322367765	0.01129824053727961	0.9712501935222441
PC40	0.5997492028939733	0.00999582004823289	0.9812460135704769
PC41	0.5754584880671557	0.009590974801119265	0.9908369883715962
PC42	0.5378480710687792	0.008964134517812989	0.9998011228894091
PC43	0.011932626635447972	1.988771105907996e-4	1
PC44	1.4056841488599708e-29	2.3428069147666187e-31	1
PC45	6.430464296819043e-30	1.0717440494698409e-31	1
PC46	5.20288637004714e-30	8.671477283411903e-32	1
PC47	4.651455387986664e-30	7.752425646644442e-32	1
PC48	4.145796721798775e-30	6.90966120299796e-32	1
PC49	3.857991590201366e-30	6.429985983668945e-32	1
PC50	3.688173749159334e-30	6.146956248598891e-32	1
PC51	3.214098325409064e-30	5.356830542348441e-32	1
PC52	2.6237462746251124e-30	4.372910457708522e-32	1
PC53	1.9696223742468922e-30	3.2827039570781545e-32	1
PC54	1.661822799269912e-30	2.769704665449854e-32	1
PC55	1.5865212155213474e-30	2.644202025868913e-32	1
PC56	8.014901353858645e-31	1.3358168923097743e-32	1
PC57	7.49429673247659e-31	1.2490494554127654e-32	1
PC58	4.7704164643298955e-31	7.950694107216494e-33	1
PC59	3.1687354513347476e-31	5.2812257522245806e-33	1
PC60	2.885273656861394e-31	4.808789428102324e-33	1
