PC	eigenvalue	variance_explained	cumulative_variance
PC1	4.6889189670324845	0.07814864945054142	0.07814864945054142
PC2	3.316973957177555	0.0552828992862926	0.13343154873683402
PC3	2.9216710846629903	0.04869451807771652	0.18212606681455054
PC4	2.6737635023968056	0.04456272503994677	0.2266887918544973
PC5	2.3903047700239295	0.03983841283373217	0.2665272046882295
PC6	2.1236427998419085	0.035394046664031814	0.3019212513522613
PC7	1.9881090091673235	0.033135150152788735	0.33505640150505
PC8	1.8748049112162646	0.031246748520271084	0.3663031500253211
PC9	1.787252761819773	0.02978754603032956	0.39609069605565067
PC10	1.729810328732797	0.028830172145546624	0.4249208682011973
PC11	1.6754092302491406	0.027923487170819015	0.45284435537201634
PC12	1.6255685574619765	0.027092809291032947	0.47993716466304925
PC13	1.6009859073500443	0.026683098455834078	0.5066202631188833
PC14	1.500291114397698	0.025004851906628305	0.5316251150255117
PC15	1.431771576452529	0.023862859607542156	0.5554879746330538
PC16	1.4069859227023351	0.023449765378372258	0.5789377400114261
PC17	1.353149377253084	0.022552489620884738	0.6014902296323108
PC18	1.31026874261987	0.021837812376997837	0.6233280420093086
PC19	1.2794830231556895	0.02132471705259483	0.6446527590619034
PC20	1.2327429835764756	0.020545716392941265	0.6651984754548448
PC21	1.1947795555678313	0.019912992592797194	0.6851114680476419
PC22	1.1852822703644235	0.01975470450607373	0.7048661725537156
PC23	1.1346042760202992	0.01891007126700499	0.7237762438207207
PC24	1.107951554971799	0.018465859249529988	0.7422421030702506
PC25	1.0644627637572495	0.01774104606262083	0.7599831491328715
PC26	1.0534867273247905	0.017558112122079847	0.7775412612549513
PC27	1.0425791149778292	0.017376318582963825	0.7949175798379151
PC28	1.0158026512995828	0.016930044188326384	0.8118476240262416
PC29	0.9999690444274941	0.01666615074045824	0.8285137747666997
PC30	0.9875342549295268	0.01645890424882545	0.8449726790155252
PC31	0.9607520612860695	0.016012534354767828	0.860985213370293
PC32	0.9320346028215215	0.015533910047025363	0.8765191234173184
PC33	0.893805465093493	0.01489675775155822	0.8914158811688766
PC34	0.8799490620276368	0.014665817700460616	0.9060816988693372
PC35	0.8285735055343291	0.013809558425572155	0.9198912572949094
PC36	0.8023461606721809	0.013372436011203017	0.9332636933061124
PC37	0.7635751871072353	0.012726253118453924	0.9459899464245664
PC38	0.7154641428828757	0.011924402381381266	0.9579143488059476
PC39	0.6845169361556747	0.01140861560259458	0.9693229644085422
PC40	0.612865477709042	0.010214424628484035	0.9795373890370263
PC41	0.5869024877049606	0.009781708128416012	0.9893190971654422
PC42	0.5421648975943376	0.009036081626572295	0.9983551787920145
PC43	0.0625284150411086	0.0010421402506851436	0.9993973190426997
PC44	0.02405983019436075	4.009971699060126e-4	0.9997983162126057
PC45	0.012101027243662412	2.0168378739437358e-4	1
PC46	2.1014906457408918e-29	3.502484409568154e-31	1
PC47	8.963090097926222e-30	1.4938483496543707e-31	1
PC48	6.670236118797616e-30	1.1117060197996029e-31	1
PC49	3.996141330325243e-30	6.660235550542073e-32	1
PC50	3.331942605073055e-30	5.55323767512176e-32	1
PC51	2.80092467419674e-30	4.668207790327901e-32	1
PC52	2.6641692122790894e-30	4.44028202046515e-32	1
PC53	2.3521029934590167e-30	3.920171655765029e-32	1
PC54	1.7564842138478614e-30	2.9274736897464366e-32	1
PC55	1.591969323621402e-30	2.6532822060356704e-32	1
PC56	1.404167596658426e-30	2.340279327764044e-32	1
PC57	9.903825599410942e-31	1.650637599901824e-32	1
PC58	7.028047978044691e-31	1.1713413296741154e-32	1
PC59	6.363366812856066e-31	1.0605611354760113e-32	1
PC60	5.217198530706807e-31	8.695330884511347e-33	1
