PC	eigenvalue	variance_explained	cumulative_variance
PC1	4.701300838047039	0.07835501396745062	0.07835501396745062
PC2	3.736218896585019	0.06227031494308363	0.14062532891053425
PC3	3.100573015445044	0.05167621692408405	0.1923015458346183
PC4	2.5155273598290617	0.041925455997151015	0.2342270018317693
PC5	2.417703518329797	0.040295058638829935	0.27452206047059924
PC6	2.061667940739551	0.03436113234565917	0.3088831928162584
PC7	1.9970083873564646	0.03328347312260773	0.34216666593886613
PC8	1.9201684613143577	0.03200280768857262	0.3741694736274388
PC9	1.8359947356906154	0.030599912261510247	0.404769385888949
PC10	1.7104825365164875	0.028508042275274783	0.4332774281642238
PC11	1.6142391044815507	0.026903985074692504	0.4601814132389163
PC12	1.5723646701201446	0.026206077835335732	0.48638749107425205
PC13	1.554859767488891	0.025914329458148175	0.5123018205324003
PC14	1.4947050354849758	0.024911750591416256	0.5372135711238165
PC15	1.4611903175825514	0.02435317195970918	0.5615667430835256
PC16	1.3980574240252008	0.023300957067086674	0.5848677001506123
PC17	1.3607214679683644	0.022678691132806066	0.6075463912834184
PC18	1.2989172959523694	0.02164862159920615	0.6291950128826246
PC19	1.27304800718839	0.02121746678647316	0.6504124796690977
PC20	1.2413183433405746	0.020688639055676236	0.671101118724774
PC21	1.195229000784028	0.01992048334640046	0.6910216020711744
PC22	1.1874036658278724	0.0197900610971312	0.7108116631683056
PC23	1.1512210907072353	0.019187018178453915	0.7299986813467595
PC24	1.12425837619019	0.018737639603169827	0.7487363209499294
PC25	1.0867885236204826	0.01811314206034137	0.7668494630102707
PC26	1.0643140339825399	0.017738567233042325	0.784588030243313
PC27	1.0475206617349262	0.017458677695582098	0.8020467079388951
PC28	0.995535132730897	0.01659225221218161	0.8186389601510767
PC29	0.9848786911693556	0.016414644852822586	0.8350536050038994
PC30	0.9704810853519852	0.016174684755866413	0.8512282897597657
PC31	0.9462346976835582	0.015770578294725963	0.8669988680544917
PC32	0.9185997918882676	0.01530999653147112	0.8823088645859628
PC33	0.8491030494789367	0.014151717491315606	0.8964605820772784
PC34	0.800626022750715	0.013343767045845245	0.9098043491231237
PC35	0.7875435536322646	0.013125725893871072	0.9229300750169948
PC36	0.7653119166120689	0.012755198610201144	0.9356852736271959
PC37	0.7237069475288219	0.012061782458813694	0.9477470560860096
PC38	0.6984471570954691	0.011640785951591149	0.9593878420376007
PC39	0.6365300908978383	0.010608834848297301	0.9699966768858981
PC40	0.6119752206202606	0.010199587010337673	0.9801962638962357
PC41	0.5644330432876823	0.009407217388128036	0.9896034812843637
PC42	0.49760603372292755	0.008293433895382124	0.9978969151797459
PC43	0.09512092709344017	0.0015853487848906688	0.9994822639646366
PC44	0.018623011202364377	3.103835200394062e-4	0.9997926474846759
PC45	0.012441150919445226	2.0735251532408704e-4	1
PC46	1.5370546752479548e-29	2.561757792079924e-31	1
PC47	5.8213996677403234e-30	9.702332779567202e-32	1
PC48	4.817791477474479e-30	8.029652462457462e-32	1
PC49	3.741213817869883e-30	6.235356363116469e-32	1
PC50	3.176652940222422e-30	5.294421567037368e-32	1
PC51	2.3937324844660242e-30	3.9895541407767053e-32	1
PC52	2.2231847500967297e-30	3.7053079168278813e-32	1
PC53	1.7113246503923195e-30	2.852207750653865e-32	1
PC54	1.4130564885505608e-30	2.3550941475842672e-32	1
PC55	1.2890676035458893e-30	2.1484460059098146e-32	1
PC56	1.1580042190312964e-30	1.9300070317188265e-32	1
PC57	1.142102803514974e-30	1.9035046725249562e-32	1
PC58	9.215403202843633e-31	1.5359005338072716e-32	1
PC59	7.601691320464725e-31	1.266948553410787e-32	1
PC60	6.462358183999185e-31	1.0770596973331972e-32	1
