PC	eigenvalue	variance_explained	cumulative_variance
PC1	4.572864631251122	0.07621441052085202	0.07621441052085202
PC2	3.3234884080168636	0.05539147346694772	0.13160588398779974
PC3	3.021256054832972	0.050354267580549526	0.18196015156834927
PC4	2.4434825285824204	0.040724708809707	0.22268486037805627
PC5	2.280246292159119	0.03800410486931865	0.26068896524737495
PC6	2.207228651036527	0.03678714418394211	0.297476109431317
PC7	2.1414619803433617	0.03569103300572269	0.3331671424370397
PC8	1.8859342214320056	0.03143223702386676	0.3645993794609065
PC9	1.8241899993154675	0.030403166655257788	0.39500254611616425
PC10	1.8178327884303416	0.03029721314050569	0.42529975925666996
PC11	1.7242150227830564	0.02873691704638427	0.4540366763030542
PC12	1.622596217994871	0.027043270299914515	0.48107994660296877
PC13	1.5949587619419816	0.026582646032366358	0.5076625926353351
PC14	1.5460519774996049	0.025767532958326744	0.5334301255936619
PC15	1.505734943823952	0.025095582397065865	0.5585257079907278
PC16	1.4237095763814847	0.02372849293969141	0.5822542009304191
PC17	1.3734099369511932	0.022890165615853216	0.6051443665462723
PC18	1.3140774013391892	0.021901290022319816	0.6270456565685921
PC19	1.277333036853871	0.02128888394756451	0.6483345405161567
PC20	1.2622889753977273	0.02103814958996212	0.6693726901061188
PC21	1.2220289600900638	0.020367149334834394	0.6897398394409532
PC22	1.1774361385405083	0.019623935642341803	0.709363775083295
PC23	1.1598757591002857	0.019331262651671427	0.7286950377349664
PC24	1.1090148136046774	0.01848358022674462	0.747178617961711
PC25	1.080220966051096	0.018003682767518264	0.7651823007292293
PC26	1.0504841663752589	0.017508069439587645	0.7826903701688169
PC27	1.0006667913534635	0.016677779855891056	0.799368150024708
PC28	0.9884384194397473	0.01647397365732912	0.8158421236820371
PC29	0.9852648907866495	0.016421081513110822	0.832263205195148
PC30	0.9533082703509781	0.0158884711725163	0.8481516763676642
PC31	0.9383094780021474	0.01563849130003579	0.8637901676677
PC32	0.9063163798704541	0.0151052729978409	0.8788954406655409
PC33	0.8780997856500097	0.01463499642750016	0.893530437093041
PC34	0.8536305380560849	0.01422717563426808	0.9077576127273091
PC35	0.8160272565325881	0.013600454275543133	0.9213580670028523
PC36	0.7938846391693929	0.013231410652823213	0.9345894776556755
PC37	0.7587526094377777	0.012645876823962959	0.9472353544796385
PC38	0.7333487856766107	0.012222479761276843	0.9594578342409154
PC39	0.6789560486857343	0.011315934144762238	0.9707737683856775
PC40	0.6188496401333161	0.0103141606688886	0.9810879290545661
PC41	0.5809518622924574	0.009682531038207622	0.9907704600927738
PC42	0.5418416676641181	0.009030694461068633	0.9998011545538424
PC43	0.011930726769452296	1.9884544615753825e-4	0.9999999999999999
PC44	2.2723501554838482e-29	3.7872502591397465e-31	0.9999999999999999
PC45	1.0065920169860585e-29	1.6776533616434307e-31	0.9999999999999999
PC46	5.8361108215994305e-30	9.726851369332383e-32	0.9999999999999999
PC47	5.001321856639771e-30	8.335536427732951e-32	0.9999999999999999
PC48	4.747510302962266e-30	7.912517171603776e-32	0.9999999999999999
PC49	4.206792623962521e-30	7.011321039937534e-32	0.9999999999999999
PC50	3.165482185685654e-30	5.275803642809423e-32	0.9999999999999999
PC51	3.0407619840184513e-30	5.067936640030751e-32	0.9999999999999999
PC52	2.34512413835199e-30	3.9085402305866493e-32	0.9999999999999999
PC53	2.1289958541366167e-30	3.5483264235610276e-32	0.9999999999999999
PC54	1.6058425319886085e-30	2.6764042199810137e-32	0.9999999999999999
PC55	1.2895450118471484e-30	2.1492416864119136e-32	0.9999999999999999
PC56	1.1270400710355147e-30	1.8784001183925242e-32	0.9999999999999999
PC57	1.0334263390493493e-30	1.7223772317489152e-32	0.9999999999999999
PC58	5.410182075663839e-31	9.016970126106397e-33	0.9999999999999999
PC59	3.718175227009487e-31	6.196958711682478e-33	0.9999999999999999
PC60	2.3684099572789137e-31	3.947349928798189e-33	0.9999999999999999
