PC	eigenvalue	variance_explained	cumulative_variance
PC1	4.7122613715826995	0.07853768952637831	0.07853768952637831
PC2	3.4572629400971837	0.05762104900161971	0.13615873852799804
PC3	3.227771586331196	0.053796193105519925	0.18995493163351795
PC4	2.6762683365173086	0.044604472275288465	0.23455940390880642
PC5	2.3237166211749924	0.03872861035291653	0.27328801426172294
PC6	2.224818366944332	0.03708030611573886	0.3103683203774618
PC7	1.9939745628501633	0.03323290938083605	0.3436012297582979
PC8	1.8032331057527744	0.030053885095879567	0.3736551148541774
PC9	1.7766459816675948	0.029610766361126573	0.403265881215304
PC10	1.6868270271957513	0.028113783786595847	0.43137966500189984
PC11	1.6312417411783824	0.027187362352973032	0.45856702735487287
PC12	1.6113582591235984	0.0268559709853933	0.4854229983402662
PC13	1.5240783778189464	0.025401306296982434	0.5108243046372486
PC14	1.5021107976605972	0.025035179961009946	0.5358594845982586
PC15	1.4489106877146305	0.024148511461910504	0.560007996060169
PC16	1.3697862087400576	0.022829770145667623	0.5828377662058367
PC17	1.3408359121092037	0.022347265201820055	0.6051850314076568
PC18	1.302066018886416	0.021701100314773594	0.6268861317224304
PC19	1.2377846698015236	0.020629744496692054	0.6475158762191224
PC20	1.21237624667278	0.020206270777879662	0.667722146997002
PC21	1.2080139593142376	0.02013356598857062	0.6878557129855727
PC22	1.171335093285871	0.019522251554764513	0.7073779645403372
PC23	1.1427389144517117	0.01904564857419519	0.7264236131145324
PC24	1.0890282116234666	0.01815047019372444	0.7445740833082568
PC25	1.0800524034593346	0.018000873390988905	0.7625749566992457
PC26	1.0541511709013578	0.017569186181689293	0.780144142880935
PC27	1.0334797383564047	0.017224662305940074	0.797368805186875
PC28	0.9868769391392226	0.016447948985653705	0.8138167541725287
PC29	0.9793047006456013	0.016321745010760016	0.8301384991832889
PC30	0.9578251591908008	0.01596375265318001	0.8461022518364688
PC31	0.9483348289093054	0.015805580481821752	0.8619078323182906
PC32	0.9147030300637862	0.015245050501063099	0.8771528828193537
PC33	0.8970380535589974	0.014950634225983285	0.892103517045337
PC34	0.8785873739528018	0.01464312289921336	0.9067466399445503
PC35	0.8140322721728979	0.01356720453621496	0.9203138444807653
PC36	0.7910732655640986	0.013184554426068307	0.9334983989068336
PC37	0.7748192931691992	0.012913654886153316	0.9464120537929869
PC38	0.7472150070563973	0.012453583450939953	0.9588656372439268
PC39	0.673020607179341	0.01121701011965568	0.9700826473635825
PC40	0.6278372297946677	0.010463953829911126	0.9805466011934937
PC41	0.6086971247566065	0.010144952079276773	0.9906915532727705
PC42	0.5386893828002617	0.008978156380004359	0.9996697096527748
PC43	0.019817420833515988	3.302903472252664e-4	1
PC44	1.0254946569133573e-29	1.709157761522262e-31	1
PC45	5.859307413691257e-30	9.765512356152093e-32	1
PC46	5.7257995928656896e-30	9.542999321442814e-32	1
PC47	3.937497374765476e-30	6.562495624609125e-32	1
PC48	3.42822689720281e-30	5.713711495338015e-32	1
PC49	3.244520425606753e-30	5.407534042677921e-32	1
PC50	2.9333552523739452e-30	4.888925420623241e-32	1
PC51	2.7483477165350734e-30	4.5805795275584546e-32	1
PC52	2.2886605431153708e-30	3.8144342385256173e-32	1
PC53	2.0363196284914287e-30	3.3938660474857136e-32	1
PC54	1.7606718862414995e-30	2.934453143735832e-32	1
PC55	1.4663745729180408e-30	2.4439576215300672e-32	1
PC56	1.186301585424246e-30	1.9771693090404094e-32	1
PC57	1.0895479652982855e-30	1.815913275497142e-32	1
PC58	1.014523355675388e-30	1.6908722594589796e-32	1
PC59	6.9783862405338745e-31	1.1630643734223121e-32	1
PC60	5.730820380720682e-31	9.551367301201134e-33	1
