"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0130143252235787,6,136,6.92745829675154,"Path:pps00190 Oxidative phosphorylation","https://www.genome.jp/kegg-bin/show_pathway?pps00190"," ND6  ND4  ND5  ND3  ATP6  ND4L"
0.0262702201490013,5,141,5.56816978935112,"Path:pps04723 Retrograde endocannabinoid signaling","https://www.genome.jp/kegg-bin/show_pathway?pps04723"," ND6  ND4  ND5  ND3  ND4L"
0.0130143252235787,7,217,5.0652383245065,"Path:pps05208 Chemical carcinogenesis-reactive oxygen species","https://www.genome.jp/kegg-bin/show_pathway?pps05208"," SOS2  ND6  ND4  ND5  ND3  ATP6  ND4L"
0.0130143252235787,7,223,4.92895388528211,"Path:pps04714 Thermogenesis","https://www.genome.jp/kegg-bin/show_pathway?pps04714"," SOS2  ND6  ND4  ND5  ND3  ATP6  ND4L"
0.0262702201490013,6,199,4.73434335858396,"Path:pps05415 Diabetic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pps05415"," ND6  ND4  ND5  ND3  ATP6  ND4L"
0.0104110688000672,10,354,4.43566067965258,"Path:pps05014 Amyotrophic lateral sclerosis","https://www.genome.jp/kegg-bin/show_pathway?pps05014"," XBP1  HNRNPA1L2  GPX5  GPX1  ND6  ND4  ND5  ND3  ATP6  ND4L"
0.0130143252235787,8,292,4.30198323451237,"Path:pps05016 Huntington disease","https://www.genome.jp/kegg-bin/show_pathway?pps05016"," GPX5  GPX1  ND6  ND4  ND5  ND3  ATP6  ND4L"
0.0259145075041702,7,259,4.24384832593788,"Path:pps05012 Parkinson disease","https://www.genome.jp/kegg-bin/show_pathway?pps05012"," XBP1  ND6  ND4  ND5  ND3  ATP6  ND4L"
0.0262702201490013,8,360,3.4893864013267,"Path:pps05010 Alzheimer disease","https://www.genome.jp/kegg-bin/show_pathway?pps05010"," APOE  XBP1  ND6  ND4  ND5  ND3  ATP6  ND4L"
0.0262702201490013,9,448,3.15446761727079,"Path:pps05022 Pathways of neurodegeneration-multiple diseases","https://www.genome.jp/kegg-bin/show_pathway?pps05022"," XBP1  GPX5  GPX1  ND6  ND4  ND5  ND3  ATP6  ND4L"
