"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.43891934505398e-09,69,85,1.69972110947721,"Path:pps04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?pps04512"," ITGA8  ITGA6  COL6A5  COMP  LAMC2  ITGA5  LAMC1  HSPG2  LAMB2  COL9A2  ITGB8  LAMA5  COL4A4  COL9A3  COL4A3  LAMA4  SV2B  ITGB3  COL1A2  ITGAV  COL6A2  COL4A1  COL4A2  TNC  LAMA3  COL6A1  ITGA1  THBS4  ITGA2  ITGB5  TNN  VTN  LAMB3  TNR  FREM1  ITGA4  COL4A6  COL4A5  CD36  FRAS1  SV2A  VWF  THBS3  ITGB4  ITGA7  SV2C  ITGB6  COL9A1  RELN  SDC4  FREM2  ITGB7  LAMA1  COL1A1  THBS2  ITGA2B  DMP1  ITGB1  IBSP  FN1  MEPE  ITGA11  SPP1  LAMB1  ITGA9  THBS1  HMMR  LAMA2  LAMB4"
0.000265185001227948,34,46,1.63321028345419,"Path:pps02010 ABC transporters","https://www.genome.jp/kegg-bin/show_pathway?pps02010"," TAP1  TAP2  ABCA8  ABCA9  ABCA6  ABCC9  ABCB5  ABCA12  ABCA1  ABCA5  ABCC4  ABCB8  ABCA2  ABCB1  ABCB4  ABCC12  ABCC11  ABCD4  ABCB9  ABCC8  ABCB7  ABCC5  ABCB11  ABCC10  ABCA4  ABCD3  CFTR  ABCD2  ABCA7  ABCG4  ABCA13  ABCC2  ABCB6  ABCG2"
2.28710498111208e-06,70,107,1.54597322301275,"Path:pps03013 Nucleocytoplasmic transport","https://www.genome.jp/kegg-bin/show_pathway?pps03013"," NUP214  CASC3  PHAX  TNPO1  XPO1  SEH1L  XPO5  IPO4  XPO6  NMD3  IPO8  KPNA7  NUP205  XPO4  THOC1  KPNA4  KPNA6  GLE1  IPO9  IPO11  RANBP17  NCBP1  NUP35  UPF2  IPO13  TNPO2  RAE1  NUP188  IPO7  KPNA5  NDC1  UPF3B  ACIN1  KPNB1  IPO5  SEC13  KPNA1  XPO7  CSE1L  NUP210  NUP37  MAGOH  NUP155  KPNA3  NUP93  TPR  AAAS  NUP58  NUP133  NXF3  TMEM33  AHCTF1  NUP98  UPF3A  TNPO3  NUP210L  XPOT  NUP43  NUP54  NCBP2  NUP153  SRRM1  THOC2  THOC5  NUP160  NUP107  KPNA2  NXF1  NUP85  PNN"
0.00013476658150994,51,69,1.5311346407383,"Path:pps00562 Inositol phosphate metabolism","https://www.genome.jp/kegg-bin/show_pathway?pps00562"," MTMR7  INPP4A  TPI1  FIG4  PLCD1  PIP4K2B  PLCB2  SYNJ1  MTMR3  PLCB1  MTMR1  INPP5B  ITPKB  PIK3C3  IMPA1  INPP5K  MTMR2  PIK3C2A  ALDH6A1  SACM1L  PIP4K2C  PLCB4  PLCD3  INPP5J  MINPP1  PIKFYVE  PIK3C2B  PIP5K1B  PLCH2  PLCH1  PLCG2  MTMR8  PIK3C2G  MTMR6  PLCB3  PLCZ1  MTMR4  PLCD4  OCRL  PIK3CG  INPP5D  INPP4B  PIK3CB  PIK3CA  MTMR14  PLCE1  PI4K2B  PI4KB  PIP5K1A  MTM1  INPP5A"
0.000220436977530249,49,115,1.51854466583027,"Path:pps03008 Ribosome biogenesis in eukaryotes","https://www.genome.jp/kegg-bin/show_pathway?pps03008"," PWP2  POP5  CSNK2A2  SNU13  REXO1  GNL2  XPO1  MDN1  WDR36  UTP18  LSG1  RIOK2  NMD3  GAR1  GTPBP4  XRN1  NOB1  WDR43  TCOF1  NOL6  GNL3L  UTP4  WDR3  RPP40  RCL1  XRN2  RPP30  EIF6  GNL3  AFG2A  RBM28  RIOK1  HEATR1  MPHOSPH10  UTP6  NXF3  NOP58  UTP14A  POP1  WDR75  BMS1  DKC1  EMG1  REXO5  NAT10  TBL3  UTP15  NXF1  DROSHA"
0.000105758438806736,60,93,1.49721339965242,"Path:pps04974 Protein digestion and absorption","https://www.genome.jp/kegg-bin/show_pathway?pps04974"," COL6A5  ATP1A2  ATP1A4  COL20A1  SLC8A1  COL5A3  SLC3A2  COL8A2  COL25A1  COL9A2  SLC3A1  ATP1B4  COL4A4  COL5A1  COL9A3  COL4A3  ATP1A3  SLC36A4  COL1A2  SLC38A2  COL6A2  COL4A1  COL4A2  ATP1B3  COL6A1  COL28A1  COL24A1  COL11A1  COL12A1  ATP1B1  DPP4  COL4A6  COL15A1  CPA2  SLC15A1  COL4A5  SLC16A10  MME  COL9A1  COL19A1  COL27A1  XPNPEP2  COL14A1  SLC7A7  SLC36A1  COL1A1  COL5A2  SLC36A3  COL22A1  COL3A1  CPB1  COL11A2  CPA3  SLC7A9  ATP1A1  COL23A1  CPB2  PRCP  COL26A1  SLC36A2"
0.000165004580901169,63,90,1.45843016098673,"Path:pps04070 Phosphatidylinositol signaling system","https://www.genome.jp/kegg-bin/show_pathway?pps04070"," PRKCA  MTMR7  INPP4A  PLCD1  PIP4K2B  PLCB2  SYNJ1  MTMR3  PLCB1  PPIP5K2  MTMR1  PRKCB  DGKE  INPP5B  DGKK  ITPKB  PIK3C3  DGKA  IMPA1  MTMR2  PIK3C2A  SACM1L  PIP4K2C  PLCB4  DGKZ  ITPR2  PLCD3  PIKFYVE  ITPR3  PIK3C2B  PIP5K1B  PLCG2  MTMR8  ITPR1  PIK3R3  PIK3C2G  DGKI  MTMR6  DGKD  PLCB3  DGKB  PLCZ1  MTMR4  PLCD4  OCRL  INPP5D  PIP4P1  INPP4B  CDS2  PIK3CB  PRKCG  DGKG  PIK3CA  MTMR14  DGKH  PLCE1  PI4K2B  PI4KB  CDS1  PIK3R1  PIP5K1A  MTM1  INPP5A"
1.91863184862391e-06,101,152,1.44823738919116,"Path:pps04110 Cell cycle","https://www.genome.jp/kegg-bin/show_pathway?pps04110"," MDM2  TTK  ORC2  SMC1A  CUL1  BUB1  GSK3B  CCNE1  CDC27  PPP2R5A  CCNB3  RB1  TP53  FZR1  AURKB  MAD1L1  WAPL  DBF4  DBF4B  CDC7  CDC14A  ATR  YWHAE  TICRR  NDC80  PPP2CB  ANAPC7  CDK4  TFDP2  NIPBL  MAD2L2  PDS5B  PDS5A  ORC4  SMC3  FBXO5  MCM5  MCM4  PTTG1  CDC25B  CCNH  HDAC2  RBL2  STAG1  SMC1B  CDC45  MCM3  HDAC1  SMAD2  TGFB1  PRKDC  CHEK1  CCNB2  CCNE2  ATM  YWHAB  EP300  CCNA1  CREBBP  ATRX  MCM7  CDC20  CDC25A  E2F3  RBL1  ESPL1  KNL1  PCNA  CCNA2  PPP2R5C  HDAC8  RAD21  ORC5  ANAPC5  ESCO2  ANAPC2  MTBP  CDC25C  PPP2R5D  PPP2R5E  BUB3  TFDP1  MAU2  ANAPC10  CCND2  TGFB3  SMAD4  PPP2R1B  CDK7  ORC3  STAG2  ORC1  CCNB1  CDC23  ANAPC4  WEE2  MCM2  CDC16  MCM6  PPP2R1A  CDK1"
0.000119188225485846,77,119,1.42259266771462,"Path:pps00230 Purine metabolism","https://www.genome.jp/kegg-bin/show_pathway?pps00230"," DGUOK  AK9  ENTPD4  PRUNE1  ENTPD1  PDE4D  IMPDH2  ADCY9  PDE3B  PDE8A  AK4  PDE8B  ENPP3  ENPP1  ADCY10  GUCY2C  PFAS  ENTPD5  AK8  PDE4B  GUCY2D  PDE9A  PGM1  PDE6A  ALLC  NUDT5  PDE4C  RRM2B  AK3  PRPS1  NME7  PDE1A  PAPSS2  LACC1  GMPR  GMPS  HPRT1  NPR1  ADCY7  AK2  GUCY2F  ADCY1  GUCY1B1  NT5E  ENTPD6  ENTPD2  PRPS2  AMPD3  GUCY1A1  XDH  AK7  ADK  PDE7B  ADCY5  NUDT9  PDE2A  ADSL  NPR2  PDE3A  PDE6C  ADCY6  GART  RRM2  NT5C2  RRM1  PDE5A  ADCY2  PPAT  PAPSS1  PDE7A  ATIC  PGM2  ADSS2  GDA  ADCY8  ADCY3  PDE4A"
0.000446103277177704,68,101,1.40491207178855,"Path:pps04922 Glucagon signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pps04922"," CPT1A  AKT3  PLCB2  AKT1  PLCB1  PRKACB  SIK1  PRKAB2  PDE3B  GYS2  CREB5  PFKFB1  CREB1  PYGL  PRKAB1  PPARA  PRKAA1  PHKB  PPP3CC  PPP3CA  CREB3L3  CREB3L4  CPT1B  CPT1C  PRMT1  PLCB4  ITPR2  PFKP  CREB3L1  PHKA2  ITPR3  CAMK2G  PGAM1  EP300  PHKG2  PKM  CAMK2D  SLC2A2  PDHA1  PFKM  ITPR1  CREBBP  SIRT1  ACACA  ATF2  ACACB  CREB3L2  CAMK2B  PHKA1  PPP4R3B  PLCB3  PRKAG2  PYGB  LDHA  LDHC  CREB3  PRKAG3  GYS1  LDHAL6A  PDHB  PPARGC1A  PRKAA2  AKT2  ADCY2  PYGM  SIK2  PPP4C  FBP1"
