"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.92422046106765e-15,69,85,2.25185776881616,"Path:pps04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?pps04512"," ITGA8  ITGA6  COL6A5  COMP  LAMC2  ITGA5  LAMC1  HSPG2  LAMB2  COL9A2  ITGB8  LAMA5  COL4A4  COL9A3  COL4A3  LAMA4  SV2B  ITGB3  COL1A2  ITGAV  COL6A2  COL4A1  COL4A2  TNC  LAMA3  COL6A1  ITGA1  THBS4  ITGA2  ITGB5  TNN  VTN  LAMB3  TNR  FREM1  ITGA4  COL4A6  COL4A5  CD36  FRAS1  SV2A  VWF  THBS3  ITGB4  ITGA7  SV2C  ITGB6  COL9A1  RELN  SDC4  FREM2  ITGB7  LAMA1  COL1A1  THBS2  ITGA2B  DMP1  ITGB1  IBSP  FN1  MEPE  ITGA11  SPP1  LAMB1  ITGA9  THBS1  HMMR  LAMA2  LAMB4"
5.20647453493382e-09,51,69,2.05036828981686,"Path:pps00562 Inositol phosphate metabolism","https://www.genome.jp/kegg-bin/show_pathway?pps00562"," MTMR7  INPP4A  TPI1  FIG4  PLCD1  PIP4K2B  PLCB2  SYNJ1  MTMR3  PLCB1  MTMR1  INPP5B  ITPKB  PIK3C3  IMPA1  INPP5K  MTMR2  PIK3C2A  ALDH6A1  SACM1L  PIP4K2C  PLCB4  PLCD3  INPP5J  MINPP1  PIKFYVE  PIK3C2B  PIP5K1B  PLCH2  PLCH1  PLCG2  MTMR8  PIK3C2G  MTMR6  PLCB3  PLCZ1  MTMR4  PLCD4  OCRL  PIK3CG  INPP5D  INPP4B  PIK3CB  PIK3CA  MTMR14  PLCE1  PI4K2B  PI4KB  PIP5K1A  MTM1  INPP5A"
2.25127602394351e-09,63,90,1.94181938035597,"Path:pps04070 Phosphatidylinositol signaling system","https://www.genome.jp/kegg-bin/show_pathway?pps04070"," PRKCA  MTMR7  INPP4A  PLCD1  PIP4K2B  PLCB2  SYNJ1  MTMR3  PLCB1  PPIP5K2  MTMR1  PRKCB  DGKE  INPP5B  DGKK  ITPKB  PIK3C3  DGKA  IMPA1  MTMR2  PIK3C2A  SACM1L  PIP4K2C  PLCB4  DGKZ  ITPR2  PLCD3  PIKFYVE  ITPR3  PIK3C2B  PIP5K1B  PLCG2  MTMR8  ITPR1  PIK3R3  PIK3C2G  DGKI  MTMR6  DGKD  PLCB3  DGKB  PLCZ1  MTMR4  PLCD4  OCRL  INPP5D  PIP4P1  INPP4B  CDS2  PIK3CB  PRKCG  DGKG  PIK3CA  MTMR14  DGKH  PLCE1  PI4K2B  PI4KB  CDS1  PIK3R1  PIP5K1A  MTM1  INPP5A"
5.20647453493382e-09,68,101,1.86766220458565,"Path:pps04922 Glucagon signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pps04922"," CPT1A  AKT3  PLCB2  AKT1  PLCB1  PRKACB  SIK1  PRKAB2  PDE3B  GYS2  CREB5  PFKFB1  CREB1  PYGL  PRKAB1  PPARA  PRKAA1  PHKB  PPP3CC  PPP3CA  CREB3L3  CREB3L4  CPT1B  CPT1C  PRMT1  PLCB4  ITPR2  PFKP  CREB3L1  PHKA2  ITPR3  CAMK2G  PGAM1  EP300  PHKG2  PKM  CAMK2D  SLC2A2  PDHA1  PFKM  ITPR1  CREBBP  SIRT1  ACACA  ATF2  ACACB  CREB3L2  CAMK2B  PHKA1  PPP4R3B  PLCB3  PRKAG2  PYGB  LDHA  LDHC  CREB3  PRKAG3  GYS1  LDHAL6A  PDHB  PPARGC1A  PRKAA2  AKT2  ADCY2  PYGM  SIK2  PPP4C  FBP1"
1.31072060952909e-12,101,152,1.84326839676647,"Path:pps04110 Cell cycle","https://www.genome.jp/kegg-bin/show_pathway?pps04110"," MDM2  TTK  ORC2  SMC1A  CUL1  BUB1  GSK3B  CCNE1  CDC27  PPP2R5A  CCNB3  RB1  TP53  FZR1  AURKB  MAD1L1  WAPL  DBF4  DBF4B  CDC7  CDC14A  ATR  YWHAE  TICRR  NDC80  PPP2CB  ANAPC7  CDK4  TFDP2  NIPBL  MAD2L2  PDS5B  PDS5A  ORC4  SMC3  FBXO5  MCM5  MCM4  PTTG1  CDC25B  CCNH  HDAC2  RBL2  STAG1  SMC1B  CDC45  MCM3  HDAC1  SMAD2  TGFB1  PRKDC  CHEK1  CCNB2  CCNE2  ATM  YWHAB  EP300  CCNA1  CREBBP  ATRX  MCM7  CDC20  CDC25A  E2F3  RBL1  ESPL1  KNL1  PCNA  CCNA2  PPP2R5C  HDAC8  RAD21  ORC5  ANAPC5  ESCO2  ANAPC2  MTBP  CDC25C  PPP2R5D  PPP2R5E  BUB3  TFDP1  MAU2  ANAPC10  CCND2  TGFB3  SMAD4  PPP2R1B  CDK7  ORC3  STAG2  ORC1  CCNB1  CDC23  ANAPC4  WEE2  MCM2  CDC16  MCM6  PPP2R1A  CDK1"
1.24878792415587e-08,70,107,1.8147844676224,"Path:pps03013 Nucleocytoplasmic transport","https://www.genome.jp/kegg-bin/show_pathway?pps03013"," NUP214  CASC3  PHAX  TNPO1  XPO1  SEH1L  XPO5  IPO4  XPO6  NMD3  IPO8  KPNA7  NUP205  XPO4  THOC1  KPNA4  KPNA6  GLE1  IPO9  IPO11  RANBP17  NCBP1  NUP35  UPF2  IPO13  TNPO2  RAE1  NUP188  IPO7  KPNA5  NDC1  UPF3B  ACIN1  KPNB1  IPO5  SEC13  KPNA1  XPO7  CSE1L  NUP210  NUP37  MAGOH  NUP155  KPNA3  NUP93  TPR  AAAS  NUP58  NUP133  NXF3  TMEM33  AHCTF1  NUP98  UPF3A  TNPO3  NUP210L  XPOT  NUP43  NUP54  NCBP2  NUP153  SRRM1  THOC2  THOC5  NUP160  NUP107  KPNA2  NXF1  NUP85  PNN"
1.45936793346073e-10,91,140,1.80311799604483,"Path:pps05017 Spinocerebellar ataxia","https://www.genome.jp/kegg-bin/show_pathway?pps05017"," PRKCA  GRM1  PSMC6  PIK3R4  PSMC3  PSMC5  AKT3  PLCB2  AKT1  RBPJ  PLCB1  PSMB3  PRKCB  PSMD3  PSMA7  ATXN2  ULK2  VLDLR  CACNA1A  PSMA1  PSMD13  PSMA8  GRIN3A  GRIN2B  ATG2B  RB1CC1  PIK3C3  PSMD2  OPA1  AMBRA1  TBP  DAB1  ATXN10  ATG13  PSMD6  PLCB4  PSMA3  ATP2A2  SPTBN2  OMA1  NFYA  GRIA2  MTOR  ITPR2  PSMA2  ITPR3  TRAF2  MAPK8  KCND3  VDAC1  SLC25A31  MAPK10  GRIA1  PSMD11  ITPR1  PSMD14  PSMD9  PSMD1  WIPI2  PUM2  PIK3R3  TBPL2  TRPC3  ATG14  RBPJL  PSMC2  PLCB3  RELN  GRIN1  VDAC3  PSMA6  RORA  MAPK9  PIK3CB  PRKCG  MCU  PSMB4  PSMA4  PIK3CA  MAP3K5  SLC25A5  AKT2  RYR1  PSMD12  GTF2B  PSMC4  ATXN2L  PIK3R1  AFG3L2  GRIA3  PUM1"
5.47639626383645e-09,77,119,1.79495909108535,"Path:pps00230 Purine metabolism","https://www.genome.jp/kegg-bin/show_pathway?pps00230"," DGUOK  AK9  ENTPD4  PRUNE1  ENTPD1  PDE4D  IMPDH2  ADCY9  PDE3B  PDE8A  AK4  PDE8B  ENPP3  ENPP1  ADCY10  GUCY2C  PFAS  ENTPD5  AK8  PDE4B  GUCY2D  PDE9A  PGM1  PDE6A  ALLC  NUDT5  PDE4C  RRM2B  AK3  PRPS1  NME7  PDE1A  PAPSS2  LACC1  GMPR  GMPS  HPRT1  NPR1  ADCY7  AK2  GUCY2F  ADCY1  GUCY1B1  NT5E  ENTPD6  ENTPD2  PRPS2  AMPD3  GUCY1A1  XDH  AK7  ADK  PDE7B  ADCY5  NUDT9  PDE2A  ADSL  NPR2  PDE3A  PDE6C  ADCY6  GART  RRM2  NT5C2  RRM1  PDE5A  ADCY2  PPAT  PAPSS1  PDE7A  ATIC  PGM2  ADSS2  GDA  ADCY8  ADCY3  PDE4A"
6.43684179613647e-08,67,104,1.78711399016277,"Path:pps04931 Insulin resistance","https://www.genome.jp/kegg-bin/show_pathway?pps04931"," SLC27A2  CPT1A  AKT3  AKT1  PRKCB  RPS6KA1  PTPN11  RPS6KA2  NR1H3  GSK3B  PRKAB2  GYS2  CREB5  SLC27A5  CREB1  PYGL  PRKCE  PTPN1  PRKAB1  PPARA  PRKAA1  CREB3L3  MLXIPL  PPARGC1B  CREB3L4  CPT1B  NFKB1  OGA  MTOR  CREB3L1  SLC27A1  MAPK8  PTPA  SLC2A2  PTPRF  MAPK10  CD36  SLC2A4  ACACB  PIK3R3  RPS6KA3  CREB3L2  PRKAG2  PYGB  PRKCZ  TBC1D4  STAT3  NR1H2  OGT  MLXIP  IKBKB  CREB3  PRKAG3  GYS1  MAPK9  PIK3CB  PPARGC1A  PIK3CA  GFPT2  PRKAA2  AKT2  INSR  PYGM  GFPT1  PIK3R1  RPS6KB1  PRKCQ"
5.05640297012568e-14,127,198,1.77930058661766,"Path:pps04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?pps04510"," ITGA8  ITGA6  COL6A5  COMP  PRKCA  LAMC2  ITGA5  ILK  LAMC1  ROCK2  AKT3  AKT1  LAMB2  VEGFD  PPP1R12B  PRKCB  COL9A2  BIRC2  ITGB8  VAV2  LAMA5  DOCK1  BRAF  RAPGEF1  GSK3B  PXN  COL4A4  SHC3  COL9A3  COL4A3  RAF1  SOS1  PAK1  LAMA4  ITGB3  COL1A2  EGFR  ITGAV  EGF  ROCK1  COL6A2  COL4A1  ERBB2  COL4A2  TNC  LAMA3  COL6A1  ITGA1  THBS4  ITGA2  MYLK2  ACTN1  MYLK  ITGB5  BCAR1  TNN  VTN  LAMB3  RAP1A  TNR  ACTN4  CTNNB1  PDGFRA  MAPK8  ZYX  VAV1  PIP5K1B  ITGA4  COL4A6  MAPK10  COL4A5  PARVG  VWF  VCL  THBS3  PIK3R3  ITGB4  KDR  ITGA7  ITGB6  COL9A1  RELN  TLN1  PAK3  MAP2K1  LRRC45  PAK2  PPP1R12A  VAV3  ITGB7  PTK2  MAPK9  PIK3CB  PRKCG  VEGFC  PIK3CA  LAMA1  CCND2  SHC4  COL1A1  THBS2  ITGA2B  ELK1  MET  AKT2  ARHGAP5  ITGB1  IBSP  FN1  FLNB  PDGFD  SHC1  ITGA11  SPP1  PIK3R1  PIP5K1A  LAMB1  TLN2  PARVA  ITGA9  THBS1  RASGRF1  MAPK1  RAP1B  LAMA2  LAMB4  LAMC3"
