"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000101708712316446,26,80,2.64846049573974,"Path:pps05412 Arrhythmogenic right ventricular cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pps05412"," ITGA6  SLC8A1  ACTG1  CACNA1C  CACNA2D3  CACNA2D4  RYR2  JUP  CACNA1D  DSG2  DSP  ITGAV  SGCD  CACNA2D1  ACTN2  CTNNA3  ATP2A3  CTNNA2  ITGB7  LAMA1  CACNG6  ITGB1  SNTA1  ITGA9  CACNA2D2  LEF1"
1.27526037242528e-08,56,183,2.49371648190711,"Path:pps04814 Motor proteins","https://www.genome.jp/kegg-bin/show_pathway?pps04814"," DNAH8  DNAH3  KIF4A  DYNC1H1  ACTG1  KIF2C  MYO1B  DNAH2  TUBE1  MYL2  DNAH10  DNAH11  MYO7A  DNAH5  MYO3B  DNAH7  KIFC1  DNAH17  MYL6B  KIF2A  KIF5A  TUBD1  MYL11  MYH10  KIF20B  ACTR10  KIF13B  MYL7  STARD9  MYO16  KIF18A  MYO5C  KIF13A  KIF21B  MYH9  DYNC1LI2  MYO1H  MYO6  DNAH6  HOOK3  MYO5B  KIFAP3  TNNT1  ACTR1A  MYH14  MYO1F  MYH2  TNNI3  MYH3  KIF3A  DNAH9  KIF9  DCTN1  MYO18A  KIF1A  DYNC2H1"
0.000487024648643446,27,92,2.39158640083521,"Path:pps05410 Hypertrophic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pps05410"," ITGA6  SLC8A1  ACTG1  CACNA1C  CACNA2D3  PRKAB2  MYL2  CACNA2D4  RYR2  CACNA1D  PRKAB1  ITGAV  SGCD  EDN1  CACNA2D1  ATP2A3  TNNI3  ITGB7  PRKAG3  AGT  LAMA1  CACNG6  ITGB1  SNTA1  ITGA9  CACNA2D2  NOS1"
0.00139010659143506,24,85,2.30092495557479,"Path:pps04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?pps04512"," ITGA6  LAMC1  HSPG2  LAMB2  COL4A4  COL4A3  LAMA4  ITGAV  COL6A2  COL4A1  COL4A2  TNC  LAMA3  COL4A5  FRAS1  RELN  FREM2  ITGB7  CD44  LAMA1  ITGB1  FN1  LAMB1  ITGA9"
3.39558443342709e-07,55,198,2.2636414493502,"Path:pps04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?pps04510"," ITGA6  PPP1R12C  PRKCA  LAMC1  FLT4  LAMB2  PPP1R12B  ACTG1  FYN  GSK3B  COL4A4  COL4A3  SOS1  MYL2  PAK1  LAMA4  EGFR  PIP5K1C  ITGAV  EGF  COL6A2  COL4A1  COL4A2  TNC  LAMA3  PPP1CB  MYLK  MYL11  RAP1A  MYL7  PDGFC  HGF  COL4A5  PARVB  RELN  TLN1  LRRC45  PAK2  VAV3  ITGB7  PTK2  LAMA1  SHC4  MET  ITGB1  PPP1CA  FN1  FLNB  PIK3R1  PIP5K1A  LAMB1  PARVA  ITGA9  RASGRF1  LAMC3"
0.00118702921999045,26,94,2.25400893254446,"Path:pps04520 Adherens junction","https://www.genome.jp/kegg-bin/show_pathway?pps04520"," SORBS1  ACTG1  FYN  MYL2  EGFR  WASF2  MYL11  HEG1  RAP1A  MYL7  LMO7  EP300  PTPRF  PTPRJ  CREBBP  IQGAP1  CTNNA3  TJP1  FGFR1  CTNNA2  LRRC45  MET  PTPRM  INSR  SMAD3  AFDN"
3.16266641699447e-07,60,222,2.20246195071912,"Path:pps04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?pps04820"," ITGA6  ACTG2  AMPD2  HSPG2  COL5A3  ACTG1  AMPD1  COL4A4  COL5A1  COL4A3  LDB3  MYL2  FMNL3  FBN3  JUP  DSG2  DSP  ITGAV  SPTBN4  COL6A2  COL4A1  COL4A2  SGCD  OBSCN  MYBPC2  MYL11  MYH10  SYNE1  SPTBN2  COL11A1  MYL7  ANKRD23  NID1  ANK2  ANKRD2  MYH9  SPTBN1  COL4A5  ACTN2  AMPD3  TNNT1  MYH14  MYH2  TNNI3  FMNL1  TLN1  COL27A1  MYH3  DIAPH3  MYOM3  ITGB7  LAMA1  FLNC  TRIM55  ITGB1  FN1  SNTA1  SUN1  ITGA9  NEBL"
0.00434140291965043,23,87,2.15436220696778,"Path:pps03015 mRNA surveillance pathway","https://www.genome.jp/kegg-bin/show_pathway?pps03015"," UPF1  PCF11  SMG5  PPP1CB  UPF2  UPF3B  SMG6  SYMPK  CSTF2  WDR82  NXF3  CPSF3  PPP2R3C  PPP2R5C  ETF1  PPP2R5D  PPP2R5E  PPP2R2B  CPSF1  PPP1CA  SMG7  MSI1  SRRM1"
0.00387510549699228,25,97,2.10028588084039,"Path:pps05414 Dilated cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pps05414"," ITGA6  SLC8A1  ACTG1  PRKACB  CACNA1C  CACNA2D3  MYL2  CACNA2D4  RYR2  CACNA1D  ITGAV  SGCD  CACNA2D1  ATP2A3  TNNI3  ADCY5  ITGB7  AGT  LAMA1  CACNG6  ITGB1  SNTA1  ITGA9  CACNA2D2  NOS1"
0.00135022481177142,34,139,1.99330729065083,"Path:pps04921 Oxytocin signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pps04921"," PPP1R12C  PRKCA  RYR3  KCNJ5  PPP1R12B  ACTG1  PRKACB  CACNA1C  CACNA2D3  PRKAB2  CACNA2D4  NOS3  RYR2  EGFR  CACNA1D  PRKAB1  NPPA  MYL6B  PPP1CB  PLCB4  MYLK  CAMK1G  ITPR3  CACNA2D1  ITPR1  PLA2G4D  PLA2G4E  ADCY5  PRKAG3  CACNG6  RYR1  PPP1CA  MAP2K5  CACNA2D2"
1.15107331233583e-05,65,276,1.91917427227517,"Path:pps04010 MAPK signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pps04010"," RPS6KA6  PRKCA  MAPKAPK5  FGF22  FLT4  FASLG  PRKACB  MAP4K4  RPS6KA5  RPS6KA2  MAP4K3  RASGRF2  CACNA1C  CACNA1A  CACNA2D3  CACNA1I  SOS1  RAPGEF2  PTPN5  CACNA2D4  MAP3K2  KITLG  PAK1  CACNA1E  EGFR  CSF1R  CACNA1D  EGF  MAPK8IP2  MKNK1  RAP1A  RASA2  MAP3K4  MAPK8IP1  PDGFC  MAP4K1  GADD45B  CACNA2D1  HGF  MAPK8IP3  CACNA1H  CACNA1G  MAP3K14  MAP4K2  MAP3K11  EPHA2  PLA2G4D  PLA2G4E  FGFR1  RELA  LRRC45  PAK2  MAP3K9  RPS6KA4  CACNG6  DUSP16  MET  INSR  FGF10  RET  IL1A  RASGRF1  MAP2K5  CACNA2D2  TAOK1"
0.00332327168881744,33,141,1.90723832753762,"Path:pps04072 Phospholipase D signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pps04072"," MS4A2  PRKCA  TSC2  FYN  SOS1  DGKK  KITLG  EGFR  PIP5K1C  PLPP3  EGF  CYTH3  GRM7  AGPAT2  PLCB4  GRM4  RAPGEF3  PDGFC  PLA2G4D  PLA2G4E  DGKD  ADCY5  AGT  AGPAT1  SHC4  DNM1  INSR  SPHK2  DGKH  CYTH4  PIK3R1  PIP5K1A  PLCG1"
0.00116572743267561,40,171,1.90622437840017,"Path:pps04360 Axon guidance","https://www.genome.jp/kegg-bin/show_pathway?pps04360"," PRKCA  PTCH1  EPHB2  UNC5A  SEMA4G  FYN  GSK3B  PAK1  EPHA4  EPHA3  PLXNA2  CDK5  ROBO2  SLIT1  PLXNB1  PLXNB2  SEMA4B  ABLIM3  ARHGEF12  UNC5B  PLXNA3  SEMA3G  SEMA6D  EPHA2  PRKCZ  SRGAP3  LRRC45  ROBO3  PAK2  TRPC4  PTK2  EPHB6  MET  ITGB1  SRGAP1  DCC  SEMA4D  PIK3R1  ABL1  PLCG1"
