"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000230325677683356,9,141,7.96055924273746,"Path:pon00190 Oxidative phosphorylation","https://www.genome.jp/kegg-bin/show_pathway?pon00190"," ATP8  ND6  ND4L  ND2  ND3  COX3  ND4  CYTB  ND5"
0.00257409075993298,10,236,4.47167216721672,"Path:pon04714 Thermogenesis","https://www.genome.jp/kegg-bin/show_pathway?pon04714"," SLC25A29  ATP8  ND6  ND4L  ND2  ND3  COX3  ND4  CYTB  ND5"
0.00399192653816692,9,205,4.4442385956387,"Path:pon05415 Diabetic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05415"," ATP8  ND6  ND4L  ND2  ND3  COX3  ND4  CYTB  ND5"
0.00399192653816692,9,223,4.36392103065728,"Path:pon05208 Chemical carcinogenesis-reactive oxygen species","https://www.genome.jp/kegg-bin/show_pathway?pon05208"," ATP8  ND6  ND4L  ND2  ND3  COX3  ND4  CYTB  ND5"
0.00257409075993298,11,275,4.17637306183448,"Path:pon05012 Parkinson disease","https://www.genome.jp/kegg-bin/show_pathway?pon05012"," XBP1    ATP8  ND6  ND4L  ND2  ND3  COX3  ND4  CYTB  ND5"
0.00257409075993298,12,308,3.83286185761433,"Path:pon05016 Huntington disease","https://www.genome.jp/kegg-bin/show_pathway?pon05016"," GPX2  GPX1  GPX6  ATP8  ND6  ND4L  ND2  ND3  COX3  ND4  CYTB  ND5"
0.00263675179949216,13,366,3.45337058458321,"Path:pon05014 Amyotrophic lateral sclerosis","https://www.genome.jp/kegg-bin/show_pathway?pon05014"," GPX2  XBP1  GPX1  GPX6  ATP8  ND6  ND4L  ND2  ND3  COX3  ND4  CYTB  ND5"
0.0162772363755567,9,275,3.41703250513731,"Path:pon05020 Prion disease","https://www.genome.jp/kegg-bin/show_pathway?pon05020"," ATP8  ND6  ND4L  ND2  ND3  COX3  ND4  CYTB  ND5"
0.00904859678461722,12,382,3.01837871287129,"Path:pon05010 Alzheimer disease","https://www.genome.jp/kegg-bin/show_pathway?pon05010"," XBP1  APOE    ATP8  ND6  ND4L  ND2  ND3  COX3  ND4  CYTB  ND5"
0.00872529831052476,14,476,2.76870119444377,"Path:pon05022 Pathways of neurodegeneration-multiple diseases","https://www.genome.jp/kegg-bin/show_pathway?pon05022"," GPX2  XBP1  GPX1  GPX6    ATP8  ND6  ND4L  ND2  ND3  COX3  ND4  CYTB  ND5"
