"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000123666949657522,32,84,2.33522441651706,"Path:pon05412 Arrhythmogenic right ventricular cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05412"," SGCE  CDH2  SLC8A1  RYR2  CTNNA2  NOS1  SNTA1  SSPN  ACTN2  LAMA1  ITGA7  ITGB7  JUP  ACTG1  DSP  CACNB4  CTNNA3  ATP2A3  LEF1  CACNA2D3  CACNA2D2  ITGAV  CACNG6  ATP2A1  CACNA1D  ITGA5  ITGA11  SLC8A2  SGCD  DSG2  LAMA2  "
0.00137508412462837,32,96,2.07575503690405,"Path:pon05410 Hypertrophic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05410"," PRKAB2  SGCE  SLC8A1  RYR2  NOS1  TGFB3  SNTA1  SSPN  TTN  LAMA1  ITGA7  ITGB7  PRKAG3  ACTG1  CACNB4  ATP2A3  CACNA2D3  CACNA2D2  ITGAV  CACNG6  MYBPC3  ACE  ATP2A1  CACNA1D  ITGA5  ITGA11  SLC8A2  SGCD  EDN1  AGT  LAMA2  "
7.41974327933905e-06,58,187,2.03980446021068,"Path:pon04814 Motor proteins","https://www.genome.jp/kegg-bin/show_pathway?pon04814"," KIF5B  DYNC1LI2  KLC2  MYH10  DYNC2H1  ACTA1  KIF5A  KIF13B  DCTN1  KIF2A  KIFAP3  TUBD1  MYO3B  MYO10  MYO1A  ACTR10  KIF9  MYO1B  ACTR1A  DNAH8  MYO3A  DNAH14  KIF27  DNAH12  TUBE1  MYO16  ACTG1  MYO15A  MYL10  KIF13A  BAZ2B  MYO1F  KIF18A  MYH15  MYO5C  MYO7B  DNAH3  KIF4A  DYNC1LI1  DNAH17  KIF1A  STARD9  MYO1C  DNAH7  DYNC1H1  MYO18A  MYH14  DNAH10  MYL5  DNAH11  DNAI1  KIF20B  MYO7A  KIFC1  KIF2C    MYH8  MYL6B"
1.11795470697315e-05,63,201,1.92564317068815,"Path:pon04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?pon04510"," VAV2  MYLK3  IGF1R  PPP1CB  PIK3R3  EMP1  COL6A5  MAPK3    ROCK1  PIP5K1C  SRC  FLNB  DIAPH1  PARVA  COL1A1  LAMA1  LAMA3  FYN  ITGA7  ITGB7  PARVB  ACTG1  LAMC3  TLN1  VAV3  MYL10  THBS3  COL4A4  COL4A1  PPP1R12C  COL4A2  FLNA  COMP  GSK3B  PTK2  VEGFA  PAK1  FN1  ITGAV  TNC  MYLK  TNN  MYLK2  ITGA5  ITGA11  EGF  MYL5  PIP5K1A  LAMB1  LAMA2  EGFR  PPP1CA  COL6A3  ACTN1  RASGRF1  FLT4  HGF  PIK3CD  BCAR1  PPP1R12B"
0.00731577897183982,31,101,1.92531800297949,"Path:pon05414 Dilated cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05414"," SGCE  SLC8A1  RYR2  PRKACB  NOS1  TGFB3  SNTA1  SSPN  TTN  ADCY7  LAMA1  ITGA7  ITGB7  ACTG1  CACNB4  ATP2A3  CACNA2D3  CACNA2D2  ITGAV  CACNG6  MYBPC3  ATP2A1  CACNA1D  ITGA5  ITGA11  SLC8A2  SGCD  AGT  LAMA2  ADCY4  "
0.0276467687955276,23,75,1.91822005642472,"Path:pon00562 Inositol phosphate metabolism","https://www.genome.jp/kegg-bin/show_pathway?pon00562"," INPP5F  OCRL  TPI1  INPP4B  IMPA1    PLCB1  PIKFYVE  PIP5K1C  PLCH2  INPP5A  INPP5D  ITPKA  INPP4A  PI4KB  PIP5K1A  PIK3C2A  INPP5J  PLCG2  PLCH1  PLCB3  PLCB4  PLCD1"
0.0324239001068562,25,84,1.82439407540395,"Path:pon04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?pon04512"," FREM1  COL6A5  COL1A1  LAMA1  LAMA3  ITGA7  ITGB7  LAMC3  THBS3  COL4A4  COL4A1  COL4A2  HMMR  COMP  FN1  ITGAV  TNC  TNN  ITGA5  ITGA11  FREM2  LAMB1  LAMA2  COL6A3  FRAS1"
0.0276467687955276,27,93,1.81181204729772,"Path:pon04520 Adherens junction","https://www.genome.jp/kegg-bin/show_pathway?pon04520","   IGF1R  PTPRM  CTNNA2  IQGAP1  FGFR1  MAPK3  ROCK1  SRC  NLK  FYN  ACTG1  PTPRF  MYL10  CTNNA3  TJP1  LEF1  SMAD3  LMO7  EP300  MYL5  SMURF1  EGFR  AFDN  ACTN1"
0.0117497665375538,34,121,1.80449159458136,"Path:pon04611 Platelet activation","https://www.genome.jp/kegg-bin/show_pathway?pon04611"," MYLK3  GNAI1  PPP1CB  PRKCI  PRKCZ  PIK3R3  PRKACB  MAPK3  ROCK1  ITPR3  ITPR2  PLCB1  SRC  ADCY7  PRKG1  COL1A1  PRKG2  ARHGEF1  FYN  ACTG1  TLN1  GUCY1A2  ITPR1  F2RL3  NOS3  MYLK  MYLK2  ARHGEF12  PLCG2  PPP1CA  PLCB3  ADCY4  PLCB4  PIK3CD"
0.0292890591758287,28,101,1.77680118648037,"Path:pon04070 Phosphatidylinositol signaling system","https://www.genome.jp/kegg-bin/show_pathway?pon04070"," INPP5F  OCRL  PIK3R3  INPP4B  IMPA1  DGKZ    ITPR3  ITPR2  PLCB1  PIKFYVE  PIP5K1C  PPIP5K1  DGKK  INPP5A  ITPR1  INPP5D  DGKD  ITPKA  INPP4A  PI4KB  PIP5K1A  PIK3C2A  PLCG2  PLCB3  PLCB4  PLCD1  PIK3CD"
