"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.78835546688691e-09,111,116,1.30875107393081,"Path:ptr04668 TNF signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ptr04668"," AKT3    ATF2  MAPK11  MAPK14  MAP2K1  ICAM1  IL1B  MAP3K8  MAPK8  CHUK  CASP7  FADD  BIRC3  BIRC2  MMP3  CREB3L1  PGAM5  RIPK3  FOS  TRAF3  RHBDF1  MAPK3  NOD2  CX3CL1  TRADD  RHBDF2  SOCS3  MAP2K4  AKT2  PIK3R3  VCAM1  CSF1  CREB3L4  TRAF5  PIK3CD  TNFRSF1B  ITCH  MMP9  MAPK1  TAB1  ADAM17  IL18R1  CFLAR  CASP10  CREB1  CCL20  PIK3CA  CXCL10  CXCL3  MAPK10  NFKB1  CASP3  PIK3R1  MAPK9  RIPK1  EDN1  MAPK13  MAP3K7  MAP3K5  TAB2  CREB5  BAG4  TRAF2  CREB3  CYLD  DNM1L  VEGFD  RELA  TNFRSF1A  NFKBIA  MAP2K6  CREB3L3  JUNB  PTGS2  CEBPB  VEGFC  CSF2  TNFAIP3  IKBKB  DAB2IP  IFNB1  TAB3  LTA  TNF  SELE  MLKL  LIF  IL15  FAS  CREB3L2  RPS6KA5  CXCL5  CXCL1  CXCL6  AKT1  MMP14  MAP2K7  TRAF1  BCL3  ATF4  CASP8  CCL5  MAPK12  JAG1"
1.75465582836799e-10,142,150,1.2947596210083,"Path:ptr04261 Adrenergic signaling in cardiomyocytes","https://www.genome.jp/kegg-bin/show_pathway?ptr04261"," AKT3  CACNG5  TPM4  PLN  ATP2A3  PPP2CA  ATF2    MAPK11  PRKACA  AGT  MAPK14  CREM  KCNQ1  PPP2R5B  CREB3L1  ADCY6  CACNB3  ATP2B1  ATP2A2  MYL2  MYH6  ADCY4  PPP2R3C  PPP2R5E  PPP2R5C  ACTC1  PLCB2  TPM1  CALML4  ADCY9  ATP2A1  MAPK3  CACNB1  MYL4  PRKCA  PIK3R5  AKT2  ATP1A3  CALM3  SLC9A1  GNAI3  ATP1A1  CREB3L4  ATP1A2  ATP1B1  TNNT2  ATP2B4  PPP2R5A  KCNK2  RYR2  TPM3  ATP1A4  PLCB4  MAPK1  CACNG2  ADCY3  PPP1CB  CALM2  SCN7A  RAPGEF4  CREB1  ATP2B2  MYL3  CACNA2D2  CACNA1D  POPDC2  PPP2R3A  PPP2R2C  CAMK2D  PPP2R2B  CAMK2A  MAPK13  PPP2R5D  PPP1CC  CREB5  CACNA2D1  PIK3CG  PPP2R2A  PPP2CB  ADCY8  TPM2  CREB3  ATP2B3  CALML3  ADRB1  PPP2R2D  PPP2R1B  FXYD2  CACNA2D4  CACNA1C  RAPGEF3  SLC8A3  CREB3L3  SLC8A2  PPP2R1A  CACNA1S  ADRA1D  PLCB1  GNAS  SLC8A1  ADCY5  ADRB2  BVES  GNAI1  ADRA1A  PRKACG  GNAQ  ADCY7  KCNE1  ADRA1B  CALML5  CAMK2B  CAMK2G  ATP1B4  BCL2  CALM1  CREB3L2  RPS6KA5  CACNB2  CACNA1F  AKT1  CACNG1  CACNG4  SCN4B  AGTR2  CALML6  ATF4  GNAI2  MYH7  PIK3R6  TNNC1  ATP1B3  CACNG3  MAPK12  PPP1R1A  SCN5A  SCN1B  ATP1B2  CACNG7"
3.89209580139236e-11,155,164,1.29264690778268,"Path:ptr04022 cGMP-PKG signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ptr04022"," GUCY1A1  AKT3  GNA11  PLN    ATP2A3  ADRA2B  BAD  MYLK  ATF2  VASP  SLC25A6  INS  MAP2K1  PPIF  PPP3CB  IRAG1  PDE3B  PDE2A  TRPC6  CREB3L1  ADCY6  PPP1R12A  ATP2B1  ATP2A2  EDNRB  IRS2  MYH6  ADCY4  NFATC4  PLCB2  CALML4  MEF2A  ADCY9  ATP2A1  MAPK3  NFATC3  GNA13  PIK3R5  ROCK1  NFATC1  INSR  MEF2B  AKT2  ATP1A3  CALM3  MAP2K2  OPRD1  GNAI3  TMIGD3  ATP1A1  CREB3L4  MEF2D  ATP1A2  ATP1B1  ADORA1  ATP2B4  ATP1A4  PLCB4  MYL9  MAPK1  ADCY3  PPP1CB  PRKCE  CALM2  CREB1  IRS1  ITPR1  ATP2B2  RAF1  CACNA1D  KCNMB2  KNG1  RHOA  PPP3CA  EDNRA  GUCY1B1  SLC25A4  MEF2C  KCNMB1  SRF  PPP1CC  GNA12  CREB5  PIK3CG  NOS3  KCNU1  ADRB3  ADCY8  CREB3  NPR2  MYLK3  ADRA2C  PDE3A  ATP2B3  CALML3  KCNMA1  ADRA2A  ADRB1  GUCY1A2  FXYD2  CACNA1C  SLC8A3  BDKRB2  CREB3L3  SLC8A2  RGS2  CACNA1S  NPPB  ADRA1D  PLCB1  NFATC2  ROCK2  SLC8A1  ADCY5  ADRB2  MYLK4  GNAI1  GATA4  ADRA1A  GNAQ  ADCY7  ITPR2  IRS4  ADRA1B  SLC25A5  CALML5  VDAC3  ATP1B4  CALM1  CREB3L2  NPPC  KCNJ8  CACNA1F  AKT1  PPP3CC  MYLK2  SLC25A31  KCNMB4  CALML6  PRKG1  ATF4  GNAI2  MYH7  VDAC1  KCNMB3  PIK3R6  ATP1B3"
5.1912784401851e-09,128,136,1.28725065883179,"Path:ptr01240 Biosynthesis of cofactors","https://www.genome.jp/kegg-bin/show_pathway?ptr01240"," ADSL  FLAD1  VKORC1  DECR2  UGT2B7  LIPT1  ALPI  RDH12  ALDH2    AK4  MAT1A  UROS  NADSYN1  LIPT2  SHMT2  COQ5  MMAB  MTHFD1  GPHN  RDH11  MPI  PMM2  DHODH  SHMT1  COASY  FECH  BCAT2  RDH13  UROD  ALPL  AK2  CMPK1  AK5  GCLM  NADK  PPOX  NME7  EPRS1  ADSS2  PANK2  SH3BP1  PMM1  CMPK2  MAT2A  GGCX  KYNU  PHOSPHO2  GMPPA  OXSM  NME6  GMPPB  ALAS1  DHFR2  CPOX  UMPS  NMNAT3  MTHFD2L  UGT2B4  AK6  NADK2  MAT2B  PANK3  TPK1  DLD  IDO1  GGH  PSAT1  ALAD  AK1  AK8  ALDH1B1  AK3  BCAT1  COX10  ADSS1  NME3  NQO1  BCO1  ASPDH  CTPS1  KMO  CAD  SPR  ALPP  LIAS  UGDH  COQ2  UGT2A3  MOCS1  COQ3  IDO2  SDR16C5  HPD  ALAS2  DHFR  TDO2  PPCDC  DHRS3  PDXK  HAAO  PTS  NAPRT  FPGS  COQ6  ALPG  AFMID  COQ7  AKR1A1  GCLC  NMNAT2  GCH1  EARS2  HMBS  COX15  RFK  GSS  NMNAT1  PPCS  AK9"
1.64351959533472e-13,208,222,1.28145223244065,"Path:ptr05163 Human cytomegalovirus infection","https://www.genome.jp/kegg-bin/show_pathway?ptr05163"," GNG12  IKBKG  AKT3    GNA11  GNG10  GNB3  GSK3B  ATF2  PTGER1  MAPK11  PRKACA  GNG13  GNG8  CCR5  CXCR4  MAPK14  B2M  GNAO1  CTNNB1  MAP2K1  PTGER4  IL1B  PATR-B  CHUK  PPP3CB  FADD  IL10RA  ARHGEF12  CREB3L1  ADCY6  SP1  CDK4  TBK1  RB1  ADCY4  NFATC4  SOS2  PLCB2  CALML4  ADCY9  PRKCB  MAPK3  CX3CL1  TRADD  NFATC3  BCAR1  CCL3  CCL4  STAT3  GNA13  PRKCA  TP53  ROCK1  NFATC1  CALR  AKT2  ARHGEF1  CALM3  PRKCG  MAP2K2  CASP9  PIK3R3  PTGER3  GNG5  GNAI3  CREB3L4  ARHGEF11  TRAF5  PIK3CD  MTOR  PLCB4  SRC  MAPK1  ADCY3  CALM2  IL1R1  ITGAV  CREB1  ITPR1  RAF1  CCR1  PIK3CA  GNB4  RHOA  PDGFRA  PPP3CA  NFKB1  CASP3  PIK3R1  STING1  RIPK1  PATR-E  BAK1  MAPK13  CGAS  GNA12  CREB5  EGFR  EIF4EBP1  MYC  ADCY8  PTK2  TSC1  TRAF2  CDKN2A  CREB3  CALML3  HRAS  RELA  TNFRSF1A  NFKBIA  PTGER2  TSC2  ITGB3  MAP2K6  RPS6KB1  CREB3L3  E2F2  GNB1  IL6R  FASLG  PTGS2  PLCB1  NFATC2  GNAS  ROCK2  CXCR2  CCR3  ADCY5  CXCL8  E2F3  TAP1  GNAI1  IKBKB  PRKACG  GNAQ  IFNB1  IFNA21  IFNA17  IFNA14  IFNA5  IFNA6  IFNA2  IFNA8  ADCY7  KRAS  ITPR2  ELK1  TNF  PATR-G  VEGFA  GRB2  CALML5  FAS  CALM1  CREB3L2  GNG3  AKT1  CXCL12  MDM2  PPP3CC  RAC2  PDIA3  CALML6  GNG4  JAK1  AKAP13  GNG7  ATF4  GNAI2  CYCS  GNB5  TAP2  CASP8  TAPBP  RPS6KB2  CDK6  CCL5  MAPK12  BAX  RAC3  CRK  GNGT1  GNG11  CCND1  IRF3  CCL2  GNGT2"
6.48112882313331e-10,170,184,1.26363940354071,"Path:ptr05167 Kaposi sarcoma-associated herpesvirus infection","https://www.genome.jp/kegg-bin/show_pathway?ptr05167"," GNG12  IKBKG  AKT3    GNG10  GNB3  GSK3B  RPS27A  MAPK11  GNG13  GNG8  CCR5  MAPK14  CTNNB1  MAP2K1  ICAM1  MICB  PATR-B  MAPK8  CHUK  TCF7L2  PPP3CB  IRF7  FADD  STAT2  CDK4  TBK1  RB1  NFATC4  FOS  TRAF3  CALML4  MAPK3  TRADD  NFATC3  PLCG2  STAT3  MAP2K4  PIK3R5  TP53  PIK3C3  NFATC1  C3  TYK2  AKT2  CALM3  MAP2K2  CASP9  PIK3R3  GNG5  MAP1LC3C  PIK3CD  MTOR  HCK  SRC  PLCG1  PREX1  RCAN1  MAPK1  PDGFB  EIF2AK2  CALM2  STAT1  CREB1  ITPR1  RAF1  CCR1  PIK3CA  GNB4  CXCL3  MAPK10  PPP3CA  NFKB1  LEF1  CASP3  PIK3R1  MAPK9  PATR-E  BAK1  MAPK13  PIK3CG  MYC  SYK  TRAF2  JAK2  CALML3  HRAS  RELA  TNFRSF1A  UBC  NFKBIA  CREBBP  MAP2K6  E2F2  GNB1  PTGS2  NFATC2  CCR4  CCR3  ATG3  CD86  CXCL8  TLR3  CSF2  E2F3  IKBKB  LYN  IFNB1  IFNA21  IFNA17  IFNA14  IFNA5  IFNA6  IFNA2  IFNA8  CLEC2B  KRAS  ITPR2  BECN2  PATR-G  FGF2  KXD1  ZFP36  VEGFA  CALML5  FAS  CALM1  CXCL1  GNG3  AKT1  PPP3CC  ANGPT2  IKBKE  MAP2K7  CALML6  GNG4  JAK1  MAPKAPK2  ATG14  GNG7  TCF7L1  IRF9  CYCS  MAP1LC3A  GNB5  TCF7  MAP1LC3B  HIF1A  PIK3R6  CASP8  CDK6  MAPK12  BAX  GNGT1  GNG11  CCND1  IRF3  GNGT2"
7.49587134605548e-13,228,247,1.26249583846964,"Path:ptr04020 Calcium signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ptr04020"," SMIM6  GNA11  RET  MRLN  PLN    CYSLTR1  ATP2A3  LHCGR  SLN  P2RX2  FGF8  MYLK  GRIN3B  PTGER1  PRKACA  SLC25A6  CXCR4  CAMK1D  TACR2  PPIF  PLCE1  PPP3CB  STIM1  CHRM1  GRM5  PDE1B  ERBB3  AVPR1A  ATP2B1  ATP2A2  TPCN1  P2RX7  P2RX4  FLT1  EDNRB  ADCY4  NFATC4  RYR3  PLCB2  ITPKA  CALML4  CACNA1H  ADCY9  PRKCB  ATP2A1  ORAI3  NFATC3  PLCG2  GRIN2A  P2RX5  P2RX1  ERBB2  PRKCA  GRIN2C  ADORA2B  NOS2  GNAL  NFATC1  MCOLN1  CALM3  GRIN2D  PRKCG  HRC  PTGER3  MCOLN2  CASQ2  NTRK1  CACNA1E  ATP2B4  ITPKB  RYR2  PLCB4  PLCG1  ADORA2A  PDGFB  CACNA1I  ADCY3  CALM2  PDE1A  ERBB4  ITPR1  CAMK1  ATP2B2  PLCD1  MST1  CACNA1D  FGFR3  STIM2  KDR  PDGFRA  PPP3CA  TACR3  EGF  CAMK2D  EDNRA  SLC25A4  CAMK4  FGF1  HTR4  PDGFRB  CAMK2A  FGFR4  FLT4  GRM1  PDE1C  EGFR  MET  CHRM2  NOS3  ADRB3  FGFR1  ASPH  ADCY8  CACNA1B  MYLK3  GRIN1  VEGFD  GRPR  PHKA2  PHKA1  ATP2B3  CALML3  HTR7  ADRB1  FGFR2  CCKBR  FGF3  CACNA1C  NOS1  HTR2A  SLC8A3  BDKRB2  CHRNA7  NTRK3  PLCD3  FGF22  TBXA2R  SLC8A2  SPHK2  HTR6  PTAFR  CACNA1S  AVPR1B  CAMK1G  CHRM3  ADRA1D  PLCB1  NFATC2  GNAS  SLC8A1  TACR1  PLCD4  HRH1  CCKAR  VEGFC  F2R  FGF10  GDNF  ADRB2  HRH2  MYLK4  FGF17  ADRA1A  PRKACG  GNA14  GNAQ  ADCY7  ORAI1  DRD5  GRIN2B  ITPR2  FGF16  HTR2C  CHRM5  FGF2  NTRK2  GRIN3A  PDGFC  VEGFA  ADRA1B  SLC25A5  TGFA  CALML5  HTR2B  VDAC3  CAMK2B  CAMK2G  OXTR  CALM1  SPHK1  FGF18  FGF20  CACNA1F  CYSLTR2  PHKG2  TNNC2  VEGFB  PPP3CC  MYLK2  SLC25A31  P2RX3  PLCZ1  CALML6  MST1R  DRD1  FGF9  TRDN  GNA15  FGF7  CD38  VDAC1  LTB4R2  TNNC1  FGF23  FGF6  TPCN2  FGF19"
1.85579113077294e-11,203,220,1.262017620349,"Path:ptr04024 cAMP signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ptr04024"," AMH  GHRL  GCG  AKT3  PLN  ATP2A3  LHCGR  GLI1  BAD  VIPR2  GRIN3B    PRKACA  GIPR  SOX9  MAP2K1  MAPK8  PLCE1  RRAS2  PDE3B  CHRM1  PAK1  DRD2  CREB3L1  ADCY6  RAP1B  PPP1R12A  ATP2B1  ATP2A2  HCAR1  ABCC4  ADCY4  FOS  TSHR  CALML4  SSTR5  ADCY9  ATP2A1  MAPK3  GRIN2A  PLD2  SSTR2  GRIN2C  ACOX1  ROCK1  NFATC1  MC2R  VAV1  FFAR2  AKT2  ATP1A3  CALM3  GRIN2D  MAP2K2  PIK3R3  SLC9A1  PDE4B  PTGER3  GNAI3  ATP1A1  CREB3L4  ATP1A2  ATP1B1  ADORA1  ATP2B4  KCNK2  RYR2  PIK3CD  ATP1A4  MYL9  MAPK1  ADORA2A  PPARA  ADCY3  POMC  PPP1CB  CALM2  RAPGEF4  CREB1  ATP2B2  RAF1  CACNA1D  POPDC2  GHSR  PIK3CA  RHOA  ACOX3  MAPK10  NFKB1  CAMK2D  HHIP  EDNRA  GRIA2  PIK3R1  PDE4D  CAMK4  ARAP3  HTR4  CAMK2A  MAPK9  EDN1  PPP1CC  HTR1B  PDE10A  AFDN  CREB5  GLI3  CHRM2  CRH  CNGB3  ADCY8  GABBR2  CREB3  GRIN1  PTCH1  PDE3A  GRIA3  GPR119  ATP2B3  CALML3  ADRB1  CNGA4  RELA  GRIA4  FXYD2  CACNA1C  RAPGEF3  NFKBIA  SSTR1  PTGER2  GPHB5  HCN4  CREBBP  ADCYAP1  CREB3L3  LHB  RRAS  HTR6  HTR1D  EDN2  ADCY10  CACNA1S  GNAS  EDN3  ROCK2  FSHR  CNGA3  HTR1F  ADCY5  PLD1  SST  F2R  HTR1A  ADRB2  GRIA1  GABBR1  GLP1R  HTR1E  VIP  BVES  GNAI1  PRKACG  VAV2  ADCY7  ORAI1  DRD5  GRIN2B  TIAM1  BDNF  GRIN3A  FSHB  CALML5  CAMK2B  CAMK2G  ATP1B4  OXTR  CALM1  CREB3L2  CACNA1F  AKT1  RAC2  CALML6  GPHA2  DRD1  NPY  PPP1R1B  GNAI2  PDE4A  ATP1B3  OXT  RAC3  FXYD1  TSHB  PDE4C  ATP1B2  GIP"
3.35439606312008e-16,295,320,1.26085196367996,"Path:ptr05165 Human papillomavirus infection","https://www.genome.jp/kegg-bin/show_pathway?ptr05165"," HES3    IKBKG  AKT3  DLG3  ATP6V0B  TUBG2  ATP6V1E2  PPP2CA  CRB3  WNT3A  BAD  GSK3B  COL1A1  WNT7B  LAMB4  PRKACA  HES6  PRKCI  THBS4  CTNNB1  MAP2K1  PTGER4  PATR-B  ITGA8  PARD3  CHUK  TCF7L2  PPP2R5B  FADD  WNT11  ATM  CREB3L1  VWF  ITGB7  ITGA5  ITGA7  STAT2  CDK4  TBK1  OASL  ATP6V0A2  COL4A1  COL4A2  RB1  PPP2R3C  SOS2  TBPL2  PPP2R5E  PALS1  ATP6V1D  PSMC1  PPP2R5C  TRAF3  UBE3A  THBS1  ITGA11  AXIN1  ATP6V0C  MAPK3  TRADD  PARD6A  ATP6V0A1  TUBG1  ITGA2B  NHERF1  ITGB4  ITGA3  COL1A2  TP53  DVL2  LAMA1  LAMA3  APC2  TYK2  NOTCH3  CCNE1  AKT2  MAP2K2  PIK3R3  UBR4  CDC42  COL9A2  PATJ  WNT2B  NOTCH2  DVL1  CREB3L4  THBS3  LAMC1  LAMC2  PPP2R5A  HES2  PIK3CD  MTOR  ITGA10  PARD6B  ATP6V1E1  MAPK1  MFNG  EIF2AK2  ITGB6  ITGA6  ITGAV  STAT1  FZD7  CREB1  FN1  WNT10A  COL4A4  COL4A3  COL6A3  TADA3  RAF1  LAMB2  WNT5A  ATP6V1A  PPP2R3A  PIK3CA  DVL3  HES1  DLG1  PPP2R2C  RBPJ  SPP1  NFKB1  EGF  CCNA2  CASP3  PIK3R1  ITGA1  APC  PPP2R2B  CSNK1A1  PDGFRB  PATR-E  NOTCH4  BAK1  CCND3  PPP2R5D  COL9A1  LAMA4  HDAC2  TBPL1  CREB5  EGFR  RELN  LAMB1  WNT2  ATP6V1B2  PPP2R2A  PPP2CB  EIF4EBP1  HEY1  FZD6  PTK2  LAMC3  TSC1  NOTCH1  NFX1  CREB3  MAGI1  COL4A6  COL4A5  WNT8B  PPP2R2D  HRAS  RELA  DLG2  FZD4  PPP2R1B  TCIRG1  TNFRSF1A  CDKN1B  FZD10  CCNA1  CSNK1A1L  FOXO1  CREBBP  RBL2  TSC2  LLGL1  ITGB3  AXIN2  LLGL2  RPS6KB1  CREB3L3  PPP2R1A  COMP  WNT4  FASLG  TNR  PTGS2  LAMB3  WNT9A  RBPJL  GNAS  ATP6V1B1  ITGA4  FZD5  ITGA9  COL6A5  IBSP  MAML3  TLR3  ITGA2  WNT8A  MAML1  HEY2  LAMA2  LFNG  FZD9  FZD3  IKBKB  ATP6V0D2  PRKACG  ATP6V1G1  IFNB1  IFNA21  IFNA17  IFNA14  IFNA5  IFNA6  IFNA2  IFNA8  KRAS  COL6A2  MX1  TNF  PATR-G  RBL1  VEGFA  GRB2  WNT16  VTN  FAS  TBP  PARD6G  CREB3L2  BCAP31  MAML2  PSEN1  ATP6V1H  ATP6AP1  ATP6V0E1  AKT1  ATP6V1F  ATP6V0D1  MDM2  WNT6  WNT1  TNC  IKBKE  COL6A6  JAK1  ATP6V1G2  TCF7L1  IRF9  ATP6V1C2  COL9A3  TCF7  HEYL  CASP8  HES7  RPS6KB2  CDK6  BAX  RFNG  CHAD  CCND1  IRF3  JAG1  PKM  WNT7A"
2.4355648871882e-10,190,207,1.25538032247182,"Path:ptr04015 Rap1 signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ptr04015"," AKT3  PFN4  SIPA1    FGF8  MAPK11  VASP  INS  ACTB  PRKCI  MAPK14  GNAO1  CTNNB1  MAP2K1  APBB1IP  PARD3  PLCE1  RASGRP2  DRD2  ADCY6  RAP1B  KITLG  FLT1  ADCY4  PRKD1  SIPA1L1  THBS1  PLCB2  CALML4  IGF1R  ADCY9  PRKCB  MAPK3  ITGAM  PARD6A  BCAR1  GRIN2A  ITGA2B  PRKCA  ADORA2B  NGFR  VAV1  INSR  F2RL3  LPAR2  AKT2  CALM3  FPR1  PRKCG  MAP2K2  EPHA2  PIK3R3  RAP1GAP  CDC42  GNAI3  CSF1  MAGI3  SIPA1L2  PIK3CD  PLCB4  SRC  PLCG1  PARD6B  ITGB2  MAPK1  RGL4  ADORA2A  PDGFB  ADCY3  PRKD3  CALM2  RAPGEF4  FARP2  RAF1  PIK3CA  PFN2  RHOA  FGFR3  KDR  KIT  PDGFRA  EGF  RAPGEF2  PIK3R1  FYB1  ARAP3  FGF1  CSF1R  PDGFRB  FGFR4  FLT4  MAPK13  AFDN  RAPGEF5  EGFR  MAGI2  DOCK4  MET  FGFR1  ANGPT1  ADCY8  LPAR1  RAPGEF1  RALGDS  TEK  TLN1  GRIN1  MAGI1  VEGFD  LPAR4  CALML3  FGFR2  HRAS  FGF3  RAPGEF3  ITGB3  MAP2K6  SKAP1  FGF22  SIPA1L3  PRKD2  RRAS  EFNA4  ANGPT4  PLCB1  GNAS  RASGRP3  ADCY5  MRAS  P2RY1  VEGFC  F2R  FGF10  EFNA5  LCP2  RGS14  PFN3  GNAI1  FGF17  GNAQ  VAV2  ADCY7  GRIN2B  KRAS  FGF16  TIAM1  FGF2  LPAR3  PDGFC  VEGFA  ENAH  CALML5  PARD6G  CALM1  FGF18  FGF20  EFNA1  AKT1  EFNA3  IGF1  PGF  VEGFB  ANGPT2  RAC2  CALML6  RAPGEF6  CTNND1  RASSF5  FGF9  GNAI2  FGF7  EVL  ACTG1  MAPK12  RAC3  CRK  FGF23  FGF6  FGF19  FGF4  LPAR5  PFN1  EFNA2"
