"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
8.72810134974235e-11,72,87,1.79234943780861,"Path:ptr04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?ptr04512"," HSPG2  COL1A1  LAMB4  THBS4  ITGA8  ITGB1  VWF  COL2A1  ITGB7  ITGA5  ITGA7  COL4A1  COL4A2  THBS1  ITGA11  ITGA2B  ITGB4  COL1A2  LAMA1  LAMA3  COL9A2  SV2A  THBS3  LAMC1  ITGA10    ITGB6  ITGA6  ITGAV  FN1  COL4A4  COL4A3  COL6A3  LAMB2  ITGB5  FRAS1  SPP1  ITGA1  COL9A1  LAMA4  RELN  LAMB1  CD36  LAMC3  FREM1  COL4A6  COL4A5  FREM2  SV2B  ITGB3  COMP  TNN  TNR  LAMB3  SDC4  ITGA4  ITGA9  COL6A5  IBSP  MEPE  SV2C  ITGA2  LAMA2  COL6A2  HMMR  VTN  DMP1  TNC  COL6A6  COL9A3"
2.06884712149616e-05,36,46,1.77150816527595,"Path:ptr02010 ABC transporters","https://www.genome.jp/kegg-bin/show_pathway?ptr02010"," ABCA2  ABCD3  ABCC2  ABCC8  ABCB9  ABCC4  ABCD4  ABCC1  ABCA8  ABCA5  ABCA7  ABCG1  ABCA12  ABCB6  ABCC10  ABCB1  CFTR  ABCB8  ABCA1  ABCC9  ABCG4  ABCD2  ABCB10  ABCB11  ABCG2  TAP1  ABCC11  ABCB7  ABCA9  ABCA6  ABCB5  ABCA13  ABCC12  ABCA4  TAP2  ABCC3"
1.34645157169254e-07,57,72,1.72300258456006,"Path:ptr00562 Inositol phosphate metabolism","https://www.genome.jp/kegg-bin/show_pathway?ptr00562","   MINPP1  PLCE1  PI4K2A  INPP5F  PIK3C2A  PLCB3  INPPL1  MTMR2  TPI1  MTMR6  PLCB2  PLCG2  INPP5K  MTMR4  PIK3C3  INPP5B  PIP5K1A  PI4KB  PIK3C2B  ITPKB  PLCB4  MTMR3  INPP5J  PIKFYVE  MTMR14  PLCD1  SACM1L  PLCH1  PIK3CA  INPP4B  FIG4  SYNJ2  PIK3CG  MTMR7  PIP5K1B  PIK3C2G  MTMR8  OCRL  MTM1  MTMR1  PTEN  PIP4K2C  ALDH6A1  PLCD3  PLCB1  PI4KA  INPP4A  PLCD4  INPP5D  PIK3CB  PI4K2B  PIP4K2A  PLCZ1  PIP4K2B  INPP5A"
0.000137992427947838,34,44,1.71292654605386,"Path:ptr00970 Aminoacyl-tRNA biosynthesis","https://www.genome.jp/kegg-bin/show_pathway?ptr00970"," CARS1  MARS1  MTFMT  TARS3  AARS1  KARS1  NARS1  FARSA  SARS1  WARS2  EPRS1  IARS2  DARS1  GATB  TARS1  HARS2  LARS1  RARS1  FARS2  VARS1  AARS2  RARS2  QRSL1  GARS1  IARS1  PSTK  NARS2  YARS1  DARS2  FARSB  HARS1  LARS2  QARS1  TARS2"
8.54283323408266e-09,74,95,1.68367353103587,"Path:ptr04070 Phosphatidylinositol signaling system","https://www.genome.jp/kegg-bin/show_pathway?ptr04070"," IMPA1    PLCE1  PI4K2A  INPP5F  PIK3C2A  DGKZ  PLCB3  INPPL1  MTMR2  DGKA  MTMR6  DGKH  PLCB2  PRKCB  PLCG2  PRKCA  MTMR4  PIK3C3  CALM3  PRKCG  PIK3R3  INPP5B  PIP5K1A  PI4KB  PIK3C2B  ITPKB  PLCB4  MTMR3  CALM2  PIKFYVE  DGKD  ITPR1  MTMR14  PLCD1  SACM1L  PIK3CA  DGKG  CDS1  INPP4B  PIK3R1  PPIP5K2  ITPR3  SYNJ2  DGKB  MTMR7  PIP5K1B  PIP4P1  PIK3C2G  MTMR8  OCRL  MTM1  MTMR1  PTEN  PIP4K2C  PLCD3  DGKE  CDS2  PLCB1  PI4KA  INPP4A  PLCD4  INPP5D  PIK3CB  PI4K2B  ITPR2  DGKK  DGKI  CALM1  PIP4K2A  PLCZ1  PIP4K2B  INPP5A"
0.00011509666900039,38,51,1.67514140165562,"Path:ptr03460 Fanconi anemia pathway","https://www.genome.jp/kegg-bin/show_pathway?ptr03460","   BRCA1  BRCA2  FANCM  FAN1  RAD51  FANCI  BLM  TELO2  ERCC4  PALB2  FANCA  RPA1  TOP3A  BRIP1  CENPX  RAD51C  POLI  USP1  UBE2T  FANCL  FANCD2  WDR48  ATR  POLK  POLH  REV3L  FANCG  FANCC  MUS81  RPA3  FANCB  POLN  ATRIP  REV1  MLH1  EME1  FANCE"
7.69493740712811e-05,44,60,1.6333788736365,"Path:ptr00310 Lysine degradation","https://www.genome.jp/kegg-bin/show_pathway?ptr00310"," TMLHE  ALDH2    ASH1L  KMT5B  KMT2A  DLST  PIPOX  EZH1  DOT1L  PRDM16  ALDH9A1  SMYD2  SMYD3  HADHA  SMYD1  SETD2  PLOD2  MECOM  EHHADH  NSD2  HADH  AADAT  PRDM9  ALDH7A1  EHMT2  KMT2E  DLD  NSD3  SUV39H2  BBOX1  SETD1A  COLGALT2  SETMAR  NSD1  AASS  SETD1B  DHTKD1  CAMKMT  HYKK  ACAT2  EZH2"
1.07763931848991e-07,80,108,1.59695704626553,"Path:ptr03013 Nucleocytoplasmic transport","https://www.genome.jp/kegg-bin/show_pathway?ptr03013"," KPNA2  SEH1L    MAGOH  NUP85  UPF2  NUP98  NUP160  NXF1  XPOT  NUP37  NUP58  UPF3A  KPNA3  PNN  XPO6  NUP93  DDX19B  CASC3  EIF4A3  KPNB1  THOC1  TNPO2  UPF1  SRRM1  KPNA6  NDC1  NUP210L  TPR  IPO9  NUP133  AHCTF1  CSE1L  THOC5  XPO1  NUP35  SEC13  NUP210  KPNA1  NMD3  SENP2  NCBP2  TMEM33  NUP54  TNPO1  IPO11  NUP155  PHAX  NUP153  KPNA5  KPNA7  TNPO3  XPO7  NCBP1  GLE1  NUP214  NXF3  THOC2  UPF3B  AAAS  NUP107  XPO4  IPO13  RAE1  KPNA4  XPO5  NUP43  NUP205  THOC7  IPO8  NXT2  RANBP17  IPO5  IPO4  IPO7"
5.04112037790791e-11,139,195,1.55618816929077,"Path:ptr04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?ptr04510"," AKT3  GSK3B  MYLK  COL1A1  DOCK1  LAMB4  VASP  PAK3  THBS4  SHC3  CTNNB1  MAP2K1  ITGA8  ITGB1  MAPK8  VCL  PAK1  BIRC2  VWF  COL2A1  ITGB7  ITGA5  ITGA7  RAP1B  PPP1R12A    FLT1  COL4A1  COL4A2  SOS2  ACTN1  THBS1  SHC4  TLN2  ITGA11  RASGRF1  PRKCB  BCAR1  ERBB2  ITGA2B  PRKCA  ITGB4  COL1A2  LAMA1  MYL12A  ROCK1  LAMA3  VAV1  ACTN4  AKT2  PRKCG  PIK3R3  CDC42  COL9A2  VAV3  PIP5K1A  SHC1  THBS3  LAMC1  ITGA10  MAPK1  PARVG  SOS1  ITGB6  ITGA6  ITGAV  FN1  COL4A4  COL4A3  COL6A3  RAF1  LAMB2  FLNB  ITGB5  PIK3CA  PAK2  KDR  PDGFRA  MAPK10  SPP1  EGF  PIK3R1  ITGA1  DIAPH1  MAPK9  PPP1CC  COL9A1  LAMA4  EGFR  RELN  LAMB1  MET  PTK2  PIP5K1B  LAMC3  RAPGEF1  TLN1  MYLK3  VEGFD  COL4A6  COL4A5  FLNA  PTEN  PDGFD  ARHGAP5  PDPK1  ITGB3  COMP  RAP1A  TNN  TNR  LAMB3  ROCK2  ITGA4  ITGA9  COL6A5  PIK3CB  IBSP  VEGFC  ITGA2  LAMA2  VAV2  ELK1  COL6A2  VTN  AKT1  PGF  RAC1  TNC  COL6A6  COL9A3  CCND2  CCND1  PARVA"
1.07763931848991e-07,91,128,1.55284754720538,"Path:ptr00230 Purine metabolism","https://www.genome.jp/kegg-bin/show_pathway?ptr00230"," ADCY2  ADSL  GUCY1A1  DECR2  ENTPD1    AK4  NUDT5  NT5C2  ADK  RRM1  PDE3B  PDE2A  AMPD3  ADCY6  PDE1B  LACC1  ENTPD5  AK7  PDE8A  ADCY9  NT5M  PFAS  AK2  PGM1  PDE4B  NME7  ADSS2  ENTPD6  RRM2  ADCY3  DGUOK  PDE1A  ATIC  IMPDH2  GMPS  PGM2  DCK  PPAT  PAPSS1  PDE5A  GUCY1B1  PDE8B  PDE4D  PDE6A  GMPR  NT5E  ENPP3  ENPP1  PDE10A  ENTPD4  PDE7A  ADCY8  AK8  AK3  NPR2  PDE3A  PRPS1  GUCY2F  PAPSS2  GUCY1A2  ADSS1  AMPD2  ADCY10  ALLC  XDH  ADCY5  PAICS  NUDT9  RRM2B  GDA  ADCY7  GUCY2C  PDE9A  PRPS2  HPRT1  GUK1  PDE6C  PDE11A  GMPR2  PDE4A  HDDC2  FHIT  PDE7B  AK9  PDE4C  PRUNE1"
