"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
8.70224825045737e-16,72,87,2.17475035939722,"Path:ptr04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?ptr04512"," HSPG2  COL1A1  LAMB4  THBS4  ITGA8  ITGB1  VWF  COL2A1  ITGB7  ITGA5  ITGA7  COL4A1  COL4A2  THBS1  ITGA11  ITGA2B  ITGB4  COL1A2  LAMA1  LAMA3  COL9A2  SV2A  THBS3  LAMC1  ITGA10    ITGB6  ITGA6  ITGAV  FN1  COL4A4  COL4A3  COL6A3  LAMB2  ITGB5  FRAS1  SPP1  ITGA1  COL9A1  LAMA4  RELN  LAMB1  CD36  LAMC3  FREM1  COL4A6  COL4A5  FREM2  SV2B  ITGB3  COMP  TNN  TNR  LAMB3  SDC4  ITGA4  ITGA9  COL6A5  IBSP  MEPE  SV2C  ITGA2  LAMA2  COL6A2  HMMR  VTN  DMP1  TNC  COL6A6  COL9A3"
3.44175258353149e-11,57,72,2.08036015282616,"Path:ptr00562 Inositol phosphate metabolism","https://www.genome.jp/kegg-bin/show_pathway?ptr00562","   MINPP1  PLCE1  PI4K2A  INPP5F  PIK3C2A  PLCB3  INPPL1  MTMR2  TPI1  MTMR6  PLCB2  PLCG2  INPP5K  MTMR4  PIK3C3  INPP5B  PIP5K1A  PI4KB  PIK3C2B  ITPKB  PLCB4  MTMR3  INPP5J  PIKFYVE  MTMR14  PLCD1  SACM1L  PLCH1  PIK3CA  INPP4B  FIG4  SYNJ2  PIK3CG  MTMR7  PIP5K1B  PIK3C2G  MTMR8  OCRL  MTM1  MTMR1  PTEN  PIP4K2C  ALDH6A1  PLCD3  PLCB1  PI4KA  INPP4A  PLCD4  INPP5D  PIK3CB  PI4K2B  PIP4K2A  PLCZ1  PIP4K2B  INPP5A"
1.09720891134245e-13,74,95,2.04693608388879,"Path:ptr04070 Phosphatidylinositol signaling system","https://www.genome.jp/kegg-bin/show_pathway?ptr04070"," IMPA1    PLCE1  PI4K2A  INPP5F  PIK3C2A  DGKZ  PLCB3  INPPL1  MTMR2  DGKA  MTMR6  DGKH  PLCB2  PRKCB  PLCG2  PRKCA  MTMR4  PIK3C3  CALM3  PRKCG  PIK3R3  INPP5B  PIP5K1A  PI4KB  PIK3C2B  ITPKB  PLCB4  MTMR3  CALM2  PIKFYVE  DGKD  ITPR1  MTMR14  PLCD1  SACM1L  PIK3CA  DGKG  CDS1  INPP4B  PIK3R1  PPIP5K2  ITPR3  SYNJ2  DGKB  MTMR7  PIP5K1B  PIP4P1  PIK3C2G  MTMR8  OCRL  MTM1  MTMR1  PTEN  PIP4K2C  PLCD3  DGKE  CDS2  PLCB1  PI4KA  INPP4A  PLCD4  INPP5D  PIK3CB  PI4K2B  ITPR2  DGKK  DGKI  CALM1  PIP4K2A  PLCZ1  PIP4K2B  INPP5A"
1.0732493266546e-12,80,108,1.94653581550986,"Path:ptr03013 Nucleocytoplasmic transport","https://www.genome.jp/kegg-bin/show_pathway?ptr03013"," KPNA2  SEH1L    MAGOH  NUP85  UPF2  NUP98  NUP160  NXF1  XPOT  NUP37  NUP58  UPF3A  KPNA3  PNN  XPO6  NUP93  DDX19B  CASC3  EIF4A3  KPNB1  THOC1  TNPO2  UPF1  SRRM1  KPNA6  NDC1  NUP210L  TPR  IPO9  NUP133  AHCTF1  CSE1L  THOC5  XPO1  NUP35  SEC13  NUP210  KPNA1  NMD3  SENP2  NCBP2  TMEM33  NUP54  TNPO1  IPO11  NUP155  PHAX  NUP153  KPNA5  KPNA7  TNPO3  XPO7  NCBP1  GLE1  NUP214  NXF3  THOC2  UPF3B  AAAS  NUP107  XPO4  IPO13  RAE1  KPNA4  XPO5  NUP43  NUP205  THOC7  IPO8  NXT2  RANBP17  IPO5  IPO4  IPO7"
3.24275414876762e-19,139,195,1.87316638861756,"Path:ptr04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?ptr04510"," AKT3  GSK3B  MYLK  COL1A1  DOCK1  LAMB4  VASP  PAK3  THBS4  SHC3  CTNNB1  MAP2K1  ITGA8  ITGB1  MAPK8  VCL  PAK1  BIRC2  VWF  COL2A1  ITGB7  ITGA5  ITGA7  RAP1B  PPP1R12A    FLT1  COL4A1  COL4A2  SOS2  ACTN1  THBS1  SHC4  TLN2  ITGA11  RASGRF1  PRKCB  BCAR1  ERBB2  ITGA2B  PRKCA  ITGB4  COL1A2  LAMA1  MYL12A  ROCK1  LAMA3  VAV1  ACTN4  AKT2  PRKCG  PIK3R3  CDC42  COL9A2  VAV3  PIP5K1A  SHC1  THBS3  LAMC1  ITGA10  MAPK1  PARVG  SOS1  ITGB6  ITGA6  ITGAV  FN1  COL4A4  COL4A3  COL6A3  RAF1  LAMB2  FLNB  ITGB5  PIK3CA  PAK2  KDR  PDGFRA  MAPK10  SPP1  EGF  PIK3R1  ITGA1  DIAPH1  MAPK9  PPP1CC  COL9A1  LAMA4  EGFR  RELN  LAMB1  MET  PTK2  PIP5K1B  LAMC3  RAPGEF1  TLN1  MYLK3  VEGFD  COL4A6  COL4A5  FLNA  PTEN  PDGFD  ARHGAP5  PDPK1  ITGB3  COMP  RAP1A  TNN  TNR  LAMB3  ROCK2  ITGA4  ITGA9  COL6A5  PIK3CB  IBSP  VEGFC  ITGA2  LAMA2  VAV2  ELK1  COL6A2  VTN  AKT1  PGF  RAC1  TNC  COL6A6  COL9A3  CCND2  CCND1  PARVA"
1.09401837475245e-12,91,128,1.8682181635577,"Path:ptr00230 Purine metabolism","https://www.genome.jp/kegg-bin/show_pathway?ptr00230"," ADCY2  ADSL  GUCY1A1  DECR2  ENTPD1    AK4  NUDT5  NT5C2  ADK  RRM1  PDE3B  PDE2A  AMPD3  ADCY6  PDE1B  LACC1  ENTPD5  AK7  PDE8A  ADCY9  NT5M  PFAS  AK2  PGM1  PDE4B  NME7  ADSS2  ENTPD6  RRM2  ADCY3  DGUOK  PDE1A  ATIC  IMPDH2  GMPS  PGM2  DCK  PPAT  PAPSS1  PDE5A  GUCY1B1  PDE8B  PDE4D  PDE6A  GMPR  NT5E  ENPP3  ENPP1  PDE10A  ENTPD4  PDE7A  ADCY8  AK8  AK3  NPR2  PDE3A  PRPS1  GUCY2F  PAPSS2  GUCY1A2  ADSS1  AMPD2  ADCY10  ALLC  XDH  ADCY5  PAICS  NUDT9  RRM2B  GDA  ADCY7  GUCY2C  PDE9A  PRPS2  HPRT1  GUK1  PDE6C  PDE11A  GMPR2  PDE4A  HDDC2  FHIT  PDE7B  AK9  PDE4C  PRUNE1"
1.20697573234006e-20,159,227,1.84063397708895,"Path:ptr04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?ptr04820"," TPM4  HSPG2  COL11A2  INF2  COL1A1  COL5A1  SYNE3  THBS4  ITGA8  ITGB1  ANK3  VCL  ANKRD1  PDLIM1  ANKRD2  MYBPC3  SPTBN2  AMPD3  FMNL3  ITGB7  ITGA5  ITGA7  MYBPC1  COL4A1  COL4A2  DIAPH3  MYH6  ACTC1  THBS1  TLN2  TPM1  ITGA11  MYH11  JUP  ITGA2B  ITGB4  MYH3  MYH2  MYH8  MYH10  COL1A2  LAMA1  MYOM1  DSC2  DSG2  DTNA  COL5A3  SPTBN4  ATP1A3  COL9A2  COL24A1  COL11A1  CAPZA1  ATP1A1  TMOD4  THBS3  LMNA  ATP1A2  ATP1B1  TNNT2  CSRP1  LBR  OBSCN  ENO1  ITGA10  TPM3  ATP1A4  SUN2  SPTBN1  FHL2  NEB  FMNL2  ITGB6  XIRP2  ITGA6  TTN  ITGAV  COL3A1  COL5A2  FN1  COL4A4  COL4A3  COL6A3  MYH15  ITGB5  SGCB  PDLIM5  ANK2  ITGA1  LMNB1  PDLIM4  MYOT  DIAPH1  DSP  DAAM2  COL9A1  SYNE1    SGCE  LMOD2  FLNC  TRIM55  TMOD1  COL27A1  SPTAN1  TLN1  DMD  COL4A6  COL4A5  MYPN  NRAP  TNNI2  ACTN3  DAAM1  TMOD2  TMOD3  ITGB3  MYH4  MYH13  LMNB2  MYH14  COMP  ACTN2  TRIM63  AMPD2  SDC4  MYH9  ITGA4  DES  ITGA9  COL6A5  ITGA2  LAMA2  MYOM2  SGCZ  DIAPH2  COL6A2  VIM  LMOD3  CAPZA2  FMNL1  ATP1B4  ACTG2  NEBL  SPTBN5  TRIM54  COL6A6  SGCG  MYH7B  COL9A3  MYH1  TNNC1  SYNE2  ATP1B3  TNNT3  MYBPC2"
5.7259782047236e-09,68,98,1.82338763126332,"Path:ptr04974 Protein digestion and absorption","https://www.genome.jp/kegg-bin/show_pathway?ptr04974"," COL11A2  COL1A1  COL5A1  COL7A1  COL13A1  KCNQ1  SLC3A2  PRCP  SLC38A2  COL2A1  CPB2  COL4A1  COL4A2  SLC7A7  COL1A2  COL5A3  ATP1A3  KCNN4  COL16A1  COL9A2  COL24A1  COL11A1  ATP1A1  ATP1A2  ATP1B1  ATP1A4  SLC3A1  DPP4  COL3A1  COL5A2  COL4A4  COL4A3  COL6A3  CPB1  MME  COL25A1  SLC36A2  KCNK5  COL9A1  COL12A1  SLC16A10  COL28A1    COL14A1  COL22A1  COL15A1  COL27A1  COL4A6  COL4A5  XPNPEP2  SLC36A4  SLC15A1  CELA2B  SLC8A1  COL6A5  CPA3  SLC36A1  COL19A1  COL18A1  COL6A2  ATP1B4  COL20A1  CPA2  SLC7A9  COL6A6  COL9A3  ATP1B3  PRSS3"
7.61025425998288e-14,110,159,1.81799099750449,"Path:ptr04110 Cell cycle","https://www.genome.jp/kegg-bin/show_pathway?ptr04110"," TRIP13  PPP2CA  GSK3B  CCNB3    CDK1  WAPL  SMC3  BUB3  ATM  ESPL1  CDK4  ANAPC5  PDS5B  CDC16  RB1  PPP2R5E  TGFB3  PPP2R5C  KNL1  CCNB2  TICRR  E2F4  YWHAE  DBF4B  CDC27  TP53  NDC80  SMAD2  MAU2  CCNE1  TGFB1  CDC20  ORC1  CDC14A  PPP2R5A  MAD2L2  CDC25B  PCNA  YWHAB  CDC45  CHEK2  MCM5  EP300  SMC1B  ANAPC1  BUB1  ORC4  ORC2  CDC25A  MCM2  STAG1  TFDP2  ATR  ANAPC4  CCNA2  CCNB1  NIPBL  SKP1  CDC23  PTTG1  CDK7  PPP2R5D  MCM3  TTK  ORC3  HDAC2  FBXO5  ORC5  WEE2  PPP2CB  PRKDC  CCNE2  RAD21  MTBP  ANAPC2  CDC14B  DDX11  HDAC8  WEE1  PPP2R1B  ANAPC7  CCNA1  CREBBP  RBL2  ESCO1  SMAD4  FZR1  PPP2R1A  CDC7  PDS5A  E2F3  MCM7  MCM4  ESCO2  SMC1A  STAG2  RBL1  CCNH  ANAPC10  CHEK1  MCM6  MDM2  CDC25C  CDK6  CCND2  CCND1"
5.7259782047236e-09,78,117,1.75188223395887,"Path:ptr04660 T cell receptor signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ptr04660"," IKBKG  AKT3    PPP2CA  GSK3B  MAPK11  IFNG  PAK3  MAPK14  MAP2K1  PRKCQ  MAP3K8  MAPK8  CHUK  PAK1  CDK4  PPP2R3C  SOS2  PPP2R5E  FOS  PPP2R5C  RASGRP1  NFATC3  NFATC1  VAV1  AKT2  MAP2K2  PIK3R3  CDC42  LCK  BCL10  VAV3  PTPRC  PPP2R5A  MAPK1  SOS1  ZAP70  RAF1  CBLB  PPP2R3A  PIK3CA  PAK2  DLG1  TEC  MAPK10  PPP3CA  NFKB1  IL2  PIK3R1  PPP2R2B  MAPK9  MAPK13  PPP2R5D  NFKBIE  MAP3K7  CARD11  PPP2R2A  PPP2CB  PPP2R2D  PPP2R1B  NFKBIA  PDPK1  MALT1  PPP2R1A  IL10  NFATC2  PIK3CB  LCP2  IKBKB  VAV2  CD40LG  ITK  AKT1  PPP3CC  IL5  GRAP2  PTPN6  CD247"
