"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.92600639450543e-09,110,119,1.37270003968808,"Path:nle04152 AMPK signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04152"," FBP2  RAB2A  PCK2  PIK3CD  RAB11B  PPARG  PRKAA2  PFKFB3  ULK1  PPP2R2C  PPP2R2A  PCK1  IRS2  ADRA1A  PPP2R2B  G6PC3  PPP2CB  PFKFB2  PPP2R2D  CREB1    CAB39  AKT1  TSC1  RPTOR  PFKM  SLC2A4  PIK3CA  STRADA  ACACA  IRS4  CPT1A  PPARGC1A  CAMKK2  MLYCD  CPT1B  PIK3R3  SREBF1  EEF2K  RAB10  PFKFB4  PPP2R5E  IGF1R  CAB39L  HNF4A  RAB8A  RPS6KB1  MTOR  FOXO1  CCNA1  STRADB  PRKAA1  CREB3L2  ADIPOR1  MAP3K7  PPP2CA  PRKAB2  PPP2R3C  HMGCR  INSR  CD36  CRTC2  CREB3  ADIPOR2  FBP1  RHEB  PPP2R1A  PRKAG2  ADIPOQ  PPP2R3A  CREB5  PPP2R5D  FOXO3  PPP2R5C  CIDEA  TBC1D1  PFKP  SCD  STK11  PPP2R5B  LEPR  CREB3L4  AKT3  PPP2R1B  SIRT1  PPP2R5A  CCND1  PIK3R1  PFKFB1  AKT1S1  PRKAG3  RPS6KB2  ACACB  PRKAG1  RAB14  G6PC1  G6PC2  IRS1  ELAVL1  GYS2  CCNA2  TSC2"
2.11593320216631e-08,103,112,1.36568055084876,"Path:nle04668 TNF signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04668"," MAP3K8  BIRC3  TNFRSF1B  EDN1  TAB3  BIRC2  FAS  MAPK11  PIK3CD  LTA  CCL20  NFKB1  MAPK9  TNFRSF1A  RHBDF2  CX3CL1  ATF2  RHBDF1  MMP3  SELE  DNM1L  TNF  VCAM1    CASP3  CASP10  FOS  CASP8  CREB1  AKT1  MAP2K7  TAB1  MAP3K5  IL1B  MAP2K4  MMP9  CXCL5  IKBKB  IL18R1  PIK3CA  RELA  MAP2K3  RIPK3  CFLAR  CSF1  PGAM5  TRAF2  NOD2  JAG1  PTGS2  CYLD  PIK3R3  DAB2IP  CSF2  ICAM1  MAPK13  VEGFC  CREB3L2  CHUK  MAP3K7  IRF1  RPS6KA5  BCL3  XIAP  CREB3  TAB2  BAG4  ATF6B  IL15  CCL5  JUNB  IFNB1  CXCL10  RIPK1  NFKBIA  ITCH  RPS6KA4  CREB5  TNFAIP3  MAPK14  MAPK1  TRAF5  VEGFD  MAPK10  LIF  CREB3L4  AKT3  ADAM17  MAPK8  PIK3R1  TRAF1  TRAF3  MMP14  FADD"
1.62067251434781e-07,123,139,1.3140752440101,"Path:nle05224 Breast cancer-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05224"," WNT7B  FZD2  ESR1  BRCA1  FGF7  HEY1  PIK3CD  RAF1  BRAF  FLT4  CTNNB1  DVL3  TP53  GADD45A  E2F2  FRAT2    NOTCH2  APC  DVL2  FGF16  FOS  SP1  WNT8A  LRP6  NCOA1  HEY2  AKT1  WNT1  NCOA3  DLL4  PIK3CA  FZD4  LRP5  GRB2  BAK1  RB1  JAG2  EGF  FZD5  MYC  FZD3  NOTCH3  NFKB2  FGF10  JAG1  PIK3R3  SHC4  MAP2K2  FGF17  FZD9  DLL3  LEF1  DVL1  IGF1R  GADD45G  KRAS  RPS6KB1  E2F3  MTOR  WNT11  CDK4  ESR2  HRAS  CSNK1A1  EGFR  FZD7  FGF22  POLK  FGF8  WNT3  TNFSF11  WNT2  SOS2  MAPK1  E2F1  TCF7L1  BRCA2  ERBB2  FGF9  WNT5A  APC2  FGFR1  NOTCH1  CDK6  HEYL  FGF1  WNT8B  FGF20  FZD6  KIT  AKT3  DDB2  WNT16  FGF23  FGF6  CCND1  PIK3R1  SHC1  RPS6KB2  WNT9A  DLL1  WNT6  WNT3A  FGF19  GSK3B  WNT10A  FZD10  WNT2B"
1.58371578767035e-14,250,283,1.31184793384903,"Path:nle04010 MAPK signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04010"," MAP2K1  MAP3K8  HSPA6  MAPKAPK2    NTF3  FAS  MAPK11  FGF7  TGFB1  ANGPT1  MRAS  NFKB1  MAPK9  TNFRSF1A  PPM1A  EFNA4  FGFR4  RAF1  ATF2  BRAF  MAPKAPK5  FLT4  EFNA3  MAP3K6  TP53  DUSP5  PPP3CA  PPP5C  PTPRR  PDGFA  GADD45A  TNF  RASGRP1  GNG12  EFNA1  CACNA1B  CASP3  MEF2C  NTRK1  DUSP9  PDGFC  FGF16  IGF2  FOS  NRTN  HGF  IL1R1  PDGFB  MKNK1  AKT1  MAP2K7  TAB1  MAP3K5  MAP3K13  IL1B  CACNA1I  MAP2K4  KITLG  PLA2G4C  IKBKB  MAP3K11  LAMTOR3  DUSP10  CACNA1G  RELA  GRB2  DUSP16  CACNB3  MAP2K3  PAK1  DUSP6  EGF  FLT3  MYC  DUSP8  MAP3K9  CACNA1S  EREG  MAP2K5  CACNG3  AREG  CSF1  ERBB3  FLT1  MAP4K1  CACNA1F  RPS6KA3  RASGRF2  TRAF2  NFKB2  FGF10  PRKCB  RASGRP4  MAP4K3  CACNG4  TGFB3  PLA2G4A  EPHA2  ANGPT2  MECOM  PRKCA  MAP2K2  FGF17  GNA12  PLA2G4B  DUSP4  PPP3R1  PLA2G4E  ANGPT4  IGF1R  RELB  RAP1B  GADD45G  CACNG2  PLA2G4D  KRAS  PLA2G4F  NLK  RAPGEF2  CACNA2D2  CACNA2D1  RASA2  HRAS  TAOK1  MAPK13  MAP3K21  CRKL  VEGFC  ELK1  TGFB2  CHUK  MAP3K7  MAP3K12  MET  MAPK8IP3  EGFR  FLNA  INSR  FASLG  RPS6KA5  MAPKAPK3  PDGFRB  TAB2  RASGRF1  PPP3CC  FGF22  FGFR2  MYD88  RAC2  ERBB4  SRF  FGF8  ARRB1  MAPK7  CSF1R  NFATC1  STK4  VEGFB  ARRB2  RPS6KA4  DDIT3  MAPK14  TAOK3  SOS2  MAPK1  CACNA1D  PAK2  VEGFA  MAPT  PRKCG  CACNA2D3  ERBB2  MAX  MAP3K3  MAP4K4  MAP3K2  VEGFD  FGF9  MAPK10  RET  RAC3  MAP3K4  FGFR1  IRAK4  RRAS  FGF1  PDGFRA  FGF20  CACNG8  MAP3K20  RASGRP3  RASGRP2  KIT  CACNG7  NF1  AKT3  CACNG6  RAC1  KDR  RRAS2  TAOK2  CDC42  MAPK8  CD14  NTRK2  CACNG1  FGF23  NFATC3  CACNG5  FGF6  RPS6KA1  RPS6KA2  NR4A1  MAP3K1  EFNA5  TGFBR2  FGF19  TEK  CACNA1E  TGFA  TRADD"
2.00212983550479e-10,198,227,1.29529668943254,"Path:nle04014 Ras signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04014"," MAP2K1  PAK5    GNG3  NTF3  RALGAPB  FGF7  PIK3CD  RASA3  ANGPT1  MRAS  NFKB1  MAPK9  GAB2  RGL1  RGL2  EFNA4  FGFR4  RAF1  TBK1  FLT4  EFNA3  GNB1  PLA2G1B  PDGFA  RASGRP1  GNG12  CALML6  GRIN2A  EFNA1  RASAL2  SHOC2  NTRK1  PDGFC  FGF16  RAPGEF5  RAB5A  IGF2  PLA2G3  HGF  FOXO4  PDGFB  AKT1  KITLG  PLA2G4C  IKBKB  SYNGAP1  PIK3CA  RELA  GRB2  PAK1  ABL2  EGF  FLT3  GNB4  RALGDS  ZAP70  KSR1  CSF1  FLT1  GNB2  RASGRF2  EXOC2  FGF10  PRKCB  RASGRP4  PLA2G12A  PIK3R3  PLA2G4A  PLCG1  EPHA2  ANGPT2  SHC4  PRKCA  MAP2K2  FGF17  PLA2G4B  GNGT1  PAK3  PLAAT2  RASSF1  PLAAT3  RALB  BRAP  PLA2G4E  ANGPT4  IGF1R  GNG11  RAP1B  PLA2G4D  KRAS  PLA2G4F  GRIN2B  GNB5  RASA2  HRAS  PLA2G2E  BCL2L1  CALM1  PLA2G2A  VEGFC  ELK1  CHUK  PLA2G5  GNB3  PLA2G2D  MET  EGFR  PAK4  INSR  FASLG  PDGFRB  KSR2  RASGRF1  FGF22  FGFR2  RAC2  FGF8  CSF1R  STK4  VEGFB  PLA2G12B  PLCE1  SOS2  MAPK1  RALBP1  ABL1  PAK2  VEGFA  PRKCG  PLD2  REL  VEGFD  FGF9  MAPK10  RAC3  CALM3  FGFR1  PTPN11  RRAS  PLA1A  FGF1  PDGFRA  FGF20  RASAL1  RASGRP3  RASGRP2  KIT  NF1  PLCG2  AKT3  RAC1  KDR  RRAS2  PLA2G6  CDC42  MAPK8  TIAM1  NTRK2  FGF23  PLD1  LAT  ETS2  FGF6  RALGAPA1  PIK3R1  RALGAPA2  SHC1  ETS1  EFNA5  FGF19  TEK  RASSF5  GRIN1  TGFA  CALML3  RAB5C  GNG7  GNG8  GNG13"
5.11825332933585e-07,132,152,1.28961556360169,"Path:nle04390 Hippo signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04390"," BIRC3  MOB1B  FZD2    BIRC2  TGFB1  DLG5  CTNNB1  PPP2R2C  DVL3  SMAD3  PPP2R2A  BMPR1A  DLG3  PPP2R2B  ID1  SNAI2  AFP  DLG4  PPP2CB  APC  DVL2  RASSF6  PPP2R2D  PRKCZ  CCND2  WNT8A  BMP4  BMP2  PARD6A  PPP1CB  WNT1  SERPINE1  PALS1  FZD4  FZD5  MYC  TP53BP2  NKD1  SMAD2  FZD3  AREG  DLG2  PATJ  TGFB3  WWTR1  FZD9  YWHAH  SMAD7  PARD3  RASSF1  LEF1  DVL1  CTNNA1  GLI2  LLGL1  WNT11  LATS2  BMPR1B  TGFB2  PPP2CA  PARD6B  SOX2  TEAD2  FZD7  ACTG1  YWHAB  PPP2R1A  NF2  AMOT  WNT3  SMAD4  BMPR2  PRKCI  LATS1  TEAD1  ITGB2  WNT2  YWHAE  TEAD4  TCF7L1  CRB1  WNT5A  APC2  BMP5  ID2  FGF1  WNT8B  WWC1  FZD6  DLG1  SAV1  GDF6  CCN2  CSNK1D  GDF5  PPP2R1B  WNT16  PPP1CC  LIMD1  CCND1  BMP7  WNT9A  CTNNA3  WNT6  WNT3A  TGFBR2  GSK3B  GDF7  SCRIB  WNT10A  CSNK1E  FZD10  FRMD6  WNT2B  LLGL2  AXIN1"
1.80369386681169e-07,144,166,1.28820306024616,"Path:nle04310 Wnt signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04310"," LZTS2  WNT7B    FZD2  CUL1  CAMK2D  SERPINF1  MMP7  CTNNBIP1  MAPK9  CTNND2  RSPO2  SFRP1  CTNNB1  DVL3  SMAD3  TP53  TBL1XR1  SIAH1  PPP3CA  TLE6  FRAT2  PPARD  ROCK2  LGR5  APC  DVL2  CCND2  WNT8A  LGR4  PSEN1  LRP6  CER1  WNT1  ROR2  CSNK2A2  FZD4  LRP5  MCC  PRICKLE2  DKK4  FZD5  MYC  SENP2  NKD1  CSNK2B  FZD3  RSPO3  SOST  PRKCB  SOX17  RYK  PRKCA  LGR6  CAMK2B  SFRP4  FZD9  LEF1  DVL1  PPP3R1  NLK  INVS  DAAM2  ZNRF3  PORCN  WNT11  VANGL1  TLE3  DKK2  CSNK1A1  CCN4  WIF1  RBX1  MAP3K7  RSPO1  TLE1  CREBBP  CAMK2G  PLCB1  FZD7  PPP3CC  ROR1  RAC2  DKK1  NFATC1  CCAR2  WNT3  SMAD4  NFATC2  WNT2  PLCB4  APCDD1L  PRKCG  TCF7L1  WNT5A  APC2  MAPK10  RAC3  CTBP1  WNT8B  APCDD1  NFATC4  FZD6  RUVBL1  RAC1  MAPK8  WNT16  SFRP2  SIRT1  NFATC3  CCND1  PRICKLE1  TBL1X  BAMBI  WNT9A  PLCB2  WNT6  WNT3A  GSK3B  RNF43  WNT10A  CSNK1E  DAAM1  FZD10  WNT2B  AXIN1  PRICKLE4"
4.65435016542577e-12,263,306,1.27633372377058,"Path:nle05165 Human papillomavirus infection-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05165"," MAP2K1  WNT7B    THBS2  ATP6V0D2  FZD2  FAS  VWF  HEY1  PIK3CD  IBSP  ATP6V1B1  LAMA5  LAMB4  MAGI1  NFKB1  TNR  LAMB1  TNFRSF1A  LAMC2  ATP6V0C  RAF1  TBK1  CTNNB1  PPP2R2C  DVL3  PPP2R2A  TP53  IFNAR1  ATP6V0D1  TCIRG1  LAMA2  DLG3  TNF  PPP2R2B  COL4A2  NOTCH2  CASP3  STAT2  PPP2CB  APC  DVL2  TBPL1  PPP2R2D  PRKCZ  CCND2  UBE3A  WNT8A  CASP8  PSEN1  PARD6A  HES7  CREB1  HEY2  AKT1  TSC1  ATP6V1D  COL4A6  WNT1  ITGA1  LAMA4  OASL  PXN  ATP6V1H  PALS1  IKBKB  JAK1  PIK3CA  COL4A5  FZD4  RELA  GRB2  BAK1  RB1  ITGA2  THBS4  TICAM1  EGF  FZD5  ITGB8  ITGA11  ATP6V1B2  FZD3  ITGB7  LFNG  COL6A3  NOTCH3  NFX1  DLG2  ITGA10  JAG1  HDAC1  ATP6V1A  PTGS2  PIK3R3  PATJ  LAMB2  HDAC2  MAP2K2  LAMA1  BCAP31  FZD9  PPP2R5E  PARD3  LAMB3  THBS3  DVL1  RELN  TLR3  ATP6V1E1  TBPL2  KRAS  ITGB3  RPS6KB1  ATP6AP1  PTGER4  MTOR  SPP1  FOXO1  LLGL1  CCNA1  CRB3  WNT11  CDK4  ATP6V1F  HRAS  CSNK1A1  ITGA9  COL1A2  CREB3L2  TADA3  ATP6V1G1  CHUK  IFNA6  STAT1  ITGA3  PPP2CA  MX1  IRF1  CREBBP  PARD6B  MAML3  EGFR  PPP2R3C  TNXB  FZD7  FASLG  CREB3  PDGFRB  RHEB  ATP6V0A4  COL6A5  TNC  ATP6V0A2  MX2  COL4A3  PPP2R1A  IFNB1  RBL1  UBR4  WNT3  MFNG  PRKCI  IFNAR2  PPP2R3A  CREB5  PPP2R5D  COL6A6  WNT2  SOS2  MAPK1  PPP2R5C  E2F1  FN1  ITGA2B  VEGFA  MDM2  TCF7L1  COL9A1  ITGB6  LAMA3  WNT5A  LAMC3  APC2  CCNE2  TUBG1  NOTCH1  CDK6  IRF9  PPP2R5B  COL6A2  HEYL  ITGA4  ATP6V0A1  WNT8B  CREB3L4  TUBG2  FZD6  COL4A1  DLG1  THBS1  COL1A1  AKT3  ITGAV  IKBKE  CDC42  PPP2R1B  WNT16  COL9A2  PPP2R5A  CCND1  PIK3R1  TRAF3  RPS6KB2  WNT9A  WNT6  WNT3A  GSK3B  ITGA5  ITGB4  SCRIB  LAMC1  WNT10A  FADD  TRADD  CCNE1  FZD10  TBP  MAML1  WNT2B  TERT  LLGL2  AXIN1  CCNA2  RBPJ  CHAD  TSC2"
8.3492121254065e-08,172,201,1.27075641846837,"Path:nle04015 Rap1 signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04015"," SIPA1  ADCY5  MAPK11  FGF7  PIK3CD  ANGPT1  MRAS  MAGI1  VAV2  EFNA4  FGFR4    RAF1  SIPA1L2  BRAF  FLT4  CTNNB1  EFNA3  GNAI3  PDGFA  MAGI3  ID1  CALML6  GRIN2A  EFNA1  FARP2  PFN4  CTNND1  P2RY1  RGS14  PDGFC  FGF16  RAPGEF5  PRKCZ  PFN3  HGF  PARD6A  PDGFB  ADCY3  LPAR5  ADCY7  AKT1  KITLG  LPAR4  PIK3CA  MAP2K3  EGF  GNAI2  RALGDS  ADCY6  LPAR1  DRD2  CSF1  FLT1  LPAR3  SIPA1L1  FGF10  PRKCB  PIK3R3  RAPGEF6  PLCG1  EPHA2  ANGPT2  PRKCA  MAP2K2  FGF17  RAPGEF3  FYB1  ADCY8  PARD3  TLN1  RALB  ANGPT4  IGF1R  RAP1B  KRAS  ITGB3  PRKD1  GRIN2B  RAPGEF2  GNAQ  HRAS  MAPK13  CALM1  CRKL  VEGFC  PLCB1  PARD6B  VASP  MET  EGFR  LCP2  INSR  PDGFRB  FGF22  ARAP3  FGFR2  ACTG1  RAC2  APBB1IP  BCAR1  FGF8  CSF1R  VEGFB  ADCY9  PRKCI  PLCE1  GNAO1  MAPK14  ITGAL  ITGB2  ADORA2B  PLCB4  MAPK1  ITGA2B  VEGFA  PRKCG  VEGFD  FGF9  RAC3  SRC  CALM3  FGFR1  RRAS  RAPGEF4  RAP1GAP  RAPGEF1  FGF1  PDGFRA  FGF20  RASGRP3  RASGRP2  THBS1  KIT  ITGAM  AKT3  RAC1  KDR  DOCK4  GNAI1  SKAP1  CDC42  TIAM1  FGF23  LAT  FGF6  PIK3R1  EVL  PLCB2  EFNA5  FGF19  TEK  RASSF5  GRIN1  F2R  CALML3"
5.66482930189113e-08,184,216,1.26501010391457,"Path:nle04024 cAMP signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04024"," ATP1B1  EDN3  MAP2K1  GPR119    EDN1  CAMK2D  ADCY5  PIK3CD  PTGER2  SLC9A1  ADCYAP1  NFKB1  MAPK9  PTCH1  HTR1E  VIP  VAV2  ATP2A1  CNGB3  RAF1  BVES  BRAF  DRD1  EDNRA  ATP1B2  GIP  PDE3A  LHCGR  GNAI3  CAMK4  FSHR  ATP2B3  CALML6  GRIN2A  ROCK2  ATP1A2  FOS  ROCK1  CREB1  CHRM1  ADCY3  ATP2A3  ADCY7  PDE4D  AKT1  PPP1CB  GRIA2  EDN2  PIK3CA  RELA  PAK1  GNAI2  HTR1B  ADCY6  CACNA1S  GLI3  DRD2  CNGA2  GRIA4  CACNA1F  HTR1F  ACOX3  ATP2B1  PIK3R3  GABBR2  CNGA3  ATP1B4  MAP2K2  HTR4  CAMK2B  OXTR  RAPGEF3  ABCC4  ADCY8  CRH  SOX9  CHRM2  TSHB  MYL9  RAP1B  PTGER3  GRIN2B  POMC  CNGA4  CALM1  ACOX1  CREB3L2  HTR1A  PDE4A  ATP1A1  CREBBP  CAMK2G  ATP2A2  CNGA1  CREB3  ARAP3  RAC2  RYR2  NFATC1  GLI1  FSHB  NFKBIA  ADORA1  ADCY9  PLCE1  CREB5  GRIN3B  PPP1R1B  HTR6  MAPK1  CACNA1D  FFAR2  PLD2  ADCY10  KCNK2  GHRL  MAPK10  RAC3  CALM3  PPARA  CRHR2  RRAS  RAPGEF4  HHIP  SST  CREB3L4  ATP2B4  ADCYAP1R1  POPDC2  PLN  ATP1A3  AKT3  RAC1  GNAI1  RRAS2  GRIA1  PDE4B  SSTR2  MAPK8  TIAM1  PPP1CC  PLD1  NPY  PIK3R1  GCG  ADRB1  GPHA2  GLP1R  OXT  GRIN2C  GRIN3A  TSHR  GRIN1  F2R  GHSR  CALML3  CNGB1  FXYD2"
