"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.35929894624069e-09,73,89,1.67630065570246,"Path:nle04512 ECM-receptor interaction-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04512"," THBS2  TNN  DSPP  VWF  IBSP  LAMA5  MEPE  LAMB4  TNR  LAMB1    LAMA2  COL4A2  FREM1  COL4A6  ITGA1  LAMA4  COL4A5  COL2A1  ITGA2  THBS4  HMMR  ITGB8  ITGA11  FREM2  ITGB7  COL6A3  ITGA10  LAMB2  LAMA1  ITGB5  LAMB3  THBS3  RELN  ITGB3  SPP1  ITGB1  ITGA9  COL1A2  SV2A  CD36  TNXB  COL4A4  COL6A5  TNC  COL4A3  SV2C  COL6A6  ITGA6  FN1  ITGA2B  COL9A1  ITGB6  SV2B  LAMA3  LAMC3  SDC4  COL6A2  ITGA4  HSPG2  ITGA8  COL4A1  THBS1  COL1A1  ITGAV  COL9A2  ITGA5  ITGB4  FRAS1  LAMC1"
0.000606391479123675,30,41,1.65333763302161,"Path:nle02010 ABC transporters-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle02010","   ABCC9  ABCB6  ABCC12  ABCD2  ABCC4  ABCB8  ABCA12  ABCG4  ABCD3  ABCA13  ABCG1  ABCC2  ABCB10  CFTR  ABCB4  ABCC5  ABCC8  ABCC10  TAP2  ABCB7  ABCB1  TAP1  ABCA4  ABCA1"
0.000415262188407651,44,63,1.5431151241535,"Path:nle00310 Lysine degradation-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle00310"," ASH1L  PIPOX  EZH2  HYKK  DLD  DLST  NSD1  COLGALT2  ALDH7A1  KMT5B  SETD1B  SETD2  EHMT1  ACAT2  AADAT  KMT2D  EHHADH  NSD2  SUV39H2  ALDH3A2  MECOM  BBOX1    PRDM16  ALDH9A1  TMLHE  PLOD3  SUV39H1  NSD3  KMT2E  DHTKD1  ALDH2  SMYD2  SMYD1  KMT2A  CAMKMT  PLOD2  EHMT2  AASS  KMT2C"
1.63143322317856e-06,75,111,1.53901109456798,"Path:nle03013 Nucleocytoplasmic transport-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle03013","   THOC1  IPO5  RNPS1  IPO8  NUP35  XPOT  UPF1  NMD3  CASC3  KPNA6  NUP160  EIF4A3  NUP58  NUP85  AAAS  XPO6  UPF3B  IPO9  NCBP1  TNPO1  IPO13  CSE1L  NUP155  SENP2  KPNA7  IPO7  NUP133  UPF2  XPO7  SRRM1  NUP205  NUP153  TMEM33  PHAX  NUP210  ACIN1  XPO4  IPO11  KPNA2  NDC1  NUP37  MAGOH  NUP98  KPNA3  TNPO3  NUP107  THOC5  TNPO2  NUP54  KPNA5  KPNB1  NUP43  THOC2  GLE1  NUP42  NCBP2  XPO5  IPO4  SEC13  NUP188  RANBP17  NUP214  NUP210L  KPNA1  SEH1L  NXF3  XPO1  PNN  UPF3A  NUP93"
0.000212807484104116,52,74,1.51973459196935,"Path:nle00562 Inositol phosphate metabolism-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle00562"," MTMR4  PLCZ1  PIP5K1B  MTMR6  PIK3CB  PIK3C3  INPP5J  PIK3CG  MTM1  INPP5A  MTMR1  PIK3CA  PIP4K2A  PIP5K1A  PLCH1  PI4K2A  PI4KB  PI4K2B  INPP4A  PIKFYVE  TPI1  MTMR14  PIP4K2B  INPP5F  PI4KA  PLCD1  PLCB1  SYNJ2  PIK3C2B  MTMR3  PIK3C2A  PLCH2  PLCD4    IPPK  INPP5D  INPP4B  INPP5B  PLCE1  PLCB4  PLCB3  MTMR2  MINPP1  OCRL  ITPKB  PLCG2  PTEN  MTMR7  SACM1L  FIG4  ALDH6A1  PLCB2"
3.74893357977675e-05,68,96,1.49050892673917,"Path:nle04070 Phosphatidylinositol signaling system-Nomascus leucogenys (northern white-cheeked gibb","https://www.genome.jp/kegg-bin/show_pathway?nle04070"," MTMR4  PPIP5K1  DGKH  PLCZ1    PIP5K1B  MTMR6  PIK3CB  PIK3C3  ITPR3  ITPR1  MTM1  INPP5A  MTMR1  PIK3CA  PIP4K2A  PIP5K1A  PI4K2A  PRKCB  PI4KB  PI4K2B  PIK3R3  PRKCA  INPP4A  PIKFYVE  DGKG  PIP4P1  DGKA  MTMR14  DGKZ  DGKI  PIP4K2B  CALM1  INPP5F  PI4KA  PLCD1  PLCB1  SYNJ2  PIK3C2B  MTMR3  PIK3C2A  DGKB  PLCD4  IPPK  CDS2  INPP5D  INPP4B  ITPR2  INPP5B  DGKD  PLCE1  PLCB4  PLCB3  CDS1  PRKCG  MTMR2  OCRL  ITPKB  PLCG2  PPIP5K2  PTEN  MTMR7  SACM1L  PIK3R1  PLCB2  PIP4K2C"
0.000606391479123675,59,88,1.44056633425722,"Path:nle03015 mRNA surveillance pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle03015"," SMG7  WDR82  CSTF1    RNPS1  UPF1  CASC3  PPP2R2A  EIF4A3  PPP2CB  PPP2R2D  SMG6  UPF3B  RNGTT  NCBP1  HBS1L  UPF2  ETF1  SRRM1  CSTF2  MSI1  PPP2R5E  CPSF7  CPSF4  ACIN1  GSPT1  MAGOH  PABPC1  WDR33  PPP2CA  PPP2R3C  PPP2R1A  SYMPK  PPP2R3A  PPP2R5D  PPP2R5C  GLE1  FIP1L1  NCBP2  TARDBP  PCF11  CPSF2  PABPC4  SMG5  NXF3  CPSF3  PPP2R1B  CSTF3  PPP2R5A  PNN  UPF3A  RNMT  PAPOLA"
1.63143322317856e-06,106,154,1.43987854894605,"Path:nle04110 Cell cycle-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04110"," DBF4  MAU2  CUL1  CCNB2  CDC16  TGFB1  ANAPC1  CCNB3  PDS5A  CDC45  CDK7  CCNH  TP53  CDC14A  NDC80  FBXO5  ORC4  SMC3  TFDP1  ORC2  CDC14B  PPP2CB  CDK1  CCND2  ATRX  PRKDC    FZR1  HDAC8  CDC23  ESCO2  TICRR  MCM3  MCM4  CDC25A  CDC25C  RB1  ESPL1  ANAPC5  WEE1  MCM7  HDAC1  PCNA  TGFB3  SMC1A  HDAC2  ANAPC4  PPP2R5E  ORC5  CDC20  E2F3  RAD21  CHEK2  CCNA1  CDC27  CDK4  RBL2  DDX11  TGFB2  TRIP13  PPP2CA  CREBBP  TTK  ANAPC7  STAG2  YWHAB  ATR  PPP2R1A  RBL1  SMAD4  PPP2R5D  ORC1  PPP2R5C  YWHAE  E2F4  TFDP2  MDM2  CCNE2  MTBP  CDK6  STAG1  MCM6  PDS5B  NIPBL  ANAPC10  BUB1  WEE2  PPP2R1B  PPP2R5A  CCND1  BUB3  MCM5  SMC1B  GSK3B  CCNB1  KNL1  CCNE1  ANAPC2  CCNA2"
0.00225071133227815,53,79,1.41988023576624,"Path:nle03083 Polycomb repressive complex-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle03083"," KDM2B  BAP1  SCML1  EZH2  MGA  AEBP2    USP7  PHF1  CBX3  TFDP1  BMI1  UBE2D4  L3MBTL3  SCMH1  ASXL3  E2F6  BCOR  FBRS  PHC2  HCFC1  L3MBTL1  SCML2  PCGF1  L3MBTL2  PCGF5  SFMBT1  ASXL1  MTF2  HDAC1  UBE2D1  ASXL2  HDAC2  OGT  USP16  TEX10  PHC1  L3MBTL4  UBE2D2  CREBBP  PHC3  FOXK2  EED  KDM2A  MAX  USP45  SFMBT2  AUTS2  RBBP7  SUZ12"
7.61820608140485e-05,95,142,1.38821909843355,"Path:nle05017 Spinocerebellar ataxia-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05017"," PSMA7  PSMA5  VLDLR  MAPK9  PUM1  ATP2A1  SLC25A5  AFG3L2  ULK1  DAB1    PIK3CB  PSMD12  PIK3C3  OMA1  ITPR3  RB1CC1  AKT1  ITPR1  GRIA2  MAP3K5  PSMC5  RORA  PIK3CA  VDAC2  PSMD6  TRPC3  PSMD1  VDAC3  NFYA  PSMC4  TRAF2  PRKCB  PIK3R3  ATXN2  PRKCA  GRM1  RYR1  ATG14  RELN  TBPL2  PSMB4  PSMB7  GRIN2B  MTOR  PSMC2  PSMB3  AMBRA1  ULK2  VDAC1  PSMA4  PSMD11  GRIA3  ATP2A2  PSMA8  PLCB1  ATG13  SLC25A31  ITPR2  SPTBN2  GRIN3B  PLCB4  MCU  PLCB3  ATG2B  PSMA3  PRKCG  MAPK10  CACNA1A  OPA1  ATXN2L  PIK3R4  PSMD14  AKT3  GRIA1  PUM2  MAPK8  PIK3R1  KCND3  PSMD13  PLCB2  PSMA1  PSMA2  GRIN3A  PSMD2  GRIN1  TBP  ATXN10  PSMC3"
0.000289275149527671,82,127,1.38745000198012,"Path:nle00230 Purine metabolism-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle00230"," RRM2  PDE8A  NME7    ADCY5  PPAT  PAICS  HPRT1  GUCY1A1  PDE8B  DGUOK  PDE5A  PRPS1  AK7  GDA  GUCY1B1  PDE3A  ADK  PRUNE1  AMPD2  ENPP1  PRPS2  GART  GUCY2D  ADCY3  HDDC2  PDE7B  PDE4D  PDE7A  PDE2A  AK3  GMPR  AK8  FHIT  ADCY6  GMPS  ADSL  ADCY8  AMPD3  PDE11A  PDE6B  XDH  GUCY2C  PAPSS1  NPR2  PGM1  PDE4A  PDE6A  PDE6C  NT5C2  ENTPD8  IMPDH2  ADCY9  RRM1  RRM2B  ADCY2  NUDT5  PGM2  AK2  ALLC  ADCY10  PDE9A  ATIC  PAPSS2  ENTPD6  LACC1  ENPP3  PDE1B  ENTPD5  PDE4B  ENTPD1  PDE1A  AK9  NUDT9  NT5E"
0.000865358681557608,71,105,1.38334815422852,"Path:nle04922 Glucagon signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04922"," PYGB  GYS1  FBP2  CAMK2D  PRKAA2  PPP4C    ATF2  PRKACB  PPP3CA  ITPR3  CREB1  AKT1  ITPR1  PHKA1  PGAM1  PDHA1  PFKM  PHKG2  ACACA  CPT1A  PPARGC1A  PHKA2  CPT1B  CAMK2B  PPP4R3B  SLC2A1  PRKAA1  CALM1  CREB3L2  CREBBP  CAMK2G  PLCB1  PRKAB2  GCGR  CRTC2  CREB3  PPP3CC  FBP1  PPP4R3A  PRKAG2  ITPR2  CREB5  ADCY2  PLCB4  PRKAB1  PLCB3  PFKP  PHKB  PPARA  SLC2A2  CREB3L4  AKT3  LDHA  SIK2  PYGL  SIRT1  LDHC  PFKFB1  PRKAG3  PLCB2  LDHAL6A  ACACB  PDHB  PRKAG1  GYS2"
