"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.20179057314383e-15,73,89,2.12493130764873,"Path:nle04512 ECM-receptor interaction-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04512"," THBS2  TNN  DSPP  VWF  IBSP  LAMA5  MEPE  LAMB4  TNR  LAMB1    LAMA2  COL4A2  FREM1  COL4A6  ITGA1  LAMA4  COL4A5  COL2A1  ITGA2  THBS4  HMMR  ITGB8  ITGA11  FREM2  ITGB7  COL6A3  ITGA10  LAMB2  LAMA1  ITGB5  LAMB3  THBS3  RELN  ITGB3  SPP1  ITGB1  ITGA9  COL1A2  SV2A  CD36  TNXB  COL4A4  COL6A5  TNC  COL4A3  SV2C  COL6A6  ITGA6  FN1  ITGA2B  COL9A1  ITGB6  SV2B  LAMA3  LAMC3  SDC4  COL6A2  ITGA4  HSPG2  ITGA8  COL4A1  THBS1  COL1A1  ITGAV  COL9A2  ITGA5  ITGB4  FRAS1  LAMC1"
5.6712740174456e-09,68,96,1.83505768748432,"Path:nle04070 Phosphatidylinositol signaling system-Nomascus leucogenys (northern white-cheeked gibb","https://www.genome.jp/kegg-bin/show_pathway?nle04070"," MTMR4  PPIP5K1  DGKH  PLCZ1    PIP5K1B  MTMR6  PIK3CB  PIK3C3  ITPR3  ITPR1  MTM1  INPP5A  MTMR1  PIK3CA  PIP4K2A  PIP5K1A  PI4K2A  PRKCB  PI4KB  PI4K2B  PIK3R3  PRKCA  INPP4A  PIKFYVE  DGKG  PIP4P1  DGKA  MTMR14  DGKZ  DGKI  PIP4K2B  CALM1  INPP5F  PI4KA  PLCD1  PLCB1  SYNJ2  PIK3C2B  MTMR3  PIK3C2A  DGKB  PLCD4  IPPK  CDS2  INPP5D  INPP4B  ITPR2  INPP5B  DGKD  PLCE1  PLCB4  PLCB3  CDS1  PRKCG  MTMR2  OCRL  ITPKB  PLCG2  PPIP5K2  PTEN  MTMR7  SACM1L  PIK3R1  PLCB2  PIP4K2C"
1.46127307074203e-12,106,154,1.78318821885413,"Path:nle04110 Cell cycle-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04110"," DBF4  MAU2  CUL1  CCNB2  CDC16  TGFB1  ANAPC1  CCNB3  PDS5A  CDC45  CDK7  CCNH  TP53  CDC14A  NDC80  FBXO5  ORC4  SMC3  TFDP1  ORC2  CDC14B  PPP2CB  CDK1  CCND2  ATRX  PRKDC    FZR1  HDAC8  CDC23  ESCO2  TICRR  MCM3  MCM4  CDC25A  CDC25C  RB1  ESPL1  ANAPC5  WEE1  MCM7  HDAC1  PCNA  TGFB3  SMC1A  HDAC2  ANAPC4  PPP2R5E  ORC5  CDC20  E2F3  RAD21  CHEK2  CCNA1  CDC27  CDK4  RBL2  DDX11  TGFB2  TRIP13  PPP2CA  CREBBP  TTK  ANAPC7  STAG2  YWHAB  ATR  PPP2R1A  RBL1  SMAD4  PPP2R5D  ORC1  PPP2R5C  YWHAE  E2F4  TFDP2  MDM2  CCNE2  MTBP  CDK6  STAG1  MCM6  PDS5B  NIPBL  ANAPC10  BUB1  WEE2  PPP2R1B  PPP2R5A  CCND1  BUB3  MCM5  SMC1B  GSK3B  CCNB1  KNL1  CCNE1  ANAPC2  CCNA2"
1.84249488156309e-15,137,201,1.76577982922109,"Path:nle04510 Focal adhesion-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04510"," MAP2K1  THBS2  TNN  BIRC2  VWF  IBSP  LAMA5  LAMB4  TNR  MAPK9  LAMB1  VAV2    RAF1  PIP5K1B  BRAF  CTNNB1  VCL  LAMA2  PDGFA  COL4A2  PIK3CB  DIAPH1  ROCK2  CCND2  PDGFD  ROCK1  AKT1  COL4A6  ITGA1  LAMA4  PXN  PIK3CA  COL4A5  COL2A1  ITGA2  PAK1  ACTN4  THBS4  EGF  PIP5K1A  ITGB8  SHC3  ITGA11  ITGB7  SOS1  FLT1  COL6A3  PRKCB  ITGA10  MYLK  PIK3R3  LAMB2  SHC4  PRKCA  LAMA1  ITGB5  PAK3  TLN1  LAMB3  THBS3  RELN  RAP1B  DOCK1  ITGB3  SPP1  ITGB1  ITGA9  COL1A2  VEGFC  ELK1  PARVA  ACTN1  VASP  MET  EGFR  TLN2  FLNA  TNXB  XIAP  RASGRF1  ILK  COL4A4  BCAR1  COL6A5  TNC  COL4A3  VAV3  COL6A6  SOS2  MAPK1  ITGA6  PAK2  FN1  ITGA2B  PRKCG  COL9A1  ERBB2  ITGB6  VEGFD  LAMA3  LAMC3  MAPK10  PPP1R12A  COL6A2  ITGA4  RAPGEF1  PDGFRA  FLNB  ITGA8  COL4A1  THBS1  RAP1A  COL1A1  AKT3  ITGAV  RAC1  KDR  PTEN  CDC42  MAPK8  COL9A2  CCND1  PIK3R1  SHC1  GSK3B  ITGA5  ITGB4  LAMC1"
3.91256843762963e-08,71,105,1.75178616216991,"Path:nle04922 Glucagon signaling pathway-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04922"," PYGB  GYS1  FBP2  CAMK2D  PRKAA2  PPP4C    ATF2  PRKACB  PPP3CA  ITPR3  CREB1  AKT1  ITPR1  PHKA1  PGAM1  PDHA1  PFKM  PHKG2  ACACA  CPT1A  PPARGC1A  PHKA2  CPT1B  CAMK2B  PPP4R3B  SLC2A1  PRKAA1  CALM1  CREB3L2  CREBBP  CAMK2G  PLCB1  PRKAB2  GCGR  CRTC2  CREB3  PPP3CC  FBP1  PPP4R3A  PRKAG2  ITPR2  CREB5  ADCY2  PLCB4  PRKAB1  PLCB3  PFKP  PHKB  PPARA  SLC2A2  CREB3L4  AKT3  LDHA  SIK2  PYGL  SIRT1  LDHC  PFKFB1  PRKAG3  PLCB2  LDHAL6A  ACACB  PDHB  PRKAG1  GYS2"
1.88364016379365e-08,75,111,1.7504524840868,"Path:nle03013 Nucleocytoplasmic transport-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle03013","   THOC1  IPO5  RNPS1  IPO8  NUP35  XPOT  UPF1  NMD3  CASC3  KPNA6  NUP160  EIF4A3  NUP58  NUP85  AAAS  XPO6  UPF3B  IPO9  NCBP1  TNPO1  IPO13  CSE1L  NUP155  SENP2  KPNA7  IPO7  NUP133  UPF2  XPO7  SRRM1  NUP205  NUP153  TMEM33  PHAX  NUP210  ACIN1  XPO4  IPO11  KPNA2  NDC1  NUP37  MAGOH  NUP98  KPNA3  TNPO3  NUP107  THOC5  TNPO2  NUP54  KPNA5  KPNB1  NUP43  THOC2  GLE1  NUP42  NCBP2  XPO5  IPO4  SEC13  NUP188  RANBP17  NUP214  NUP210L  KPNA1  SEH1L  NXF3  XPO1  PNN  UPF3A  NUP93"
3.20710288327582e-10,95,142,1.73319450184932,"Path:nle05017 Spinocerebellar ataxia-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05017"," PSMA7  PSMA5  VLDLR  MAPK9  PUM1  ATP2A1  SLC25A5  AFG3L2  ULK1  DAB1    PIK3CB  PSMD12  PIK3C3  OMA1  ITPR3  RB1CC1  AKT1  ITPR1  GRIA2  MAP3K5  PSMC5  RORA  PIK3CA  VDAC2  PSMD6  TRPC3  PSMD1  VDAC3  NFYA  PSMC4  TRAF2  PRKCB  PIK3R3  ATXN2  PRKCA  GRM1  RYR1  ATG14  RELN  TBPL2  PSMB4  PSMB7  GRIN2B  MTOR  PSMC2  PSMB3  AMBRA1  ULK2  VDAC1  PSMA4  PSMD11  GRIA3  ATP2A2  PSMA8  PLCB1  ATG13  SLC25A31  ITPR2  SPTBN2  GRIN3B  PLCB4  MCU  PLCB3  ATG2B  PSMA3  PRKCG  MAPK10  CACNA1A  OPA1  ATXN2L  PIK3R4  PSMD14  AKT3  GRIA1  PUM2  MAPK8  PIK3R1  KCND3  PSMD13  PLCB2  PSMA1  PSMA2  GRIN3A  PSMD2  GRIN1  TBP  ATXN10  PSMC3"
2.56632653265832e-21,204,306,1.72711311763231,"Path:nle05165 Human papillomavirus infection-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05165"," MAP2K1  THBS2  TNN  FAS  VWF  HEY1  IBSP  ATP6V1B1  LAMA5  LAMB4  MAGI1  NFKB1  TNR  LAMB1  TNFRSF1A    RAF1  TBK1  CTNNB1  PPP2R2A  TP53  IFNAR1  PRKACB  TCIRG1  LAMA2  DLG3  COL4A2  PIK3CB  NOTCH2  CASP3  STAT2  PPP2CB  APC  DVL2  PPP2R2D  PRKCZ  CCND2  UBE3A  CASP8  PSEN1  HES7  CREB1  HEY2  AKT1  TSC1  ATP6V1D  COL4A6  ITGA1  LAMA4  PXN  ATP6V1H  PALS1  IKBKB  JAK1  PIK3CA  COL4A5  COL2A1  RB1  ITGA2  THBS4  EGF  CHD4  ITGB8  ITGA11  ATP6V1B2  FZD3  ITGB7  SOS1  COL6A3  NOTCH3  NFX1  DLG2  ITGA10  JAG1  HDAC1  ATP6V1A  PTGS2  PIK3R3  PATJ  LAMB2  HDAC2  MAP2K2  LAMA1  ITGB5  ATP6V1C2  PPP2R5E  PARD3  LAMB3  THBS3  RELN  TLR3  ATP6V1E1  TBPL2  ITGB3  RPS6KB1  ATP6AP1  PTGER4  MTOR  SPP1  LLGL1  CCNA1  CDK4  ITGB1  RBL2  CSNK1A1  ITGA9  COL1A2  TYK2  CREB3L2  TADA3  CHUK  STAT1  PPP2CA  MX1  CREBBP  PARD6B  MAML3  EGFR  PPP2R3C  TNXB  FASLG  CREB3  ATR  COL4A4  ATP6V0A4  COL6A5  TNC  ATP6V0A2  MX2  COL4A3  PPP2R1A  RBL1  UBR4  MFNG  PRKCI  PPP2R3A  CREB5  PPP2R5D  COL6A6  SOS2  MAPK1  ITGA6  PPP2R5C  FN1  ITGA2B  MDM2  COL9A1  ITGB6  LAMA3  LAMC3  APC2  CCNE2  ATP6V1C1  NOTCH1  CDK6  IRF9  COL6A2  HEYL  ITGA4  ATP6V0A1  CREB3L4  FZD6  ITGA8  COL4A1  DLG1  THBS1  COL1A1  AKT3  ITGAV  IKBKE  PTEN  CDC42  PPP2R1B  COL9A2  PPP2R5A  CCND1  PIK3R1  TRAF3  GSK3B  ITGA5  ITGB4  SCRIB  LAMC1  TRADD  CCNE1  TBP  MAML1  TERT  LLGL2  CCNA2  RBPJ  TSC2"
3.32523238346077e-07,70,107,1.69483062945226,"Path:nle04931 Insulin resistance-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04931"," GYS1  NR1H2  NFKB1  MAPK9  TNFRSF1A  PRKAA2  GFPT2  SLC27A2  PRKCQ  PIK3CB  MLXIP  PRKCZ  OGA    CREB1  AKT1  SLC2A4  IKBKB  PIK3CA  PTPRF  CPT1A  PPARGC1A  PPARGC1B  RPS6KA3  PRKCB  CPT1B  PIK3R3  OGT  RPS6KB1  MTOR  RPS6KA6  SLC2A1  PRKAA1  CREB3L2  PRKAB2  INSR  CD36  CRTC2  CREB3  STAT3  PRKAG2  GFPT1  NFKBIA  CREB5  PRKAB1  PTPA  MAPK10  PPARA  PTPN11  SLC2A2  CREB3L4  TRIB3  AKT3  PYGL  PTEN  MAPK8  PIK3R1  NR1H3  RPS6KA1  RPS6KA2  PRKCE  TBC1D4  PRKAG3  ACACB  GSK3B  PRKAG1"
6.23708757791294e-08,82,127,1.67271585408483,"Path:nle00230 Purine metabolism-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle00230"," RRM2  PDE8A  NME7    ADCY5  PPAT  PAICS  HPRT1  GUCY1A1  PDE8B  DGUOK  PDE5A  PRPS1  AK7  GDA  GUCY1B1  PDE3A  ADK  PRUNE1  AMPD2  ENPP1  PRPS2  GART  GUCY2D  ADCY3  HDDC2  PDE7B  PDE4D  PDE7A  PDE2A  AK3  GMPR  AK8  FHIT  ADCY6  GMPS  ADSL  ADCY8  AMPD3  PDE11A  PDE6B  XDH  GUCY2C  PAPSS1  NPR2  PGM1  PDE4A  PDE6A  PDE6C  NT5C2  ENTPD8  IMPDH2  ADCY9  RRM1  RRM2B  ADCY2  NUDT5  PGM2  AK2  ALLC  ADCY10  PDE9A  ATIC  PAPSS2  ENTPD6  LACC1  ENPP3  PDE1B  ENTPD5  PDE4B  ENTPD1  PDE1A  AK9  NUDT9  NT5E"
