"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
9.36353295133351e-05,33,86,2.29341038686415,"Path:nle05412 Arrhythmogenic right ventricular cardiomyopathy-Nomascus leucogenys (northern white-ch","https://www.genome.jp/kegg-bin/show_pathway?nle05412"," DSG2  DMD  LAMA2    DSP  ITGB7  CACNA1F  JUP  LAMA1  LEF1  SLC8A1  CACNA2D2  CACNA2D1  CACNB4  SNTA1  NOS1  ACTN2  ACTG1  RYR2  CTNNA2  ITGA6  CACNA1D  CACNA2D3  ITGA4  SLC8A3  ITGAV  CTNNA3  ITGA5  ITGB4"
0.000142069467014151,33,89,2.2388053776531,"Path:nle04512 ECM-receptor interaction-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04512"," TNN  LAMB4  LAMB1  LAMA2  COL4A2  FREM1  COL4A6  COL4A5  THBS4  FREM2    ITGB7  COL6A3  LAMB2  LAMA1  THBS3  RELN  TNXB  COL4A4  COL4A3  ITGA6  NPNT  FN1  LAMA3  LAMC3  ITGA4  HSPG2  COL4A1  COL1A1  ITGAV  ITGA5  ITGB4  FRAS1"
1.9170580123726e-05,57,196,1.94509166180422,"Path:nle04814 Motor proteins-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04814"," KIF5A  DNAH5  DNAH2  DNAH8  KIF1A  MYO18B  KIF1B  KIFAP3  DCTN1  DYNC2H1  TUBE1  DNAH9  KIF20B  MYO7A  KIF7  MYL7  KIF5B  KIF2C  KIF1C  MYH9  HOOK3  MYO1G  ACTR1A  KIF2A  MYO18A  MYL5  ACTR1B  MYO5C  MYL1  DNAH3  TUBB4B  MYO1B  KIF18A  MYL6B  MYO3A  TUBB  ACTG1    MYO9B  KIFC2  MYH13  DYNC1LI2  DNAH10  DNAH12  STARD9  DNAH6  MYO7B  KIF4A  MYH3  MYH11  DYNC1H1  MYO16  KLC4  KIF13A  MYO1C"
0.00625378651878633,31,99,1.94134172607681,"Path:nle05410 Hypertrophic cardiomyopathy-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05410"," EDN1  DMD  LAMA2    ITGB7  CACNA1F  LAMA1  SLC8A1  CACNA2D2  CACNA2D1  CACNB4  PRKAB2  SNTA1  NOS1  ACTG1  RYR2  PRKAG2  ITGA6  CACNA1D  CACNA2D3  ITGA4  SLC8A3  ITGAV  AGT  PRKAG3  ITGA5  ITGB4"
0.013640425522217,28,98,1.92247909756849,"Path:nle04974 Protein digestion and absorption-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04974"," SLC36A3  COL4A2  COL5A3  COL4A6  COL27A1  COL20A1  COL4A5  COL25A1  COL6A3  COL13A1  COL7A1  COL12A1  SLC8A1  SLC9A3  ATP1A1  CELA2B  SLC7A8  COL4A4  COL4A3  COL14A1  COL21A1  MEP1A  ACE2  COL24A1  SLC8A3  COL4A1  COL1A1  COL17A1"
1.62152998059161e-05,64,201,1.89959244164505,"Path:nle04510 Focal adhesion-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04510"," TNN  PIK3CD  LAMB4  LAMB1  VAV2  LAMA2  COL4A2  FYN  PDGFC  HGF  ROCK1  AKT1  PPP1CB  COL4A6  COL4A5    PAK1  THBS4  EGF  PIP5K1A  MYL7  ITGB7  SOS1  COL6A3  MYLK  PIK3R3  LAMB2  SHC4  LAMA1  TLN1  THBS3  RELN  DOCK1  EMP1  MYL5  PARVA  EGFR  FLNA  TNXB  PDGFRB  RASGRF1  ACTG1  COL4A4  COL4A3  VAV3  MAPK1  ITGA6  PAK2  FN1  LAMA3  LAMC3  ITGA4  PPP1CA  FLNB  COL4A1  COL1A1  ITGAV  PIK3R1  GSK3B  ITGA5  ITGB4"
1.62152998059161e-05,68,228,1.85414764639039,"Path:nle04820 Cytoskeleton in muscle cells-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04820"," DSG2  FBLN1  DMD  SYNE1  SDC3  ANK2  NEBL  LAMA2    COL4A2  LMNB1  SUN1  AMPD2  COL5A3  SPTBN4  COL4A6  COL27A1  FBN3  COL4A5  DSP  THBS4  SPTBN1  MYL7  TRIM55  ITGB7  COL6A3  NRAP  MYH9  JUP  LAMA1  NID1  TLN1  AMPD3  THBS3  INF2  MYL5  DAAM2  FBN2  MYL1  ATP1A1  SNTA1  ACTN2  ACTG1  COL4A4  MYH13  COL4A3  FMNL3  OBSCN  ITGA6  MYH3  FN1  MYH11  NEB  COL24A1  ITGA4  HSPG2  COL4A1  COL1A1  ITGAV  MYOZ3  ITGA5  ITGB4  MYOM2"
0.0392469998688861,29,111,1.75813343003319,"Path:nle03013 Nucleocytoplasmic transport-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle03013"," IPO8    UPF1  DDX39B  NUP85  AAAS  UPF3B  TNPO1  KPNA7  NUP133  UPF2  XPO7  SRRM1  NUP37  NUP98  KPNA3  TNPO3  TNPO2  KPNB1  NUP43  THOC2  XPO5  NUP188  SEH1L  XPO1  DDX19A  NUP88"
0.0277586368447326,46,174,1.58875004210314,"Path:nle04360 Axon guidance-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04360"," SEMA5B  SEMA6B  PIK3CD  SEMA3G  PTCH1  RASA1  SEMA7A  LRIG2  DCC  PPP3CA  SLIT1  SSH2  SLIT2  FYN  PARD6A  ROCK1  SSH1  PAK1  BOC  PLXNB1  PLXNA3  EPHA4  PLXNA2  PIK3R3  PLCG1  EPHA2  PLXNC1  SEMA4D  ABLIM3  CDK5  MYL5    FES  SEMA6A  MAPK1  ABL1  PAK2  SEMA6D  ARHGEF12  SRGAP3  SEMA4G  PIK3R1  NTNG2  GSK3B  EFNB1"
0.0421159794134761,55,223,1.47845638146903,"Path:nle04810 Reg. of actin cytoskeleton-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04810"," PIK3CD    VAV2  GIT1  SSH2  PDGFC  ROCK1  AKT1  PPP1CB  SSH1  PAK1  EGF  PIP5K1A  MYL7  GNA13  ITGB7  SOS1  FGF10  MYH9  MYLK  PIK3R3  PIKFYVE  SCIN  DOCK1  MYL5  ARHGEF6  IQGAP1  EGFR  PDGFRB  ACTG1  VAV3  MAPK1  ITGA6  CYFIP1  PAK2  FN1  MSN  MYH11  FGFR1  ARHGEF12  ITGA4  PPP1CA  ITGAD  ITGAV  NCKAP1L  PIK3R1  ITGA5  ITGB4  IQGAP2"
0.0392469998688861,72,306,1.41486885308735,"Path:nle05165 Human papillomavirus infection-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05165"," TNN  PIK3CD  LAMB4  MAGI1  LAMB1  TBK1  PPP2R2C  IFNAR1  PRKACB  ATP6V0D1  LAMA2  PPP2R2B  COL4A2  DVL2  WNT8A  PARD6A  CREB1  AKT1  COL4A6  ATP6V1H  JAK1  COL4A5  RELA  RB1  THBS4  EGF  CHD4    ITGB7  LFNG  SOS1  COL6A3  NFX1  DLG2  PIK3R3  PATJ  LAMB2  LAMA1  PPP2R5E  THBS3  RELN  TBPL2  EGFR  PPP2R3C  TNXB  PDGFRB  COL4A4  COL4A3  RBL1  UBR4  CREB5  PPP2R5D  WNT2  MAPK1  ITGA6  FN1  LAMA3  LAMC3  ITGA4  COL4A1  COL1A1  ITGAV  PIK3R1  WNT6  GSK3B  ITGA5  ITGB4  SCRIB  WNT2B  LLGL2  TSC2"
