"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.73491993887922e-07,33,86,2.9369792429582,"Path:nle05412 Arrhythmogenic right ventricular cardiomyopathy-Nomascus leucogenys (northern white-ch","https://www.genome.jp/kegg-bin/show_pathway?nle05412"," DSG2  DMD  LAMA2    DSP  ITGB7  CACNA1F  JUP  LAMA1  LEF1  SLC8A1  CACNA2D2  CACNA2D1  CACNB4  SNTA1  NOS1  ACTN2  ACTG1  RYR2  CTNNA2  ITGA6  CACNA1D  CACNA2D3  ITGA4  SLC8A3  ITGAV  CTNNA3  ITGA5  ITGB4"
6.01073970561228e-07,33,89,2.83797994263377,"Path:nle04512 ECM-receptor interaction-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04512"," TNN  LAMB4  LAMB1  LAMA2  COL4A2  FREM1  COL4A6  COL4A5  THBS4  FREM2    ITGB7  COL6A3  LAMB2  LAMA1  THBS3  RELN  TNXB  COL4A4  COL4A3  ITGA6  NPNT  FN1  LAMA3  LAMC3  ITGA4  HSPG2  COL4A1  COL1A1  ITGAV  ITGA5  ITGB4  FRAS1"
1.18271251834769e-09,64,201,2.4370773033683,"Path:nle04510 Focal adhesion-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04510"," TNN  PIK3CD  LAMB4  LAMB1  VAV2  LAMA2  COL4A2  FYN  PDGFC  HGF  ROCK1  AKT1  PPP1CB  COL4A6  COL4A5    PAK1  THBS4  EGF  PIP5K1A  MYL7  ITGB7  SOS1  COL6A3  MYLK  PIK3R3  LAMB2  SHC4  LAMA1  TLN1  THBS3  RELN  DOCK1  EMP1  MYL5  PARVA  EGFR  FLNA  TNXB  PDGFRB  RASGRF1  ACTG1  COL4A4  COL4A3  VAV3  MAPK1  ITGA6  PAK2  FN1  LAMA3  LAMC3  ITGA4  PPP1CA  FLNB  COL4A1  COL1A1  ITGAV  PIK3R1  GSK3B  ITGA5  ITGB4"
7.05665022080793e-05,31,99,2.39669013214771,"Path:nle05410 Hypertrophic cardiomyopathy-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05410"," EDN1  DMD  LAMA2    ITGB7  CACNA1F  LAMA1  SLC8A1  CACNA2D2  CACNA2D1  CACNB4  PRKAB2  SNTA1  NOS1  ACTG1  RYR2  PRKAG2  ITGA6  CACNA1D  CACNA2D3  ITGA4  SLC8A3  ITGAV  AGT  PRKAG3  ITGA5  ITGB4"
3.61370515517528e-09,68,228,2.28275579649383,"Path:nle04820 Cytoskeleton in muscle cells-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04820"," DSG2  FBLN1  DMD  SYNE1  SDC3  ANK2  NEBL  LAMA2    COL4A2  LMNB1  SUN1  AMPD2  COL5A3  SPTBN4  COL4A6  COL27A1  FBN3  COL4A5  DSP  THBS4  SPTBN1  MYL7  TRIM55  ITGB7  COL6A3  NRAP  MYH9  JUP  LAMA1  NID1  TLN1  AMPD3  THBS3  INF2  MYL5  DAAM2  FBN2  MYL1  ATP1A1  SNTA1  ACTN2  ACTG1  COL4A4  MYH13  COL4A3  FMNL3  OBSCN  ITGA6  MYH3  FN1  MYH11  NEB  COL24A1  ITGA4  HSPG2  COL4A1  COL1A1  ITGAV  MYOZ3  ITGA5  ITGB4  MYOM2"
2.73491993887922e-07,57,196,2.22589243181526,"Path:nle04814 Motor proteins-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04814"," KIF5A  DNAH5  DNAH2  DNAH8  KIF1A  MYO18B  KIF1B  KIFAP3  DCTN1  DYNC2H1  TUBE1  DNAH9  KIF20B  MYO7A  KIF7  MYL7  KIF5B  KIF2C  KIF1C  MYH9  HOOK3  MYO1G  ACTR1A  KIF2A  MYO18A  MYL5  ACTR1B  MYO5C  MYL1  DNAH3  TUBB4B  MYO1B  KIF18A  MYL6B  MYO3A  TUBB  ACTG1    MYO9B  KIFC2  MYH13  DYNC1LI2  DNAH10  DNAH12  STARD9  DNAH6  MYO7B  KIF4A  MYH3  MYH11  DYNC1H1  MYO16  KLC4  KIF13A  MYO1C"
0.000940417132786306,28,98,2.18684168739745,"Path:nle04974 Protein digestion and absorption-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04974"," SLC36A3  COL4A2  COL5A3  COL4A6  COL27A1  COL20A1  COL4A5  COL25A1  COL6A3  COL13A1  COL7A1  COL12A1  SLC8A1  SLC9A3  ATP1A1  CELA2B  SLC7A8  COL4A4  COL4A3  COL14A1  COL21A1  MEP1A  ACE2  COL24A1  SLC8A3  COL4A1  COL1A1  COL17A1"
0.00653424140406111,21,74,2.17206573005017,"Path:nle00562 Inositol phosphate metabolism-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle00562"," PIK3CD  INPP5J  INPP5A    PIP5K1A  PLCH1  PI4KB  PLCG1  INPP4A  PIKFYVE  PI4KA  SYNJ2  PIK3C2A  INPP5D  INPP5B  PLCB4  ISYNA1  MINPP1"
0.00187754235336833,26,92,2.16307166905617,"Path:nle05222 Small cell lung cancer-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle05222"," PIK3CD  LAMB4  LAMB1  LAMA2  COL4A2  AKT1  COL4A6  COL4A5  RELA  RB1  NOS2  PIK3R3  LAMB2  LAMA1  RXRG  COL4A4  COL4A3  ITGA6  FN1  LAMA3  LAMC3  COL4A1  ITGAV  DDB2  PIK3R1  TRAF1"
0.000876674472538194,30,107,2.14596614183862,"Path:nle04931 Insulin resistance-Nomascus leucogenys (northern white-cheeked gibbon)","https://www.genome.jp/kegg-bin/show_pathway?nle04931"," GYS1  PIK3CD  GFPT2  PRKCQ  OGA    CREB1  AKT1  PPP1CB  RELA  PPARGC1B  PRKCD  PIK3R3  NOS3  RPS6KA6  SLC2A1  PRKAB2  CRTC2  PRKAG2  GFPT1  CREB5  PYGM  SLC27A1  PPP1CA  AGT  PIK3R1  PRKAG3  ACACB  GSK3B"
