"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0372292749613212,1,5,42.7269938650307,"Path:ggo00603 Glycosphingolipid biosynthesis-globo and isoglobo series","https://www.genome.jp/kegg-bin/show_pathway?ggo00603"," A3GALT2"
1.00459834550749e-12,11,62,29.3748082822086,"Path:ggo00190 Oxidative phosphorylation","https://www.genome.jp/kegg-bin/show_pathway?ggo00190"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
7.48866520619994e-11,11,77,19.5832055214724,"Path:ggo05415 Diabetic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?ggo05415"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
9.61496840234831e-11,11,86,18.4312522555034,"Path:ggo04714 Thermogenesis","https://www.genome.jp/kegg-bin/show_pathway?ggo04714"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
1.55544431613885e-06,6,55,18.3115687992989,"Path:ggo04723 Retrograde endocannabinoid signaling","https://www.genome.jp/kegg-bin/show_pathway?ggo04723"," ND2  ND6  ND5  ND1  ND4L  ND3"
9.61496840234831e-11,11,84,18.0768050967437,"Path:ggo05208 Chemical carcinogenesis-reactive oxygen species","https://www.genome.jp/kegg-bin/show_pathway?ggo05208"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
1.82138511250793e-10,11,104,16.7856047326906,"Path:ggo05012 Parkinson disease","https://www.genome.jp/kegg-bin/show_pathway?ggo05012"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
2.27473707913791e-10,11,101,16.2067907763909,"Path:ggo05020 Prion disease","https://www.genome.jp/kegg-bin/show_pathway?ggo05020"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
1.00519105638225e-09,11,114,14.0297591795623,"Path:ggo05016 Huntington disease","https://www.genome.jp/kegg-bin/show_pathway?ggo05016"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
1.73392429194488e-05,6,114,12.2077125328659,"Path:ggo04740 Olfactory transduction","https://www.genome.jp/kegg-bin/show_pathway?ggo04740"," OR4L1  OR2G3  OR10AD1  OR1L1  OR1A2  OR10Z1"
2.54456637839617e-08,11,137,10.329602912425,"Path:ggo05010 Alzheimer disease","https://www.genome.jp/kegg-bin/show_pathway?ggo05010"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
2.8556192678488e-08,11,142,10.1074609143083,"Path:ggo05014 Amyotrophic lateral sclerosis","https://www.genome.jp/kegg-bin/show_pathway?ggo05014"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
1.0283847023944e-07,11,157,8.86786665123278,"Path:ggo05022 Pathways of neurodegeneration-multiple diseases","https://www.genome.jp/kegg-bin/show_pathway?ggo05022"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
0.0372292749613212,2,31,8.54539877300614,"Path:ggo04260 Cardiac muscle contraction","https://www.genome.jp/kegg-bin/show_pathway?ggo04260"," COX2  CYTB"
0.00284551819135968,13,515,2.60164365454519,"Path:ggo01100 Metabolic pathways","https://www.genome.jp/kegg-bin/show_pathway?ggo01100"," A3GALT2  ACSM1  ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
