"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.83193920551867e-11,11,62,23.496635661983,"Path:ggo00190 Oxidative phosphorylation","https://www.genome.jp/kegg-bin/show_pathway?ggo00190"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
1.68907595250191e-10,11,77,18.9193689745837,"Path:ggo05415 Diabetic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?ggo05415"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
2.91710137311095e-10,11,84,17.3427548933684,"Path:ggo05208 Chemical carcinogenesis-reactive oxygen species","https://www.genome.jp/kegg-bin/show_pathway?ggo05208"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
2.91710137311095e-10,11,86,16.9394350121273,"Path:ggo04714 Thermogenesis","https://www.genome.jp/kegg-bin/show_pathway?ggo04714"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
7.87223676936495e-06,6,55,14.4475181260457,"Path:ggo04723 Retrograde endocannabinoid signaling","https://www.genome.jp/kegg-bin/show_pathway?ggo04723"," ND2  ND6  ND5  ND1  ND4L  ND3"
1.37578936200944e-09,11,101,14.4236773370589,"Path:ggo05020 Prion disease","https://www.genome.jp/kegg-bin/show_pathway?ggo05020"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
1.5779453231737e-09,11,104,14.0076097215668,"Path:ggo05012 Parkinson disease","https://www.genome.jp/kegg-bin/show_pathway?ggo05012"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
3.65724293767547e-09,11,114,12.7788720266925,"Path:ggo05016 Huntington disease","https://www.genome.jp/kegg-bin/show_pathway?ggo05016"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
2.26855553288505e-08,11,137,10.6335139492186,"Path:ggo05010 Alzheimer disease","https://www.genome.jp/kegg-bin/show_pathway?ggo05010"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
2.93934266093694e-08,11,142,10.2590944439644,"Path:ggo05014 Amyotrophic lateral sclerosis","https://www.genome.jp/kegg-bin/show_pathway?ggo05014"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
7.53207917923869e-08,11,157,9.27892618498691,"Path:ggo05022 Pathways of neurodegeneration-multiple diseases","https://www.genome.jp/kegg-bin/show_pathway?ggo05022"," ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
0.0391395813450605,2,31,8.54423114981199,"Path:ggo04260 Cardiac muscle contraction","https://www.genome.jp/kegg-bin/show_pathway?ggo04260"," COX2  CYTB"
0.000424874689178296,6,114,6.97029383274136,"Path:ggo04740 Olfactory transduction","https://www.genome.jp/kegg-bin/show_pathway?ggo04740"," OR4L1  OR2G3  OR10AD1  OR1L1  OR1A2  OR10Z1"
0.00030373943909187,13,515,3.34303412948955,"Path:ggo01100 Metabolic pathways","https://www.genome.jp/kegg-bin/show_pathway?ggo01100"," A3GALT2  ACSM1  ND2  ATP8  ND6  ND5  COX2  ND1  CYTB  ND4L  ND3  ND4  ATP6"
