"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00762223930732531,27,30,1.53777900902327,"Path:ggo00564 Glycerophospholipid metabolism","https://www.genome.jp/kegg-bin/show_pathway?ggo00564"," LPCAT1  ETNK2  PLD4  DGKH  PLA2G1B  GPD1  LPGAT1  DGKA  LCLAT1  ETNK1  PLD2  LPIN1  LPCAT3  ADPRM  DGKD  GNPAT  CEPT1  LPCAT4  PLA2G4A  LPCAT2  GPD2  PLA2G2E  PLA2G2A  CDIPT  PLA2G2D  PLA2G2F  AGPAT2"
0.00810666719802503,35,41,1.45859797603833,"Path:ggo04148 Efferocytosis","https://www.genome.jp/kegg-bin/show_pathway?ggo04148"," ODC1  NFATC4  GPR132  IL10  RAB17  MAP2K1  BCAR1  ARG2  SLC16A1  ATP11A  THBS1  HIF1A  CX3CL1  PTPN6  VPS39  ATP2A2  SLC66A1  GAS6  CREB1  ARNT  DUSP16  PTGS2  TGFBRAP1  NFATC1  ANO6  JAK2  PBX1  PTGER2  ABCA1  GULP1  PTGER4  ADAM17  VPS18  CRK  LRP1"
0.0316197470188357,30,36,1.42386945279932,"Path:ggo04928 Parathyroid hormone synthesis secretion and action","https://www.genome.jp/kegg-bin/show_pathway?ggo04928"," GNAI3  ADCY7  MEF2A  WNK2  PTHLH  FOS  AKAP13  ARHGEF11  ARRB2  TNFSF11  MAP2K1  SLC12A3  ATF2  PLD2  ADCY6  PLCB2  FGF23  LRP6  MMP14  ADCY3  CREB3  CREB1  CYP27B1  MEF2D  NR4A2  WNK1  PRKCB  ITPR2  RXRG  MMP15"
0.0274279484790563,34,41,1.41692374815152,"Path:ggo01200 Carbon metabolism","https://www.genome.jp/kegg-bin/show_pathway?ggo01200"," HK2  GCSH  FH  GLDC  HIBCH  PKLR  CPS1  FBP2  PFKM  ACO1  SDS  PKM  SHMT2  MDH1  IDH3A  SDSL  ENO2  FBP1  ENO3  ACADS  HAO2  ADPGK  GPT2  SUCLG1  PHGDH  CS  SUCLG2  RPIA  MCEE  GOT2  IDH2  ME2  AGXT  PSAT1"
0.031217864754707,33,40,1.40963075827133,"Path:ggo05135 Yersinia infection","https://www.genome.jp/kegg-bin/show_pathway?ggo05135"," VAV2  ARPC5L  ARHGEF7  FOS  PXN  NFKBIA  PYCARD  CD4  IL10  FYB1  IL1B  PIK3R1  WIPF1  MAP2K1  BCAR1  ARF6  ITGA5  IFNB1  CD8A  GIT2  AKT3  TBK1  FN1  LAT  ITGA4  NLRC4  IRAK4  MYD88  MAP2K4  ACTR3  NFATC1  PIP5K1B  CRK"
0.00228883555174774,59,72,1.40013829525267,"Path:ggo04010 MAPK signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ggo04010"," KITLG  PPM1A  GDNF  TGFB2  PPM1B  RAP1B  NTRK1  DUSP6  FOS  MAP3K21  IL1B  ARRB2  GADD45G  ERBB4  MAP2K1  IL1R1  TGFB3  ATF2  FGF10  MAP3K1  MAP2K5  MAP4K3  SOS2  FASLG  AKT3  PTPRR  TGFA  FGF23  FGF6  CACNB3  IRAK4  MYD88  CACNA1H  MAP2K4  KRAS  CACNG3  RASGRF1  DUSP16  NTF3  PLA2G4A  ELK4  NFATC1  NR4A1  TNFRSF1A  MAPK8IP3  TAOK3  MAP3K2  CACNA1S  PRKCB  MAP3K12  MAPKAPK5  RPS6KA5  MAX  TEK  CRK  IGF1R  EFNA3  NLK  EFNA1"
0.00762223930732531,49,60,1.39539206374334,"Path:ggo04024 cAMP signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ggo04024"," GRIN2A  GNAI3  PDE3A  RAP1B  ADCY7  GABBR2  GRIN2B  FOS  NFKBIA  ATP2B1  HCAR1  PIK3R1  MAP2K1  ATP1A2  ATP1A4  ATP1B2  PLD2  ADCY10  AKT3  GPHB5  PTCH1  GLI1  SSTR1  ADCY6  ATP2A2  ADORA1  GCG  CNGA3  ABCC4  PPP1CC  MC2R  ADCY3  CREB3  CREB1  F2R  GRIN3A  CREBBP  ATP1B1  NFATC1  HTR6  POMC  KCNK2  TSHB  CACNA1S  PTGER2  RAPGEF4  RAPGEF3  ATP1A1  FSHR"
0.00762223930732531,48,59,1.39008272002104,"Path:ggo04020 Calcium signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ggo04020"," GRIN2A  GDNF  NTRK1  ADCY7  GRIN2B  TACR1  HTR2A  NFATC4  ATP2B1  ERBB4  TPCN1  BDKRB2  PLCG2  AVPR1A  FGF10  PLCD4  CYSLTR2  CXCR4  SLC8A1  PDE1B  TGFA  ATP2A2  PLCB2  FGF23  RYR3  FGF6  CACNA1H  MYLK3  EDNRB  ADCY3  PDE1A  F2R  GRIN3A  P2RX7  CAMK1G  NFATC1  HTR6  GNA14  SLC8A3  CACNA1S  PRKCB  ITPR2  CASQ2  PLCZ1  LTB4R2  AVPR1B  HTR2B  P2RX4"
0.00228883555174774,67,83,1.37926631331404,"Path:ggo04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?ggo04820"," LBR  AMPD2  SDC1  ITGA2  MYH11  MYL1  COL4A1  ITGA1  THBS4  COL6A3  COL5A1  ANKRD23  SPTAN1  TMOD4  SPTBN1  ATP1A2  ATP1A4  ATP1B2  ITGA10  ITGA5  TPM1  MYH13  SGCG  ITGB6  MYH2  THBS1  MYH4  ENO2  ACTG2  FN1  TMOD2  LMNA  ENO3  ITGA4  TRIM54  CAPZB  FMNL2  MYBPH  COL27A1  TMOD3  LAMA1  NID1  DIAPH3  ATP1B1  ITGB7  MYL2  MYBPC1  ACTN2  SSPN  SNTB2  DAAM1  THBS3  COL4A2  DSC2  MYBPHL  PKP2  TNNT2  TMOD1  FMNL3  CAPZA3  MYH10  MYL11  ITGA7  COL3A1  ATP1A1  COL5A2  SYNE3"
0.0316197470188357,37,46,1.37434355878891,"Path:ggo04062 Chemokine signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ggo04062"," GNAI3  RAP1B  ADCY7  PXN  NFKBIA  PIK3R5  ARRB2  PIK3R1  CCL21  STAT1  MAP2K1  BCAR1  CXCL16  PLCG2  GNB3  CCL20  SHC1  CCL22  CCL17  SOS2  CX3CL1  CXCR4  AKT3  CCL28  ADCY6  PLCB2  GNG4  ADCY3  KRAS  STAT2  JAK2  PRKCB  CXCR2  CXCR1  CRK  GNB1  SHC4"
