"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0215055466703125,14,22,1.81696715583508,"Path:ggo04971 Gastric acid secretion","https://www.genome.jp/kegg-bin/show_pathway?ggo04971"," ADCY7  ATP1A2  ATP1A4  SLC9A4  KCNK10  ADCY6  PLCB2  ATP4B  MYLK3  ADCY3  ATP1B1  KCNK2  PRKCB  ITPR2"
0.00160350958157946,24,29,1.79700048379294,"Path:ggo04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?ggo04512"," ITGA2  COL2A1  COL4A1  ITGA1  THBS4  COL6A3  LAMC1  SV2B  LAMA3  ITGA10  ITGA5  ITGB6  THBS1  FN1  ITGA4  SV2C  LAMA1  TNC  ITGB7  ITGA6  LAMB3  THBS3  COL4A2  TNN"
0.000482457105073903,42,59,1.63527044025157,"Path:ggo04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?ggo04510"," RAP1B  ITGA2  SHC3  COL2A1  PXN  COL4A1  ITGA1  THBS4  COL6A3  SOS1  PIK3R1  LAMC1  MAP2K1  BCAR1  LAMA3  ITGA10  ITGA5  ITGB6  THBS1  SHC1  SOS2  AKT3  FN1  ACTN1  CCND2  ITGA4  RAPGEF1  MYLK3  LAMA1  TNC  ITGB7  RASGRF1  ITGA6  LAMB3  ARHGAP5  THBS3  COL4A2  TNN  PIP5K1B  PRKCB  ITGA7  SHC4"
0.0027347053511109,31,46,1.63106124992917,"Path:ggo04141 Protein processing in endoplasmic reticulum","https://www.genome.jp/kegg-bin/show_pathway?ggo04141"," ERO1A  DDOST  HSPA5  DERL2  HSP90B1  ERLEC1  MARCHF6  EIF2S1  RAD23B  PDIA6  UBQLN1  SEL1L  AMFR  MAN1A2  MAN1B1  VCP  PREB  UBXN4  MBTPS1  EDEM3  BAG1  DNAJC10  SEC23A  DNAJC3  UGGT2  DNAJA2  HSPH1  EIF2AK3  LMAN1  HERPUD1  STUB1"
0.016170409612516,27,39,1.59279588336192,"Path:ggo03013 Nucleocytoplasmic transport","https://www.genome.jp/kegg-bin/show_pathway?ggo03013"," XPO1  THOC6  XPO6  DDX19B  NUP107  NUP93  MAGOHB  ACIN1  IPO8  NUP155  XPOT  TNPO1  NUP214  RNPS1  TPR  NUP35  PNN  IPO4  NUP58  NUP188  IPO11  AHCTF1  XPO4  NCBP1  IPO9  NUP37  NUP133"
0.0292709891698266,22,35,1.58624116779253,"Path:ggo04925 Aldosterone synthesis and secretion","https://www.genome.jp/kegg-bin/show_pathway?ggo04925"," ADCY7  ATP2B1  ATF1  ATP1A2  ATP1A4  PRKCE  ATF2  ADCY6  PRKD1  PLCB2  CACNA1H  ADCY3  CREB3  CREB1  ATP1B1  CAMK1G  NR4A1  CACNA1S  SCARB1  PRKCB  ITPR2  PRKD3"
0.0410762006025163,21,31,1.57237542331882,"Path:ggo04724 Glutamatergic synapse","https://www.genome.jp/kegg-bin/show_pathway?ggo04724"," ADCY7  GRIN2B  DLGAP1  HOMER1  PLD2  GLS  ADCY6  PLCB2  HOMER2  SLC17A8  ADCY3  GRIN3A  DLG4  SLC38A1  PLA2G4A  KCNJ3  GLS2  SLC38A2  PRKCB  ITPR2  GLUL"
0.0410762006025163,21,33,1.57237542331882,"Path:ggo04922 Glucagon signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ggo04922"," PRKAB1  PPP4C  FBP2  GYS2  PFKM  PKM  ATF2  ACACB  AKT3  PPP4R3B  FBP1  PLCB2  PYGL  CREB3  CREB1  CREBBP  PHKB  ITPR2  PRKAB2  PRKAA1  AKT1"
0.016170409612516,30,49,1.53690830850712,"Path:ggo04630 JAK-STAT signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?ggo04630"," IL4R  AOX1  LIFR  IL6R  IL10  STAT6  SOS1  PIK3R1  IL20  STAT1  PIAS2  STAT4  PTPN2  SOS2  PTPN6  AKT3  PIAS3  CCND2  STAM2  IL7R  PIAS1  CREBBP  IL23A  STAT2  IRF9  PRLR  JAK2  IFNG  IL26  IL22"
0.016170409612516,30,56,1.53690830850712,"Path:ggo05167 Kaposi sarcoma-associated herpesvirus infection","https://www.genome.jp/kegg-bin/show_pathway?ggo05167"," FOS  NFKBIA  PIK3R5  NFATC4  PIK3R1  STAT1  MAP2K1  EIF2AK2  PLCG2  HIF1A  TRAF3  RPS27A  AKT3  TBK1  SYK  CASP8  ATG14  TLR3  MAP2K4  CREB1  CREBBP  PTGS2  STAT2  IRF9  CDK4  NFATC1  JAK2  ITPR2  PIK3C3  GNB1"
0.0269266709735535,28,41,1.51413929652923,"Path:ggo04148 Efferocytosis","https://www.genome.jp/kegg-bin/show_pathway?ggo04148"," ODC1  NFATC4  GPR132  IL10  RAB17  MAP2K1  BCAR1  ARG2  ATP11A  THBS1  HIF1A  MFGE8  PTPN6  VPS39  ATP2A2  CREB1  ARNT  DUSP16  PTGS2  NFATC1  ANO6  JAK2  PBX1  ABCA1  GULP1  PTGER4  ADAM17  LRP1"
0.016170409612516,34,60,1.50430722317515,"Path:ggo05168 Herpes simplex virus 1 infection","https://www.genome.jp/kegg-bin/show_pathway?ggo05168"," IKBKE  EIF2B2  NFKBIA  OAS2  EIF2S1  PIK3R1  STAT1  HCFC2  EIF2AK2  ITGA5  POU2F1  ZC3HAV1  APAF1  TRAF3  TSC1  FASLG  AKT3  TBK1  SYK  CASP8  EIF2AK4  EIF2B1  TLR3  IRAK4  IFIH1  SP100  EIF2B4  BST2  STAT2  IRF9  SRSF5  EIF2AK3  JAK2  IFNG"
0.043113017977252,26,43,1.48869157725983,"Path:ggo04142 Lysosome","https://www.genome.jp/kegg-bin/show_pathway?ggo04142"," GNPTAB  CTSE  LAPTM4A  NPC1  ABCB9  SLC11A2  GALC  AP4B1  GNS  AP3B2  AP1G2  WDR7  LAMP1  CLN3  DMXL2  ATP6V0A2  GGA2  CTSV  CTSH  AP1G1  GNPTG  CTSK  GALNS  SORT1  AP3B1  LGMN"
0.043113017977252,26,47,1.48869157725983,"Path:ggo04261 Adrenergic signaling in cardiomyocytes","https://www.genome.jp/kegg-bin/show_pathway?ggo04261"," ADCY7  PPP2R5C  PIK3R5  ATP2B1  ATP1A2  ATP1A4  TPM1  ATF2  AKT3  ADCY6  SLC8A1  ATP2A2  PLCB2  PPP2R5A  ADCY3  CREB3  CREB1  ATP1B1  KCNK2  CACNA1S  TNNT2  RAPGEF4  SCN7A  RPS6KA5  RAPGEF3  ATP1A1"
0.0242367034471674,32,54,1.48323849455925,"Path:ggo05161 Hepatitis B","https://www.genome.jp/kegg-bin/show_pathway?ggo05161"," FOS  NFKBIA  NFATC4  STAT6  SOS1  PIK3R1  CASP10  STAT1  MAP2K1  TGFB3  ATF2  APAF1  TRAF3  MAP3K1  STAT4  SOS2  FASLG  AKT3  TBK1  CASP8  TLR3  IRAK4  IFIH1  MAP2K4  CREB3  CREB1  CREBBP  STAT2  NFATC1  JAK2  PRKCB  SMAD4"
