"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.63547315765046e-06,24,29,2.49686980409166,"Path:ggo04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?ggo04512"," ITGA2  COL2A1  COL4A1  ITGA1  THBS4  COL6A3  LAMC1  SV2B  LAMA3  ITGA10  ITGA5  ITGB6  THBS1  FN1  ITGA4  SV2C  LAMA1  TNC  ITGB7  ITGA6  LAMB3  THBS3  COL4A2  TNN"
0.00161095775373922,18,25,2.17227672955975,"Path:ggo03018 RNA degradation","https://www.genome.jp/kegg-bin/show_pathway?ggo03018"," TENT4B  EXOSC2  CNOT9  DIS3  DIS3L  PFKM  PAN3  EXOSC3  ZCCHC7  SKIC8  EXOSC8  TENT4A  CNOT2  PAN2  HSPD1  CNOT1  MTREX  EDC4"
2.44998391852789e-07,42,59,2.14773122979071,"Path:ggo04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?ggo04510"," RAP1B  ITGA2  SHC3  COL2A1  PXN  COL4A1  ITGA1  THBS4  COL6A3  SOS1  PIK3R1  LAMC1  MAP2K1  BCAR1  LAMA3  ITGA10  ITGA5  ITGB6  THBS1  SHC1  SOS2  AKT3  FN1  ACTN1  CCND2  ITGA4  RAPGEF1  MYLK3  LAMA1  TNC  ITGB7  RASGRF1  ITGA6  LAMB3  ARHGAP5  THBS3  COL4A2  TNN  PIP5K1B  PRKCB  ITGA7  SHC4"
0.000166230705306728,27,39,2.08872762457668,"Path:ggo03013 Nucleocytoplasmic transport","https://www.genome.jp/kegg-bin/show_pathway?ggo03013"," XPO1  THOC6  XPO6  DDX19B  NUP107  NUP93  MAGOHB  ACIN1  IPO8  NUP155  XPOT  TNPO1  NUP214  RNPS1  TPR  NUP35  PNN  IPO4  NUP58  NUP188  IPO11  AHCTF1  XPO4  NCBP1  IPO9  NUP37  NUP133"
0.000166230705306728,28,41,2.06042508223824,"Path:ggo01200 Carbon metabolism","https://www.genome.jp/kegg-bin/show_pathway?ggo01200"," HK2  GCSH  FH  GLDC  HIBCH  SUCLA2  PKLR  CPS1  FBP2  PFKM  ACO1  PKM  MDH1  IDH3A  SDSL  FBP1  ACADS  HAO2  ALDOB  GPT2  SUCLG1  CS  SUCLG2  RPIA  GOT2  ALDH6A1  ME2  PSAT1"
0.000166230705306728,28,41,2.06042508223824,"Path:ggo04148 Efferocytosis","https://www.genome.jp/kegg-bin/show_pathway?ggo04148"," ODC1  NFATC4  GPR132  IL10  RAB17  MAP2K1  BCAR1  ARG2  ATP11A  THBS1  HIF1A  MFGE8  PTPN6  VPS39  ATP2A2  CREB1  ARNT  DUSP16  PTGS2  NFATC1  ANO6  JAK2  PBX1  ABCA1  GULP1  PTGER4  ADAM17  LRP1"
0.00161095775373922,21,31,2.04380875092987,"Path:ggo04724 Glutamatergic synapse","https://www.genome.jp/kegg-bin/show_pathway?ggo04724"," ADCY7  GRIN2B  DLGAP1  HOMER1  PLD2  GLS  ADCY6  PLCB2  HOMER2  SLC17A8  ADCY3  GRIN3A  DLG4  SLC38A1  PLA2G4A  KCNJ3  GLS2  SLC38A2  PRKCB  ITPR2  GLUL"
0.000118921150769974,31,46,2.03323003068696,"Path:ggo04141 Protein processing in endoplasmic reticulum","https://www.genome.jp/kegg-bin/show_pathway?ggo04141"," ERO1A  DDOST  HSPA5  DERL2  HSP90B1  ERLEC1  MARCHF6  EIF2S1  RAD23B  PDIA6  UBQLN1  SEL1L  AMFR  MAN1A2  MAN1B1  VCP  PREB  UBXN4  MBTPS1  EDEM3  BAG1  DNAJC10  SEC23A  DNAJC3  UGGT2  DNAJA2  HSPH1  EIF2AK3  LMAN1  HERPUD1  STUB1"
1.13593939332651e-07,55,83,1.9992506714489,"Path:ggo04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?ggo04820"," LBR  DSG2  AMPD2  ITGA2  MYH11  COL4A1  ITGA1  THBS4  COL6A3  COL5A1  SPTAN1  TMOD4  SPTBN1  ATP1A2  ATP1A4  ITGA10  ITGA5  TPM1  MYH13  SGCG  ITGB6  MYH2  THBS1  MYH4  MYH8  ACTG2  FN1  TMOD2  LMNA  ITGA4  TRIM54  FMNL2  MYH3  COL27A1  TMOD3  LAMA1  DIAPH3  ATP1B1  ITGB7  ITGA6  MYBPC1  ACTN2  DAAM1  THBS3  COL4A2  DSC2  TNNT2  TMOD1  FMNL3  MYH10  ITGA7  COL3A1  ATP1A1  COL5A2  SYNE3"
0.000480429187920592,27,41,1.98683847215831,"Path:ggo04935 Growth hormone synthesis secretion and action","https://www.genome.jp/kegg-bin/show_pathway?ggo04935"," ADCY7  SHC3  FOS  SOS1  PIK3R1  STAT1  MAP2K1  BCAR1  PLCG2  ATF2  SHC1  MAP3K1  ADCY10  SOS2  AKT3  ADCY6  PLCB2  MAP2K4  ADCY3  CREB3  CREB1  CREBBP  JAK2  CACNA1S  PRKCB  ITPR2  SHC4"
