"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.00761172191459e-36,847,1556,1.40795860244811,"Path:hsa01100 Metabolic pathways","https://www.genome.jp/kegg-bin/show_pathway?hsa01100"," ACOT8  GNE  PIGK  ABHD14A-ACY1  ST20-MTHFS  CYP3A7-CYP3A51P  NAMPT  AASS  ALG3  COQ7  GPHN  TCIRG1  LANCL1  B3GALT5  AKR1A1  BPNT1  CEPT1  CDS1  PEMT  ACAA2  ATP5PD  SPTLC1  CEL  POMT1  MTHFS  PAICS  ADCY1  CERS1  PTGES3  AHCYL1  ADCY2  NEU3  ALDH1L1  PDE10A  HPSE  ME3  ADCY3  DHRS4  MAN1A2  EHMT2  SLC27A5  LIAS  AKR1C4  ADCY5  PRDM7  NUDT5  CHIT1  TREH  CHKA  ADCY6  CHKB  GALNT5  CA5B  SAT2  MAN1B1  B4GALT7  PLCD3  MGAT4A  MGLL  AZIN2  SDSL  ADCY8  GALNT13  ADCY9  NT5C3B  CKMT1A  CKMT2  MOGAT1  THEM4  GSTO2  PNLIPRP3  CYP2R1  AK7  ADSS1  MTFMT  HYKK  PLA2G4E  ADH1A  B4GALNT2  ADH1B  ADH1C  ADH4  ADH5  PIGU  ADH6  ACMSD  SGPP2  ADH7  ADK  NADK2  ACOT12  COX7A2  B3GAT2  COX10  COX11  COX15  CPS1  GPAT4  HGSNAT  DGKK  ACSM6  CS  AMDHD1  LACC1  B3GALNT2  CTH  CTPS1  SMYD1  PLB1  UPP2  MGAT4D  VKORC1L1  CYP3A7  CYP2C19  CYP2C8  CYP2C9  CYP2C18  CYP2E1  CYP2J2  CYP3A4  CYP3A5  ADSL  AK8  CYP11B2  ADSS2  CYP24A1  CYP26A1  CYP27A1  CYP51A1  LDHAL6A  ALDH1L2  DGKA  DGKB  DGKG  DGKH  DBT  DCK  DCTD  DCT  DDC  AKR1C1  AKR1C2  GALNTL5  IDO2  DGUOK  DHODH  DLAT  DLD  DLST  SARDH  AGL  DNMT1  DNMT3A  DNMT3B  ABAT  DPYD  DPYS  AHCY  SDR16C5  EHHADH  FCSK  ACSF3  ALG14  PIKFYVE  HACD2  STT3B  ENO1  AK2  AK4  EPHX2  EPRS1  ESD  ALAD  ALAS1  MECOM  EXT1  EXT2  EXTL1  EZH1  EZH2  ALDH1A1  ALDH2  ACSL1  ACSL3  ACSL4  FAH  FASN  ALDH1A3  FBP1  AK9  FKTN  FDFT1  FDPS  FECH  ALDH3A2  FH  FHIT  INPP5F  ALDOB  SACM1L  SEPHS1  SIRT2  RPIA  NT5C2  PLCH1  NMNAT2  SETD1B  SARM1  AKR1B1  COLGALT2  LPIN1  GANAB  FMO3  FMO4  ACSL6  AHCYL2  SIRT5  SIRT1  FOLH1  GCAT  TGDS  NNT  ATP6V0A2  HYAL4  PIGN  FPGS  CA14  BHMT2  ALOX12B  ATP6V1C2  ALOX15  ALPL  KDSR  LCLAT1  CERS6  G6PD  LPCAT4  GAA  PLA2G4F  ST6GALNAC3  GAD1  GAD2  GALC  B4GALNT1  MGAT4C  GALK2  GALNS  GALNT1  GALNT2  MTHFD1L  GALNT3  GALT  GANC  NUDT13  GAPDH  GART  B3GAT3  HIBCH  GATM  GBA1  GALNT8  GBE1  GCNT2  GCSH  GFPT1  GGT5  OPLAH  TPK1  ACAD8  B3GAT1  AMPD2  GK  PDE7B  INPP5J  CHIA  GLS2  AMPD3  GLB1  COQ2  GCLC  GCLM  HPGDS  GLDC  PGAP2  GLO1  MAT2B  GLS  GLUD1  AMT  GLUL  AMY1A  GMDS  GMPR  AMY1B  AMY1C  AMY2A  GNS  AMY2B  GOT2  GPI  GPLD1  P4HA3  PGM2L1  B4GALNT3  PLA2G4D  GDPD1  ANPEP  SETD2  GSR  GSTA4  GSTM3  GUCY1A2  GUCY1A1  GUCY1B1  GUCY2C  GUCY2F  GUK1  ALG5  GUSB  GYG1  PYCR2  NME7  DSE  DMGDH  PSAT1  GYS1  GYS2  GUCY2D  HADHA  HADHB  HADH  HAL  HCCS  HDC  HEXB  HGD  HK1  HK2  ACACA  HK3  HLCS  HMGCL  HMGCR  AOX1  HMOX1  HMOX2  HNMT  DHRS4L2  ACACB  HPD  HPRT1  MMAB  HSD17B3  HSD17B4  ACADL  NDST1  ACADM  AKR1C8  ACSM4  IDH3A  IDH3B  IDH3G  IDI1  ACADS  ACADSB  IMPA1  IMPDH2  IDO1  INPP4A  INPP5A  INPP5B  INPP5D  ACADVL  STT3A  ITPKB  IVD  GSTK1  CA13  ARG1  ARG2  KMT5A  ACAT2  LBR  LDHA  LDHC  FADS1  HACD4  LSS  LTA4H  CYP4F3  MAN1A1  MAN2A2  MAN2A1  MAOA  MAOB  MARS1  MAT2A  MDH1  MDH2  ME1  MGAT5  MGST1  MGST3  ASAH1  KMT2A  ALDH6A1  MOCS1  ASNS  AKR1B15  GALNTL6  ASS1  MTAP  MTHFD1  MTM1  MTR  MMUT  MVK  NDUFA5  ACLY  NDUFA8  NDUFA9  NDUFA10  NDUFAB1  ATIC  NDUFB4  NDUFB5  NDUFS1  NDUFS2  NDUFS3  NDUFV1  NDUFS4  NDUFV2  ATP12A  ACO1  NME1  NOS1  NOS2  NPR1  NPR2  NT5E  OAT  OCRL  ODC1  ATP4B  OGDH  ATP5F1A  ACO2  OTC  ALDH7A1  OXCT1  P4HA1  PAFAH1B1  RRM2B  PAFAH1B2  PAH  ATP5F1B  ATP6V0A4  PC  PCBD1  PDE11A  PCCA  PCCB  ACOX1  COQ6  HDDC2  LAP3  TXNDC12  DERA  APIP  CRYL1  KMT5B  HSD17B12  AADAT  HSD17B11  HAO2  DCXR  PLCE1  NT5C3A  PIPOX  PCYT1A  PDE1A  PDE2A  CSAD  ATP6V1D  PDE3A  PDE3B  PDE4A  PDE4B  PDE4C  PDE4D  PDE6A  PDE6C  PDE6D  HSD17B7  HACD3  ATP5PB  PDE7A  PDE8A  PDE9A  PDE1B  SIRT7  PDE6B  ATP5MC1  PDHA1  PIGT  ATP6V1H  PDHB  ENPP1  ENPP2  ENPP3  ATP5MC2  ACSL5  CMPK1  INPP5K  ATP5MC3  COQ3  GALNT7  GATB  PFAS  ACP1  PFKFB1  PFKFB3  PFKFB4  PFKM  PFKP  PGAM1  PGD  ATP6V1A  PGK1  PGM1  PGM3  ATP6V1B1  ATP6V1B2  ATP6V1C1  PIGF  PIGH  PIK3C2A  PIK3C2B  PIK3C2G  PIK3C3  ATP6V1E1  PIK3CA  PIK3CB  PIK3CG  PI4KA  PI4KB  ACP2  PIP4K2A  PKLR  PKM  PLA2G4A  PLCB2  PLCB3  PLCB4  PLCD1  NUDT9  PANK1  PLD1  PLD2  ATP6V0A1  PLOD2  ATP6AP1  PMM1  PNLIP  PNLIPRP1  NANS  HAO1  CHPF2  HMGCLL1  UGT1A10  UGT1A8  UGT1A7  UGT1A6  UGT1A5  UGT1A9  UGT1A4  UGT1A1  UGT1A3  CRLS1  PPAT  TRIT1  ELOVL2  AUH  NSD3  LPCAT2  UCKL1  PPOX  ACSM5  MOCOS  PNPO  TMLHE  ETNK2  ADI1  PGM2  FGGY  QRSL1  PI4K2B  RFK  AGPAT5  ACER3  CHDH  PI4K2A  PPT1  DHTKD1  ENOSF1  GALNT10  NAGK  MTMR8  POMGNT1  SMPD4  CNDP2  AGK  OGDHL  CSGALNACT1  ST6GALNAC1  ADCY10  ALLC  ASH1L  ACSS2  KMT2E  CMAS  ALG1  KYAT3  PRPS1  PRPS2  CTPS2  ASAH2  AGPAT3  MCCC1  SMYD2  NT5M  NIT2  PRDM9  CHPT1  AKR1B10  PTEN  PTGS2  GALNT16  GPAM  GBA2  GBA3  PTS  ALDH18A1  PCYT2  PYGB  PYGL  PYGM  SQOR  PRUNE1  KMT2C  PRODH2  QARS1  BCAT1  RENBP  ELOVL5  HPSE2  AASDHPPT  RPE  RPE65  RPN1  RPN2  BDH1  RRM1  RRM2  ACSM3  MSMO1  SCP2  BHMT  SDHA  GALNT11  PRDM16  RBKS  MCCC2  SETMAR  NSD1  GALNT17  MTMR14  NDST4  SMYD3  SI  CERK  ST3GAL4  ETNPPL  ST3GAL3  ST8SIA1  NME1-NME2  AACS  SMPD1  SMPD2  SMS  SORD  SQLE  AKR1D1  SULT1E1  BST1  SUV39H1  BTD  TAT  TBXAS1  TK1  TK2  TPH1  TPI1  GFUS  TYMS  CRPPA  TYRP1  UGCG  UGDH  UGP2  UMPS  UQCRC2  UQCRH  UROD  NSD2  XDH  CA1  CA2  CA7  CA9  CAD  GGCT  ALG8  CHAC1  ALDH5A1  ABHD16A  HSD17B8  PLA2G7  ACSS3  PANK3  GALNT12  SUV39H2  ALG9  UGT2A3  EHMT1  AGMAT  CAMKMT  PIP4K2C  ALG13  L2HGDH  PGAP1  UXS1  HKDC1  PDHX  KMT2D  NPL  PTDSS2  SGPP1  HYI  PNPLA4  TKTL1  ACOX2  ACOX3  ELOVL3  CHST9  PIP5K1A  PIP5K1B  PIP4K2B  PCBD2  BBOX1  DOT1L  ACSS1  ST6GAL2  CAT  GPT2  PIGO  CNDP1  GPAT3  PLCD4  NDST2  LIPF  DGKZ  DGKE  DGKD  CYP4F2  AGPS  KMO  PDXK  PLA2G4C  PLPP1  PLPP3  PDE8B  AKR1C3  PDE5A  ALDH4A1  HYAL2  B4GALT4  B3GALNT1  CDS2  MTMR1  FBP2  SUCLG2  SUCLG1  SUCLA2  INPP4B  GMPS  ALDH1A2  SYNJ1  ST3GAL5  SYNJ2  VNN2  VNN1  SGPL1  MTMR3  MTMR2  GYG2  KYNU  MGAM  P4HA2  PLOD3  PLCZ1  SELENBP1  NFS1  PAPSS2  PAPSS1  CERS5  MTMR6  MTMR7  MTMR4  DGKI  SLC33A1  LARGE1  PGAP3  B4GALT5  MGAM2  NDST3  KL  LIPG  PIGS  GSTO1  PCYT1B  PIGB  PGS1  ACY1  SPTLC2  CD38  ENTPD1  ENTPD6  MINPP1  ENTPD5  GDA  PLCH2  LPIN2  SETD1A  PTDSS1  FIG4  XYLB"
1.76724167716502e-19,145,202,1.85666136675945,"Path:hsa04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?hsa04510"," LAMC3  VAV3  MYL12A  P3R3URF-PIK3R3  COL1A1  COL1A2  COL2A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  COL6A1  COL6A2  COL6A3  COL9A1  COL9A2  COL9A3  COMP  COL6A6  CTNNB1  DIAPH1  DOCK1  EGF  EGFR  ELK1  ERBB2  AKT1  AKT2  VEGFD  LAMB4  ITGA11  FLNA  FLNB  FLT1  FLT4  FN1  COL6A5  LAMA1  RAPGEF1  GSK3B  PARVB  BIRC2  TNC  IBSP  ILK  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGA7  ITGA9  ITGAV  ITGB1  ITGB3  ITGB4  ITGB5  ITGB6  ITGB7  ITGB8  KDR  LAMA2  LAMA3  LAMA4  LAMA5  LAMB1  LAMB2  LAMB3  LAMC1  LAMC2  ARHGAP5  SHC4  MET  MYLK  PPP1R12A  PPP1R12B  PAK1  PAK2  PAK3  PDGFA  PDGFRA  PDPK1  PGF  PIK3CA  PIK3CB  PIK3R1  SHC3  PARVA  PRKCA  PRKCB  PRKCG  MAPK1  MAPK8  MAPK9  MAPK10  MAP2K1  RELN  PTEN  PTK2  PXN  RAC1  RAF1  RAP1A  RAP1B  RASGRF1  CCND1  ROCK1  TNN  PARVG  SHC1  SOS1  SOS2  SPP1  BRAF  THBS1  THBS2  THBS3  THBS4  TLN1  TNR  TNXB  VASP  VAV1  VAV2  VCL  VEGFC  VTN  VWF  ZYX  PDGFD  ACTN4  TLN2  PIP5K1A  PIP5K1B  PIK3R3  ITGA10  ITGA8  ACTN1  CCND2  MYLK3  ROCK2  BCAR1"
2.02267779429035e-19,161,232,1.79495662811388,"Path:hsa04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?hsa04820"," NEBL  PDLIM5  FMNL2  COL1A1  COL1A2  COL3A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  COL5A1  COL5A2  COL6A1  COL6A2  COL6A3  XIRP2  COL9A1  COL9A2  COL9A3  COL11A1  COL11A2  COMP  COL6A6  SGCZ  CSRP1  SYNE3  DES  DIAPH1  DIAPH2  DMD  DSC2  DSG2  DSP  DTNA  ENO1  FHL1  ITGA11  MYH15  DAAM1  FLNC  SYNE2  SYNE1  FN1  SUN1  ATP1B4  DAAM2  COL24A1  COL6A5  SUN2  LMOD1  ANKRD2  ANKRD1  AMPD2  AMPD3  LAMA1  ANK2  ANK3  TMOD4  TMOD3  TMOD2  HSPG2  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGA7  ITGA9  ITGAV  ITGB1  ITGB3  ITGB4  ITGB5  ITGB6  ITGB7  ITGB8  JUP  LAMA2  LBR  LMNA  LMNB1  LMOD2  MYBPC1  MYBPC2  MYBPC3  MYH1  MYH2  MYH3  MYH4  MYH6  MYH8  MYH9  MYH10  MYH11  NEB  ATP1A1  ATP1A2  ATP1A3  ATP1A4  ATP1B1  ATP1B3  NRAP  COL5A3  SPTBN5  LMOD3  FMN2  TRIM54  MYH7B  SPTBN4  SDC4  INF2  SGCB  SGCG  SPTAN1  SPTBN1  SPTBN2  ACTC1  THBS1  THBS2  THBS3  THBS4  TLN1  TMOD1  TNNC1  TNNI2  TNNT2  TNNT3  TPM1  TPM3  TPM4  TTN  VCL  VIM  FMNL1  ZYX  MYH14  DIAPH3  CAPZA1  CAPZA2  TLN2  OBSCN  MYPN  TRIM55  TRIM63  LMNB2  ITGA10  ITGA8  COL27A1  PDLIM4  MYH13  MYOM1  ACTN2  ACTN3  SGCE  FMNL3  PDLIM1  MYOM2  MYOT"
2.66732606102434e-19,213,332,1.65942484350212,"Path:hsa05165 Human papillomavirus infection","https://www.genome.jp/kegg-bin/show_pathway?hsa05165"," CDK4  PATJ  CDK6  TCIRG1  LAMC3  IRF9  TADA3  CREB3  P3R3URF-PIK3R3  CHD4  RBPJL  CHUK  COL1A1  COL1A2  COL2A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  COL6A1  COL6A2  COL6A3  COL9A1  COL9A2  COL9A3  COMP  COL6A6  CREB1  CREBBP  CSNK1A1  TICAM1  CREB3L4  CTNNB1  DLG1  DLG2  DLG3  JAG1  DVL1  DVL2  EGF  EGFR  EP300  AKT1  AKT2  LAMB4  ITGA11  FN1  UBR4  HEY1  HEY2  SCRIB  ATP6V0A2  ATP6V1C2  MTOR  COL6A5  HEYL  LAMA1  TBK1  GSK3B  HDAC1  HDAC2  APC  TNC  IBSP  IFNAR1  RBPJ  FAS  IKBKB  FASLG  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGA7  ITGA9  ITGAV  ITGB1  ITGB3  ITGB4  ITGB5  ITGB6  ITGB7  ITGB8  JAK1  TBPL2  LAMA2  LAMA3  HES3  LAMA4  LAMA5  LAMB1  LAMB2  LAMB3  LAMC1  LAMC2  LFNG  LLGL2  LLGL1  MDM2  MFNG  MX1  MX2  ATM  NFKB1  NFX1  NOTCH1  NOTCH2  NOTCH3  ATP6V0A4  ATP6V1D  ATP6V1H  ATP6V1A  ATP6V1B1  ATP6V1B2  ATP6V1C1  ATP6V1E1  PIK3CA  PIK3CB  PIK3R1  PKM  ATP6V0A1  ATP6AP1  ATR  PPP2R3C  PPP2CA  PPP2CB  PPP2R1A  PPP2R1B  PPP2R2A  PPP2R3A  PPP2R5A  PPP2R5C  PPP2R5D  PPP2R5E  MAML3  PRKACB  PRKCI  PPP2R2D  PRKCZ  MAPK1  MAP2K1  MAP2K2  EIF2AK2  PARD3  RELN  PSEN1  PSMC1  PTEN  PTGER4  PTGS2  PTK2  PXN  RAF1  RB1  RBL1  RBL2  CCND1  RPS6KB1  TNN  PALS1  CREB3L2  SOS1  SOS2  SPP1  STAT1  STAT2  TBP  TCF7  TCF7L2  TERT  THBS1  THBS2  THBS3  THBS4  TLR3  TNR  TNXB  TP53  TRAF3  TSC1  TSC2  TYK2  UBE3A  VTN  VWF  FZD3  AXIN2  FZD6  CASP3  CASP8  MAML2  PARD6G  PARD6B  HES7  CREB3L3  PIK3R3  ITGA10  ITGA8  IKBKG  TRADD  CCNA2  CCND2  CCNE1  CREB3L1  CCNE2  MAGI1  CREB5  IKBKE  MAML1"
3.82776478876859e-15,73,89,2.12152874965013,"Path:hsa04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?hsa04512"," COL1A1  COL1A2  COL2A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  COL6A1  COL6A2  COL6A3  COL9A1  COL9A2  COL9A3  COMP  COL6A6  FREM1  DMP1  LAMB4  ITGA11  SV2C  FN1  COL6A5  LAMA1  HMMR  HSPG2  TNC  IBSP  FREM2  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGA7  ITGA9  ITGAV  ITGB1  ITGB3  ITGB4  ITGB5  ITGB6  ITGB7  ITGB8  LAMA2  LAMA3  LAMA4  LAMA5  LAMB1  LAMB2  LAMB3  LAMC1  LAMC2  RELN  MEPE  SDC4  TNN  SPP1  THBS1  THBS2  THBS3  THBS4  TNR  TNXB  VTN  VWF  FRAS1  ITGA10  ITGA8  CD36  SV2B"
1.1097580001371e-14,112,158,1.83348349024731,"Path:hsa04110 Cell cycle","https://www.genome.jp/kegg-bin/show_pathway?hsa04110"," CDK4  CDK6  CDK7  STAG1  ANAPC10  NDC80  MAD2L2  STAG2  DBF4  CHEK1  CHEK2  CDCA5  ESCO1  CREBBP  ESCO2  DDX11  E2F3  E2F4  EP300  PDS5B  WAPL  PDS5A  MAU2  ORC3  NIPBL  FBXO5  MTBP  SMC1B  GSK3B  ANAPC2  ANAPC4  HDAC1  HDAC2  SMAD4  MCM2  MCM3  MCM4  MCM5  MCM6  MCM7  MDM2  ATM  WEE2  ORC1  ORC2  ORC4  ORC5  PCNA  FZR1  ANAPC5  ANAPC7  ATR  ATRX  PPP2CA  PPP2CB  PPP2R1A  PPP2R1B  PPP2R5A  PPP2R5C  PPP2R5D  PPP2R5E  HDAC8  PRKDC  KNL1  RAD21  RB1  RBL1  RBL2  CCND1  ANAPC1  SKP1  BUB1  TFDP1  TFDP2  TGFB1  TGFB3  TP53  TTK  WEE1  YWHAB  YWHAE  YWHAZ  DBF4B  SMC1A  CDC7  CDC45  MAD1L1  CUL1  CCNB3  CDC14B  CDC14A  CDC23  CDC16  CCNA2  CCNB1  CCND2  CCNE1  CCNH  TICRR  SMC3  CCNB2  CCNE2  BUB3  PTTG1  TRIP13  ESPL1  CDK1  CDC20  CDC25A  CDC25B  CDC25C  CDC27"
3.97993624501865e-14,215,362,1.53619362084898,"Path:hsa04151 PI3K-Akt signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?hsa04151"," C8orf44-SGK3  SGK2  LPAR6  CDK4  CDK6  LAMC3  CREB3  GNB5  P3R3URF-PIK3R3  CDC37  CHUK  THEM4  PIK3AP1  COL1A1  COL1A2  COL2A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  COL6A1  COL6A2  COL6A3  COL9A1  COL9A2  COL9A3  COMP  COL6A6  CREB1  ATF2  ATF6B  CSH1  CSH2  CSHL1  CREB3L4  LPAR1  EGF  EGFR  EIF4E  CRTC2  EPO  ERBB2  ERBB3  ERBB4  AKT1  AKT2  FGF8  FGFR1  FGFR3  FGFR2  VEGFD  LAMB4  ITGA11  PHLPP2  FOXO3  FLT1  FLT3  FLT3LG  PHLPP1  FLT4  FN1  PIK3R5  LPAR3  SGK3  MTOR  EIF4E1B  COL6A5  GH1  GH2  GNB1  LAMA1  ANGPT2  GSK3B  PKN3  GYS1  GYS2  NR4A1  HSP90AB1  TNC  IBSP  IFNAR1  IKBKB  IL2  FASLG  IL3  IL3RA  IL4R  IL6  IL6R  IL7  IL7R  INSR  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGA7  ITGA9  ITGAV  ITGB1  ITGB3  ITGB4  ITGB5  ITGB6  ITGB7  ITGB8  JAK1  JAK2  JAK3  KDR  KIT  LAMA2  LAMA3  LAMA4  LAMA5  LAMB1  LAMB2  LAMB3  LAMC1  LAMC2  MDM2  MET  KITLG  MTCP1  MYB  NFKB1  NTRK1  NTRK2  ANGPT4  PDGFA  PDGFRA  PDPK1  PGF  PIK3CA  PIK3CB  PIK3CG  PIK3R1  PPP2R3C  PPP2CA  PPP2CB  PPP2R1A  PPP2R1B  PPP2R2A  PPP2R3A  PPP2R5A  PPP2R5C  PPP2R5D  PPP2R5E  PRKAA1  PRKAA2  PRKCA  PPP2R2D  PKN2  MAPK1  MAP2K1  MAP2K2  PRL  PRLR  RELN  PTEN  PTK2  RPTOR  RAC1  RAF1  RBL2  GNB4  CCND1  RET  RPS6  RPS6KB1  TNN  MLST8  SGK1  CREB3L2  SOS1  SOS2  SPP1  BRCA1  SYK  THBS1  THBS2  THBS3  THBS4  TNR  TNXB  TP53  HSP90B1  TSC1  TSC2  VEGFC  VTN  VWF  YWHAB  YWHAE  YWHAZ  PDGFD  CASP9  CREB3L3  PIK3R3  ITGA10  ITGA8  IKBKG  CCND2  CCNE1  CREB3L1  CCNE2  OSMR  MAGI1  EIF4E2  CREB5  MAGI2"
4.58443933768262e-14,130,194,1.73323595773563,"Path:hsa04814 Motor proteins","https://www.genome.jp/kegg-bin/show_pathway?hsa04814"," ACTR1B  DNAL4  TUBB4A  TUBB4B  DCTN2  CENPE  MYL12A  KIF1C  KIF2C  KIF3A  KIF12  KIF19  DNAI3  DNAH14  MYO3B  DNAH2  KIF18B  DCTN1  DNAH5  DNAH6  DNAH8  DNAH9  DYNC1H1  DYNC1I1  DYNC1I2  DYNC1LI2  DNAH10  DNAH12  KIF6  KIFAP3  MYH15  MYO16  KIF21B  KIF1B  KIF13B  KIF4A  DNAH1  KIF26A  DNAI1  MYO1H  KIF24  KIF7  KIF2A  KIF3C  KIF5A  KIF5B  KIF5C  KIFC3  KLC1  KIF11  KIFC1  MYO18A  MYO1B  MYH1  MYH2  MYH3  MYH4  MYH6  MYH8  MYH9  MYH10  MYH11  MYO1A  MYO1C  MYO1D  MYO1E  MYO5A  MYO5B  MYO6  MYO7A  MYO7B  MYO9A  MYO9B  MYO10  DYNC1LI1  DCTN4  MYO15A  TUBE1  DYNC2LI1  TUBA8  MYO3A  KIF26B  DNAH3  KIF27  KIF21A  KIF16B  ACTR10  MYO5C  DNAH7  KIF15  STARD9  KIF17  MYH7B  ACTA2  KIF13A  MYO1G  KIF9  DNAI2  DYNLT3  DYNLT1  ACTC1  TNNC1  TNNI2  TNNT2  TNNT3  TPM1  TPM3  TPM4  DYNC2H1  MYH14  DNAI4  TUBAL3  MYO15B  MYO19  KIF18A  CAPZA1  CAPZA2  DNAL1  DYNLRB2  HOOK3  DCTN5  MYO18B  DNAH17  DNAH11  MYH13  KLC4  KIFC2  BICDL1  KIF23  KIF20B"
1.23514521670481e-12,80,107,1.93384774004723,"Path:hsa03013 Nucleocytoplasmic transport","https://www.genome.jp/kegg-bin/show_pathway?hsa03013"," SRRM1  NXF1  IPO8  IPO7  RNPS1  XPOT  DDX19B  NUP35  CSE1L  CASC3  NCBP2  ACIN1  XPO7  NUP205  XPO6  NUP210  NUP160  NUP188  TNPO3  KPNA6  AHCTF1  UPF2  GLE1  TNPO2  NUP43  KPNA1  KPNB1  KPNA2  KPNA3  KPNA4  KPNA5  TNPO1  IPO5  KPNA7  MAGOH  NCBP1  NUP98  NMD3  PHAX  NUP54  PNN  MAGOHB  TMEM33  IPO9  NDC1  NUP133  NXT2  NXF3  NXF2  NUP107  THOC2  XPO5  RANBP2  SENP2  UPF1  SEC13  XPO4  RANBP17  UPF3B  UPF3A  TPR  NXF2B  SUMO1  XPO1  NUP37  IPO4  NUP85  NUP214  AAAS  SEH1L  RAE1  THOC5  NUP210L  NUP155  IPO13  NUP93  EIF4A3  NUP58  POM121  NUP153"
4.77189173157804e-11,89,128,1.79844062778025,"Path:hsa00230 Purine metabolism","https://www.genome.jp/kegg-bin/show_pathway?hsa00230"," PAICS  ADCY1  ADCY2  PDE10A  ADCY3  ADCY5  NUDT5  ADCY6  ADCY8  ADCY9  AK7  ADSS1  ADK  LACC1  ADSL  AK8  ADSS2  DCK  DGUOK  AK2  AK4  AK9  FHIT  NT5C2  GART  AMPD2  PDE7B  AMPD3  GMPR  GUCY1A2  GUCY1A1  GUCY1B1  GUCY2C  GUCY2F  GUK1  NME7  GUCY2D  HPRT1  IMPDH2  ATIC  NME1  NPR1  NPR2  NT5E  RRM2B  AK3  PDE11A  HDDC2  PDE1A  PDE2A  PDE3A  PDE3B  PDE4A  PDE4B  PDE4C  PDE4D  PDE6A  PDE6C  PDE6D  PDE7A  PDE8A  PDE9A  PDE1B  PDE6B  ENPP1  ENPP3  PFAS  PGM1  NUDT9  PPAT  PGM2  ADCY10  ALLC  PRPS1  PRPS2  NT5M  PRUNE1  RRM1  RRM2  NME1-NME2  XDH  PDE8B  PDE5A  GMPS  PAPSS2  PAPSS1  ENTPD1  ENTPD6  ENTPD5"
