"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.9974578379319e-11,75,194,2.32220995972739,"Path:hsa04814 Motor proteins","https://www.genome.jp/kegg-bin/show_pathway?hsa04814"," ACTR1A  TUBA1B  TUBB3  DCTN2  CENPE  KIF1C  KIF2C  DNAH14  MYL6B  DNAH2  KIF18B  DCTN1  DNAH5  DNAH6  DNAH8  DNAH9  DYNC1H1  DYNC1LI2  DNAH10  DNAH12  KIF21B  KIF1B  KIF13B  KIF4A  KIF26A  DNAI1  MYL11  TUBB2B  KIF2A  KIF5A  KIFC3  KIFC1  MYO18A  MYO1B  MYO1F  MYH4  MYH7  MYH8  MYH9  MYH10  MYL2  MYO1C  MYO6  MYO7A  MYO7B  MYO9B  TUBD1  TUBE1  KIF1A  KIF26B  DNAH3  KIF27  ACTR10  MYO5C  DNAH7  STARD9  KIF17  MYL7  ACTB  KIF13A  KIF9  KLC2  ACTG1  TNNI2  TNNI3  DYNC2H1  MYH14  DNAI4  MYO15B  KIF18A  DYNLRB1  HOOK3  DNAH17  DNAH11  KIF20B"
5.29106397827025e-07,75,232,1.93854048812025,"Path:hsa04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?hsa04820"," NEBL  LDB3  MYOM3  COL1A2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL5A1  COL6A2  COL6A3  COL11A1  DIAPH1  DMD  DSG2  DSP  ANKRD23  SYNE1  FN1  SUN1  DAAM2  SUN2  ANKRD2  AMPD1  AMPD2  AMPD3  LAMA1  ANK2  MYL11  HSPG2  ITGA6  ITGA7  ITGA9  ITGAV  ITGB4  ITGB7  JUP  LAMA2  MYBPC2  MYH4  MYH7  MYH8  MYH9  MYH10  MYL2  NEB  ATP1A3  NID1  NRAP  COL5A3  MYOZ2  SPTBN4  MYL7  ACTB  SGCD  SPTBN1  SPTBN2  THBS3  TLN1  ACTG1  TNNI2  TNNI3  TTN  MYH14  DIAPH3  OBSCN  FBN3  TRIM55  COL27A1  MYOM1  ACTN2  FMNL3  MYOM2  MYOZ3"
0.000302023769149528,60,202,1.78345724907063,"Path:hsa04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?hsa04510"," LAMC3  COL1A2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL6A2  COL6A3  DIAPH1  EGF  EGFR  FLNA  FLNB  FLT4  FN1  FYN  SHC2  LAMA1  GSK3B  MYL11  HGF  TNC  ITGA6  ITGA7  ITGA9  ITGAV  ITGB4  ITGB7  LAMA2  LAMA3  LAMA5  LAMB1  LAMB2  SHC4  MYL2  MYLK  PPP1R12B  PAK1  PIK3R1  PPP1R12C  PPP1CA  PPP1CB  PARVA  PRKCA  PDGFC  RELN  PTEN  PTK2  MYL7  RASGRF1  ACTB  TNN  THBS3  TLN1  ACTG1  ACTN4  PIP5K1A  PIK3R3  BCAR1"
0.000681248529433264,31,86,2.19393550480911,"Path:hsa05412 Arrhythmogenic right ventricular cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?hsa05412"," CTNNA2  DMD  DSG2  DSP  LAMA1  CTNNA3  ITGA6  ITGA7  ITGA9  ITGAV  ITGB4  ITGB7  JUP  LAMA2  NOS1  ATP2A1  LEF1  CACNA2D3  CACNG8  ACTB  RYR2  SGCD  SLC8A1  SLC8A3  TCF7  ACTG1  CACNA1C  CACNA1D  CACNA2D1  ACTN2  CACNA2D2"
0.000740708838235166,35,103,2.06009913258984,"Path:hsa04974 Protein digestion and absorption","https://www.genome.jp/kegg-bin/show_pathway?hsa04974"," SLC36A4  COL1A2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL5A1  COL6A2  COL6A3  COL7A1  COL11A1  COL12A1  COL13A1  COL16A1  COL17A1  COL26A1  CTRB1  SLC36A3  COL28A1  MEP1A  ATP1A3  COL5A3  CELA2B  COL20A1  ACE2  CELA2A  SLC1A5  SLC8A1  SLC8A3  SLC9A3  COL14A1  COL21A1  COL25A1  COL27A1"
0.00103009062832158,31,89,2.11828255636742,"Path:hsa04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?hsa04512"," COL1A2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL6A2  COL6A3  FREM1  FN1  LAMA1  HMMR  HSPG2  TNC  FREM2  ITGA6  ITGA7  ITGA9  ITGAV  ITGB4  ITGB7  LAMA2  LAMA3  LAMA5  LAMB1  LAMB2  RELN  TNN  THBS3  FRAS1  CD44"
0.0219917954945865,30,99,1.83861572069137,"Path:hsa05410 Hypertrophic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?hsa05410"," DMD  EDN1  LAMA1  ITGA6  ITGA7  ITGA9  ITGAV  ITGB4  ITGB7  LAMA2  MYH7  MYL2  NOS1  ATP2A1  PRKAG3  PRKAB2  CACNA2D3  CACNG8  ACTB  RYR2  SGCD  SLC8A1  SLC8A3  ACTG1  TNNI3  TTN  CACNA1C  CACNA1D  CACNA2D1  CACNA2D2"
0.0257488125862022,72,300,1.44117757500657,"Path:hsa04010 MAPK signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?hsa04010"," MAP4K1  CSF1R  DUSP4  DUSP7  EGF  EGFR  EPHA2  FGF2  FGF5  FGF10  FGFR1  FLNA  MAPK8IP3  FLT4  RPS6KA6  ANGPT1  MKNK2  HGF  IGF2  IL1A  IRAK1  KIT  STMN1  MAP3K4  KITLG  GADD45B  NFKB1  NTRK1  PAK1  NLK  PPM1A  PPP3CA  PRKACB  PRKCA  CACNA2D3  PDGFC  MAP2K2  MAP2K5  TAOK1  PTPN7  PTPRR  MAP4K2  RASA2  RASGRF1  CACNG8  RELA  RET  BDNF  SRF  CACNA1A  CACNA1B  CACNA1C  CACNA1D  CACNA1E  MAP3K12  CACNA2D1  DUSP16  PTPN5  MAP4K3  MAPKAPK5  MKNK1  PLA2G4C  CACNA1I  CACNA1H  CACNA1G  RPS6KA4  MAP3K14  CACNA2D2  CACNA2D4  MAP4K4  MAPK8IP1  RAPGEF2"
0.0257488125862022,28,93,1.82918692212373,"Path:hsa04520 Adherens junction","https://www.genome.jp/kegg-bin/show_pathway?hsa04520"," WASF2  BAIAP2  SORBS1  CREBBP  CTNNA2  EGFR  EP300  FGFR1  FYN  CTNNA3  MYL11  LMO7  SMAD3  AFDN  MYL2  LEF1  NLK  HEG1  PTPRF  PTPRM  MYL7  ACTB  TCF7  TJP1  ACTG1  ACTN4  IQGAP1  ARHGAP29"
0.0257488125862022,28,93,1.82918692212373,"Path:hsa05222 Small cell lung cancer","https://www.genome.jp/kegg-bin/show_pathway?hsa05222"," LAMC3  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  DDB2  E2F2  FN1  LAMA1  ITGA6  ITGAV  LAMA2  LAMA3  LAMA5  LAMB1  LAMB2  GADD45B  NFKB1  PIK3R1  PTEN  PTK2  RB1  RELA  RXRG  TRAF1  CASP9  PIK3R3"
