"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.6995201115554e-15,75,194,2.78546928294945,"Path:hsa04814 Motor proteins","https://www.genome.jp/kegg-bin/show_pathway?hsa04814"," ACTR1A  TUBA1B  TUBB3  DCTN2  CENPE  KIF1C  KIF2C  DNAH14  MYL6B  DNAH2  KIF18B  DCTN1  DNAH5  DNAH6  DNAH8  DNAH9  DYNC1H1  DYNC1LI2  DNAH10  DNAH12  KIF21B  KIF1B  KIF13B  KIF4A  KIF26A  DNAI1  MYL11  TUBB2B  KIF2A  KIF5A  KIFC3  KIFC1  MYO18A  MYO1B  MYO1F  MYH4  MYH7  MYH8  MYH9  MYH10  MYL2  MYO1C  MYO6  MYO7A  MYO7B  MYO9B  TUBD1  TUBE1  KIF1A  KIF26B  DNAH3  KIF27  ACTR10  MYO5C  DNAH7  STARD9  KIF17  MYL7  ACTB  KIF13A  KIF9  KLC2  ACTG1  TNNI2  TNNI3  DYNC2H1  MYH14  DNAI4  MYO15B  KIF18A  DYNLRB1  HOOK3  DNAH17  DNAH11  KIF20B"
8.35932457018812e-11,75,232,2.32922862453532,"Path:hsa04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?hsa04820"," NEBL  LDB3  MYOM3  COL1A2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL5A1  COL6A2  COL6A3  COL11A1  DIAPH1  DMD  DSG2  DSP  ANKRD23  SYNE1  FN1  SUN1  DAAM2  SUN2  ANKRD2  AMPD1  AMPD2  AMPD3  LAMA1  ANK2  MYL11  HSPG2  ITGA6  ITGA7  ITGA9  ITGAV  ITGB4  ITGB7  JUP  LAMA2  MYBPC2  MYH4  MYH7  MYH8  MYH9  MYH10  MYL2  NEB  ATP1A3  NID1  NRAP  COL5A3  MYOZ2  SPTBN4  MYL7  ACTB  SGCD  SPTBN1  SPTBN2  THBS3  TLN1  ACTG1  TNNI2  TNNI3  TTN  MYH14  DIAPH3  OBSCN  FBN3  TRIM55  COL27A1  MYOM1  ACTN2  FMNL3  MYOM2  MYOZ3"
4.72597078156153e-07,60,202,2.14012293422651,"Path:hsa04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?hsa04510"," LAMC3  COL1A2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL6A2  COL6A3  DIAPH1  EGF  EGFR  FLNA  FLNB  FLT4  FN1  FYN  SHC2  LAMA1  GSK3B  MYL11  HGF  TNC  ITGA6  ITGA7  ITGA9  ITGAV  ITGB4  ITGB7  LAMA2  LAMA3  LAMA5  LAMB1  LAMB2  SHC4  MYL2  MYLK  PPP1R12B  PAK1  PIK3R1  PPP1R12C  PPP1CA  PPP1CB  PARVA  PRKCA  PDGFC  RELN  PTEN  PTK2  MYL7  RASGRF1  ACTB  TNN  THBS3  TLN1  ACTG1  ACTN4  PIP5K1A  PIK3R3  BCAR1"
1.47922690538141e-05,35,103,2.44832834061188,"Path:hsa04974 Protein digestion and absorption","https://www.genome.jp/kegg-bin/show_pathway?hsa04974"," SLC36A4  COL1A2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL5A1  COL6A2  COL6A3  COL7A1  COL11A1  COL12A1  COL13A1  COL16A1  COL17A1  COL26A1  CTRB1  SLC36A3  COL28A1  MEP1A  ATP1A3  COL5A3  CELA2B  COL20A1  ACE2  CELA2A  SLC1A5  SLC8A1  SLC8A3  SLC9A3  COL14A1  COL21A1  COL25A1  COL27A1"
1.47922690538141e-05,31,86,2.59718019653612,"Path:hsa05412 Arrhythmogenic right ventricular cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?hsa05412"," CTNNA2  DMD  DSG2  DSP  LAMA1  CTNNA3  ITGA6  ITGA7  ITGA9  ITGAV  ITGB4  ITGB7  JUP  LAMA2  NOS1  ATP2A1  LEF1  CACNA2D3  CACNG8  ACTB  RYR2  SGCD  SLC8A1  SLC8A3  TCF7  ACTG1  CACNA1C  CACNA1D  CACNA2D1  ACTN2  CACNA2D2"
2.96518795351032e-05,31,89,2.50963479665288,"Path:hsa04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?hsa04512"," COL1A2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL6A2  COL6A3  FREM1  FN1  LAMA1  HMMR  HSPG2  TNC  FREM2  ITGA6  ITGA7  ITGA9  ITGAV  ITGB4  ITGB7  LAMA2  LAMA3  LAMA5  LAMB1  LAMB2  RELN  TNN  THBS3  FRAS1  CD44"
8.17890745851126e-05,72,300,1.72921933085502,"Path:hsa04010 MAPK signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?hsa04010"," MAP4K1  CSF1R  DUSP4  DUSP7  EGF  EGFR  EPHA2  FGF2  FGF5  FGF10  FGFR1  FLNA  MAPK8IP3  FLT4  RPS6KA6  ANGPT1  MKNK2  HGF  IGF2  IL1A  IRAK1  KIT  STMN1  MAP3K4  KITLG  GADD45B  NFKB1  NTRK1  PAK1  NLK  PPM1A  PPP3CA  PRKACB  PRKCA  CACNA2D3  PDGFC  MAP2K2  MAP2K5  TAOK1  PTPN7  PTPRR  MAP4K2  RASA2  RASGRF1  CACNG8  RELA  RET  BDNF  SRF  CACNA1A  CACNA1B  CACNA1C  CACNA1D  CACNA1E  MAP3K12  CACNA2D1  DUSP16  PTPN5  MAP4K3  MAPKAPK5  MKNK1  PLA2G4C  CACNA1I  CACNA1H  CACNA1G  RPS6KA4  MAP3K14  CACNA2D2  CACNA2D4  MAP4K4  MAPK8IP1  RAPGEF2"
0.000344506673368823,57,231,1.77787701765397,"Path:hsa04810 Reg. of actin cytoskeleton","https://www.genome.jp/kegg-bin/show_pathway?hsa04810"," ARPC2  WASF2  APC2  BAIAP2  ARPC1A  IQGAP2  IQGAP3  DIAPH1  EGF  EGFR  PIKFYVE  FGF2  FGF5  FGF10  FGFR1  FN1  ARHGEF12  GSN  MYL11  NCKAP1L  ITGA6  ITGA7  ITGA9  ITGAV  ITGAX  ITGB4  ITGB7  MSN  MYH9  MYH10  MYL2  MYLK  PPP1R12B  PAK1  ARHGEF4  PIK3R1  PPP1R12C  PPP1CA  PPP1CB  PDGFC  MAP2K2  PTK2  MYL7  ACTB  TIAM1  ACTG1  C5  MYH14  ACTN4  DIAPH3  PIP5K1A  PIK3R3  SSH2  SCIN  IQGAP1  ARHGEF7  BCAR1"
0.000411468532830999,75,332,1.62765373762709,"Path:hsa05165 Human papillomavirus infection","https://www.genome.jp/kegg-bin/show_pathway?hsa05165"," PATJ  APC2  LAMC3  CHD4  COL1A2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL6A2  COL6A3  CREB1  CREBBP  DLG2  DVL2  EGF  EGFR  EP300  FN1  UBR4  PPP2R3B  LAMA1  TBK1  GSK3B  TNC  IFNAR1  ITGA6  ITGA7  ITGA9  ITGAV  ITGB4  ITGB7  JAK1  TBPL2  LAMA2  LAMA3  LAMA5  LAMB1  LAMB2  LLGL2  MFNG  MX1  ATM  NFKB1  PIK3R1  ATP6AP1  PPP2R3C  PPP2R2B  PPP2R5D  PPP2R5E  PRKACB  PPP2R2D  MAP2K2  RELN  PTEN  PTK2  RB1  RBL1  RELA  RPS6KB2  TNN  TCF7  THBS3  TSC2  TYK2  WNT2  WNT6  WNT7B  WNT8A  WNT2B  WNT9B  CREB3L3  PIK3R3  MAGI1"
0.000450065492939127,80,362,1.59228299342083,"Path:hsa04151 PI3K-Akt signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?hsa04151"," C8orf44-SGK3  LAMC3  GNB5  YWHAQ  PIK3AP1  COL1A2  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL6A2  COL6A3  CREB1  CSF1R  EGF  EGFR  EPHA2  CRTC2  EPOR  FGF2  FGF5  FGF10  FGFR1  FLT4  FN1  SGK3  PPP2R3B  ANGPT1  LAMA1  GSK3B  HGF  TNC  IFNAR1  IGF2  IL2RG  IL6R  IL7R  ITGA6  ITGA7  ITGA9  ITGAV  ITGB4  ITGB7  JAK1  KIT  LAMA2  LAMA3  LAMA5  LAMB1  LAMB2  KITLG  NFKB1  NOS3  NTRK1  PIK3R1  PPP2R3C  PPP2R2B  PPP2R5D  PPP2R5E  PRKCA  PPP2R2D  PDGFC  MAP2K2  RELN  PTEN  PTK2  RELA  RET  RPS6KB2  BDNF  TNN  BRCA1  THBS3  TSC2  CASP9  CREB3L3  PIK3R3  OSMR  MAGI1"
