"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.67155553101601e-05,33,43,1.77440393151554,"Path:pon02010 ABC transporters","https://www.genome.jp/kegg-bin/show_pathway?pon02010"," ABCB8  ABCD3    ABCC11  ABCC6  ABCC8  ABCD2  ABCB10  ABCA13  ABCC10  ABCA4  ABCA1  ABCC4  ABCC5  TAP1  ABCB9  ABCB6  ABCC2  ABCB7  ABCA8  ABCA5  ABCA9  ABCA12  ABCA6  ABCD4  ABCG1  ABCG4  ABCB1  ABCB11  ABCC9  ABCC3  ABCB5"
2.84370670378856e-05,36,44,1.75135972461274,"Path:pon00970 Aminoacyl-tRNA biosynthesis","https://www.genome.jp/kegg-bin/show_pathway?pon00970"," EPRS1  AARS1  SEPSECS  TARS1  SARS1  DARS1  YARS1  DARS2  HARS2  HARS1  RARS1  KARS1  LARS2  GARS1  RARS2  FARSB  MARS1  TARS2  NARS1  QARS1  QRSL1  CARS2  PSTK  LARS1  VARS2  AARS2  IARS1  GATB  TARS3  WARS2  VARS1  NARS2  IARS2  CARS1  MTFMT  FARS2"
5.79094849382384e-09,68,84,1.73676506024096,"Path:pon04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?pon04512"," ITGB6  ITGB1  LAMA4  FREM1  SV2A  VTN  SDC4  SPP1  COL6A5  IBSP  MEPE  COL2A1  ITGA9  LAMB3  COL6A6  VWF  COL1A1  LAMA1  COL1A2  ITGA1  LAMA3  ITGA7  ITGB7  ITGA4  LAMC3  ITGA8  ITGA6  THBS3  COL4A4  COL4A3  COL4A1  COL4A2  COL9A2  SDC1  ITGB3  SV2C  HMMR  COL9A1  LAMC1  COMP  RELN  FN1  ITGB5  ITGAV  TNC  TNR  ITGA2B  TNN  THBS1  ITGB4  ITGA5  ITGA11  SV2B  THBS2  FREM2  COL4A6  COL4A5  LAMB1  LAMA2  ITGB8  COL6A3  FRAS1  COL6A1  ITGA10  COL6A2  THBS4  LAMB4  CD36"
4.19524707809341e-07,80,111,1.57173308619092,"Path:pon03013 Nucleocytoplasmic transport","https://www.genome.jp/kegg-bin/show_pathway?pon03013"," RAE1  KPNA4  SENP2  TNPO1  NDC1  KPNA6  GLE1  SEH1L  XPOT  CSE1L  IPO13  IPO5  KPNA1  NUP93  NUP160  SUMO1  SRRM1  KPNA2  THOC5  TNPO3  NMD3  DDX19A  RNPS1  THOC1  NUP210L  XPO1  UPF3A  AHCTF1  NUP133  UPF3B  IPO11  NUP155  NUP210  CASC3  NUP58  KPNA3  KPNB1  IPO7  NUP153  ACIN1  XPO5  NUP214  NCBP2  PNN  MAGOH  NUP37  NUP85    NCBP1  TPR  AAAS  TNPO2  TMEM33  XPO4  NUP35  IPO8  NUP107  NUP205  THOC7  THOC2  NXF1  XPO6  SEC13  KPNA5  NUP54  NUP43  UPF2  KPNA7  NUP188  IPO9  RANBP17  EIF4A3  NXF3  PHAX  UPF1"
3.67155553101601e-05,56,126,1.56742696814656,"Path:pon03008 Ribosome biogenesis in eukaryotes","https://www.genome.jp/kegg-bin/show_pathway?pon03008"," UTP15  SBDS  EFL1  UTP4  CSNK2A1  RIOK1  XRN2  NMD3  RPP30  NOB1  NOP58  BMS1  PWP2  GNL2  RPP40  GNL3L  XPO1  NOL6  TCOF1  RIOK2  TBL3  HEATR1  FBL  NVL  RBM28  REXO1  DROSHA  REXO5  UTP6    MDN1  POP1  RCL1  NXF1  POP5  XRN1  EMG1  CSNK2A2  UTP18  EIF6  GAR1  MPHOSPH10  DKC1  GTPBP4  WDR36  AFG2A  LSG1  WDR3  WDR75  GNL3  UTP14A  NAT10  NXF3  WDR43"
9.1132751517155e-05,55,75,1.53943720085823,"Path:pon00562 Inositol phosphate metabolism","https://www.genome.jp/kegg-bin/show_pathway?pon00562"," PLCD4  ALDH6A1  PTEN  INPP5F  OCRL  TPI1  SACM1L  MINPP1  MTMR3  MTMR7  MTMR6  PIP4K2C  MTMR2  INPP4B  MTM1  IMPA1    PIK3CB  PLCB1  PIKFYVE  MTMR14  PLCH2  PI4K2A  INPP5A  PIK3C2G  PI4K2B  PLCZ1  PLCD3  MTMR1  PLCE1  PIK3C3  INPP5D  PI4KA  MTMR8  PIK3CG  PIK3CA  SYNJ2  INPP4A  PI4KB  PIP5K1A  PIK3C2A  INPP5J  PLCG2  PLCB2  PIP4K2B  PLCH1  PLCB3  ITPKB  MTMR4  PIP4K2A  PLCB4  PLCD1  FIG4  INPP5B"
4.19524707809341e-07,109,157,1.47493098220697,"Path:pon04110 Cell cycle","https://www.genome.jp/kegg-bin/show_pathway?pon04110"," MDM2  CCND1  ANAPC5  CDK1  NIPBL  BUB3  ANAPC4  HDAC1  MCM3  RAD21  PPP2R1A  SMAD2  ORC4  YWHAZ  PPP2R5C  SMC3  CUL1  CCNH  FZR1  MCM2  TGFB3  KNL1  PPP2R5D  ANAPC2  ORC3  CDC25B  CDC16  ANAPC10  HDAC8  PDS5A  RBL1  TP53    CDC14B  PDS5B  PPP2R1B  CCNE2  MTBP  E2F4  CCNB2  SMAD4  BUB1  CCNB3  TICRR  TTK  MCM7  CDC20  CDK4  PTTG1  FBXO5  CDC27  RBL2  ESPL1  WEE2  CREBBP  ORC5  MCM5  ANAPC1  WEE1  GSK3B  TFDP2  E2F3  PPP2R5A  DDX11  CCNB1  CCNA1  SMC1B  CDC23  MCM6  MAD2L2  CDC45  DBF4  ATM  STAG2  CDK7  WAPL  ESCO2  CCNA2  CDC7  ATR  NDC80  MAU2  MAD1L1  CDK6  YWHAE  EP300  ATRX  ORC1  CDC14A  STAG1  PCNA  CCND2  SMC1A  TGFB1  ANAPC7  TFDP1  CDC25A  PRKDC  MCM4  ORC2  TGFB2  CHEK2  CCNE1  TRIP13  RB1  ESCO1"
6.06039157573588e-05,84,125,1.43027710843373,"Path:pon00230 Purine metabolism","https://www.genome.jp/kegg-bin/show_pathway?pon00230"," PRPS1  AK2  NUDT5  GUCY1A1  AMPD2  NT5C2  RRM2B  RRM1  ENPP3  ATIC  PFAS  AK4  AK3  GDA  PDE7A  PDE1A  PAICS  PGM2  PRPS2  ADCY3  PDE11A  PDE6A  LOXL2  DGUOK  GUCY1B1  ENPP1  RRM2  TNRC6B  NPR2  AK7  ADCY6  PDE4C  PGM1  ADSS1    NPR1  LACC1  GUCY2D  ADSS2  PAPSS2  NT5C1A  IMPDH2  PDE6C  GART  GUCY1A2  ADCY2  HDDC2  PAPSS1  PDE10A  PDE5A  PDE2A  PDE3A  AK8  HPRT1  ALLC  NME7  ENTPD6  ADCY1  AMPD3  PDE8B  GUCY2F  ENTPD1  PDE7B  ADCY5  XDH  NT5E  PDE1B  PPAT  PDE8A  PDE6B  PDE9A  PDE4D  NUDT9  ADCY10  ADK  AK9  PDE3B  GUCY2C  PRUNE1  ADCY8  PDE4B  ADCY9  ENTPD5"
2.08460084855149e-05,97,145,1.42586720984658,"Path:pon05017 Spinocerebellar ataxia","https://www.genome.jp/kegg-bin/show_pathway?pon05017"," PSMA1  ATG13  ATXN10  PSMA7  RB1CC1  PSMD12  OPA1  PSMD2  PIK3R4  PSMC2  GTF2B  TBPL1  PSMD1  SLC25A5  NRBF2  PIK3R3  MAPK10  PSMC5  VDAC3  PUM1  KCND3  SLC25A31  PIK3CB  GRIN3A  ATXN2  WIPI2    ITPR3  ITPR2  PRKCA  PLCB1  PSMA3  GRIN1  PSMD14  SPTBN2  MAPK8  PSMA2  TBP  ATG2B  GRIA2  PRKCB  PSMC4  MCU  AKT1  PSMD3  PUM2  RBPJ  RORA  PSMC6  PIK3C3  ITPR1  NFYA  GRIA3  PSMA8  RYR1  ULK2  RELN  AKT3  PSMD11  GRIA1  PSMC3  AFG3L2  ULK1  GRM1  PRKCG  PSMD6  OMA1  VLDLR  DAB1  ATP2A1  PIK3CA  PSMB4  ATXN2L  TRPC3  AKT2  PSMD13  ATG14  TBPL2  PSMA4  VDAC2  AMBRA1  MTOR  PSMA6  TRAF2  PSMA5  CACNA1A  GRIN2B  PLCB2  MAP3K5  GRIN3B  MAPK9  PSMB3  ATP2A2  PLCB3  VDAC1  PLCB4"
1.69513116256959e-07,149,224,1.41602185486131,"Path:pon04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?pon04820"," TRIM54  ITGB6  CSRP1  ATP1A2  ITGB1  TPM1  SGCE  AMPD2  MYH10  MYOM2  SGCB  ATP1B1  ENO1  CAPZA2  TPM3  CAPZA1  DIAPH3  ATP1A1  SDC4  LBR  FHL1  SUN1  LMNB1  DIAPH2  COL6A5  MYH13  MYH4  SYNE3  MYH3  TNNI1  VCL  LMNA  COL5A3  ITGA9  COL5A1  ACTG2  COL6A6  TRIM63  COL11A2  ACTN2  TTN  NRAP  SPTBN2  COL1A1  ANKRD2  LAMA1  COL1A2  ITGA1    ACTN3  ITGA7  MYBPC1  LMOD3  ITGB7  JUP  ATP1B4  ITGA4  DAAM2  TLN1  ITGA8  ITGA6  NEB  DSP  MYPN  TMOD1  THBS3  BAZ2B  COL4A4  COL4A3  TRIM55  COL4A1  COL4A2  COL24A1  TMOD2  COL9A2  SDC1  FMNL2  SYNE1  ITGB3  TMOD3  MYH15  COL9A1  COMP  FLNC  SPTBN5  PDLIM4  MYOT  COL27A1  MYH6  SPTBN1  FMNL3  MYH7B  AMPD3  FN1  ITGB5  SPTAN1  PDLIM1  COL11A1  TNNI2  MYH9  OBSCN  ATP1A4  TLN2  SDC3  FHL2  ITGAV  SPTBN4  DES  MYOM1  ITGA2B  MYBPC3  SUN2  THBS1  DSC2  ITGB4  ITGA5  NEBL  MYH14  LMNB2  ITGA11  THBS2  DSG2  LMOD2  ZYX  COL4A6  COL5A2  SGCG  COL4A5  COL3A1  SGCZ  MYBPC2  LAMA2  ITGB8  ANKRD1  COL6A3  SYNE2  COL6A1  ITGA10  MYH1  TNNC1  COL6A2  THBS4  MYH2  MYH8  VIM  HSPG2"
