"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000154248337339966,32,84,2.35910276473657,"Path:pon05412 Arrhythmogenic right ventricular cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05412"," SGCE  CDH2  SLC8A1  RYR2  CTNNA2  NOS1  SNTA1  SSPN  LAMA1  ITGA7  ITGB7  JUP  CACNA2D4  ACTG1  CACNA1C  ITGA6  DSP  CACNB4  CTNNA3  ATP2A3  LEF1  CACNA2D2  ITGAV  CACNG6  ATP2A1  CACNA1D  ITGA5  ITGA11  SGCD  DSG2  LAMA2  "
0.0181323459202447,22,69,2.08527833668679,"Path:pon04924 Renin secretion","https://www.genome.jp/kegg-bin/show_pathway?pon04924"," GNAI1  CTSB  PPP3CA  PRKACB  PDE1A  CREB1  ITPR3  ITPR2  PLCB1  PRKG2  CACNA1C  CLCA1  GUCY1A2  ITPR1  ADCYAP1R1  NPPA  ACE  CACNA1D  EDN1  AGT  PLCB3  PLCB4"
0.0030499764115083,31,96,2.03424005571893,"Path:pon05410 Hypertrophic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05410"," PRKAB2  SGCE  SLC8A1  RYR2  NOS1  TGFB3  SNTA1  SSPN  TTN  LAMA1  ITGA7  ITGB7  PRKAG3  CACNA2D4  ACTG1  CACNA1C  ITGA6  CACNB4  ATP2A3  CACNA2D2  ITGAV  CACNG6  ACE  ATP2A1  CACNA1D  ITGA5  ITGA11  SGCD  EDN1  AGT  LAMA2"
0.000131557158898906,57,187,1.91221514480139,"Path:pon04814 Motor proteins","https://www.genome.jp/kegg-bin/show_pathway?pon04814"," KIF5B  DYNC1LI2  KLC2  MYH10  DYNC2H1  ACTA1  KIF5A  KIF13B  DCTN1  KIF2A  KIFAP3  TUBD1  MYH4  MYO10  MYO1A  ACTR10  KIF26A  KIF9  MYO1B  ACTR1A  DNAH8  DNAH9  MYO3A  DNAH14  KIF27  DNAH12  TUBE1  ACTG1  MYO15A  MYL10  KIF13A  BAZ2B  MYO1F  KIF18A  MYH15  MYO5C  MYO7B  DNAH3  KIF4A  DYNC1LI1  DNAH17  STARD9  MYO1C  DNAH7  DYNC1H1  MYO18A  MYH14  DNAH10  MYL5  DNAH11  DNAI1  KIF20B  MYO7A  KIFC1  KIF2C  MYH8  MYL6B"
0.0276289476016411,29,101,1.82287249814678,"Path:pon05414 Dilated cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05414"," SGCE  SLC8A1  RYR2  PRKACB  NOS1  TGFB3  SNTA1  SSPN  TTN  ADCY7  LAMA1  ITGA7  ITGB7  CACNA2D4  ACTG1  CACNA1C  ITGA6  CACNB4  ATP2A3  CACNA2D2  ITGAV  CACNG6  ATP2A1  CACNA1D  ITGA5  ITGA11  SGCD  AGT  LAMA2"
0.000723167897995194,62,224,1.72200786112021,"Path:pon04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?pon04820"," SGCE  AMPD2  MYH10  ACTA1  SUN1  LMNB1  COL6A5  MYH4  COL5A3  SNTA1  SSPN  COL5A1  DCN  TTN  FBN3  SPTBN2  COL1A1  LAMA1  ITGA7  ITGB7  NID2  JUP  NID1  DAAM2  ACTG1  TLN1  ITGA6  NEB  DSP  BAZ2B  COL4A4  TRIM55  COL4A1  COL4A2  SYNE1  MYH15  COMP  FLNC  SPTBN5    SPTBN1  FMNL3  AMPD3  FN1  CAPN3  SPTAN1  OBSCN  ITGAV  SUN2  ITGA5  MYH14  ITGA11  MYL5  SGCD  DSG2  PLEC  MYBPC2  LAMA2  COL6A3  COL6A2  MYH8  HSPG2"
0.00170183745484185,56,201,1.71488624052004,"Path:pon04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?pon04510"," VAV2  IGF1R  PPP1CB  COL6A5  MAPK3  ROCK1  PIP5K1C  FLNB  PARVA  COL1A1  LAMA1  FYN  ITGA7  ITGB7  PARVB  ACTG1  LAMC3  TLN1  ITGA6  VAV3  MYL10  COL4A4  COL4A1  PPP1R12C  COL4A2    FLNA  COMP  GSK3B  PTK2  VEGFA  PAK1  FN1  ITGAV  MYLK  TNN  MYLK2  ITGA5  ITGA11  EGF  MYL5  PIP5K1A  BIRC2  LAMB1  LAMA2  EGFR  PPP1CA  COL6A3  ACTN1  COL6A2  RASGRF1  FLT4  HGF  PIK3CD  BCAR1  PPP1R12B"
0.0126483621549072,51,194,1.61992246029368,"Path:pon05205 Proteoglycans in cancer","https://www.genome.jp/kegg-bin/show_pathway?pon05205"," WNT2  STAT3  PLAU  VAV2  IGF1R  PPP1CB  WNT5B  IQGAP1  FGFR1  PRKACB  MAPK3  PTCH1  ROCK1  ITPR3  ITPR2  DCN  COL1A1  ARHGEF1  WNT6  WNT7A  ACTG1  VAV3  DROSHA  PPP1R12C  ITPR1  FLNA  PTK2  WNT8A  VEGFA  PAK1  FN1  SLC9A1  MMP2  ITGAV    ITGA5  NUDT16L1  MMP9  ARHGEF12  PLCG2  GAB1  EGFR  RPS6KB2  PPP1CA  MSN  HGF  CAMK2G  WNT9B  ERBB4  PIK3CD  PPP1R12B"
0.0448703941883951,45,180,1.55327485142066,"Path:pon04360 Axon guidance","https://www.genome.jp/kegg-bin/show_pathway?pon04360"," NRP1  RASA1  GNAI1  SEMA4A  SEMA6D  WNT5B  PPP3CA  MAPK3  PTCH1  EPHB2  ROCK1  LRIG2  LIMK1  SSH2  SEMA4D  EPHA8  SRGAP3  PLXNA2  FYN  EFNB1  RGS3  PLXNC1  PARD6A  GSK3B  RYK  PTK2  NEO1  PAK1  UNC5B  EPHA6  EPHA2  ABL1  SEMA4G  PLXNB1  MYL5  SEMA5B  SEMA3D  ARHGEF12  PLCG2  SLIT1  ROBO2  EPHB4  CAMK2G  SRGAP1  PIK3CD"
0.0426626452995162,71,320,1.41797658862876,"Path:pon05165 Human papillomavirus infection","https://www.genome.jp/kegg-bin/show_pathway?pon05165"," WNT2  MAGI1  ATP6V1H  ATP6V0D1  ATP6V0A1  ATP6V1B2  PRKCI  PPP2R2B  WNT5B  LLGL2  MX1  PRKACB  CREB1  COL6A5  MAPK3  JAG1  PPP2R5D  RBL1  COL1A1  LAMA1  CHD4  ITGA7  ITGB7  WNT6  DLG2  TSC2  WNT7A  LAMC3    ITGA6  IFNAR1  COL4A4  COL4A1  COL4A2  DLG1  RBPJ  PATJ  PARD6A  COMP  GSK3B  PTK2  PPP2R5A  WNT8A  VEGFA  ATP6V1B1  FN1  ATM  ITGAV  TNN  ITGA5  DVL2  ITGA11  NOTCH3  TBPL2  EGF  EP300  RELA  PPP2R3C  LAMB1  LAMA2  EGFR  RPS6KB2  COL6A3  CCNE1  COL6A2  UBR4  RB1  WNT9B  PIK3CD"
