"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
7.42220536977345e-06,32,84,2.70234741784038,"Path:pon05412 Arrhythmogenic right ventricular cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05412"," SGCE  CDH2  SLC8A1  RYR2  CTNNA2  NOS1  SNTA1  SSPN  LAMA1  ITGA7  ITGB7  JUP  CACNA2D4  ACTG1  CACNA1C  ITGA6  DSP  CACNB4  CTNNA3  ATP2A3  LEF1  CACNA2D2  ITGAV  CACNG6  ATP2A1  CACNA1D  ITGA5  ITGA11  SGCD  DSG2  LAMA2  "
0.000306599307043785,31,96,2.29066167840376,"Path:pon05410 Hypertrophic cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05410"," PRKAB2  SGCE  SLC8A1  RYR2  NOS1  TGFB3  SNTA1  SSPN  TTN  LAMA1  ITGA7  ITGB7  PRKAG3  CACNA2D4  ACTG1  CACNA1C  ITGA6  CACNB4  ATP2A3  CACNA2D2  ITGAV  CACNG6  ACE  ATP2A1  CACNA1D  ITGA5  ITGA11  SGCD  EDN1  AGT  LAMA2"
0.00449491084022603,22,69,2.2617472953664,"Path:pon04924 Renin secretion","https://www.genome.jp/kegg-bin/show_pathway?pon04924"," GNAI1  CTSB  PPP3CA  PRKACB  PDE1A  CREB1  ITPR3  ITPR2  PLCB1  PRKG2  CACNA1C  CLCA1  GUCY1A2  ITPR1  ADCYAP1R1  NPPA  ACE  CACNA1D  EDN1  AGT  PLCB3  PLCB4"
2.07427850442709e-06,57,187,2.16223921066506,"Path:pon04814 Motor proteins","https://www.genome.jp/kegg-bin/show_pathway?pon04814"," KIF5B  DYNC1LI2  KLC2  MYH10  DYNC2H1  ACTA1  KIF5A  KIF13B  DCTN1  KIF2A  KIFAP3  TUBD1  MYH4  MYO10  MYO1A  ACTR10  KIF26A  KIF9  MYO1B  ACTR1A  DNAH8  DNAH9  MYO3A  DNAH14  KIF27  DNAH12  TUBE1  ACTG1  MYO15A  MYL10  KIF13A  BAZ2B  MYO1F  KIF18A  MYH15  MYO5C  MYO7B  DNAH3  KIF4A  DYNC1LI1  DNAH17  STARD9  MYO1C  DNAH7  DYNC1H1  MYO18A  MYH14  DNAH10  MYL5  DNAH11  DNAI1  KIF20B  MYO7A  KIFC1  KIF2C  MYH8  MYL6B"
0.0112745488307218,22,75,2.08080751173709,"Path:pon00562 Inositol phosphate metabolism","https://www.genome.jp/kegg-bin/show_pathway?pon00562"," INPP5F  OCRL  INPP4B  IMPA1  PLCB1  PIKFYVE  PIP5K1C  PLCH2  INPP5A  INPP5D  PI4KA  ITPKA  INPP4A  PI4KB  PIP5K1A  PIK3C2A  INPP5J  PLCG2  PLCH1  PLCB3  PLCB4  PLCD1"
0.00394527966806965,29,101,2.03679403151583,"Path:pon05414 Dilated cardiomyopathy","https://www.genome.jp/kegg-bin/show_pathway?pon05414"," SGCE  SLC8A1  RYR2  PRKACB  NOS1  TGFB3  SNTA1  SSPN  TTN  ADCY7  LAMA1  ITGA7  ITGB7  CACNA2D4  ACTG1  CACNA1C  ITGA6  CACNB4  ATP2A3  CACNA2D2  ITGAV  CACNG6  ATP2A1  CACNA1D  ITGA5  ITGA11  SGCD  AGT  LAMA2"
0.0105233689311261,24,84,2.02676056338028,"Path:pon04512 ECM-receptor interaction","https://www.genome.jp/kegg-bin/show_pathway?pon04512"," FREM1  COL6A5  COL1A1  LAMA1  ITGA7  ITGB7  LAMC3  ITGA6  COL4A4  COL4A1  COL4A2  HMMR  COMP  FN1  ITGAV  TNN  ITGA5  ITGA11  FREM2  LAMB1  LAMA2  COL6A3  FRAS1  COL6A2"
0.010004212906117,26,93,1.98317431470544,"Path:pon04520 Adherens junction","https://www.genome.jp/kegg-bin/show_pathway?pon04520","   IGF1R  PTPRM  CTNNA2  IQGAP1  FGFR1  MAPK3  ROCK1  NLK  FYN  ACTG1  PTPRF  MYL10  CTNNA3  TJP1  LEF1  SMAD3  HEG1  LMO7  EP300  MYL5  FARP2  EGFR  AFDN  ACTN1"
2.13512638810182e-05,56,201,1.97634363394296,"Path:pon04510 Focal adhesion","https://www.genome.jp/kegg-bin/show_pathway?pon04510"," VAV2  IGF1R  PPP1CB  COL6A5  MAPK3  ROCK1  PIP5K1C  FLNB  PARVA  COL1A1  LAMA1  FYN  ITGA7  ITGB7  PARVB  ACTG1  LAMC3  TLN1  ITGA6  VAV3  MYL10  COL4A4  COL4A1  PPP1R12C  COL4A2    FLNA  COMP  GSK3B  PTK2  VEGFA  PAK1  FN1  ITGAV  MYLK  TNN  MYLK2  ITGA5  ITGA11  EGF  MYL5  PIP5K1A  BIRC2  LAMB1  LAMA2  EGFR  PPP1CA  COL6A3  ACTN1  COL6A2  RASGRF1  FLT4  HGF  PIK3CD  BCAR1  PPP1R12B"
8.59277318809609e-06,62,224,1.96342429577465,"Path:pon04820 Cytoskeleton in muscle cells","https://www.genome.jp/kegg-bin/show_pathway?pon04820"," SGCE  AMPD2  MYH10  ACTA1  SUN1  LMNB1  COL6A5  MYH4  COL5A3  SNTA1  SSPN  COL5A1  DCN  TTN  FBN3  SPTBN2  COL1A1  LAMA1  ITGA7  ITGB7  NID2  JUP  NID1  DAAM2  ACTG1  TLN1  ITGA6  NEB  DSP  BAZ2B  COL4A4  TRIM55  COL4A1  COL4A2  SYNE1  MYH15  COMP  FLNC  SPTBN5    SPTBN1  FMNL3  AMPD3  FN1  CAPN3  SPTAN1  OBSCN  ITGAV  SUN2  ITGA5  MYH14  ITGA11  MYL5  SGCD  DSG2  PLEC  MYBPC2  LAMA2  COL6A3  COL6A2  MYH8  HSPG2"
