	GC3
lcl|NC_073249.2_cds_XP_008966535.1_96	0.695274831243973
lcl|NC_073249.2_cds_XP_024783746.2_121	0.3253692441355343
lcl|NC_073249.2_cds_XP_034806041.2_143	0.7904220009483167
lcl|NC_073249.2_cds_XP_054951084.1_160	0.3606719367588933
lcl|NC_073249.2_cds_XP_054951395.2_195	0.32528666264333134
lcl|NC_073249.2_cds_XP_003824575.3_234	0.3707201889020071
lcl|NC_073249.2_cds_XP_034805712.2_239	0.41979835013748856
lcl|NC_073249.2_cds_XP_034805582.3_261	0.5632368703108253
lcl|NC_073249.2_cds_XP_034805477.1_279	0.49606616905386325
lcl|NC_073249.2_cds_XP_014198974.4_286	0.4881516587677725
lcl|NC_073249.2_cds_XP_034805406.1_287	0.711731843575419
lcl|NC_073249.2_cds_XP_003824560.4_291	0.44522144522144524
lcl|NC_073249.2_cds_XP_003824554.2_304	0.6602564102564102
lcl|NC_073249.2_cds_XP_057155832.1_305	0.36550092032605835
lcl|NC_073249.2_cds_XP_054955650.1_325	0.32002801120448177
lcl|NC_073249.2_cds_XP_054957063.2_340	0.5110974106041923
lcl|NC_073249.2_cds_XP_008976439.2_351	0.6229508196721312
lcl|NC_073249.2_cds_XP_024783581.4_352	0.5858680393074404
lcl|NC_073249.2_cds_XP_003824529.3_357	0.43416030534351147
lcl|NC_073249.2_cds_XP_034805002.3_358	0.5786419036564132
lcl|NC_073249.2_cds_XP_054958171.2_364	0.5667789001122334
lcl|NC_073249.2_cds_XP_054958775.2_392	0.7742690058479532
lcl|NC_073249.2_cds_XP_034804711.3_397	0.4756380510440835
lcl|NC_073249.2_cds_XP_034804588.2_416	0.6019672131147541
lcl|NC_073249.2_cds_XP_003824506.1_421	0.4157303370786517
lcl|NC_073249.2_cds_XP_054960594.2_448	0.7838352177320049
lcl|NC_073249.2_cds_XP_034803877.2_511	0.3705308775731311
lcl|NC_073249.2_cds_XP_003814977.1_541	0.737064413938754
lcl|NC_073249.2_cds_XP_003814976.1_544	0.6472906403940887
lcl|NC_073249.2_cds_XP_034803631.2_586	0.3354265915980944
lcl|NC_073249.2_cds_XP_063453467.1_603	0.4021857923497268
lcl|NC_073249.2_cds_XP_034803457.1_609	0.44669603524229073
lcl|NC_073249.2_cds_XP_034815086.1_624	0.49537037037037035
lcl|NC_073249.2_cds_XP_014198778.2_631	0.5284503631961259
lcl|NC_073249.2_cds_XP_034803295.3_648	0.3972194637537239
lcl|NC_073249.2_cds_XP_063453099.1_678	0.3905579399141631
lcl|NC_073249.2_cds_XP_034803001.2_690	0.3671052631578947
lcl|NC_073249.2_cds_XP_003814198.3_731	0.42686911397270805
lcl|NC_073249.2_cds_XP_003814203.4_742	0.4064205457463884
lcl|NC_073249.2_cds_XP_054964142.1_745	0.6767676767676768
lcl|NC_073249.2_cds_XP_003814208.1_766	0.358950328022493
lcl|NC_073249.2_cds_XP_003814233.1_817	0.4039460020768432
lcl|NC_073249.2_cds_XP_063453395.1_850	0.6410767696909272
lcl|NC_073249.2_cds_XP_034801892.3_864	0.31560283687943264
lcl|NC_073249.2_cds_XP_054964560.2_875	0.7039249146757679
lcl|NC_073249.2_cds_XP_003831252.5_881	0.7596899224806202
lcl|NC_073249.2_cds_XP_034801596.3_901	0.46797066014669925
lcl|NC_073249.2_cds_XP_054964643.1_903	0.39202965708989806
lcl|NC_073249.2_cds_XP_054964779.2_933	0.5678233438485805
lcl|NC_073249.2_cds_XP_063455757.1_969	0.6707089552238806
lcl|NC_073249.2_cds_XP_003823003.3_1045	0.6161290322580645
lcl|NC_073249.2_cds_XP_003823009.2_1054	0.7377521613832853
lcl|NC_073249.2_cds_XP_008974812.4_1094	0.6986120290812955
lcl|NC_073249.2_cds_XP_008974824.2_1118	0.7229357798165138
lcl|NC_073249.2_cds_XP_008974826.2_1125	0.7187981510015409
lcl|NC_073249.2_cds_XP_054965412.1_1184	0.3846938775510204
lcl|NC_073249.2_cds_XP_008974847.1_1191	0.605475040257649
lcl|NC_073249.2_cds_XP_063456929.1_1218	0.7408256880733946
lcl|NC_073249.2_cds_XP_063457524.1_1241	0.4781783681214421
lcl|NC_073249.2_cds_XP_008974872.4_1257	0.5084905660377359
lcl|NC_073249.2_cds_XP_054965630.1_1272	0.7448275862068966
lcl|NC_073249.2_cds_XP_003823074.4_1296	0.553742802303263
lcl|NC_073249.2_cds_XP_034799381.1_1304	0.6665124884366328
lcl|NC_073249.2_cds_XP_063459494.1_1321	0.5485398579321231
lcl|NC_073249.2_cds_XP_054965909.1_1332	0.767342582710779
lcl|NC_073249.2_cds_XP_003823096.1_1335	0.78998778998779
lcl|NC_073249.2_cds_XP_003823102.2_1348	0.33355704697986577
lcl|NC_073249.2_cds_XP_003823106.2_1356	0.3026076409945421
lcl|NC_073249.2_cds_XP_003823107.1_1358	0.46711259754738016
lcl|NC_073249.2_cds_XP_063454048.1_1367	0.37978560490045943
lcl|NC_073249.2_cds_XP_008974920.4_1394	0.45179063360881544
lcl|NC_073249.2_cds_XP_034798983.1_1401	0.27582417582417584
