sequence	Cluster
lcl|NC_071985.2_cds_XP_024110122.1_78	4
lcl|NC_071985.2_cds_XP_054405874.1_108	2
lcl|NC_071985.2_cds_XP_024102199.2_131	2
lcl|NC_071985.2_cds_XP_054406032.1_156	2
lcl|NC_071985.2_cds_XP_009245546.2_194	3
lcl|NC_071985.2_cds_XP_024091551.2_225	3
lcl|NC_071985.2_cds_XP_054416820.1_229	4
lcl|NC_071985.2_cds_XP_054416953.1_247	2
lcl|NC_071985.2_cds_XP_054417034.1_261	2
lcl|NC_071985.2_cds_NP_001359294.1_265	4
lcl|NC_071985.2_cds_XP_024088978.1_269	2
lcl|NC_071985.2_cds_XP_024095740.2_273	2
lcl|NC_071985.2_cds_XP_024106979.2_287	2
lcl|NC_071985.2_cds_XP_024108751.2_288	2
lcl|NC_071985.2_cds_XP_009250069.1_306	3
lcl|NC_071985.2_cds_XP_024088129.2_319	2
lcl|NC_071985.2_cds_XP_024110028.2_332	2
lcl|NC_071985.2_cds_XP_054417324.1_334	4
lcl|NC_071985.2_cds_XP_002809341.1_339	2
lcl|NC_071985.2_cds_XP_054417408.1_340	4
lcl|NC_071985.2_cds_XP_024105171.2_353	4
lcl|NC_071985.2_cds_XP_024111130.2_377	2
lcl|NC_071985.2_cds_XP_002809368.3_397	4
lcl|NC_071985.2_cds_XP_054417777.1_405	3
lcl|NC_071985.2_cds_XP_054374725.1_447	3
lcl|NC_071985.2_cds_XP_054375286.1_518	2
lcl|NC_071985.2_cds_XP_054375301.1_545	4
lcl|NC_071985.2_cds_XP_024101750.1_547	3
lcl|NC_071985.2_cds_XP_063572506.1_589	4
lcl|NC_071985.2_cds_XP_054375508.1_607	4
lcl|NC_071985.2_cds_XP_054375767.1_646	3
lcl|NC_071985.2_cds_XP_009235622.1_653	3
lcl|NC_071985.2_cds_XP_024111630.2_665	4
lcl|NC_071985.2_cds_XP_063581120.1_667	4
lcl|NC_071985.2_cds_XP_024089675.2_683	2
lcl|NC_071985.2_cds_XP_002809484.2_710	2
lcl|NC_071985.2_cds_XP_054376195.1_719	3
lcl|NC_071985.2_cds_XP_024095075.2_753	4
lcl|NC_071985.2_cds_XP_024106386.2_761	2
lcl|NC_071985.2_cds_XP_054376447.1_764	4
lcl|NC_071985.2_cds_XP_054376521.1_788	4
lcl|NC_071985.2_cds_XP_002809534.4_832	3
lcl|NC_071985.2_cds_XP_024095131.1_871	3
lcl|NC_071985.2_cds_XP_054377233.1_892	2
lcl|NC_071985.2_cds_XP_054377313.1_909	3
lcl|NC_071985.2_cds_XP_009236620.2_912	3
lcl|NC_071985.2_cds_XP_054377533.1_931	4
lcl|NC_071985.2_cds_XP_009236657.1_943	4
lcl|NC_071985.2_cds_XP_024094561.1_1016	4
lcl|NC_071985.2_cds_XP_009236923.2_1038	4
lcl|NC_071985.2_cds_XP_024087753.1_1092	3
lcl|NC_071985.2_cds_NP_001124990.1_1103	4
lcl|NC_071985.2_cds_XP_054378285.1_1112	4
lcl|NC_071985.2_cds_XP_009237182.1_1136	3
lcl|NC_071985.2_cds_XP_054378394.1_1143	4
lcl|NC_071985.2_cds_XP_054378596.1_1195	3
lcl|NC_071985.2_cds_XP_054378646.1_1201	3
lcl|NC_071985.2_cds_XP_054378745.1_1227	3
lcl|NC_071985.2_cds_XP_024102460.1_1256	3
lcl|NC_071985.2_cds_XP_024102859.1_1269	3
lcl|NC_071985.2_cds_XP_054379106.1_1287	4
lcl|NC_071985.2_cds_XP_024087525.1_1304	3
lcl|NC_071985.2_cds_XP_054379216.1_1317	4
lcl|NC_071985.2_cds_XP_054404242.2_1348	4
lcl|NC_071985.2_cds_XP_054379452.1_1363	4
lcl|NC_071985.2_cds_XP_054379460.1_1366	3
lcl|NC_071985.2_cds_XP_063582054.1_1386	2
lcl|NC_071985.2_cds_XP_024093530.2_1396	2
lcl|NC_071985.2_cds_XP_002809695.3_1406	2
lcl|NC_071985.2_cds_XP_024112225.1_1421	4
lcl|NC_071985.2_cds_XP_054379793.1_1444	4
lcl|NC_071985.2_cds_XP_024094412.1_1448	3
lcl|NC_071985.2_cds_XP_024109889.2_1449	2
lcl|NC_071985.2_cds_XP_002809715.2_1468	2
lcl|NC_071985.2_cds_XP_054379872.1_1469	4
