chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_073224.2	100690743	100691532	-2	1	-	NC_073224.2	100690984	100691109	LMNA	XM_055361821.2	-	2	1	423	241	5	5	11	10	10	middle	middle	0.909	0.909	alternative	alternative	125	125	10
NC_073224.2	100690743	100691532	-2	1	-	NC_073224.2	100691321	100691466	LMNA	XM_055361839.2	-	2	1	66	578	1	1	11	1	1	first	first	0.091	0.091	unique	unique	145	145	1
NC_073224.2	101729196	101729655	-2	1	-	NC_073224.2	101729197	101729615	EFNA3	XM_031010586.3	-	2	2	40	1	4	5	4	2	4	middle	last	0.500	1.000	alternative	constitutive	77	127	2
NC_073224.2	101729196	101729655	-2	1	-	NC_073224.2	101729197	101729324	EFNA3	XM_031010587.3	-	2	1	331	1	4	4	4	4	4	last	last	1.000	1.000	constitutive	constitutive	127	127	2
NC_073224.2	102882211	102882577	2	1	+	NC_073224.2	102882239	102882356	DENND4B	XM_019022962.3	+	2	1	28	221	24	24	7	6	6	middle	middle	0.857	0.857	alternative	alternative	117	117	6
NC_073224.2	102882211	102882577	2	1	+	NC_073224.2	102882239	102882577	DENND4B	XM_055359943.1	+	2	2	28	0	24	25	7	1	1	middle	last	0.143	0.143	unique	unique	41	131	1
NC_073224.2	12279012	12279816	1	1	+	NC_073224.2	12279164	12279807	CEP170	XM_063707163.1	+	1	2	152	9	8	9	43	43	29	middle	middle	1.000	0.674	constitutive	alternative	163	293	29
NC_073224.2	12279012	12279816	1	1	+	NC_073224.2	12279164	12279327	CEP170	XM_063707230.1	+	1	1	152	489	8	8	43	43	43	middle	middle	1.000	1.000	constitutive	constitutive	163	163	14
NC_073224.2	15689235	15689829	1	1	+	NC_073224.2	15689479	15689665	LOC129529226	XM_055373615.2	+	1	1	244	164	19	19	3	2	2	middle	middle	0.667	0.667	alternative	alternative	186	186	2
NC_073224.2	15689235	15689829	1	1	+	NC_073224.2	15689791	15689829	LOC129529226	XM_055373616.2	+	1	1	556	0	19	19	3	1	1	last	last	0.333	0.333	unique	unique	38	38	1
NC_073224.2	15801434	15802028	3	1	+	NC_073224.2	15801678	15801864	LOC129534588	XM_063707329.1	+	3	1	244	164	19	19	4	3	3	middle	middle	0.750	0.750	alternative	alternative	186	186	3
NC_073224.2	15801434	15802028	3	1	+	NC_073224.2	15801990	15802028	LOC129534588	XM_063707333.1	+	3	1	556	0	19	19	4	1	1	last	last	0.250	0.250	unique	unique	38	38	1
NC_073224.2	16128134	16128632	3	1	+	NC_073224.2	16128154	16128239	GUK1	XM_004028532.5	+	3	1	20	393	7	7	8	3	3	middle	middle	0.375	0.375	alternative	alternative	85	85	3
NC_073224.2	16128134	16128632	3	1	+	NC_073224.2	16128448	16128632	GUK1	XM_004028537.5	+	3	1	314	0	7	7	8	5	5	last	last	0.625	0.625	alternative	alternative	184	184	5
NC_073224.2	16348471	16349251	2	1	+	NC_073224.2	16348687	16348732	OBSCN	XM_063707457.1	+	2	1	216	519	102	102	40	36	36	middle	middle	0.900	0.900	alternative	alternative	45	45	36
NC_073224.2	16348471	16349251	2	1	+	NC_073224.2	16349173	16349250	OBSCN	XM_063707544.1	+	2	1	702	1	102	102	40	1	1	middle	middle	0.025	0.025	unique	unique	77	77	1
NC_073224.2	16353021	16353750	1	1	+	NC_073224.2	16353044	16353211	OBSCN	XM_063707457.1	+	1	1	23	539	107	107	40	36	36	middle	middle	0.900	0.900	alternative	alternative	167	167	35
NC_073224.2	16353021	16353750	1	1	+	NC_073224.2	16353044	16353750	OBSCN	XM_063707526.1	+	1	2	23	0	107	108	40	36	1	middle	last	0.900	0.025	alternative	unique	167	319	1
NC_073224.2	208158532	208159183	2	1	+	NC_073224.2	208158758	208159091	SPOCD1	XM_055390498.2	+	2	2	226	92	5	6	5	2	5	middle	middle	0.400	1.000	alternative	constitutive	125	54	2
NC_073224.2	208158532	208159183	2	1	+	NC_073224.2	208159037	208159091	SPOCD1	XM_055390503.2	+	2	1	505	92	5	5	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	54	54	3
NC_073224.2	216042464	216042947	3	1	+	NC_073224.2	216042486	216042921	GALE	XM_004024890.3	+	3	2	22	26	8	9	8	4	8	middle	middle	0.500	1.000	alternative	constitutive	77	114	4
