sequence	Cluster
lcl|NC_073224.2_cds_XP_055236872.1_96	2
lcl|NC_073224.2_cds_XP_018888100.4_128	3
lcl|NC_073224.2_cds_XP_063563152.1_133	2
lcl|NC_073224.2_cds_XP_004028745.5_150	2
lcl|NC_073224.2_cds_XP_063563173.1_167	3
lcl|NC_073224.2_cds_XP_063563233.1_215	4
lcl|NC_073224.2_cds_XP_030871371.3_266	4
lcl|NC_073224.2_cds_XP_030871376.3_269	2
lcl|NC_073224.2_cds_XP_030871419.3_293	3
lcl|NC_073224.2_cds_XP_055229668.2_295	4
lcl|NC_073224.2_cds_XP_063563436.1_305	4
lcl|NC_073224.2_cds_XP_063563435.1_314	4
lcl|NC_073224.2_cds_XP_063563527.1_351	4
lcl|NC_073224.2_cds_XP_018887217.1_413	4
lcl|NC_073224.2_cds_XP_018887255.2_421	2
lcl|NC_073224.2_cds_XP_063563772.1_437	4
lcl|NC_073224.2_cds_XP_063558297.1_438	4
lcl|NC_073224.2_cds_XP_063563802.1_448	4
lcl|NC_073224.2_cds_XP_030856593.1_465	3
lcl|NC_073224.2_cds_XP_055229120.2_471	3
lcl|NC_073224.2_cds_XP_018887417.4_488	2
lcl|NC_073224.2_cds_XP_004028651.4_502	2
lcl|NC_073224.2_cds_XP_030871888.3_512	3
lcl|NC_073224.2_cds_XP_055228859.2_516	2
lcl|NC_073224.2_cds_XP_018887492.4_519	3
lcl|NC_073224.2_cds_XP_030858165.3_531	3
lcl|NC_073224.2_cds_XP_055228588.1_541	3
lcl|NC_073224.2_cds_XP_055228536.2_560	3
lcl|NC_073224.2_cds_XP_018887566.4_562	3
lcl|NC_073224.2_cds_XP_018887578.3_585	3
lcl|NC_073224.2_cds_XP_004028695.1_586	4
lcl|NC_073224.2_cds_XP_018887615.2_590	3
lcl|NC_073224.2_cds_XP_063564094.1_598	3
lcl|NC_073224.2_cds_XP_063560779.1_626	4
lcl|NC_073224.2_cds_XP_030871467.3_631	2
lcl|NC_073224.2_cds_XP_018886205.4_676	4
lcl|NC_073224.2_cds_XP_063564313.1_685	3
lcl|NC_073224.2_cds_XP_018886353.4_714	4
lcl|NC_073224.2_cds_XP_055228322.2_728	2
lcl|NC_073224.2_cds_XP_055202639.2_732	2
lcl|NC_073224.2_cds_XP_030872045.2_742	4
lcl|NC_073224.2_cds_XP_055228226.2_750	4
lcl|NC_073224.2_cds_XP_055228065.2_766	2
lcl|NC_073224.2_cds_XP_055227967.1_790	2
lcl|NC_073224.2_cds_XP_018886802.2_819	4
lcl|NC_073224.2_cds_XP_030872229.2_822	2
lcl|NC_073224.2_cds_XP_055227530.1_853	3
lcl|NC_073224.2_cds_XP_030871034.3_882	3
lcl|NC_073224.2_cds_XP_018886045.1_884	3
lcl|NC_073224.2_cds_XP_030857349.2_897	4
lcl|NC_073224.2_cds_XP_055226885.1_957	4
lcl|NC_073224.2_cds_XP_018885814.1_987	4
lcl|NC_073224.2_cds_XP_055234834.2_998	3
lcl|NC_073224.2_cds_XP_055234726.2_1012	4
lcl|NC_073224.2_cds_XP_030870382.1_1029	4
lcl|NC_073224.2_cds_XP_030870318.3_1048	2
lcl|NC_073224.2_cds_XP_004028362.3_1050	2
lcl|NC_073224.2_cds_XP_055225843.1_1122	2
lcl|NC_073224.2_cds_XP_063565113.1_1138	2
lcl|NC_073224.2_cds_XP_018885023.1_1187	4
lcl|NC_073224.2_cds_XP_004028287.3_1202	2
lcl|NC_073224.2_cds_XP_018884896.4_1231	2
lcl|NC_073224.2_cds_XP_018884805.2_1251	4
lcl|NC_073224.2_cds_XP_030869896.3_1255	4
lcl|NC_073224.2_cds_XP_004028247.4_1285	4
lcl|NC_073224.2_cds_XP_030869859.1_1292	4
lcl|NC_073224.2_cds_XP_063565456.1_1316	4
lcl|NC_073224.2_cds_XP_030869767.2_1344	4
lcl|NC_073224.2_cds_XP_018884372.3_1366	4
lcl|NC_073224.2_cds_XP_018891418.3_1374	2
lcl|NC_073224.2_cds_XP_063565784.1_1405	4
lcl|NC_073224.2_cds_XP_055224012.2_1417	2
lcl|NC_073224.2_cds_XP_030856738.3_1429	4
lcl|NC_073224.2_cds_XP_055223933.1_1441	2
lcl|NC_073224.2_cds_XP_004028168.4_1444	4
lcl|NC_073224.2_cds_XP_018884043.3_1454	4
lcl|NC_073224.2_cds_XP_055223829.2_1463	3
lcl|NC_073224.2_cds_XP_018884009.1_1472	3
lcl|NC_073224.2_cds_XP_018883970.2_1483	2
lcl|NC_073224.2_cds_XP_004028144.3_1508	2
lcl|NC_073224.2_cds_XP_004028143.2_1510	4
lcl|NC_073224.2_cds_XP_018878054.3_1511	3
lcl|NC_073224.2_cds_XP_018883842.4_1522	3
lcl|NC_073224.2_cds_XP_055234312.2_1524	2
lcl|NC_073224.2_cds_XP_004028101.2_1574	4
lcl|NC_073224.2_cds_XP_018883558.4_1579	2
lcl|NC_073224.2_cds_XP_055223472.2_1581	4
lcl|NC_073224.2_cds_XP_030868907.2_1592	3
lcl|NC_073224.2_cds_XP_030860462.2_1610	4
lcl|NC_073224.2_cds_XP_004028093.1_1613	3
lcl|NC_073224.2_cds_XP_063566271.1_1653	2
lcl|NC_073224.2_cds_XP_004028075.2_1658	4
lcl|NC_073224.2_cds_XP_004028074.4_1659	4
lcl|NC_073224.2_cds_XP_030868559.1_1663	4
lcl|NC_073224.2_cds_XP_030871424.3_1682	2
lcl|NC_073224.2_cds_XP_063566399.1_1692	4
lcl|NC_073224.2_cds_XP_018882952.4_1706	2
lcl|NC_073224.2_cds_XP_063566476.1_1725	4
lcl|NC_073224.2_cds_XP_055222813.2_1747	4
