	GC3
lcl|NC_073224.2_cds_XP_055236872.1_96	0.6904532304725168
lcl|NC_073224.2_cds_XP_018888100.4_128	0.32232841007819285
lcl|NC_073224.2_cds_XP_063563152.1_133	0.5827123695976155
lcl|NC_073224.2_cds_XP_004028745.5_150	0.783656117146906
lcl|NC_073224.2_cds_XP_063563173.1_167	0.3475103734439834
lcl|NC_073224.2_cds_XP_063563233.1_215	0.3247648902821317
lcl|NC_073224.2_cds_XP_030871371.3_266	0.371900826446281
lcl|NC_073224.2_cds_XP_030871376.3_269	0.4184981684981685
lcl|NC_073224.2_cds_XP_030871419.3_293	0.5485781990521327
lcl|NC_073224.2_cds_XP_055229668.2_295	0.6464718460441911
lcl|NC_073224.2_cds_XP_063563436.1_305	0.6478167501789549
lcl|NC_073224.2_cds_XP_063563435.1_314	0.6458333333333334
lcl|NC_073224.2_cds_XP_063563527.1_351	0.7819524019391803
lcl|NC_073224.2_cds_XP_018887217.1_413	0.4140017286084702
lcl|NC_073224.2_cds_XP_018887255.2_421	0.5980327868852459
lcl|NC_073224.2_cds_XP_063563772.1_437	0.65007215007215
lcl|NC_073224.2_cds_XP_063558297.1_438	0.7903406963684013
lcl|NC_073224.2_cds_XP_063563802.1_448	0.6458333333333334
lcl|NC_073224.2_cds_XP_030856593.1_465	0.4814385150812065
lcl|NC_073224.2_cds_XP_055229120.2_471	0.7672514619883041
lcl|NC_073224.2_cds_XP_018887417.4_488	0.570430733410943
lcl|NC_073224.2_cds_XP_004028651.4_502	0.5769007544979686
lcl|NC_073224.2_cds_XP_030871888.3_512	0.4212860310421286
lcl|NC_073224.2_cds_XP_055228859.2_516	0.5851609892673821
lcl|NC_073224.2_cds_XP_018887492.4_519	0.6243996157540826
lcl|NC_073224.2_cds_XP_030858165.3_531	0.5098643649815043
lcl|NC_073224.2_cds_XP_055228588.1_541	0.30236100533130233
lcl|NC_073224.2_cds_XP_055228536.2_560	0.3639232185117013
lcl|NC_073224.2_cds_XP_018887566.4_562	0.6618589743589743
lcl|NC_073224.2_cds_XP_018887578.3_585	0.448018648018648
lcl|NC_073224.2_cds_XP_004028695.1_586	0.6916201117318436
lcl|NC_073224.2_cds_XP_018887615.2_590	0.48673946957878317
lcl|NC_073224.2_cds_XP_063564094.1_598	0.4916750250752257
lcl|NC_073224.2_cds_XP_063560779.1_626	0.6481012658227848
lcl|NC_073224.2_cds_XP_030871467.3_631	0.42802229482990584
lcl|NC_073224.2_cds_XP_018886205.4_676	0.36907894736842106
lcl|NC_073224.2_cds_XP_063564313.1_685	0.38737446197991393
lcl|NC_073224.2_cds_XP_018886353.4_714	0.37370600414078675
lcl|NC_073224.2_cds_XP_055228322.2_728	0.52
lcl|NC_073224.2_cds_XP_055202639.2_732	0.4947613504074505
lcl|NC_073224.2_cds_XP_030872045.2_742	0.44140969162995597
lcl|NC_073224.2_cds_XP_055228226.2_750	0.3947963800904977
lcl|NC_073224.2_cds_XP_055228065.2_766	0.38207547169811323
lcl|NC_073224.2_cds_XP_055227967.1_790	0.4002375296912114
lcl|NC_073224.2_cds_XP_018886802.2_819	0.6433497536945813
lcl|NC_073224.2_cds_XP_030872229.2_822	0.7404661016949152
lcl|NC_073224.2_cds_XP_055227530.1_853	0.3705308775731311
lcl|NC_073224.2_cds_XP_030871034.3_882	0.406099518459069
lcl|NC_073224.2_cds_XP_018886045.1_884	0.680976430976431
lcl|NC_073224.2_cds_XP_030857349.2_897	0.3570759137769447
lcl|NC_073224.2_cds_XP_055226885.1_957	0.4124124124124124
lcl|NC_073224.2_cds_XP_018885814.1_987	0.6535353535353535
lcl|NC_073224.2_cds_XP_055234834.2_998	0.3109826589595376
lcl|NC_073224.2_cds_XP_055234726.2_1012	0.7047781569965871
lcl|NC_073224.2_cds_XP_030870382.1_1029	0.7596858638743456
lcl|NC_073224.2_cds_XP_030870318.3_1048	0.4640586797066015
lcl|NC_073224.2_cds_XP_004028362.3_1050	0.39981701738334857
lcl|NC_073224.2_cds_XP_055225843.1_1122	0.6682027649769585
lcl|NC_073224.2_cds_XP_063565113.1_1138	0.7274800456100342
lcl|NC_073224.2_cds_XP_018885023.1_1187	0.6186895810955961
lcl|NC_073224.2_cds_XP_004028287.3_1202	0.7396733909702209
lcl|NC_073224.2_cds_XP_018884896.4_1231	0.6959682749504296
lcl|NC_073224.2_cds_XP_018884805.2_1251	0.7211009174311926
lcl|NC_073224.2_cds_XP_030869896.3_1255	0.7203389830508474
lcl|NC_073224.2_cds_XP_004028247.4_1285	0.3846938775510204
lcl|NC_073224.2_cds_XP_030869859.1_1292	0.606280193236715
lcl|NC_073224.2_cds_XP_063565456.1_1316	0.7352507374631269
lcl|NC_073224.2_cds_XP_030869767.2_1344	0.47249190938511326
lcl|NC_073224.2_cds_XP_018884372.3_1366	0.5132075471698113
lcl|NC_073224.2_cds_XP_018891418.3_1374	0.7520661157024794
lcl|NC_073224.2_cds_XP_063565784.1_1405	0.5536672629695886
lcl|NC_073224.2_cds_XP_055224012.2_1417	0.669750231267345
lcl|NC_073224.2_cds_XP_030856738.3_1429	0.7412140575079872
lcl|NC_073224.2_cds_XP_055223933.1_1441	0.7692722371967655
lcl|NC_073224.2_cds_XP_004028168.4_1444	0.7875457875457875
lcl|NC_073224.2_cds_XP_018884043.3_1454	0.33557046979865773
lcl|NC_073224.2_cds_XP_055223829.2_1463	0.3007883565797453
lcl|NC_073224.2_cds_XP_018884009.1_1472	0.4608501118568233
lcl|NC_073224.2_cds_XP_018883970.2_1483	0.3794950267788829
lcl|NC_073224.2_cds_XP_004028144.3_1508	0.4577114427860697
lcl|NC_073224.2_cds_XP_004028143.2_1510	0.2824175824175824
lcl|NC_073224.2_cds_XP_018878054.3_1511	0.31435145240149553
lcl|NC_073224.2_cds_XP_018883842.4_1522	0.2897727272727273
lcl|NC_073224.2_cds_XP_055234312.2_1524	0.38320209973753283
lcl|NC_073224.2_cds_XP_004028101.2_1574	0.32295081967213113
lcl|NC_073224.2_cds_XP_018883558.4_1579	0.4322033898305085
lcl|NC_073224.2_cds_XP_055223472.2_1581	0.3834279630943932
lcl|NC_073224.2_cds_XP_030868907.2_1592	0.3303964757709251
lcl|NC_073224.2_cds_XP_030860462.2_1610	0.5640473627556513
lcl|NC_073224.2_cds_XP_004028093.1_1613	0.3719704952581665
lcl|NC_073224.2_cds_XP_063566271.1_1653	0.4830997526793075
lcl|NC_073224.2_cds_XP_004028075.2_1658	0.5600636435958631
lcl|NC_073224.2_cds_XP_004028074.4_1659	0.5434782608695652
lcl|NC_073224.2_cds_XP_030868559.1_1663	0.3870967741935484
lcl|NC_073224.2_cds_XP_030871424.3_1682	0.55858310626703
lcl|NC_073224.2_cds_XP_063566399.1_1692	0.7057864710676447
lcl|NC_073224.2_cds_XP_018882952.4_1706	0.7230769230769231
lcl|NC_073224.2_cds_XP_063566476.1_1725	0.3401253918495298
lcl|NC_073224.2_cds_XP_055222813.2_1747	0.4060494958753437
lcl|NC_073224.2_cds_XP_063566611.1_1762	0.3805309734513274
lcl|NC_073224.2_cds_XP_004028018.3_1776	0.5232459847844463
lcl|NC_073224.2_cds_XP_030869425.1_1819	0.5236250968241674
lcl|NC_073224.2_cds_XP_063566702.1_1823	0.5659133709981168
lcl|NC_073224.2_cds_XP_004028001.1_1836	0.6895752895752896
lcl|NC_073224.2_cds_XP_004027999.1_1838	0.5987723214285714
lcl|NC_073224.2_cds_XP_004027992.4_1850	0.6629874908020603
lcl|NC_073224.2_cds_XP_004027984.3_1858	0.7353846153846154
lcl|NC_073224.2_cds_XP_055222232.2_1864	0.43250950570342206
lcl|NC_073224.2_cds_XP_030856793.1_1885	0.4026431718061674
lcl|NC_073224.2_cds_XP_004027964.4_1915	0.33244444444444443
lcl|NC_073224.2_cds_XP_004027957.2_1932	0.2958532695374801
lcl|NC_073224.2_cds_XP_018882216.1_1943	0.5091954022988506
lcl|NC_073224.2_cds_XP_018882130.2_1967	0.3282810885291078
lcl|NC_073224.2_cds_XP_055221739.2_2001	0.3958333333333333
lcl|NC_073224.2_cds_XP_055221665.2_2015	0.5216881594372802
lcl|NC_073224.2_cds_XP_004027914.5_2018	0.4532839962997225
lcl|NC_073224.2_cds_XP_055221249.2_2068	0.3403361344537815
lcl|NC_073224.2_cds_XP_030860858.3_2093	0.5369335816263191
lcl|NC_073224.2_cds_XP_018881741.3_2109	0.7220309810671256
lcl|NC_073224.2_cds_XP_055220672.1_2161	0.5771028037383178
lcl|NC_073224.2_cds_XP_018881198.1_2271	0.6835891381345927
lcl|NC_073224.2_cds_XP_004027783.1_2313	0.5807622504537205
lcl|NC_073224.2_cds_XP_063549782.1_2352	0.5259319286871961
lcl|NC_073224.2_cds_XP_018880750.3_2377	0.6466019417475728
lcl|NC_073224.2_cds_XP_004027126.1_2378	0.7365328109696376
lcl|NC_073224.2_cds_XP_055219335.1_2392	0.6887631366208569
lcl|NC_073224.2_cds_XP_004027097.5_2445	0.5388728918140683
lcl|NC_073224.2_cds_XP_018880465.4_2489	0.5675675675675675
lcl|NC_073224.2_cds_XP_018880384.3_2500	0.6272151898734177
lcl|NC_073224.2_cds_XP_018880336.1_2521	0.6994219653179191
lcl|NC_073224.2_cds_XP_004027041.3_2527	0.7457627118644068
lcl|NC_073224.2_cds_XP_018880204.4_2552	0.6175200493522517
lcl|NC_073224.2_cds_XP_018880194.3_2553	0.6762114537444934
lcl|NC_073224.2_cds_XP_055218157.2_2562	0.6904761904761905
lcl|NC_073224.2_cds_XP_004027010.1_2586	0.6509341199606686
lcl|NC_073224.2_cds_XP_030866663.1_2633	0.693717277486911
lcl|NC_073224.2_cds_XP_030866644.2_2662	0.4977698483496878
lcl|NC_073224.2_cds_XP_063550380.1_2709	0.3993265993265993
lcl|NC_073224.2_cds_XP_018879448.3_2718	0.6894230769230769
lcl|NC_073224.2_cds_XP_055217169.2_2760	0.6183431952662722
lcl|NC_073224.2_cds_XP_018878958.1_2813	0.6606129398410897
lcl|NC_073224.2_cds_XP_055216578.1_2872	0.5614173228346456
lcl|NC_073224.2_cds_XP_063550746.1_2941	0.5119453924914675
lcl|NC_073224.2_cds_XP_030866282.1_2977	0.43726839597670725
lcl|NC_073224.2_cds_XP_018878507.1_3014	0.6785243741765481
lcl|NC_073224.2_cds_XP_018878480.1_3031	0.6348061316501352
lcl|NC_073224.2_cds_XP_030866228.2_3033	0.7580037664783428
lcl|NC_073224.2_cds_XP_063551136.1_3132	0.3333333333333333
lcl|NC_073224.2_cds_XP_030858012.3_3133	0.48362472297463677
lcl|NC_073224.2_cds_NP_001420606.1_3134	0.4715181248296539
lcl|NC_073224.2_cds_XP_063561908.1_3137	0.48977777777777776
lcl|NC_073224.2_cds_XP_030860732.3_3139	0.7165450121654501
lcl|NC_073224.2_cds_XP_004026723.1_3140	0.3856353591160221
lcl|NC_073224.2_cds_XP_030858041.1_3184	0.6893687707641196
lcl|NC_073224.2_cds_XP_018878022.1_3186	0.5116938341601701
lcl|NC_073224.2_cds_XP_018877856.1_3214	0.6588235294117647
lcl|NC_073224.2_cds_XP_018877843.4_3219	0.6405492730210016
lcl|NC_073224.2_cds_XP_055214144.1_3240	0.7024390243902439
lcl|NC_073224.2_cds_XP_018877429.1_3311	0.5305491105955144
lcl|NC_073224.2_cds_XP_018877287.1_3345	0.6606498194945848
lcl|NC_073224.2_cds_XP_030868896.1_3370	0.47537619699042405
lcl|NC_073224.2_cds_XP_018877160.3_3403	0.5936018957345972
lcl|NC_073224.2_cds_XP_055213147.1_3466	0.4857142857142857
lcl|NC_073224.2_cds_XP_004026555.2_3483	0.5388927820602663
lcl|NC_073224.2_cds_XP_063552601.1_3485	0.5423728813559322
lcl|NC_073224.2_cds_XP_055212857.1_3501	0.6287425149700598
lcl|NC_073224.2_cds_XP_004026525.3_3504	0.5547945205479452
lcl|NC_073224.2_cds_XP_063552325.1_3529	0.5138806851742469
lcl|NC_073224.2_cds_XP_063551459.1_3581	0.5491329479768786
lcl|NC_073224.2_cds_XP_063552722.1_3594	0.5384615384615384
lcl|NC_073224.2_cds_XP_063552414.1_3608	0.5222755311857437
lcl|NC_073224.2_cds_XP_055212351.1_3609	0.41025641025641024
lcl|NC_073224.2_cds_XP_063551761.1_3632	0.49050371593724196
lcl|NC_073224.2_cds_XP_030869330.1_3644	0.4352836879432624
lcl|NC_073224.2_cds_XP_055212180.2_3652	0.3978494623655914
lcl|NC_073224.2_cds_XP_004026446.1_3660	0.3905325443786982
lcl|NC_073224.2_cds_XP_030859988.2_3669	0.2865916069600819
lcl|NC_073224.2_cds_XP_030864728.1_3698	0.5556640625
lcl|NC_073224.2_cds_XP_055211886.2_3712	0.7677100494233937
lcl|NC_073224.2_cds_XP_030870432.3_3715	0.6943181818181818
lcl|NC_073224.2_cds_XP_004026471.2_3716	0.5650916104146577
lcl|NC_073224.2_cds_XP_055211786.2_3718	0.4811965811965812
lcl|NC_073224.2_cds_XP_018876461.1_3734	0.4300847457627119
lcl|NC_073224.2_cds_XP_055232730.2_3739	0.391636690647482
lcl|NC_073224.2_cds_XP_055211239.2_3782	0.5612557427258805
lcl|NC_073224.2_cds_XP_055211270.2_3788	0.538160469667319
lcl|NC_073224.2_cds_XP_063554413.1_3791	0.5610539845758354
lcl|NC_073224.2_cds_XP_055211190.1_3798	0.44840525328330205
lcl|NC_073224.2_cds_XP_018874659.1_3817	0.7051792828685259
lcl|NC_073224.2_cds_XP_018870427.2_3940	0.5429447852760736
lcl|NC_073224.2_cds_XP_063552258.1_3954	0.699642431466031
lcl|NC_073224.2_cds_XP_055210060.2_3976	0.5321670428893905
lcl|NC_073224.2_cds_XP_063557356.1_3980	0.5411877394636015
lcl|NC_073224.2_cds_XP_063557262.1_3992	0.5444287729196051
lcl|NC_073224.2_cds_XP_063557545.1_4000	0.5423728813559322
lcl|NC_073224.2_cds_XP_004026322.1_4013	0.7965909090909091
lcl|NC_073224.2_cds_XP_055209697.1_4064	0.7274897680763983
lcl|NC_073224.2_cds_XP_055209725.1_4070	0.6351084812623274
lcl|NC_073224.2_cds_XP_055209596.1_4081	0.33189655172413796
lcl|NC_073224.2_cds_XP_004026291.5_4144	0.4062126642771804
lcl|NC_073224.2_cds_XP_018894579.2_4162	0.4212328767123288
lcl|NC_073224.2_cds_XP_055231016.1_4194	0.2847718526663002
lcl|NC_073224.2_cds_XP_018890207.1_4265	0.31245923026744943
lcl|NC_073224.2_cds_XP_030857901.3_4283	0.39278752436647174
lcl|NC_073224.2_cds_XP_055208562.2_4325	0.3335974643423138
lcl|NC_073224.2_cds_XP_004026208.4_4328	0.6385224274406333
lcl|NC_073224.2_cds_XP_018886210.4_4346	0.301510989010989
lcl|NC_073224.2_cds_XP_063553051.1_4367	0.38401775804661487
lcl|NC_073224.2_cds_XP_030858738.3_4394	0.30301339285714285
lcl|NC_073224.2_cds_XP_018884912.3_4398	0.31784582893347413
lcl|NC_073224.2_cds_XP_004026171.3_4405	0.539906103286385
lcl|NC_073224.2_cds_XP_018893703.4_4412	0.26740947075208915
lcl|NC_073224.2_cds_XP_030870033.1_4414	0.30314097881665447
lcl|NC_073224.2_cds_XP_018884003.1_4433	0.47147846332945287
lcl|NC_073224.2_cds_XP_018881728.1_4477	0.29441624365482233
lcl|NC_073224.2_cds_XP_055227638.2_4494	0.29633401221995925
lcl|NC_073224.2_cds_XP_055227478.2_4495	0.42258064516129035
lcl|NC_073224.2_cds_XP_004026126.4_4497	0.3781779661016949
lcl|NC_073224.2_cds_XP_063553391.1_4510	0.27755102040816326
lcl|NC_073224.2_cds_XP_004026111.5_4526	0.4698275862068966
lcl|NC_073224.2_cds_XP_030860187.3_4530	0.3845291479820628
lcl|NC_073224.2_cds_XP_018877182.2_4575	0.39032620922384703
lcl|NC_073224.2_cds_XP_055225865.1_4600	0.4123989218328841
lcl|NC_073224.2_cds_XP_055206898.1_4651	0.2979851537645811
lcl|NC_073224.2_cds_XP_018875610.1_4669	0.31526548672566373
lcl|NC_073224.2_cds_XP_030872248.2_4691	0.3094983991462113
lcl|NC_073224.2_cds_XP_004026034.5_4714	0.4208798424162837
lcl|NC_073224.2_cds_XP_004026033.5_4717	0.38995215311004783
lcl|NC_073224.2_cds_XP_030872366.3_4720	0.38461538461538464
lcl|NC_073224.2_cds_XP_063553761.1_4752	0.41554467564259484
lcl|NC_073224.2_cds_XP_063553856.1_4777	0.49130938586326767
lcl|NC_073224.2_cds_XP_030867646.3_4800	0.31957547169811323
lcl|NC_073224.2_cds_XP_055206071.1_4846	0.3670668953687822
lcl|NC_073224.2_cds_XP_030871932.1_4856	0.486096807415036
lcl|NC_073224.2_cds_XP_030864147.1_4865	0.5930735930735931
lcl|NC_073224.2_cds_XP_055205929.1_4881	0.5303146584804298
lcl|NC_073224.2_cds_XP_030858404.1_4889	0.5149253731343284
lcl|NC_073224.2_cds_XP_055218952.1_4902	0.3512377393741242
lcl|NC_073224.2_cds_XP_055218734.1_4919	0.6455823293172691
lcl|NC_073224.2_cds_XP_004025946.4_4921	0.3485714285714286
lcl|NC_073224.2_cds_XP_030868196.3_4929	0.3876792352628784
lcl|NC_073224.2_cds_XP_004025910.2_5000	0.4232824427480916
