chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_072398.2	178653996	178654362	1	1	+	NC_072398.2	178654005	178654338	CC2D1B	XM_016918308.3	+	1	2	9	24	22	23	6	6	4	middle	middle	1.000	0.667	constitutive	alternative	90	89	4
NC_072398.2	178653996	178654362	1	1	+	NC_072398.2	178654005	178654095	CC2D1B	XM_016918318.3	+	1	1	9	267	22	22	6	6	6	middle	middle	1.000	1.000	constitutive	constitutive	90	90	2
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975588	CCDC24	XM_016961107.4	-	1	2	117	2	2	3	26	4	23	middle	middle	0.154	0.885	alternative	alternative	214	116	4
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975588	CCDC24	XM_016961116.4	-	1	2	117	2	2	3	26	4	23	middle	middle	0.154	0.885	alternative	alternative	175	116	4
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975480	CCDC24	XM_016961129.4	-	1	2	225	2	2	3	26	1	23	middle	middle	0.038	0.885	unique	alternative	106	116	1
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975480	CCDC24	XM_016961139.4	-	1	2	225	2	2	3	26	3	23	middle	middle	0.115	0.885	alternative	alternative	67	116	3
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975582	CCDC24	XM_024345192.3	-	1	2	123	2	1	2	26	1	23	first	middle	0.038	0.885	unique	alternative	208	116	1
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975582	CCDC24	XM_054666357.2	-	1	2	123	2	1	2	26	1	23	first	middle	0.038	0.885	unique	alternative	169	116	1
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975647	CCDC24	XM_063781600.1	-	1	2	58	2	2	3	26	5	23	middle	middle	0.192	0.885	alternative	alternative	273	116	5
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975647	CCDC24	XM_063781619.1	-	1	2	58	2	2	3	26	6	23	middle	middle	0.231	0.885	alternative	alternative	234	116	4
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975413	186975647	CCDC24	XM_063781662.1	-	1	1	58	254	2	2	26	6	6	middle	middle	0.231	0.231	alternative	alternative	234	234	2
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975180	CCDC24	XM_063781698.1	-	1	1	525	2	1	1	26	1	1	first	first	0.038	0.038	unique	unique	19	19	1
NC_072398.2	195414035	195414671	-2	1	-	NC_072398.2	195414338	195414389	TFAP2E	XM_016949057.3	-	2	1	282	303	4	4	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	51	51	1
NC_072398.2	195414035	195414671	-2	1	-	NC_072398.2	195414176	195414302	LOC134807882	XM_063789707.1	-	2	1	369	141	1	1	1	1	1	first	first	1.000	1.000	constitutive	constitutive	126	126	1
NC_072398.2	203119116	203119782	-1	1	-	NC_072398.2	203119383	203119523	THEMIS2	XM_016957282.3	-	1	1	259	267	2	2	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	140	140	4
NC_072398.2	203119116	203119782	-1	1	-	NC_072398.2	203119383	203119671	THEMIS2	XM_063804009.1	-	1	2	111	267	1	2	5	1	5	first	middle	0.200	1.000	unique	constitutive	39	140	1
NC_072398.2	203633663	203634461	3	1	+	NC_072398.2	203634264	203634440	MAP3K6	XM_024357265.3	+	3	1	601	21	22	22	6	5	5	middle	middle	0.833	0.833	alternative	alternative	176	176	5
NC_072398.2	203633663	203634461	3	1	+	NC_072398.2	203633834	203634129	MAP3K6	XM_054664498.2	+	3	1	171	332	22	22	6	1	1	middle	middle	0.167	0.167	unique	unique	295	295	1
NC_072398.2	207225049	207225523	2	1	+	NC_072398.2	207225071	207225497	GALE	XM_016956270.3	+	2	2	22	26	8	9	6	4	6	middle	middle	0.667	1.000	alternative	constitutive	77	114	4
NC_072398.2	207225049	207225523	2	1	+	NC_072398.2	207225383	207225497	GALE	XM_016956279.4	+	2	1	334	26	8	8	6	6	6	middle	middle	1.000	1.000	constitutive	constitutive	114	114	2
NC_072398.2	209909617	209910421	2	1	+	NC_072398.2	209909936	209909986	ECE1	XM_001162780.7	+	2	1	319	435	1	1	9	1	1	first	first	0.111	0.111	unique	unique	50	50	1
NC_072398.2	209909617	209910421	2	1	+	NC_072398.2	209910168	209910254	ECE1	XM_063804517.1	+	2	1	551	167	2	2	9	1	1	middle	middle	0.111	0.111	unique	unique	86	86	1
NC_072398.2	211891146	211891746	1	1	+	NC_072398.2	211891193	211891677	AKR7A2	XM_001163068.7	+	1	2	47	69	2	3	2	2	1	middle	middle	1.000	0.500	constitutive	unique	187	104	1
NC_072398.2	211891146	211891746	1	1	+	NC_072398.2	211891193	211891380	AKR7A2	XM_063785489.1	+	1	1	47	366	2	2	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	187	187	1
NC_072398.2	211913370	211913967	1	1	+	NC_072398.2	211913414	211913898	AKR7A3	XM_016938180.3	+	1	2	44	69	2	3	2	2	1	middle	middle	1.000	0.500	constitutive	unique	187	104	1
NC_072398.2	211913370	211913967	1	1	+	NC_072398.2	211913414	211913601	AKR7A3	XM_016938218.3	+	1	1	44	366	2	2	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	187	187	1
NC_072398.2	211928805	211929447	1	1	+	NC_072398.2	211928894	211929378	LOC742959	XM_024354779.3	+	1	2	89	69	2	3	5	5	3	middle	middle	1.000	0.600	constitutive	alternative	187	104	3
NC_072398.2	211928805	211929447	1	1	+	NC_072398.2	211928894	211929081	LOC742959	XM_024354780.3	+	1	1	89	366	2	2	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	187	187	2
NC_072398.2	21210507	21211005	-1	1	-	NC_072398.2	21210508	21210692	GUK1	XM_016940247.3	-	1	1	313	1	7	7	12	6	6	last	last	0.500	0.500	alternative	alternative	184	184	6
NC_072398.2	21210507	21211005	-1	1	-	NC_072398.2	21210901	21210986	GUK1	XM_016940259.3	-	1	1	19	394	7	7	12	6	6	middle	middle	0.500	0.500	alternative	alternative	85	85	6
NC_072398.2	21256505	21256925	3	1	+	NC_072398.2	21256529	21256907	C1H1orf35	XM_016940227.3	+	3	2	24	18	3	5	3	2	2	middle	middle	0.667	0.667	alternative	alternative	45	72	2
NC_072398.2	21256505	21256925	3	1	+	NC_072398.2	21256657	21256739	C1H1orf35	XM_016940229.3	+	3	1	152	186	4	4	3	1	1	middle	middle	0.333	0.333	unique	unique	82	82	1
NC_072398.2	214225381	214226212	2	1	+	NC_072398.2	214225389	214225789	ATP13A2	XM_016954962.4	+	2	2	8	423	21	22	19	19	16	middle	middle	1.000	0.842	constitutive	alternative	160	116	16
NC_072398.2	214225381	214226212	2	1	+	NC_072398.2	214225389	214225549	ATP13A2	XM_016954983.4	+	2	1	8	663	21	21	19	19	19	middle	middle	1.000	1.000	constitutive	constitutive	160	160	3
NC_072398.2	220336162	220336666	-3	1	-	NC_072398.2	220336193	220336328	FBXO44	XM_001138245.7	-	3	1	338	31	4	4	21	9	9	middle	middle	0.429	0.429	alternative	alternative	135	135	9
NC_072398.2	220336162	220336666	-3	1	-	NC_072398.2	220336436	220336531	FBXO44	XM_016953995.4	-	3	1	135	274	3	3	21	6	6	middle	middle	0.286	0.286	alternative	alternative	95	95	6
NC_072398.2	222276860	222277574	-2	1	-	NC_072398.2	222276888	222277556	PIK3CD	XM_016953669.4	-	2	2	18	28	4	5	29	23	15	middle	middle	0.793	0.517	alternative	alternative	179	149	15
NC_072398.2	222276860	222277574	-2	1	-	NC_072398.2	222276888	222277556	PIK3CD	XM_054662618.2	-	2	2	18	28	4	5	29	23	8	middle	middle	0.793	0.276	alternative	alternative	179	62	8
NC_072398.2	222276860	222277574	-2	1	-	NC_072398.2	222276888	222277026	PIK3CD	XM_063786556.1	-	2	1	548	28	2	2	29	6	6	middle	middle	0.207	0.207	alternative	alternative	138	138	6
NC_072398.2	225855533	225856160	3	1	+	NC_072398.2	225855598	225855764	CHD5	XM_016953031.4	+	3	1	65	396	8	8	5	4	4	middle	middle	0.800	0.800	alternative	alternative	166	166	4
NC_072398.2	225855533	225856160	3	1	+	NC_072398.2	225855935	225856133	CHD5	XM_054662072.2	+	3	1	402	27	4	4	5	1	1	middle	middle	0.200	0.200	unique	unique	198	198	1
NC_072398.2	229395117	229396293	-1	1	-	NC_072398.2	229396063	229396181	PRXL2B	XM_001151207.5	-	1	1	112	946	6	6	8	2	2	middle	middle	0.250	0.250	alternative	alternative	118	118	2
NC_072398.2	229395117	229396293	-1	1	-	NC_072398.2	229396063	229396149	PRXL2B	XM_003307773.4	-	1	1	144	946	6	6	8	2	2	middle	middle	0.250	0.250	alternative	alternative	86	86	2
NC_072398.2	229395117	229396293	-1	1	-	NC_072398.2	229395118	229395692	PRXL2B	XM_009446837.4	-	1	1	601	1	7	7	8	1	1	last	last	0.125	0.125	unique	unique	574	574	1
