sequence	Cluster
lcl|NC_060925.1_cds_NP_001372569.1_2	2
lcl|NC_060925.1_cds_NP_001292204.1_36	2
lcl|NC_060925.1_cds_XP_054190147.1_96	2
lcl|NC_060925.1_cds_XP_054194969.1_117	2
lcl|NC_060925.1_cds_XP_054190485.1_183	2
lcl|NC_060925.1_cds_NP_001291289.1_300	3
lcl|NC_060925.1_cds_XP_054195704.1_382	3
lcl|NC_060925.1_cds_NP_001229601.2_424	2
lcl|NC_060925.1_cds_NP_071397.3_454	2
lcl|NC_060925.1_cds_XP_054190812.1_464	1
lcl|NC_060925.1_cds_XP_054195745.1_519	2
lcl|NC_060925.1_cds_NP_055917.1_542	2
lcl|NC_060925.1_cds_NP_056372.1_579	2
lcl|NC_060925.1_cds_XP_054194957.1_604	2
lcl|NC_060925.1_cds_NP_001252522.1_623	2
lcl|NC_060925.1_cds_NP_619642.2_634	3
lcl|NC_060925.1_cds_XP_054191394.1_669	3
lcl|NC_060925.1_cds_NP_001364204.1_720	2
lcl|NC_060925.1_cds_NP_036234.3_780	1
lcl|NC_060925.1_cds_NP_005017.3_831	2
lcl|NC_060925.1_cds_NP_001009566.1_871	2
lcl|NC_060925.1_cds_NP_001397673.1_900	2
lcl|NC_060925.1_cds_NP_001352880.1_908	1
lcl|NC_060925.1_cds_XP_054193226.1_935	2
lcl|NC_060925.1_cds_XP_054193071.1_954	3
lcl|NC_060925.1_cds_NP_001373429.1_957	1
lcl|NC_060925.1_cds_NP_065831.1_971	1
lcl|NC_060925.1_cds_XP_054192069.1_1026	1
lcl|NC_060925.1_cds_NP_001277.2_1048	3
lcl|NC_060925.1_cds_NP_056193.2_1078	1
lcl|NC_060925.1_cds_NP_001380915.1_1135	1
lcl|NC_060925.1_cds_XP_054191377.1_1149	2
lcl|NC_060925.1_cds_XP_054190087.1_1178	3
lcl|NC_060925.1_cds_XP_054191348.1_1234	3
lcl|NC_060925.1_cds_NP_055816.2_1288	1
lcl|NC_060925.1_cds_XP_054190833.1_1316	1
lcl|NC_060925.1_cds_NP_001392595.1_1371	3
lcl|NC_060925.1_cds_XP_054195998.1_1382	3
lcl|NC_060925.1_cds_NP_055490.4_1385	2
lcl|NC_060925.1_cds_XP_054191604.1_1414	3
lcl|NC_060925.1_cds_NP_060595.3_1489	1
lcl|NC_060925.1_cds_NP_689418.2_1523	3
lcl|NC_060925.1_cds_XP_054191533.1_1580	1
lcl|NC_060925.1_cds_NP_001362749.1_1586	1
lcl|NC_060925.1_cds_NP_001034589.2_1690	3
lcl|NC_060925.1_cds_XP_054193813.1_1720	2
lcl|NC_060925.1_cds_XP_054195327.1_1810	3
lcl|NC_060925.1_cds_NP_001375129.1_1855	3
lcl|NC_060925.1_cds_NP_115612.4_1952	2
lcl|NC_060925.1_cds_XP_054192210.1_1964	1
lcl|NC_060925.1_cds_NP_055685.3_1981	1
lcl|NC_060925.1_cds_NP_065387.1_1987	3
lcl|NC_060925.1_cds_NP_001296122.1_2004	2
lcl|NC_060925.1_cds_NP_001397691.1_2014	2
lcl|NC_060925.1_cds_NP_001382390.1_2023	3
lcl|NC_060925.1_cds_XP_054193504.1_2068	3
lcl|NC_060925.1_cds_NP_689585.3_2108	3
lcl|NC_060925.1_cds_NP_001353524.1_2161	3
lcl|NC_060925.1_cds_XP_054193270.1_2337	3
