sequence	Cluster
lcl|NC_072398.2_cds_XP_024208856.2_100	2
lcl|NC_072398.2_cds_XP_024208776.2_127	1
lcl|NC_072398.2_cds_XP_063665404.1_139	2
lcl|NC_072398.2_cds_XP_514315.4_167	1
lcl|NC_072398.2_cds_XP_063665485.1_190	2
lcl|NC_072398.2_cds_XP_063665566.1_251	3
lcl|NC_072398.2_cds_XP_001160941.1_301	3
lcl|NC_072398.2_cds_XP_009440026.2_309	2
lcl|NC_072398.2_cds_XP_054516773.1_339	1
lcl|NC_072398.2_cds_XP_063646337.1_368	1
lcl|NC_072398.2_cds_XP_514294.2_374	2
lcl|NC_072398.2_cds_XP_016796969.1_380	1
lcl|NC_072398.2_cds_XP_001157116.3_383	1
lcl|NC_072398.2_cds_XP_001156001.1_412	1
lcl|NC_072398.2_cds_XP_063665762.1_413	1
lcl|NC_072398.2_cds_XP_001154355.2_436	3
lcl|NC_072398.2_cds_XP_514281.5_446	1
lcl|NC_072398.2_cds_XP_003308869.3_455	1
lcl|NC_072398.2_cds_XP_514278.6_456	2
lcl|NC_072398.2_cds_XP_525093.4_465	1
lcl|NC_072398.2_cds_XP_016796501.1_466	2
lcl|NC_072398.2_cds_XP_001151459.4_472	2
lcl|NC_072398.2_cds_XP_054516048.1_501	1
lcl|NC_072398.2_cds_XP_009439925.2_506	1
lcl|NC_072398.2_cds_XP_001146910.2_528	2
lcl|NC_072398.2_cds_XP_003308855.3_535	3
lcl|NC_072398.2_cds_XP_016795761.2_594	3
lcl|NC_072398.2_cds_XP_016795435.1_677	2
lcl|NC_072398.2_cds_XP_001141610.4_710	1
lcl|NC_072398.2_cds_XP_003949754.2_717	3
lcl|NC_072398.2_cds_XP_063656751.1_766	2
lcl|NC_072398.2_cds_XP_054515328.1_776	2
lcl|NC_072398.2_cds_XP_054515300.1_793	2
lcl|NC_072398.2_cds_XP_009439834.3_799	3
lcl|NC_072398.2_cds_NP_001123934.1_816	2
lcl|NC_072398.2_cds_XP_009439805.2_820	2
lcl|NC_072398.2_cds_XP_016794837.2_865	1
lcl|NC_072398.2_cds_XP_063647825.1_904	3
lcl|NC_072398.2_cds_XP_009439782.2_924	3
lcl|NC_072398.2_cds_XP_016794151.3_1005	2
lcl|NC_072398.2_cds_XP_001171564.3_1016	2
lcl|NC_072398.2_cds_XP_054514755.1_1019	2
lcl|NC_072398.2_cds_XP_001171184.1_1040	3
lcl|NC_072398.2_cds_NP_001267446.1_1124	3
lcl|NC_072398.2_cds_XP_016793612.1_1169	3
lcl|NC_072398.2_cds_XP_063646329.1_1187	1
lcl|NC_072398.2_cds_XP_054514183.1_1216	3
lcl|NC_072398.2_cds_XP_016793354.2_1221	3
lcl|NC_072398.2_cds_NP_001180604.1_1247	2
lcl|NC_072398.2_cds_XP_054530287.1_1249	2
lcl|NC_072398.2_cds_XP_009439642.1_1337	2
lcl|NC_072398.2_cds_XP_016792835.1_1359	2
lcl|NC_072398.2_cds_NP_001029338.1_1413	3
lcl|NC_072398.2_cds_XP_016792582.1_1436	3
lcl|NC_072398.2_cds_XP_009439481.3_1461	2
