sequence	Cluster
lcl|NC_073249.2_cds_XP_008966535.1_96	3
lcl|NC_073249.2_cds_XP_024783746.2_121	1
lcl|NC_073249.2_cds_XP_034806041.2_143	1
lcl|NC_073249.2_cds_XP_054951084.1_160	3
lcl|NC_073249.2_cds_XP_054951395.2_195	3
lcl|NC_073249.2_cds_XP_003824575.3_234	2
lcl|NC_073249.2_cds_XP_034805712.2_239	3
lcl|NC_073249.2_cds_XP_034805582.3_261	1
lcl|NC_073249.2_cds_XP_034805477.1_279	1
lcl|NC_073249.2_cds_XP_014198974.4_286	3
lcl|NC_073249.2_cds_XP_034805406.1_287	1
lcl|NC_073249.2_cds_XP_003824560.4_291	1
lcl|NC_073249.2_cds_XP_003824554.2_304	1
lcl|NC_073249.2_cds_XP_057155832.1_305	1
lcl|NC_073249.2_cds_XP_054955650.1_325	1
lcl|NC_073249.2_cds_XP_054957063.2_340	1
lcl|NC_073249.2_cds_XP_008976439.2_351	1
lcl|NC_073249.2_cds_XP_024783581.4_352	3
lcl|NC_073249.2_cds_XP_003824529.3_357	1
lcl|NC_073249.2_cds_XP_034805002.3_358	3
lcl|NC_073249.2_cds_XP_054958171.2_364	3
lcl|NC_073249.2_cds_XP_054958775.2_392	1
lcl|NC_073249.2_cds_XP_034804711.3_397	1
lcl|NC_073249.2_cds_XP_034804588.2_416	3
lcl|NC_073249.2_cds_XP_003824506.1_421	1
lcl|NC_073249.2_cds_XP_054960594.2_448	2
lcl|NC_073249.2_cds_XP_034803877.2_511	1
lcl|NC_073249.2_cds_XP_003814977.1_541	3
lcl|NC_073249.2_cds_XP_003814976.1_544	2
lcl|NC_073249.2_cds_XP_034803631.2_586	3
lcl|NC_073249.2_cds_XP_063453467.1_603	3
lcl|NC_073249.2_cds_XP_034803457.1_609	2
lcl|NC_073249.2_cds_XP_034815086.1_624	3
lcl|NC_073249.2_cds_XP_014198778.2_631	1
lcl|NC_073249.2_cds_XP_034803295.3_648	1
lcl|NC_073249.2_cds_XP_063453099.1_678	2
lcl|NC_073249.2_cds_XP_034803001.2_690	2
lcl|NC_073249.2_cds_XP_003814198.3_731	3
lcl|NC_073249.2_cds_XP_003814203.4_742	3
lcl|NC_073249.2_cds_XP_054964142.1_745	3
lcl|NC_073249.2_cds_XP_003814208.1_766	2
lcl|NC_073249.2_cds_XP_003814233.1_817	2
lcl|NC_073249.2_cds_XP_063453395.1_850	2
lcl|NC_073249.2_cds_XP_034801892.3_864	1
lcl|NC_073249.2_cds_XP_054964560.2_875	2
lcl|NC_073249.2_cds_XP_003831252.5_881	2
lcl|NC_073249.2_cds_XP_034801596.3_901	3
lcl|NC_073249.2_cds_XP_054964643.1_903	3
lcl|NC_073249.2_cds_XP_054964779.2_933	3
lcl|NC_073249.2_cds_XP_063455757.1_969	3
lcl|NC_073249.2_cds_XP_003823003.3_1045	2
lcl|NC_073249.2_cds_XP_003823009.2_1054	2
lcl|NC_073249.2_cds_XP_008974812.4_1094	3
lcl|NC_073249.2_cds_XP_008974824.2_1118	2
lcl|NC_073249.2_cds_XP_008974826.2_1125	3
lcl|NC_073249.2_cds_XP_054965412.1_1184	2
lcl|NC_073249.2_cds_XP_008974847.1_1191	2
lcl|NC_073249.2_cds_XP_063456929.1_1218	2
lcl|NC_073249.2_cds_XP_063457524.1_1241	2
lcl|NC_073249.2_cds_XP_008974872.4_1257	2
lcl|NC_073249.2_cds_XP_054965630.1_1272	3
lcl|NC_073249.2_cds_XP_003823074.4_1296	2
lcl|NC_073249.2_cds_XP_034799381.1_1304	3
lcl|NC_073249.2_cds_XP_063459494.1_1321	2
lcl|NC_073249.2_cds_XP_054965909.1_1332	3
lcl|NC_073249.2_cds_XP_003823096.1_1335	2
lcl|NC_073249.2_cds_XP_003823102.2_1348	1
lcl|NC_073249.2_cds_XP_003823106.2_1356	3
lcl|NC_073249.2_cds_XP_003823107.1_1358	1
lcl|NC_073249.2_cds_XP_063454048.1_1367	3
lcl|NC_073249.2_cds_XP_008974920.4_1394	3
lcl|NC_073249.2_cds_XP_034798983.1_1401	2
lcl|NC_073249.2_cds_XP_003823126.3_1404	1
lcl|NC_073249.2_cds_XP_034798867.1_1441	1
lcl|NC_073249.2_cds_XP_008972295.3_1443	3
lcl|NC_073249.2_cds_XP_003815642.1_1488	2
lcl|NC_073249.2_cds_XP_034798442.3_1490	3
lcl|NC_073249.2_cds_XP_003815646.4_1492	2
lcl|NC_073249.2_cds_XP_024785360.1_1515	1
lcl|NC_073249.2_cds_XP_003815652.3_1526	2
lcl|NC_073249.2_cds_XP_008966812.4_1527	1
lcl|NC_073249.2_cds_XP_054966627.1_1568	3
lcl|NC_073249.2_cds_XP_034798032.1_1573	2
lcl|NC_073249.2_cds_XP_003815675.4_1576	2
lcl|NC_073249.2_cds_XP_054966694.1_1580	2
lcl|NC_073249.2_cds_XP_054966778.2_1615	3
lcl|NC_073249.2_cds_XP_057157962.1_1633	2
lcl|NC_073249.2_cds_XP_034797673.3_1641	3
lcl|NC_073249.2_cds_XP_034797600.2_1656	2
lcl|NC_073249.2_cds_XP_054967012.1_1672	2
lcl|NC_073249.2_cds_XP_054967015.2_1680	1
lcl|NC_073249.2_cds_XP_034797357.1_1685	2
lcl|NC_073249.2_cds_XP_034797222.3_1726	2
lcl|NC_073249.2_cds_XP_063454443.1_1730	2
lcl|NC_073249.2_cds_XP_003824737.3_1736	3
lcl|NC_073249.2_cds_XP_054967146.2_1737	2
lcl|NC_073249.2_cds_XP_003824735.1_1748	3
lcl|NC_073249.2_cds_XP_034797054.3_1755	2
lcl|NC_073249.2_cds_XP_063459867.1_1762	2
lcl|NC_073249.2_cds_XP_034796870.1_1777	2
lcl|NC_073249.2_cds_XP_054967385.2_1819	3
lcl|NC_073249.2_cds_XP_003824713.4_1834	2
lcl|NC_073249.2_cds_XP_008976555.4_1846	3
lcl|NC_073249.2_cds_XP_034796344.3_1872	2
lcl|NC_073249.2_cds_XP_003824692.2_1893	1
lcl|NC_073249.2_cds_XP_008976536.1_1913	2
