chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_072373.2	108846070	108847207	-3	1	-	NC_072373.2	108846200	108847018	NUDT17	XM_054453047.2	-	3	2	189	130	1	2	3	2	3	first	middle	0.667	1.000	alternative	constitutive	555	25	2
NC_072373.2	108846070	108847207	-3	1	-	NC_072373.2	108846200	108847018	NUDT17	XM_054453057.1	-	3	3	189	130	1	3	3	1	3	first	middle	0.333	1.000	unique	constitutive	191	25	1
NC_072373.2	117015814	117016465	2	1	+	NC_072373.2	117015841	117016464	PPM1J	XM_054465830.1	+	2	3	27	1	7	9	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	63	151	1
NC_072373.2	120047955	120048258	-1	1	-	NC_072373.2	120048010	120048250	GSTM2	XM_054471504.2	-	1	2	8	55	7	8	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	39	110	1
NC_072373.2	120060440	120061028	-2	1	-	NC_072373.2	120060603	120060899	GSTM4	XM_054471644.2	-	2	2	129	163	6	7	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	95	110	1
NC_072373.2	120449249	120449882	-2	1	-	NC_072373.2	120449360	120449863	CELSR2	XM_054494619.1	-	2	2	19	111	31	32	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	194	170	4
NC_072373.2	120450944	120451415	-2	1	-	NC_072373.2	120450975	120451311	CELSR2	XM_054494619.1	-	2	2	104	31	27	28	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	126	122	4
NC_072373.2	130135845	130136289	-1	1	-	NC_072373.2	130135857	130136256	AGL	XM_054475086.1	-	1	2	33	12	15	16	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	155	150	3
NC_072373.2	159193541	159193835	3	1	+	NC_072373.2	159193574	159193825	ZRANB2	XM_054482772.2	+	3	2	33	10	2	3	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	52	108	2
NC_072373.2	175607995	175608802	-3	1	-	NC_072373.2	175608188	175608673	CIMAP2	XM_054486118.2	-	3	2	129	193	3	4	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	164	122	7
NC_072373.2	175629862	175630627	2	1	+	NC_072373.2	175629863	175630253	TTC22	XM_054486067.1	+	2	2	1	374	2	3	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	55	115	2
NC_072373.2	176164762	176165224	2	1	+	NC_072373.2	176164871	176165116	SSBP3	XM_054486850.2	+	2	2	109	108	8	9	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	66	76	4
NC_072373.2	176186093	176186972	3	1	+	NC_072373.2	176186163	176186732	SSBP3	XM_054486850.2	+	3	2	70	240	15	17	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	78	101	4
NC_072373.2	184090265	184090928	-2	1	-	NC_072373.2	184090356	184090710	LOC129037329	XM_054489320.2	-	2	2	218	91	6	7	5	3	5	middle	middle	0.600	1.000	alternative	constitutive	61	124	3
NC_072373.2	184090265	184090928	-2	1	-	NC_072373.2	184090356	184090689	LOC129037329	XM_054489327.2	-	2	2	239	91	6	7	5	2	5	middle	middle	0.400	1.000	alternative	constitutive	40	124	2
NC_072373.2	184298110	184298416	2	1	+	NC_072373.2	184298111	184298380	POMGNT1	XM_054489550.1	+	2	2	1	36	4	5	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	65	113	2
NC_072373.2	184299211	184299823	2	1	+	NC_072373.2	184299233	184299641	POMGNT1	XM_054489550.1	+	2	2	22	182	6	7	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	117	98	2
NC_072373.2	184308898	184309327	-3	1	-	NC_072373.2	184308908	184309255	TSPAN1	XM_054489775.2	-	3	2	72	10	8	9	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	155	83	3
NC_072373.2	185150200	185150479	-3	1	-	NC_072373.2	185150202	185150472	TOE1	XM_054490264.2	-	3	2	7	2	2	3	3	2	3	middle	middle	0.667	1.000	alternative	constitutive	142	40	2
NC_072373.2	185150200	185150479	-3	1	-	NC_072373.2	185150202	185150386	TOE1	XM_063665376.1	-	3	2	93	2	1	2	3	1	3	first	middle	0.333	1.000	unique	constitutive	56	40	1
NC_072373.2	185702548	185703355	2	1	+	NC_072373.2	185702676	185703298	BEST4	XM_054490554.2	+	2	2	128	57	3	4	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	233	154	1
NC_072373.2	185704386	185705163	1	1	+	NC_072373.2	185704387	185705163	BEST4	XM_054490554.2	+	1	2	1	0	7	9	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	80	270	1
NC_072373.2	185726247	185726634	-1	1	-	NC_072373.2	185726275	185726587	KIF2C	XM_054490567.2	-	1	2	47	28	18	19	8	8	8	middle	middle	1.000	1.000	constitutive	constitutive	105	113	8
NC_072373.2	186509850	186510396	-1	1	-	NC_072373.2	186509852	186510279	CCDC24	XM_054490993.2	-	1	2	117	2	2	3	14	6	14	middle	middle	0.429	1.000	alternative	constitutive	175	116	6
NC_072373.2	186509850	186510396	-1	1	-	NC_072373.2	186509852	186510338	CCDC24	XM_054491029.2	-	1	2	58	2	2	3	14	1	14	middle	middle	0.071	1.000	unique	constitutive	234	116	1
NC_072373.2	186509850	186510396	-1	1	-	NC_072373.2	186509852	186510171	CCDC24	XM_054491038.2	-	1	2	225	2	2	3	14	5	14	middle	middle	0.357	1.000	alternative	constitutive	67	116	5
NC_072373.2	186509850	186510396	-1	1	-	NC_072373.2	186509852	186510273	CCDC24	XM_054491061.2	-	1	2	123	2	1	2	14	2	14	first	middle	0.143	1.000	alternative	constitutive	169	116	2
NC_072373.2	186535437	186535803	-1	1	-	NC_072373.2	186535486	186535781	IPO13	XM_054436934.2	-	1	2	22	49	18	19	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	58	89	2
NC_072373.2	187058615	187059050	-2	1	-	NC_072373.2	187058664	187058953	SZT2	XM_054491540.2	-	2	2	97	49	60	61	9	9	9	middle	middle	1.000	1.000	constitutive	constitutive	79	125	9
NC_072373.2	187060473	187060989	-1	1	-	NC_072373.2	187060539	187060926	SZT2	XM_054491540.2	-	1	2	63	66	53	54	9	9	9	middle	middle	1.000	1.000	constitutive	constitutive	166	97	9
NC_072373.2	187062631	187063516	-3	1	-	NC_072373.2	187062697	187063437	SZT2	XM_054491540.2	-	3	3	79	66	47	49	9	9	9	middle	middle	1.000	1.000	constitutive	constitutive	118	84	9
NC_072373.2	187155287	187155911	-2	1	-	NC_072373.2	187155393	187155882	MPL	XM_054491672.2	-	2	2	29	106	7	8	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	184	142	1
NC_072373.2	187164059	187164467	-2	1	-	NC_072373.2	187164061	187164443	MPL	XM_054491672.2	-	2	2	24	2	1	2	1	1	1	first	middle	1.000	1.000	constitutive	constitutive	78	132	1
NC_072373.2	190383619	190383841	2	1	+	NC_072373.2	190383650	190383832	COL9A2	XM_054493171.2	+	2	2	31	9	3	4	3	2	2	middle	middle	0.667	0.667	alternative	alternative	35	62	2
NC_072373.2	190386286	190386661	2	1	+	NC_072373.2	190386341	190386556	COL9A2	XM_054493171.2	+	2	2	55	105	9	10	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	53	47	3
NC_072373.2	190393513	190393909	2	1	+	NC_072373.2	190393541	190393750	COL9A2	XM_054493171.2	+	2	2	28	159	23	24	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	53	71	3
NC_072373.2	192990474	192990921	1	1	+	NC_072373.2	192990501	192990832	EPHA10	XM_054453990.1	+	1	2	27	89	9	10	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	61	125	1
NC_072373.2	194411597	194412968	-2	1	-	NC_072373.2	194411610	194412952	SH3D21	XM_054495806.2	-	2	2	16	13	13	14	5	5	3	middle	middle	1.000	0.600	constitutive	alternative	94	1109	3
NC_072373.2	194411597	194412968	-2	1	-	NC_072373.2	194411599	194412952	SH3D21	XM_054495817.2	-	2	2	16	2	13	14	5	5	2	middle	middle	1.000	0.400	constitutive	alternative	94	1120	2
NC_072373.2	194551898	194552843	-2	1	-	NC_072373.2	194551899	194552488	MAP7D1	XM_054495870.2	-	2	3	355	1	15	17	12	12	12	middle	last	1.000	1.000	constitutive	constitutive	90	7	12
NC_072373.2	197864968	197865589	-3	1	-	NC_072373.2	197864969	197865304	HPCA	XM_054464225.2	-	3	2	285	1	2	3	2	2	2	middle	last	1.000	1.000	constitutive	constitutive	105	94	2
NC_072373.2	197984766	197987598	-1	1	-	NC_072373.2	197984802	197987570	NHSL3	XM_054464247.2	-	1	2	28	36	5	6	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	113	2561	3
NC_072373.2	198547178	198547814	-2	1	-	NC_072373.2	198547230	198547533	DCDC2B	XM_054464877.2	-	2	2	281	52	5	6	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	146	39	1
NC_072373.2	198967668	198968259	1	1	+	NC_072373.2	198967834	198968167	SPOCD1	XM_054465107.2	+	1	2	166	92	4	5	7	6	6	middle	middle	0.857	0.857	alternative	alternative	125	54	6
NC_072373.2	199026207	199026819	1	1	+	NC_072373.2	199026296	199026648	ADGRB2	XM_054465151.2	+	1	2	89	171	7	8	13	13	13	middle	middle	1.000	1.000	constitutive	constitutive	101	106	13
NC_072373.2	199027459	199028170	2	1	+	NC_072373.2	199027484	199028099	ADGRB2	XM_054465151.2	+	2	3	25	71	9	11	13	13	13	middle	middle	1.000	1.000	constitutive	constitutive	194	108	13
NC_072373.2	199183084	199183606	-3	1	-	NC_072373.2	199183127	199183581	TINAGL1	XM_054465366.1	-	3	2	25	43	6	7	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	150	189	4
NC_072373.2	202586225	202586783	-2	1	-	NC_072373.2	202586247	202586756	SESN2	XM_054498201.2	-	2	2	27	22	4	5	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	182	212	1
NC_072373.2	202620629	202620932	-2	1	-	NC_072373.2	202620631	202620899	ATP5IF1	XM_054498226.2	-	2	2	33	2	1	2	1	1	1	first	middle	1.000	1.000	constitutive	constitutive	86	91	1
NC_072373.2	202900546	202901059	-3	1	-	NC_072373.2	202900661	202901059	SMPDL3B	XM_054498326.1	-	3	2	0	115	6	7	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	180	133	1
NC_072373.2	203500672	203501134	2	1	+	NC_072373.2	203500703	203501133	MAP3K6	XM_054498751.2	+	2	2	31	1	20	21	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	192	138	4
NC_072373.2	203509296	203509890	-1	1	-	NC_072373.2	203509477	203509844	SYTL1	XM_054498798.1	-	1	2	46	181	6	7	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	100	113	2
NC_072373.2	204507965	204511214	3	1	+	NC_072373.2	204507992	204511100	CRYBG2	XM_054499293.1	+	3	2	27	114	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	99	2939	1
NC_072373.2	204667827	204668253	-1	1	-	NC_072373.2	204667908	204668162	CNKSR1	XM_054447983.2	-	1	2	91	81	18	19	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	61	99	4
NC_072373.2	204672444	204672966	-1	1	-	NC_072373.2	204672446	204672852	CNKSR1	XM_054447983.2	-	1	2	114	2	9	10	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	101	70	4
NC_072373.2	204690373	204690826	2	1	+	NC_072373.2	204690446	204690738	C1H1orf232	XM_054463037.1	+	2	2	73	88	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	83	97	1
NC_072373.2	205049425	205049881	-3	1	-	NC_072373.2	205049579	205049877	SELENON	XM_054499764.2	-	3	2	4	154	10	11	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	112	101	2
NC_072373.2	207347481	207348198	1	1	+	NC_072373.2	207347498	207348106	ASAP3	XM_054500830.2	+	1	3	17	92	20	22	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	67	195	5
NC_072373.2	208199597	208200125	-2	1	-	NC_072373.2	208199623	208200050	EPHA8	XM_054456392.2	-	2	2	75	26	12	13	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	149	190	2
NC_072373.2	209008015	209008633	2	1	+	NC_072373.2	209008139	209008543	HSPG2	XM_054502323.2	+	2	2	124	90	60	61	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	135	151	4
NC_072373.2	209024725	209025331	2	1	+	NC_072373.2	209024843	209025190	HSPG2	XM_054502323.2	+	2	2	118	141	83	84	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	99	109	4
NC_072373.2	209027795	209028482	3	1	+	NC_072373.2	209027979	209028375	HSPG2	XM_054502323.2	+	3	2	184	107	89	90	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	171	122	4
NC_072373.2	209031551	209032082	3	1	+	NC_072373.2	209031773	209032081	HSPG2	XM_054502323.2	+	3	2	222	1	93	94	4	4	2	middle	middle	1.000	0.500	constitutive	alternative	78	70	2
NC_072373.2	209031551	209032082	3	1	+	NC_072373.2	209031773	209032081	HSPG2	XM_063658800.1	+	3	2	222	1	93	94	4	4	2	middle	middle	1.000	0.500	constitutive	alternative	78	106	2
NC_072373.2	210127639	210128182	2	1	+	NC_072373.2	210127842	210128181	DDOST	XM_054503002.2	+	2	2	203	1	4	5	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	103	94	2
NC_072373.2	210130629	210131235	1	1	+	NC_072373.2	210130648	210131235	DDOST	XM_054503002.2	+	1	3	19	0	9	11	2	2	2	middle	last	1.000	1.000	constitutive	constitutive	120	146	2
NC_072373.2	211509226	211509826	2	1	+	NC_072373.2	211509273	211509757	LOC129045240	XM_054503704.2	+	2	2	47	69	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	187	104	1
NC_072373.2	211530503	211531100	3	1	+	NC_072373.2	211530547	211531031	LOC129045242	XM_054503719.2	+	3	2	44	69	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	187	104	1
NC_072373.2	211545898	211546540	2	1	+	NC_072373.2	211545987	211546471	LOC129045249	XM_054503732.2	+	2	2	89	69	2	3	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	187	104	3
NC_072373.2	21154987	21155593	-3	1	-	NC_072373.2	21155032	21155508	OBSCN	XM_054467038.2	-	3	2	85	45	108	109	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	122	170	2
NC_072373.2	211617714	211618179	1	1	+	NC_072373.2	211617745	211618131	UBR4	XM_054503754.2	+	1	2	31	48	4	5	13	13	13	middle	middle	1.000	1.000	constitutive	constitutive	129	139	13
NC_072373.2	21162252	21162891	-1	1	-	NC_072373.2	21162254	21162813	OBSCN	XM_054467038.2	-	1	2	78	2	98	99	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	77	172	2
NC_072373.2	21163963	21165208	-3	1	-	NC_072373.2	21163983	21165084	OBSCN	XM_054467038.2	-	3	3	124	20	93	96	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	112	200	2
NC_072373.2	21194482	21195130	-3	1	-	NC_072373.2	21194591	21194970	OBSCN	XM_054467038.2	-	3	2	160	109	75	76	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	122	139	2
NC_072373.2	21254193	21254826	-1	1	-	NC_072373.2	21254286	21254639	OBSCN	XM_054467038.2	-	1	2	187	93	28	29	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	161	104	2
NC_072373.2	21257790	21258537	-1	1	-	NC_072373.2	21257796	21258461	OBSCN	XM_054467038.2	-	1	2	76	6	21	22	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	278	266	2
NC_072373.2	213841216	213841606	2	1	+	NC_072373.2	213841241	213841529	ATP13A2	XM_054436093.2	+	2	2	25	77	9	10	7	6	7	middle	middle	0.857	1.000	alternative	constitutive	134	66	6
NC_072373.2	213841216	213841606	2	1	+	NC_072373.2	213841268	213841529	ATP13A2	XM_054436122.2	+	2	2	52	77	9	10	7	1	7	middle	middle	0.143	1.000	unique	constitutive	107	66	1
NC_072373.2	213845125	213845881	2	1	+	NC_072373.2	213845247	213845767	ATP13A2	XM_054436093.2	+	2	2	122	114	13	15	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	110	188	7
NC_072373.2	213851417	213852266	3	1	+	NC_072373.2	213851425	213851825	ATP13A2	XM_054436093.2	+	3	2	8	441	21	22	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	160	116	7
NC_072373.2	21434626	21435046	2	1	+	NC_072373.2	21434650	21435028	C1H1orf35	XM_054467284.2	+	2	2	24	18	3	5	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	45	72	1
NC_072373.2	215085991	215086972	2	1	+	NC_072373.2	215086085	215086624	ZBTB17	XM_054436860.2	+	2	2	94	348	6	7	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	142	300	2
NC_072373.2	215088465	215088963	1	1	+	NC_072373.2	215088494	215088963	ZBTB17	XM_054436860.2	+	1	2	29	0	13	14	2	1	2	middle	last	0.500	1.000	unique	constitutive	110	280	1
NC_072373.2	215088465	215088963	1	1	+	NC_072373.2	215088515	215088963	ZBTB17	XM_063659255.1	+	1	2	50	0	13	14	2	1	2	middle	last	0.500	1.000	unique	constitutive	89	280	1
NC_072373.2	215298415	215299429	-3	1	-	NC_072373.2	215298560	215299226	PLEKHM2	XM_054437210.2	-	3	2	203	145	17	18	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	159	179	3
NC_072373.2	219539507	219540038	3	1	+	NC_072373.2	219539709	219539957	MAD2L2	XM_054439222.2	+	3	2	202	81	1	2	2	2	2	first	middle	1.000	1.000	constitutive	constitutive	39	118	2
NC_072373.2	220165105	220166506	2	1	+	NC_072373.2	220165631	220166344	SRM	XM_054439715.2	+	2	2	526	162	1	2	1	1	1	first	middle	1.000	1.000	constitutive	constitutive	166	120	1
