chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_071985.2	111716	112169	3	1	+	NC_071985.2	112016	112147	ZNF692	XM_024246294.3	+	3	1	300	22	5	5	6	4	4	middle	middle	0.667	0.667	alternative	alternative	131	131	4
NC_071985.2	111716	112169	3	1	+	NC_071985.2	111891	112147	ZNF692	XM_054560493.2	+	3	2	175	22	1	2	6	1	1	first	middle	0.167	0.167	unique	unique	33	93	1
NC_071985.2	111824401	111825538	-2	1	-	NC_071985.2	111824531	111825349	NUDT17	XM_002810322.6	-	2	3	189	130	1	3	3	1	3	first	middle	0.333	1.000	unique	constitutive	191	25	1
NC_071985.2	111824401	111825538	-2	1	-	NC_071985.2	111824531	111825349	NUDT17	XM_054553618.2	-	2	2	189	130	1	2	3	1	3	first	middle	0.333	1.000	unique	constitutive	555	25	1
NC_071985.2	111824401	111825538	-2	1	-	NC_071985.2	111824531	111824556	NUDT17	XM_054553620.2	-	2	1	982	130	2	2	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	25	25	1
NC_071985.2	123030110	123030488	-1	1	-	NC_071985.2	123030366	123030466	GSTM5	NM_001367598.1	-	1	1	22	256	5	5	2	1	1	middle	middle	0.500	0.500	unique	unique	100	100	1
NC_071985.2	123030110	123030488	-1	1	-	NC_071985.2	123030123	123030466	GSTM5	XM_054548038.2	-	1	2	22	13	5	6	2	1	1	middle	middle	0.500	0.500	unique	unique	73	41	1
NC_071985.2	185056222	185056705	-2	1	-	NC_071985.2	185056304	185056660	SLC5A9	XM_009250605.3	-	2	2	45	82	4	5	2	1	2	middle	middle	0.500	1.000	unique	constitutive	74	164	1
NC_071985.2	185056222	185056705	-2	1	-	NC_071985.2	185056304	185056468	SLC5A9	XM_063712495.1	-	2	1	237	82	4	4	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	164	164	1
NC_071985.2	188488869	188489433	-3	1	-	NC_071985.2	188488870	188489265	BTBD19	XM_002810911.5	-	3	2	168	1	7	8	4	2	2	middle	last	0.500	0.500	alternative	alternative	125	131	2
NC_071985.2	188488869	188489433	-3	1	-	NC_071985.2	188489099	188489265	BTBD19	XM_009251063.4	-	3	1	168	230	7	7	4	2	2	middle	middle	0.500	0.500	alternative	alternative	166	166	2
NC_071985.2	188515133	188515940	3	1	+	NC_071985.2	188515261	188515883	BEST4	XM_002810909.5	+	3	2	128	57	3	4	5	3	5	middle	middle	0.600	1.000	alternative	constitutive	233	154	3
NC_071985.2	188515133	188515940	3	1	+	NC_071985.2	188515729	188515883	BEST4	XM_063719202.1	+	3	1	596	57	3	3	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	154	154	2
NC_071985.2	188948058	188948625	1	1	+	NC_071985.2	188948449	188948583	ERI3	XM_024247570.3	+	1	1	391	42	1	1	20	8	8	first	first	0.400	0.400	alternative	alternative	134	134	8
NC_071985.2	188948058	188948625	1	1	+	NC_071985.2	188948074	188948215	ERI3	XM_054535968.1	+	1	1	16	410	1	1	20	3	3	first	first	0.150	0.150	alternative	alternative	141	141	3
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327687	189328006	CCDC24	XM_024247684.3	-	2	2	225	2	2	3	27	4	25	middle	middle	0.148	0.926	alternative	alternative	67	116	4
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327687	189328108	CCDC24	XM_024247686.3	-	2	2	123	2	1	2	27	3	25	first	middle	0.111	0.926	alternative	alternative	169	116	3
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327687	189328114	CCDC24	XM_054536116.2	-	2	2	117	2	2	3	27	3	25	middle	middle	0.111	0.926	alternative	alternative	214	116	3
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327687	189328114	CCDC24	XM_054536140.2	-	2	2	117	2	2	3	27	9	25	middle	middle	0.333	0.926	alternative	alternative	175	116	9
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327687	189328006	CCDC24	XM_054536165.2	-	2	2	225	2	2	3	27	1	25	middle	middle	0.037	0.926	unique	alternative	106	116	1
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327687	189327706	CCDC24	XM_054536287.2	-	2	1	525	2	1	1	27	2	2	first	first	0.074	0.074	alternative	alternative	19	19	2
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327687	189328126	CCDC24	XM_063712652.1	-	2	2	105	2	2	3	27	5	25	middle	middle	0.185	0.926	alternative	alternative	187	116	5
NC_071985.2	201497032	201497473	-2	1	-	NC_071985.2	201497338	201497341	TMEM39B	XM_024248885.3	-	2	1	132	306	1	1	11	5	5	first	first	0.455	0.455	alternative	alternative	3	3	5
NC_071985.2	201497032	201497473	-2	1	-	NC_071985.2	201497098	201497122	TMEM39B	XM_063713603.1	-	2	1	351	66	1	1	11	3	3	first	first	0.273	0.273	alternative	alternative	24	24	3
NC_071985.2	216590418	216591267	1	1	+	NC_071985.2	216590426	216590826	ATP13A2	XM_024251445.3	+	1	2	8	441	21	22	15	15	11	middle	middle	1.000	0.733	constitutive	alternative	160	116	11
NC_071985.2	216590418	216591267	1	1	+	NC_071985.2	216590426	216590586	ATP13A2	XM_054556190.2	+	1	1	8	681	21	21	15	15	15	middle	middle	1.000	1.000	constitutive	constitutive	160	160	4
NC_071985.2	228116567	228119846	3	1	+	NC_071985.2	228119359	228119745	CHD5	XM_024254075.2	+	3	2	2792	101	39	40	6	5	3	middle	middle	0.833	0.500	alternative	alternative	163	114	3
NC_071985.2	228116567	228119846	3	1	+	NC_071985.2	228119359	228119522	CHD5	XM_054542116.1	+	3	1	2792	324	39	39	6	5	5	middle	middle	0.833	0.833	alternative	alternative	163	163	2
NC_071985.2	230750064	230751123	1	1	+	NC_071985.2	230750651	230750837	LOC100434611	XM_054542422.2	+	1	1	587	286	34	34	50	22	22	middle	middle	0.440	0.440	alternative	alternative	186	186	22
NC_071985.2	230750064	230751123	1	1	+	NC_071985.2	230750867	230750995	LOC100434611	XM_054542436.2	+	1	1	803	128	34	34	50	17	17	middle	middle	0.340	0.340	alternative	alternative	128	128	17
NC_071985.2	232088234	232088984	-1	1	-	NC_071985.2	232088235	232088962	GABRD	XM_024252003.2	-	1	2	22	1	8	9	2	2	1	middle	last	1.000	0.500	constitutive	unique	211	296	1
NC_071985.2	232088234	232088984	-1	1	-	NC_071985.2	232088751	232088962	GABRD	XM_054557466.1	-	1	1	22	517	8	8	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	211	211	1
NC_071985.2	232196559	232196991	1	1	+	NC_071985.2	232196620	232196754	CFAP74	XM_024231068.2	+	1	1	61	237	37	37	8	5	5	middle	middle	0.625	0.625	alternative	alternative	134	134	3
