seqname	GC	AT	GC_skew	GC3	GC_avg_stretch	AT_avg_stretch
lcl|NC_073249.2_cds_XP_008966535.1_96	52.68	47.32	0.06162	69.53	3.82	3.63
lcl|NC_073249.2_cds_XP_024783746.2_121	41.27	58.73	0.05614	32.54	3.55	4.23
lcl|NC_073249.2_cds_XP_034806041.2_143	62.60	37.4	-0.05024	79.04	4.56	3.53
lcl|NC_073249.2_cds_XP_054951084.1_160	40.38	59.62	0.00653	36.07	3.67	4.39
lcl|NC_073249.2_cds_XP_054951395.2_195	42.95	57.05	0.02201	32.53	3.44	4.03
lcl|NC_073249.2_cds_XP_003824575.3_234	42.35	57.65	0.06320	37.07	3.62	4.16
lcl|NC_073249.2_cds_XP_034805712.2_239	41.86	58.14	0.06131	41.98	3.27	4.30
lcl|NC_073249.2_cds_XP_034805582.3_261	59.66	40.34	-0.08982	56.32	5.10	3.97
lcl|NC_073249.2_cds_XP_034805477.1_279	46.35	53.65	0.07197	49.61	3.66	4.08
lcl|NC_073249.2_cds_XP_014198974.4_286	47.16	52.84	0.09659	48.82	3.71	4.16
lcl|NC_073249.2_cds_XP_034805406.1_287	53.85	46.15	0.05947	71.17	3.86	3.60
lcl|NC_073249.2_cds_XP_003824560.4_291	42.13	57.87	0.04094	44.52	3.60	4.29
lcl|NC_073249.2_cds_XP_003824554.2_304	57.45	42.55	-0.00976	66.03	4.13	3.53
lcl|NC_073249.2_cds_XP_057155832.1_305	41.22	58.78	0.03636	36.55	3.42	4.35
lcl|NC_073249.2_cds_XP_054955650.1_325	40.15	59.85	0.14884	32.00	3.36	4.30
lcl|NC_073249.2_cds_XP_054957063.2_340	48.75	51.25	0.08347	51.11	4.79	4.43
lcl|NC_073249.2_cds_XP_008976439.2_351	57.25	42.75	-0.01741	62.30	4.79	3.92
lcl|NC_073249.2_cds_XP_024783581.4_352	51.43	48.57	-0.05005	58.59	3.86	4.01
lcl|NC_073249.2_cds_XP_003824529.3_357	46.56	53.44	-0.01503	43.42	4.38	4.35
lcl|NC_073249.2_cds_XP_034805002.3_358	52.18	47.82	-0.00037	57.86	3.87	3.90
lcl|NC_073249.2_cds_XP_054958171.2_364	55.03	44.97	0.05235	56.68	3.82	3.70
lcl|NC_073249.2_cds_XP_054958775.2_392	62.85	37.15	-0.00868	77.43	4.73	3.64
lcl|NC_073249.2_cds_XP_034804711.3_397	46.40	53.6	0.04833	47.56	4.09	4.28
lcl|NC_073249.2_cds_XP_034804588.2_416	51.28	48.72	0.00853	60.20	3.72	3.89
lcl|NC_073249.2_cds_XP_003824506.1_421	44.43	55.57	0.05188	41.57	3.69	4.19
lcl|NC_073249.2_cds_XP_054960594.2_448	64.03	35.97	0.08170	78.38	4.41	3.36
lcl|NC_073249.2_cds_XP_034803877.2_511	41.86	58.14	0.06385	37.05	3.56	4.29
lcl|NC_073249.2_cds_XP_003814977.1_541	62.51	37.49	0.05743	73.71	4.42	3.49
lcl|NC_073249.2_cds_XP_003814976.1_544	51.10	48.9	0.08483	64.73	3.78	3.93
lcl|NC_073249.2_cds_XP_034803631.2_586	37.26	62.74	0.03642	33.54	3.39	4.53
lcl|NC_073249.2_cds_XP_063453467.1_603	45.97	54.03	0.07132	40.22	3.59	4.07
lcl|NC_073249.2_cds_XP_034803457.1_609	48.22	51.78	0.02436	44.67	3.69	4.07
lcl|NC_073249.2_cds_XP_034815086.1_624	43.63	56.37	-0.09107	49.54	3.46	4.05
lcl|NC_073249.2_cds_XP_014198778.2_631	48.69	51.31	-0.04600	52.85	3.90	4.14
lcl|NC_073249.2_cds_XP_034803295.3_648	45.78	54.22	0.03398	39.72	4.02	4.27
lcl|NC_073249.2_cds_XP_063453099.1_678	43.63	56.37	0.05792	39.06	3.51	4.31
lcl|NC_073249.2_cds_XP_034803001.2_690	42.28	57.72	0.10788	36.71	3.41	4.17
lcl|NC_073249.2_cds_XP_003814198.3_731	45.80	54.2	-0.02560	42.69	3.52	4.07
lcl|NC_073249.2_cds_XP_003814203.4_742	40.92	59.08	0.15063	40.64	3.53	4.25
lcl|NC_073249.2_cds_XP_054964142.1_745	54.43	45.57	-0.00722	67.68	3.99	3.88
lcl|NC_073249.2_cds_XP_003814208.1_766	43.39	56.61	0.09287	35.90	3.73	4.18
lcl|NC_073249.2_cds_XP_003814233.1_817	43.30	56.7	-0.00560	40.39	3.41	3.95
lcl|NC_073249.2_cds_XP_063453395.1_850	51.55	48.45	0.05867	64.11	3.90	3.96
lcl|NC_073249.2_cds_XP_034801892.3_864	38.89	61.11	0.08207	31.56	3.45	4.47
