	GC3
lcl|NC_071985.2_cds_XP_024110122.1_78	0.6798457087753134
lcl|NC_071985.2_cds_XP_054405874.1_108	0.3314775160599572
lcl|NC_071985.2_cds_XP_024102199.2_131	0.7841555977229602
lcl|NC_071985.2_cds_XP_054406032.1_156	0.3486910994764398
lcl|NC_071985.2_cds_XP_009245546.2_194	0.3285266457680251
lcl|NC_071985.2_cds_XP_024091551.2_225	0.3707201889020071
lcl|NC_071985.2_cds_XP_054416820.1_229	0.4152153987167736
lcl|NC_071985.2_cds_XP_054416953.1_247	0.5565268065268065
lcl|NC_071985.2_cds_XP_054417034.1_261	0.48717948717948717
lcl|NC_071985.2_cds_NP_001359294.1_265	0.4802527646129542
lcl|NC_071985.2_cds_XP_024088978.1_269	0.7150837988826816
lcl|NC_071985.2_cds_XP_024095740.2_273	0.4466200466200466
lcl|NC_071985.2_cds_XP_024106979.2_287	0.657051282051282
lcl|NC_071985.2_cds_XP_024108751.2_288	0.36191478169384533
lcl|NC_071985.2_cds_XP_009250069.1_306	0.302130898021309
lcl|NC_071985.2_cds_XP_024088129.2_319	0.5073982737361282
lcl|NC_071985.2_cds_XP_024110028.2_332	0.6195965417867435
lcl|NC_071985.2_cds_XP_054417324.1_334	0.5856276248250116
lcl|NC_071985.2_cds_XP_002809341.1_339	0.41878453038674035
lcl|NC_071985.2_cds_XP_054417408.1_340	0.5736478711162255
lcl|NC_071985.2_cds_XP_024105171.2_353	0.5645342312008979
lcl|NC_071985.2_cds_XP_024111130.2_377	0.4756944444444444
lcl|NC_071985.2_cds_XP_002809368.3_397	0.5914754098360656
lcl|NC_071985.2_cds_XP_054417777.1_405	0.4067796610169492
lcl|NC_071985.2_cds_XP_054374725.1_447	0.7832754953543043
lcl|NC_071985.2_cds_XP_054375286.1_518	0.36619718309859156
lcl|NC_071985.2_cds_XP_054375301.1_545	0.7193347193347194
lcl|NC_071985.2_cds_XP_024101750.1_547	0.6443349753694582
lcl|NC_071985.2_cds_XP_063572506.1_589	0.40309155766944116
lcl|NC_071985.2_cds_XP_054375508.1_607	0.33477695972282373
lcl|NC_071985.2_cds_XP_054375767.1_646	0.3936651583710407
lcl|NC_071985.2_cds_XP_009235622.1_653	0.4431718061674009
lcl|NC_071985.2_cds_XP_024111630.2_665	0.4889406286379511
lcl|NC_071985.2_cds_XP_063581120.1_667	0.5161904761904762
lcl|NC_071985.2_cds_XP_024089675.2_683	0.3747412008281574
lcl|NC_071985.2_cds_XP_002809484.2_710	0.3931133428981349
lcl|NC_071985.2_cds_XP_054376195.1_719	0.36578947368421055
lcl|NC_071985.2_cds_XP_024095075.2_753	0.42802229482990584
lcl|NC_071985.2_cds_XP_024106386.2_761	0.40815671162491973
lcl|NC_071985.2_cds_XP_054376447.1_764	0.6759259259259259
lcl|NC_071985.2_cds_XP_054376521.1_788	0.3568118628359592
