chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_060925.1	1059696	1060245	1	1	+	NC_060925.1	1059791	1060158	MIB2	NM_001170686.4	+	1	2	94	87	5	6	29	29	4	middle	middle	1.000	0.138	constitutive	alternative	142	95	4
NC_060925.1	1059696	1060245	1	1	+	NC_060925.1	1059791	1060158	MIB2	NM_001170687.4	+	1	2	94	87	5	6	29	29	21	middle	middle	1.000	0.724	constitutive	alternative	142	107	21
NC_060925.1	1059696	1060245	1	1	+	NC_060925.1	1059791	1059933	MIB2	XM_054334516.1	+	1	1	94	312	4	4	29	29	29	middle	middle	1.000	1.000	constitutive	constitutive	142	142	4
NC_060925.1	1064111	1065032	3	1	+	NC_060925.1	1064797	1065032	MIB2	NM_001170686.4	+	3	1	685	0	18	18	29	28	28	last	last	0.966	0.966	alternative	alternative	235	235	28
NC_060925.1	1064111	1065032	3	1	+	NC_060925.1	1064144	1064209	MIB2	NM_001170689.2	+	3	1	32	823	15	15	29	1	1	middle	middle	0.034	0.034	unique	unique	65	65	1
NC_060925.1	1068350	1068830	3	1	+	NC_060925.1	1068493	1068603	MMP23B	NM_006983.2	+	3	1	142	227	6	6	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	110	110	1
NC_060925.1	1068350	1068830	3	1	+	NC_060925.1	1068493	1068829	MMP23B	XM_054339291.1	+	3	2	142	1	6	7	3	3	1	middle	middle	1.000	0.333	constitutive	unique	110	123	1
NC_060925.1	1068350	1068830	3	1	+	NC_060925.1	1068493	1068830	MMP23B	XM_054339292.1	+	3	2	142	0	6	7	3	3	1	middle	last	1.000	0.333	constitutive	unique	110	124	1
NC_060925.1	11202454	11202973	2	1	+	NC_060925.1	11202793	11202928	FBXO44	NM_001014765.2	+	2	1	338	45	4	4	22	9	9	middle	middle	0.409	0.409	alternative	alternative	135	135	9
NC_060925.1	11202454	11202973	2	1	+	NC_060925.1	11202590	11202685	FBXO44	NM_001330355.2	+	2	1	135	288	3	3	22	7	7	middle	middle	0.318	0.318	alternative	alternative	95	95	7
NC_060925.1	112710818	112711247	3	1	+	NC_060925.1	112710864	112711055	MOV10	NM_001130079.3	+	3	1	45	192	15	15	13	13	13	middle	middle	1.000	1.000	constitutive	constitutive	191	191	12
NC_060925.1	112710818	112711247	3	1	+	NC_060925.1	112710864	112711247	MOV10	XM_054336675.1	+	3	2	45	0	15	16	13	13	1	middle	last	1.000	0.077	constitutive	unique	191	32	1
NC_060925.1	144962290	144963262	2	1	+	NC_060925.1	144962444	144962999	NUDT17	NM_001012758.3	+	2	2	153	263	1	2	4	4	3	first	middle	1.000	0.750	constitutive	alternative	191	183	3
NC_060925.1	144962290	144963262	2	1	+	NC_060925.1	144962444	144962635	NUDT17	XM_054334929.1	+	2	1	153	627	1	1	4	4	4	first	first	1.000	1.000	constitutive	constitutive	191	191	1
NC_060925.1	15182809	15183610	2	1	+	NC_060925.1	15182831	15183466	SLC25A34	NM_207348.3	+	2	2	21	144	3	4	4	4	3	middle	middle	1.000	0.750	constitutive	alternative	152	134	3
NC_060925.1	15182809	15183610	2	1	+	NC_060925.1	15182831	15182983	SLC25A34	XM_054336151.1	+	2	1	21	627	3	3	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	152	152	1
NC_060925.1	153067986	153068352	-1	1	-	NC_060925.1	153068208	153068325	DENND4B	NM_001367466.1	-	1	1	27	221	25	25	14	12	12	middle	middle	0.857	0.857	alternative	alternative	117	117	12
NC_060925.1	153067986	153068352	-1	1	-	NC_060925.1	153067987	153068325	DENND4B	XM_054339920.1	-	1	2	27	0	24	25	14	1	1	middle	last	0.071	0.071	unique	unique	41	131	1
