seqname	GC	AT	GC_skew	GC3	GC_avg_stretch	AT_avg_stretch
lcl|NC_072373.2_cds_XP_054337578.1_86	51.88	48.12	0.07187	67.79	3.75	3.67
lcl|NC_072373.2_cds_XP_054337798.2_121	41.20	58.8	0.05940	32.41	3.57	4.25
lcl|NC_072373.2_cds_XP_054302984.1_154	62.27	37.73	-0.04723	78.42	4.53	3.57
lcl|NC_072373.2_cds_XP_054334781.1_173	39.20	60.8	0.05788	34.66	3.79	4.47
lcl|NC_072373.2_cds_XP_054356914.1_208	43.22	56.78	0.02031	32.85	3.45	4.08
lcl|NC_072373.2_cds_XP_054334848.1_231	42.27	57.73	0.06518	37.07	3.60	4.17
lcl|NC_072373.2_cds_XP_054334881.1_239	42.01	57.99	0.05018	41.70	3.38	4.33
lcl|NC_072373.2_cds_XP_063526783.1_260	59.20	40.8	-0.11919	55.31	5.00	4.01
lcl|NC_072373.2_cds_XP_054303956.1_273	46.06	53.94	0.07492	48.68	3.69	4.09
lcl|NC_072373.2_cds_XP_054326515.1_277	46.89	53.11	0.09377	48.03	3.69	4.11
lcl|NC_072373.2_cds_XP_054326848.1_282	54.04	45.96	0.05720	71.73	3.96	3.62
lcl|NC_072373.2_cds_XP_054332511.1_285	42.13	57.87	0.04168	44.76	3.65	4.27
lcl|NC_072373.2_cds_XP_054357852.1_306	57.45	42.55	-0.00697	65.95	4.15	3.53
lcl|NC_072373.2_cds_XP_054304913.1_307	40.94	59.06	0.03447	36.26	3.43	4.39
lcl|NC_072373.2_cds_XP_063526962.1_324	39.24	60.76	0.17001	30.37	3.37	4.29
lcl|NC_072373.2_cds_XP_054338564.1_339	48.44	51.56	0.08613	50.86	4.78	4.41
lcl|NC_072373.2_cds_XP_054298033.1_349	57.28	42.72	-0.01845	62.06	4.80	3.88
lcl|NC_072373.2_cds_XP_063527117.1_351	51.17	48.83	-0.04802	58.42	3.83	4.00
lcl|NC_072373.2_cds_XP_054310809.1_358	46.42	53.58	-0.02523	43.37	4.35	4.41
lcl|NC_072373.2_cds_XP_054339147.1_360	51.98	48.02	-0.00112	57.34	3.88	3.97
lcl|NC_072373.2_cds_XP_054301938.1_374	58.10	41.9	0.04404	60.08	4.00	3.80
lcl|NC_072373.2_cds_XP_054342709.1_398	46.39	53.61	0.04413	47.51	4.20	4.22
