chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_060925.1	1063725	1064214	1	1	+	NC_060925.1	1063890	1064209	MIB2	NM_001170686.4	+	1	2	164	5	16	17	29	28	28	middle	middle	0.966	0.966	alternative	alternative	181	65	28
NC_060925.1	1066611	1068417	1	1	+	NC_060925.1	1066723	1067417	MMP23B	NM_006983.2	+	1	2	111	1000	1	2	3	3	3	first	middle	1.000	1.000	constitutive	constitutive	155	130	3
NC_060925.1	109302947	109303934	3	1	+	NC_060925.1	109303236	109303835	CELSR2	NM_001408.3	+	3	2	288	99	24	25	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	174	112	1
NC_060925.1	109304077	109304548	2	1	+	NC_060925.1	109304182	109304518	CELSR2	NM_001408.3	+	2	2	104	30	27	28	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	126	122	1
NC_060925.1	109305609	109306467	1	1	+	NC_060925.1	109305629	109306466	CELSR2	NM_001408.3	+	1	3	19	1	31	33	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	194	234	1
NC_060925.1	109662545	109663664	3	1	+	NC_060925.1	109662954	109663514	AMPD2	NM_001257361.2	+	3	2	408	150	15	16	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	173	110	5
NC_060925.1	109687129	109687717	2	1	+	NC_060925.1	109687259	109687555	GSTM4	NM_000850.5	+	2	2	129	162	6	7	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	95	110	4
NC_060925.1	109696528	109697080	2	1	+	NC_060925.1	109696562	109696946	GSTM2	XM_047443675.1	+	2	2	33	134	1	2	1	1	1	first	middle	1.000	1.000	constitutive	constitutive	35	75	1
NC_060925.1	109699637	109700129	3	1	+	NC_060925.1	109699779	109700075	GSTM2	XM_047443675.1	+	3	2	141	54	6	7	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	95	110	1
NC_060925.1	11224363	11224858	-3	1	-	NC_060925.1	11224409	11224657	MAD2L2	NM_001127325.2	-	3	2	201	45	1	2	3	3	3	first	middle	1.000	1.000	constitutive	constitutive	39	118	3
NC_060925.1	112723007	112723439	-2	1	-	NC_060925.1	112723009	112723400	PPM1J	NM_005167.7	-	2	2	39	1	8	9	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	107	151	1
NC_060925.1	1188675	1189128	-1	1	-	NC_060925.1	1188705	1189097	NADK	NM_001198993.2	-	1	2	31	29	7	8	11	11	11	middle	middle	1.000	1.000	constitutive	constitutive	154	99	11
NC_060925.1	1352306	1353089	-2	1	-	NC_060925.1	1352307	1352853	TMEM52	NM_178545.4	-	2	2	236	0	4	5	3	3	3	middle	last	1.000	1.000	constitutive	constitutive	178	277	3
NC_060925.1	1353465	1353777	-1	1	-	NC_060925.1	1353467	1353678	TMEM52	NM_178545.4	-	1	2	99	1	1	2	3	1	1	first	middle	0.333	0.333	unique	unique	77	49	1
NC_060925.1	1353465	1353777	-1	1	-	NC_060925.1	1353467	1353678	TMEM52	XM_054336258.1	-	1	2	99	1	1	2	3	2	2	first	middle	0.667	0.667	alternative	alternative	74	43	2
NC_060925.1	1361052	1361556	-1	1	-	NC_060925.1	1361169	1361545	CFAP74	NM_001304360.2	-	1	2	11	116	28	29	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	134	109	1
NC_060925.1	144966908	144967508	-2	1	-	NC_060925.1	144967035	144967389	PIAS3	NM_006099.3	-	2	2	119	126	12	13	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	133	37	1
NC_060925.1	149048027	149048594	-2	1	-	NC_060925.1	149048028	149048497	SF3B4	NM_005850.5	-	2	2	97	0	5	6	2	2	2	middle	last	1.000	1.000	constitutive	constitutive	173	184	2
NC_060925.1	149391778	149392429	-3	1	-	NC_060925.1	149391992	149392395	APH1A	NM_001077628.3	-	3	2	34	213	4	5	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	122	127	5
NC_060925.1	149634634	149635138	2	1	+	NC_060925.1	149634675	149635022	ECM1	NM_001202858.2	+	2	2	40	116	4	5	3	1	3	middle	middle	0.333	1.000	unique	constitutive	167	80	1
NC_060925.1	149634634	149635138	2	1	+	NC_060925.1	149634762	149635022	ECM1	NM_004425.4	+	2	2	127	116	4	5	3	2	3	middle	middle	0.667	1.000	alternative	constitutive	80	80	2
NC_060925.1	149680645	149681488	2	1	+	NC_060925.1	149680653	149681369	ADAMTSL4	NM_001288607.2	+	2	3	7	119	9	11	20	20	1	middle	middle	1.000	0.050	constitutive	unique	172	73	1
NC_060925.1	149680645	149681488	2	1	+	NC_060925.1	149680653	149681369	ADAMTSL4	NM_001288608.2	+	2	3	7	119	9	11	20	20	19	middle	middle	1.000	0.950	constitutive	alternative	172	185	19
NC_060925.1	150551518	150552187	-3	1	-	NC_060925.1	150551530	150552120	POGZ	NM_001194937.2	-	3	2	67	11	5	6	17	16	6	middle	middle	0.941	0.353	alternative	alternative	290	191	6
NC_060925.1	150551518	150552187	-3	1	-	NC_060925.1	150551530	150552120	POGZ	NM_001410860.1	-	3	2	67	11	6	7	17	16	10	middle	middle	0.941	0.588	alternative	alternative	290	218	10
NC_060925.1	150659302	150659602	2	1	+	NC_060925.1	150659303	150659601	CGN	NM_020770.3	+	2	2	0	1	16	17	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	83	118	2
