seqname	GC	AT	GC_skew	GC3	GC_avg_stretch	AT_avg_stretch
lcl|NC_071985.2_cds_XP_024110122.1_78	51.98	48.02	0.06988	67.98	3.80	3.68
lcl|NC_071985.2_cds_XP_054405874.1_108	41.68	58.32	0.05890	33.15	3.67	4.25
lcl|NC_071985.2_cds_XP_024102199.2_131	62.29	37.71	-0.04798	78.42	4.53	3.58
lcl|NC_071985.2_cds_XP_054406032.1_156	39.34	60.66	0.05945	34.87	3.76	4.47
lcl|NC_071985.2_cds_XP_009245546.2_194	43.22	56.78	0.02031	32.85	3.45	4.08
lcl|NC_071985.2_cds_XP_024091551.2_225	42.27	57.73	0.06331	37.07	3.59	4.16
lcl|NC_071985.2_cds_XP_054416820.1_229	41.95	58.05	0.05025	41.52	3.38	4.33
lcl|NC_071985.2_cds_XP_054416953.1_247	58.55	41.45	-0.09887	55.65	4.92	4.01
lcl|NC_071985.2_cds_XP_054417034.1_261	46.10	53.9	0.07184	48.72	3.69	4.09
lcl|NC_071985.2_cds_NP_001359294.1_265	46.92	53.08	0.09428	48.03	3.69	4.12
lcl|NC_071985.2_cds_XP_024088978.1_269	53.97	46.03	0.05590	71.51	3.94	3.62
lcl|NC_071985.2_cds_XP_024095740.2_273	42.07	57.93	0.04100	44.66	3.63	4.25
lcl|NC_071985.2_cds_XP_024106979.2_287	57.26	42.74	-0.00840	65.71	4.14	3.57
lcl|NC_071985.2_cds_XP_024108751.2_288	40.93	59.07	0.03556	36.19	3.41	4.38
lcl|NC_071985.2_cds_XP_009250069.1_306	39.19	60.81	0.17152	30.21	3.38	4.30
lcl|NC_071985.2_cds_XP_024088129.2_319	48.38	51.62	0.08411	50.74	4.78	4.41
lcl|NC_071985.2_cds_XP_024110028.2_332	57.22	42.78	-0.01959	61.96	4.79	3.88
lcl|NC_071985.2_cds_XP_054417324.1_334	51.21	48.79	-0.04860	58.56	3.83	4.00
lcl|NC_071985.2_cds_XP_002809341.1_339	45.78	54.22	-0.02011	41.88	4.30	4.48
lcl|NC_071985.2_cds_XP_054417408.1_340	51.88	48.12	-0.00407	57.36	3.88	3.97
lcl|NC_071985.2_cds_XP_024105171.2_353	55.03	44.97	0.05099	56.45	3.86	3.71
lcl|NC_071985.2_cds_XP_024111130.2_377	46.45	53.55	0.04319	47.57	4.20	4.22
lcl|NC_071985.2_cds_XP_002809368.3_397	50.78	49.22	0.01076	59.15	3.74	3.90
lcl|NC_071985.2_cds_XP_054417777.1_405	44.10	55.9	0.03908	40.68	3.65	4.19
lcl|NC_071985.2_cds_XP_054374725.1_447	64.10	35.9	0.08132	78.33	4.42	3.39
