sequence	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60
lcl|NC_073224.2_cds_XP_055236872.1_96	0.8767649988551698	-0.6556428819816144	2.396769231685336	-0.34035999157843566	-0.41489056411715936	-1.0036306742305725	-1.6309634138030453	-1.8133078265212146	0.663130051772663	2.1041515227096266	-0.3078088886600094	0.12229080385987148	-1.083435535170869	0.8814111396277207	1.525754425347932	0.8997196026726597	1.5973367101756282	-0.02925289757003109	0.950075502453069	-1.0668466948987456	-1.0848603277500037	-0.897208496549158	0.008518264980369922	-0.014413776708163089	0.6545150388286072	0.6093452882253267	-1.9545878881593524	-1.3079537931501077	0.1994707418191175	-0.8989325978607525	-1.1549639039984176	0.2978034014355858	1.6286906916962067	-0.6851127262137845	0.3661376652832402	1.1231441293816833	-0.3720533937637458	-0.3548781315294394	0.2208030400886486	-0.4448144079587324	0.049919728030064225	1.3668117274576952	-0.0027327071333309583	-0.015237307885286981	0.024002828637443373	2.733924198139448e-15	1.0061396160665481e-16	-1.3322676295501878e-15	1.2004286453759505e-15	1.429412144204889e-15	-2.498001805406602e-16	8.326672684688674e-17	-1.9038590148845458e-16	3.3584246494910985e-15	-1.6930901125533637e-15	-3.885780586188048e-16	-2.706168622523819e-16	-1.9359513991901167e-15	-3.95516952522712e-16	2.3869795029440866e-15
lcl|NC_073224.2_cds_XP_018888100.4_128	1.246661576956611	-0.23457744740240313	-1.0198519158831092	0.20726297066515648	-0.0030877631361826835	-0.011789101652846334	-0.03231648292824056	-1.0169194262612768	0.6365465521745067	-0.4491228907846671	0.6036039725065907	1.3551418327481988	0.3139107836619831	0.8518200947412453	-0.48533294209424016	0.5870347836893813	-1.1299503992333788	1.7332210172966303	-0.3425565678705942	-0.3522084378528828	-0.5098551458638575	-0.1765642113895613	1.0019165008092326	-0.7590591039116775	-0.7401222015934543	0.725206069452493	-0.8881997003204267	-0.4331261736398546	-0.2974149443496643	0.17954946549024517	0.7080995379539057	1.1833376615787539	0.9800691031567121	-0.8302105698145721	-0.16395022345161003	-0.5901423258181788	-1.3862604302567358	-0.7381073052451331	0.40616237865322385	-0.818372445870946	0.5504332963277581	-0.9763115699440226	-0.05950260859906025	-0.01195869901879396	0.023180734258173102	-3.888816352271007e-15	-2.7007476116613915e-15	-5.186823193170653e-16	9.02706728811431e-16	-1.8283985436795547e-15	-1.1431827706687159e-15	1.2281842209915794e-15	-2.217247652841481e-15	5.551115123125783e-17	4.0158848468863084e-16	-2.706168622523819e-16	-1.0048385734595655e-15	-3.903127820947816e-17	-9.47809539186828e-16	4.215378046623641e-16
lcl|NC_073224.2_cds_XP_063563152.1_133	4.287839753643847	15.139828350516023	8.346530973650877	-0.5510701221451836	0.6961224559455406	-9.317135135917782	1.540688164176104	0.929535004512174	-3.8136819193502443	-1.0363861025775662	-0.4664363153741266	-1.3841498806353187	-0.05569230374844478	-1.587163482018289	-0.2423670787612201	1.4303651469673309	6.084742311911354	-2.8536717135718517	2.4949660774258304	-11.32204962981345	4.022332148018899	0.15871510087124552	-3.5902604440202137	-3.27319852724089	-5.728807307829364	5.2948237526450415	2.573402344728562	2.2486372997179047	-2.168371048916301	-5.28784462450809	-1.8566376436709606	3.3794592534276178	2.227924480652635	-1.91124066361827	-1.958061438925069	-3.4513908890904132	3.4047828379569127	-1.0524824224656024	1.1791626427211717	-0.8461634219870385	-2.4616883448350038	2.0214178796454156	0.4961266933117108	0.1325767053801139	-0.008608440581177768	-2.831068712794149e-15	4.3021142204224816e-15	3.3306690738754696e-15	-6.13398221105399e-15	1.0380585280245214e-14	6.217248937900877e-15	-1.9984014443252818e-14	1.1338152638984411e-14	2.220446049250313e-16	-1.4432899320127035e-15	-2.220446049250313e-15	2.6922908347160046e-15	6.106226635438361e-16	-1.5265566588595902e-15	1.1102230246251565e-15
lcl|NC_073224.2_cds_XP_004028745.5_150	2.064424750090913	0.18777933496127058	0.08088090243091914	-0.4890358313562304	-2.662232072022424	-0.8263736829080379	0.5078196435020008	0.09295303267094648	-0.7833890645655502	1.2049942359940484	-1.5404869351322317	0.1623799834868825	0.7674237741860565	1.493346694017108	-1.231096636034682	0.3173006730510447	-0.6409187584114002	0.9879640534844141	-0.7489066602355602	0.7893305732549183	0.3901045754201409	0.1610369917544569	-0.40783649540298167	0.9142431216889908	0.7598875026856224	-0.6063794991161161	-0.2643894851345883	-0.45459724337920826	-0.894008186785749	0.2506567845171391	-0.5151481729370245	0.2841799541462381	-0.21778641533875145	-0.5257668635981391	0.20139985542878436	-0.2950452749514909	-0.206959175756602	0.5222294370733624	0.1710466439717425	-0.4138929785887918	0.030534473624121757	-1.0343885712592926	-0.001654204708578036	0.009040704334036039	0.0036946936733045325	5.322131624296844e-15	1.6280379822042335e-15	7.632783294297951e-16	2.0834028946481453e-15	6.175615574477433e-16	-1.582067810090848e-15	1.2975731600306517e-15	-9.777335191474279e-16	-1.5959455978986625e-15	2.0886070650760757e-15	8.881784197001252e-16	6.210310043996969e-16	1.0720591081536668e-15	5.564125549195609e-16	-1.5404344466674047e-15
lcl|NC_073224.2_cds_XP_063563173.1_167	0.38403588265651956	0.37815386573636695	-1.7010292146494768	-0.9835150771900204	3.7974604920219384	-0.4379110489750775	-0.7627653766886293	-0.6786583829017242	-1.393762112757054	1.1730939120888952	-0.0715994628815423	-0.09735217061912876	-0.689650077947556	-0.0710972799075301	-1.3419763092964727	-0.807175413817053	-1.9743172678747052	0.4151580161568436	-0.9705347166140981	0.8207927056105169	0.33585305634640794	-0.965141074734389	0.964033175063399	0.1130786922981238	1.5537284407148744	0.5001506819233125	-0.39851452381722546	1.262256086059892	0.7856410652400017	2.049274599225097	0.690031666013488	-2.3175665386276147	-0.9510169894414476	0.04397667711172942	-0.39894190940405316	-0.8062774272918294	-0.6675013160915023	1.0760605892184956	0.6434050893171088	0.32271279136806497	0.2123346043651977	-0.06753707230448269	0.13688044106165279	-0.035041963908654696	-4.128139571122763e-4	-2.157996004115148e-15	3.9898639947466563e-16	8.534839501805891e-16	1.3426759704060487e-15	-4.912736883966318e-15	1.0824674490095276e-15	4.246603069191224e-15	3.421742056364252e-16	-2.7755575615628914e-16	-1.2073675392798577e-15	2.4424906541753444e-15	-1.6583956430338276e-15	7.494005416219807e-16	-1.5439038936193583e-16	-8.326672684688674e-16
lcl|NC_073224.2_cds_XP_063563233.1_215	-0.3491376054867291	1.0531694269778633	0.06074959175384628	1.8396553595048035	1.0904741653581793	-0.9312237424066887	-1.1169080098238293	0.8950009302839468	-0.8380333152472268	-1.7076136841288692	-0.9834611701135414	0.4103441944073524	-0.8966773481411816	0.1373530435120738	0.32770263317038273	0.5033854694315018	-1.2160374532730085	1.211121267353139	0.25446519961379555	0.1382581316502155	-1.8395722979886546	0.7405992029380025	-0.6612968897294585	-0.2212874815106385	-0.33449559429179376	-1.5920486159537062	1.5870060916754802	0.9584774873174015	1.239839516461278	-1.5791575771339386	-0.5705101315245447	-0.2935632147772206	-0.4197449431013401	-0.4102554506899314	-0.2505821956041067	0.967014975982341	-0.958997027983999	-0.2380664599339726	0.3141196110818811	0.3774432675515368	0.16629286511400027	-0.7612452630048554	0.04518887640235847	-0.07108188422133677	0.07796741651598943	-6.9562411386669964e-15	-2.995867443011946e-15	-1.97758476261356e-16	1.9567680809018384e-15	-3.0982161280945775e-15	-1.2490009027033011e-15	-1.7486012637846216e-15	-1.822327011513636e-15	8.743006318923108e-16	-4.996003610813204e-16	-1.6653345369377348e-15	-1.8561541192951836e-16	8.847089727481716e-16	-2.5413698923060224e-16	-2.3175905639050143e-15
lcl|NC_073224.2_cds_XP_030871371.3_266	-0.5294815970214546	-2.043897030508237	0.7955980206381768	1.1800885678646669	1.9555563121065127	-1.072064854322579	0.07431773734624131	-2.2935011759422386	-0.7118048568087911	1.3905727771389338	-1.051452890349611	1.2812396724900625	0.33876737379077665	-0.4662574584950985	1.4135326837423245	2.2013243978390955	-0.3632633199850717	-1.7539002514867932	1.278637737368352	-2.735466881382025	-0.9245976279567176	1.2044276163590177	0.9081485288984215	-0.6293603092447898	-1.347791734678563	0.7246080974375766	2.4492734196325614	0.8796717545463772	-0.34318286032776246	-0.4155391363424088	-2.8891913045887274	0.7057148218283926	-0.7973239296353827	-0.9762551625565157	-0.49660974355546816	0.6173447127584148	0.26829879058898715	1.009891581747493	1.1740067659189446	0.1292506019457965	0.1917259725953622	-0.2453223318471187	-0.19422442338697216	0.010529767950031799	-0.027095389194216946	-3.885780586188048e-15	-2.005340338229189e-15	7.91033905045424e-16	-1.6653345369377348e-16	3.3306690738754696e-16	9.43689570931383e-16	-3.0531133177191805e-15	6.617970060851519e-16	2.55351295663786e-15	-8.049116928532385e-16	-9.992007221626409e-16	-9.298117831235686e-16	1.6653345369377348e-16	3.688022109926692e-15	6.106226635438361e-16
lcl|NC_073224.2_cds_XP_030871376.3_269	0.9283154620112191	0.8056806422612377	0.773489044978938	-2.323159141456854	-0.8638784058329526	1.1947059687033232	-0.6385765672891569	-1.6429171334571888	0.3217788344794708	-0.3245439394319224	-0.6077917477111291	2.4690811024066464	-0.9642035042316109	-0.8336460364737432	0.21189533582628922	0.313785396212011	-0.3561943789915771	0.28462787100308096	1.2525670791306895	0.3256409155119582	-0.7357180103143758	0.917009530734575	1.0657140668072622	-0.08067629427382562	-1.6892528997843415	0.8790950212293047	0.2706907785600113	-1.5413436562647713	1.4821572347730148	-0.01727366708580444	-0.28946041356306246	0.9354382197518306	0.9462054915171986	-0.5139936937695032	0.8328387215126182	-0.5778144871452128	-0.48822400191204574	-0.6550980796720849	-0.1327470998187681	-0.19712372996158828	0.5107619199635397	-0.3327632206359114	-0.08282596333037628	0.029259338016231436	0.012122629093885891	-1.5664552988070568e-15	-1.4996684449819497e-15	-4.427014310692812e-15	-1.0577476394768581e-15	-2.291569711765362e-15	-1.27675647831893e-15	-1.8735013540549517e-16	-3.158389348667523e-15	9.08995101411847e-16	-8.708311849403572e-16	5.828670879282072e-16	1.1596626436904955e-15	-1.7034984534092246e-15	1.547373340571312e-15	2.1441182163073336e-15
lcl|NC_073224.2_cds_XP_030871419.3_293	2.5792224105284385	-4.392387687214695	-0.04701661900063292	2.1006990083483412	-1.0934734310612453	-0.8026207395425217	-1.322162830481988	-1.447038769761596	0.5664725410103024	-0.8805448175970279	1.223840147282537	0.14158286494175343	-0.12528163288309635	-2.305754871062931	-0.18875059791329946	0.3387285882273597	-0.7892760612840859	-0.9121313568985315	2.1159451423924915	0.3822726958690217	0.5705764794030704	0.6230978023276342	2.7381597305912964	1.8238605995070403	-1.3639101733175845	-2.2602741118635907	1.2435228763976298	2.408947600365818	-0.22748139302943568	1.172142102620795	0.5605567746423419	1.8164752818269716	0.7603470329081977	0.9471154735161619	0.7350219933144597	-0.5552500053959162	1.0924331670609002	1.1722516003964032	0.11990193895847842	-0.8243774052815536	2.251469494578574	1.8287295826832408	-0.40621780633082216	0.027167989683818755	-0.06208501036332073	1.0026701691145945e-15	9.645062526431047e-16	-3.594347042223944e-15	-2.732189474663471e-15	-4.7531423241764514e-15	3.927413949611491e-15	2.345346139520643e-15	-2.2453826992174797e-15	-1.9845236565174673e-15	-2.220446049250313e-15	-3.608224830031759e-16	-1.0182826803983858e-15	-2.976785484776201e-15	2.1371793224034263e-15	3.899658373995862e-15
lcl|NC_073224.2_cds_XP_055229668.2_295	-2.7540082400489645	0.6062753288479306	0.36084616208232434	-0.6278001877791646	2.16776942456333	0.7291291365755841	1.1596022881532282	0.6771116308752263	-0.11980550559146844	0.27743498646999804	-1.2226020346502147	-1.1769098494952102	-2.25236445947375	0.4995965852385171	1.3032057129289019	1.597526893253979	1.0933534070238131	0.7708505627553344	-0.702513102782753	0.8822004249405861	-0.09617767953257889	-1.651539840228642	1.2301228163769982	0.26007566368906626	-0.5718307113312131	-0.010386856493561879	-0.42281830262827946	-0.36022105967602325	-0.5815104756527969	0.1366388640331884	-0.08228359756079663	-0.4536467534431425	0.20895291132222413	0.12357348771747761	-0.1004986196113845	-0.28577134505122925	0.5121048660557838	-0.17333038504574202	0.6063269341736904	-0.31937764136276875	-0.2805103264326178	-0.14687435393210174	0.0078079100762571685	-0.010221579096306662	-0.0036473350516551574	2.383510055992133e-15	1.1527237497865883e-15	1.457167719820518e-15	2.255140518769849e-16	2.1996293675385914e-15	-1.4432899320127035e-15	4.787836793695988e-16	1.5955119170296683e-15	-2.7755575615628914e-17	-3.122502256758253e-16	-1.609823385706477e-15	-1.457167719820518e-16	-6.938893903907228e-18	6.245004513516506e-17	-2.220446049250313e-15
