chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_073249.2	117130146	117130506	-1	1	-	NC_073249.2	117130246	117130368	CSF1	XM_034933157.3	-	1	1	138	100	2	2	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	122	122	4
NC_073249.2	117130146	117130506	-1	1	-	NC_073249.2	117130246	117130503	CSF1	XM_063599449.1	-	1	2	3	100	1	2	5	1	5	first	middle	0.200	1.000	unique	constitutive	14	122	1
NC_073249.2	174499139	174499505	3	1	+	NC_073249.2	174499148	174499481	CC2D1B	XM_008967916.4	+	3	2	9	24	22	23	11	11	5	middle	middle	1.000	0.455	constitutive	alternative	90	89	5
NC_073249.2	174499139	174499505	3	1	+	NC_073249.2	174499148	174499238	CC2D1B	XM_008967919.5	+	3	1	9	267	22	22	11	11	11	middle	middle	1.000	1.000	constitutive	constitutive	90	90	6
NC_073249.2	182083788	182084256	-1	1	-	NC_073249.2	182083843	182083920	ARMH1	XM_003812809.4	-	1	1	336	55	9	9	10	6	6	middle	middle	0.600	0.600	alternative	alternative	77	77	6
NC_073249.2	182083788	182084256	-1	1	-	NC_073249.2	182084007	182084136	ARMH1	XM_008965273.5	-	1	1	120	219	8	8	10	1	1	middle	middle	0.100	0.100	unique	unique	129	129	1
NC_073249.2	182083788	182084256	-1	1	-	NC_073249.2	182084007	182084154	ARMH1	XM_034963384.3	-	1	1	102	219	8	8	10	3	3	middle	middle	0.300	0.300	alternative	alternative	147	147	3
NC_073249.2	182453268	182454033	1	1	+	NC_073249.2	182453284	182453425	ERI3	XM_003812817.4	+	1	1	16	608	1	1	14	1	1	first	first	0.071	0.071	unique	unique	141	141	1
NC_073249.2	182453268	182454033	1	1	+	NC_073249.2	182453659	182453793	ERI3	XM_008965282.5	+	1	1	391	240	1	1	14	5	5	first	first	0.357	0.357	alternative	alternative	134	134	5
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817012	182817439	CCDC24	XM_003812823.4	-	3	2	117	2	2	3	25	5	24	middle	middle	0.200	0.960	alternative	alternative	175	116	5
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817012	182817331	CCDC24	XM_008965309.3	-	3	2	225	2	2	3	25	3	24	middle	middle	0.120	0.960	alternative	alternative	106	116	3
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817012	182817331	CCDC24	XM_008965310.3	-	3	2	225	2	2	3	25	4	24	middle	middle	0.160	0.960	alternative	alternative	67	116	4
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817012	182817439	CCDC24	XM_024930987.3	-	3	2	117	2	2	3	25	4	24	middle	middle	0.160	0.960	alternative	alternative	214	116	4
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817012	182817498	CCDC24	XM_034963351.3	-	3	2	58	2	2	3	25	5	24	middle	middle	0.200	0.960	alternative	alternative	273	116	5
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817012	182817498	CCDC24	XM_055094128.2	-	3	2	58	2	2	3	25	4	24	middle	middle	0.160	0.960	alternative	alternative	234	116	3
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817264	182817498	CCDC24	XM_055094166.2	-	3	1	58	254	2	2	25	4	4	middle	middle	0.160	0.160	alternative	alternative	234	234	1
NC_073249.2	195029453	195030101	3	1	+	NC_073249.2	195029679	195030009	SPOCD1	XM_008953483.5	+	3	2	226	92	4	5	9	6	8	middle	middle	0.667	0.889	alternative	alternative	125	54	6
NC_073249.2	195029453	195030101	3	1	+	NC_073249.2	195029955	195030009	SPOCD1	XM_063601527.1	+	3	1	502	92	2	2	9	8	8	middle	middle	0.889	0.889	alternative	alternative	54	54	2
NC_073249.2	203144510	203144984	3	1	+	NC_073249.2	203144532	203144958	GALE	XM_008963121.3	+	3	2	22	26	8	9	5	3	5	middle	middle	0.600	1.000	alternative	constitutive	77	114	3
NC_073249.2	203144510	203144984	3	1	+	NC_073249.2	203144844	203144958	GALE	XM_008963125.3	+	3	1	334	26	8	8	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	114	114	2
NC_073249.2	207828866	207829463	3	1	+	NC_073249.2	207828910	207829097	AKR7A3	XM_008967092.5	+	3	1	44	366	2	2	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	187	187	1
NC_073249.2	207828866	207829463	3	1	+	NC_073249.2	207828910	207829394	AKR7A3	XM_034956936.3	+	3	2	44	69	2	3	2	2	1	middle	middle	1.000	0.500	constitutive	unique	187	104	1
NC_073249.2	210140178	210141027	1	1	+	NC_073249.2	210140186	210140586	ATP13A2	XM_034956516.3	+	1	2	8	441	21	22	11	11	8	middle	middle	1.000	0.727	constitutive	alternative	160	116	8
NC_073249.2	210140178	210141027	1	1	+	NC_073249.2	210140186	210140346	ATP13A2	XM_034956555.3	+	1	1	8	681	21	21	11	11	11	middle	middle	1.000	1.000	constitutive	constitutive	160	160	3
NC_073249.2	221809397	221810258	3	1	+	NC_073249.2	221809413	221810072	HES2	XM_003822152.4	+	3	2	16	186	1	3	2	1	2	first	middle	0.500	1.000	unique	constitutive	255	95	1
NC_073249.2	221809397	221810258	3	1	+	NC_073249.2	221809977	221810072	HES2	XM_063602015.1	+	3	1	580	186	2	2	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	95	95	1
NC_073249.2	222074513	222075140	3	1	+	NC_073249.2	222074915	222075113	CHD5	XM_008975719.5	+	3	1	402	27	4	4	5	1	1	middle	middle	0.200	0.200	unique	unique	198	198	1
NC_073249.2	222074513	222075140	3	1	+	NC_073249.2	222074578	222074744	CHD5	XM_034953986.3	+	3	1	65	396	8	8	5	4	4	middle	middle	0.800	0.800	alternative	alternative	166	166	4
NC_073249.2	225640964	225641990	3	1	+	NC_073249.2	225641056	225641864	MMEL1	XM_034953648.3	+	3	2	92	126	8	9	11	6	11	middle	middle	0.545	1.000	alternative	constitutive	118	65	6
NC_073249.2	225640964	225641990	3	1	+	NC_073249.2	225641799	225641864	MMEL1	XM_055099042.2	+	3	1	835	126	10	10	11	11	11	middle	middle	1.000	1.000	constitutive	constitutive	65	65	5
NC_073249.2	226352769	226353201	1	1	+	NC_073249.2	226352830	226352964	CFAP74	XM_014343963.4	+	1	1	61	237	37	37	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	134	134	5
NC_073249.2	226352769	226353201	1	1	+	NC_073249.2	226352830	226353201	CFAP74	XM_063602440.1	+	1	2	61	0	36	37	7	7	2	middle	last	1.000	0.286	constitutive	alternative	134	32	2
NC_073249.2	226355803	226356646	2	1	+	NC_073249.2	226356604	226356645	TMEM52	XM_003807296.6	+	2	1	801	1	3	3	5	2	2	middle	middle	0.400	0.400	alternative	alternative	41	41	2
NC_073249.2	226355803	226356646	2	1	+	NC_073249.2	226355897	226356645	TMEM52	XM_034953402.3	+	2	2	94	1	1	2	5	2	1	first	middle	0.400	0.200	alternative	unique	459	195	1
NC_073249.2	226355803	226356646	2	1	+	NC_073249.2	226355897	226356493	TMEM52	XM_034953408.3	+	2	2	94	153	1	2	5	2	1	first	middle	0.400	0.200	alternative	unique	459	43	1
NC_073249.2	226983614	226984121	3	1	+	NC_073249.2	226983637	226983837	C1QTNF12	XM_055099671.2	+	3	1	23	284	6	6	8	1	1	middle	middle	0.125	0.125	unique	unique	200	200	1
NC_073249.2	226983614	226984121	3	1	+	NC_073249.2	226984026	226984121	C1QTNF12	XM_055099676.2	+	3	1	412	0	7	7	8	4	4	last	last	0.500	0.500	alternative	alternative	95	95	4
NC_073249.2	227021685	227022453	1	1	+	NC_073249.2	227022332	227022453	TNFRSF18	XM_003809497.6	+	1	1	647	0	5	5	4	2	2	last	last	0.500	0.500	alternative	alternative	121	121	2
NC_073249.2	227021685	227022453	1	1	+	NC_073249.2	227021714	227022266	TNFRSF18	XM_063602518.1	+	1	2	29	187	3	4	4	1	1	middle	middle	0.250	0.250	unique	unique	187	202	1
NC_073249.2	43357270	43357738	2	1	+	NC_073249.2	43357396	43357537	CTSE	XM_003822932.6	+	2	1	126	201	7	7	2	1	1	middle	middle	0.500	0.500	unique	unique	141	141	1
NC_073249.2	43357270	43357738	2	1	+	NC_073249.2	43357639	43357737	CTSE	XM_008976536.5	+	2	1	369	1	7	7	2	1	1	middle	middle	0.500	0.500	unique	unique	98	98	1
NC_073249.2	92329291	92329690	2	1	+	NC_073249.2	92329422	92329453	FCRL5	XM_003821014.6	+	2	1	131	237	16	16	2	1	1	middle	middle	0.500	0.500	unique	unique	31	31	1
NC_073249.2	92329291	92329690	2	1	+	NC_073249.2	92329531	92329690	FCRL5	XM_008974494.5	+	2	1	240	0	17	17	2	1	1	last	last	0.500	0.500	unique	unique	159	159	1
NC_073249.2	93710690	93711473	-2	1	-	NC_073249.2	93710931	93711056	LMNA	XM_034937332.4	-	2	1	417	241	5	5	7	6	6	middle	middle	0.857	0.857	alternative	alternative	125	125	6
NC_073249.2	93710690	93711473	-2	1	-	NC_073249.2	93711268	93711413	LMNA	XM_055113222.2	-	2	1	60	578	1	1	7	1	1	first	first	0.143	0.143	unique	unique	145	145	1
NC_073249.2	94705347	94705737	-1	1	-	NC_073249.2	94705349	94705428	SLC50A1	XM_003817069.5	-	1	1	309	2	1	1	10	2	2	first	first	0.200	0.200	alternative	alternative	79	79	2
NC_073249.2	94705347	94705737	-1	1	-	NC_073249.2	94705660	94705668	SLC50A1	XM_034936775.3	-	1	1	69	313	1	1	10	3	3	first	first	0.300	0.300	alternative	alternative	8	8	3
NC_073249.2	94754386	94754845	-3	1	-	NC_073249.2	94754387	94754805	EFNA3	XM_003817092.6	-	3	2	40	1	4	5	2	1	2	middle	last	0.500	1.000	unique	constitutive	77	127	1
NC_073249.2	94754386	94754845	-3	1	-	NC_073249.2	94754387	94754514	EFNA3	XM_003817093.5	-	3	1	331	1	4	4	2	2	2	last	last	1.000	1.000	constitutive	constitutive	127	127	1
NC_073249.2	95901429	95901795	1	1	+	NC_073249.2	95901457	95901574	DENND4B	XM_003817123.7	+	1	1	28	221	25	25	6	5	5	middle	middle	0.833	0.833	alternative	alternative	117	117	5
NC_073249.2	95901429	95901795	1	1	+	NC_073249.2	95901457	95901795	DENND4B	XM_063605157.1	+	1	2	28	0	25	26	6	1	1	middle	last	0.167	0.167	unique	unique	41	131	1
NC_073252.2	125691169	125691424	-1	1	-	NC_073252.2	125691268	125691371	MFSD8	XM_008976693.5	-	1	1	53	99	10	10	8	7	7	middle	middle	0.875	0.875	alternative	alternative	103	103	7
NC_073252.2	125691169	125691424	-1	1	-	NC_073252.2	125691170	125691179	MFSD8	XM_057302154.1	-	1	1	245	1	9	9	8	1	1	last	last	0.125	0.125	unique	unique	9	9	1
NC_073252.2	2136842	2137490	3	1	+	NC_073252.2	2137034	2137139	FGFR3	XM_034958180.3	+	3	1	192	351	16	16	12	11	11	middle	middle	0.917	0.917	alternative	alternative	105	105	11
NC_073252.2	2136842	2137490	3	1	+	NC_073252.2	2137321	2137490	FGFR3	XM_034958187.3	+	3	1	479	0	16	16	12	1	1	last	last	0.083	0.083	unique	unique	169	169	1
NC_073252.2	59244500	59245748	3	1	+	NC_073252.2	59245032	59245634	GRSF1	XM_008961142.4	+	3	1	532	114	1	1	4	1	1	first	first	0.250	0.250	unique	unique	602	602	1
NC_073252.2	59244500	59245748	3	1	+	NC_073252.2	59245683	59245685	GRSF1	XM_008961144.4	+	3	1	1183	63	1	1	4	1	1	first	first	0.250	0.250	unique	unique	2	2	1
NC_073252.2	59244500	59245748	3	1	+	NC_073252.2	59245032	59245391	GRSF1	XM_034958683.3	+	3	1	532	357	1	1	4	1	1	first	first	0.250	0.250	unique	unique	359	359	1
NC_073253.2	129413116	129413989	2	1	+	NC_073253.2	129413321	129413801	TCF7	XM_034960507.3	+	2	2	205	188	1	2	12	9	12	first	middle	0.750	1.000	alternative	constitutive	248	66	9
NC_073253.2	129413116	129413989	2	1	+	NC_073253.2	129413735	129413801	TCF7	XM_055112685.2	+	2	1	619	188	2	2	12	12	12	middle	middle	1.000	1.000	constitutive	constitutive	66	66	3
NC_073253.2	145607495	145608116	3	1	+	NC_073253.2	145607559	145608062	TCOF1	XM_034960786.3	+	3	2	64	54	16	17	11	7	11	middle	middle	0.636	1.000	alternative	constitutive	179	200	7
NC_073253.2	145607495	145608116	3	1	+	NC_073253.2	145607862	145608062	TCOF1	XM_034960791.3	+	3	1	367	54	16	16	11	11	11	middle	middle	1.000	1.000	constitutive	constitutive	200	200	4
NC_073253.2	145630809	145631733	-2	1	-	NC_073253.2	145630893	145630955	CD74	XM_003829019.4	-	2	1	778	84	7	7	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	62	62	1
NC_073253.2	145630809	145631733	-2	1	-	NC_073253.2	145630893	145631639	CD74	XM_003829020.5	-	2	2	94	84	7	8	2	1	2	middle	middle	0.500	1.000	unique	constitutive	191	62	1
NC_073253.2	174815769	174816264	-2	1	-	NC_073253.2	174815808	174816212	TBC1D9B	XM_034961213.3	-	2	2	52	39	18	19	4	4	2	middle	middle	1.000	0.500	constitutive	alternative	71	50	2
NC_073253.2	174815769	174816264	-2	1	-	NC_073253.2	174816141	174816212	TBC1D9B	XM_034961214.3	-	2	1	52	372	18	18	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	71	71	2
NC_073254.2	163036289	163037273	3	1	+	NC_073254.2	163036917	163037057	AIG1	XM_034962980.2	+	3	1	628	216	1	1	9	6	6	first	first	0.667	0.667	alternative	alternative	140	140	6
NC_073254.2	163036289	163037273	3	1	+	NC_073254.2	163036635	163037057	AIG1	XM_034962981.3	+	3	2	346	216	1	2	9	2	2	first	middle	0.222	0.222	alternative	alternative	8	119	2
NC_073254.2	163036289	163037273	3	1	+	NC_073254.2	163036947	163037057	AIG1	XM_057302603.2	+	3	1	658	216	1	1	9	1	1	first	first	0.111	0.111	unique	unique	110	110	1
NC_073254.2	46189802	46190279	-3	1	-	NC_073254.2	46189925	46190050	LOC106634867	XM_024929304.5	-	3	1	229	123	2	2	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	125	125	1
