chr	start	end	frame	filler	frame	chr	exon_1_start	exon_1_end	exon_2_start	exon_2_end	gene	transcript	exon_strand	exon_frame	intron_start	intron_end	intron_length	merged_txs
NC_071985.2	100111936	100112749	-2	1	-	NC_071985.2	100112570	100112742	100112311	100112422	ADAMTSL4	XM_063717774.1	-	2	100112422	100112570	148	9
NC_071985.2	100111936	100112749	-2	1	-	NC_071985.2	100112311	100112422	100112026	100112211	ADAMTSL4	XM_063717774.1	-	2	100112211	100112311	100	9
NC_071985.2	100158379	100158877	-2	1	-	NC_071985.2	100158670	100158750	100158490	100158570	ECM1	XM_002810279.6	-	2	100158570	100158670	100	2
NC_071985.2	100399571	100400219	3	1	+	NC_071985.2	100399606	100399728	100399879	100400006	APH1A	XM_009244839.4	+	3	100399728	100399879	151	2
NC_071985.2	100744921	100745575	2	1	+	NC_071985.2	100745106	100745279	100745391	100745575	SF3B4	XM_024250558.3	+	2	100745279	100745391	112	1
NC_071985.2	111716	112169	3	1	+	NC_071985.2	111891	111924	112054	112147	ZNF692	XM_054560493.2	+	3	111924	112054	130	1
NC_071985.2	111820246	111820846	2	1	+	NC_071985.2	111820366	111820499	111820683	111820720	PIAS3	XM_002810321.5	+	2	111820499	111820683	184	1
NC_071985.2	111824401	111825538	-2	1	-	NC_071985.2	111825158	111825349	111824794	111824977	NUDT17	XM_002810322.6	-	2	111824977	111825158	181	1
NC_071985.2	111824401	111825538	-2	1	-	NC_071985.2	111824794	111824977	111824531	111824556	NUDT17	XM_002810322.6	-	2	111824556	111824794	238	1
NC_071985.2	111824401	111825538	-2	1	-	NC_071985.2	111824794	111825349	111824531	111824556	NUDT17	XM_054553618.2	-	2	111824556	111824794	238	1
NC_071985.2	120022786	120023437	2	1	+	NC_071985.2	120022813	120022876	120023033	120023140	PPM1J	XM_002810421.6	+	2	120022876	120023033	157	1
NC_071985.2	120022786	120023437	2	1	+	NC_071985.2	120023033	120023140	120023285	120023436	PPM1J	XM_002810421.6	+	2	120023140	120023285	145	1
NC_071985.2	123030110	123030488	-1	1	-	NC_071985.2	123030393	123030466	123030123	123030164	GSTM5	XM_054548038.2	-	1	123030164	123030393	229	1
NC_071985.2	123065513	123065882	-1	1	-	NC_071985.2	123065769	123065864	123065568	123065678	GSTM2	NM_001134015.1	-	1	123065678	123065769	91	1
NC_071985.2	123077954	123078587	-1	1	-	NC_071985.2	123078363	123078458	123078162	123078272	GSTM4	NM_001367596.1	-	1	123078272	123078363	91	3
NC_071985.2	123106155	123107292	-3	1	-	NC_071985.2	123106711	123106884	123106303	123106413	AMPD2	NM_001132278.3	-	3	123106413	123106711	298	5
NC_071985.2	123463531	123464164	-2	1	-	NC_071985.2	123463951	123464145	123463642	123463812	CELSR2	XM_024252814.3	-	2	123463812	123463951	139	4
NC_071985.2	123465226	123465697	-2	1	-	NC_071985.2	123465467	123465593	123465257	123465379	CELSR2	XM_024252814.3	-	2	123465379	123465467	88	4
NC_071985.2	133041168	133041612	-3	1	-	NC_071985.2	133041424	133041579	133041180	133041330	AGL	XM_024233359.3	-	3	133041330	133041424	94	2
NC_071985.2	162026944	162027238	2	1	+	NC_071985.2	162026977	162027029	162027120	162027228	ZRANB2	NM_001134156.1	+	2	162027029	162027120	91	1
NC_071985.2	178412092	178412941	-2	1	-	NC_071985.2	178412615	178412779	178412294	178412416	CIMAP2	XM_024246455.2	-	2	178412416	178412615	199	5
NC_071985.2	178971272	178971734	3	1	+	NC_071985.2	178971381	178971447	178971550	178971626	SSBP3	XM_024246597.3	+	3	178971447	178971550	103	13
NC_071985.2	178992494	178993373	3	1	+	NC_071985.2	178992564	178992642	178993032	178993133	SSBP3	XM_024246597.3	+	3	178992642	178993032	390	13
NC_071985.2	185056222	185056705	-2	1	-	NC_071985.2	185056586	185056660	185056304	185056468	SLC5A9	XM_009250605.3	-	2	185056468	185056586	118	1
NC_071985.2	186908617	186909280	-2	1	-	NC_071985.2	186909001	186909041	186908708	186908832	LOC100453623	XM_024247329.3	-	2	186908832	186909001	169	4
NC_071985.2	186908617	186909280	-2	1	-	NC_071985.2	186909001	186909062	186908708	186908832	LOC100453623	XM_054535295.2	-	2	186908832	186909001	169	5
NC_071985.2	187116604	187116910	2	1	+	NC_071985.2	187116605	187116670	187116761	187116874	POMGNT1	NM_001133834.1	+	2	187116670	187116761	91	3
NC_071985.2	187117705	187118317	2	1	+	NC_071985.2	187117727	187117844	187118037	187118135	POMGNT1	NM_001133834.1	+	2	187117844	187118037	193	3
NC_071985.2	187127391	187127820	-3	1	-	NC_071985.2	187127593	187127748	187127401	187127484	TSPAN1	NM_001131902.1	-	3	187127484	187127593	109	6
NC_071985.2	187684898	187685393	3	1	+	NC_071985.2	187685035	187685153	187685295	187685392	GPBP1L1	XM_024256443.2	+	3	187685153	187685295	142	7
NC_071985.2	187967880	187968159	-3	1	-	NC_071985.2	187968010	187968152	187967882	187967922	TOE1	NM_001132198.1	-	3	187967922	187968010	88	2
NC_071985.2	187967880	187968159	-3	1	-	NC_071985.2	187968010	187968066	187967882	187967922	TOE1	XM_009250980.3	-	3	187967922	187968010	88	2
NC_071985.2	188474806	188476039	2	1	+	NC_071985.2	188474932	188475280	188475407	188475719	PTCH2	XM_009251044.4	+	2	188475280	188475407	127	1
NC_071985.2	188475723	188476725	1	1	+	NC_071985.2	188475812	188475954	188476039	188476219	PTCH2	XM_009251044.4	+	1	188475954	188476039	85	1
NC_071985.2	188476117	188476972	2	1	+	NC_071985.2	188476353	188476633	188476745	188476882	PTCH2	XM_009251044.4	+	2	188476633	188476745	112	1
NC_071985.2	188488869	188489433	-3	1	-	NC_071985.2	188489140	188489265	188488870	188489001	BTBD19	XM_002810911.5	-	3	188489001	188489140	139	2
NC_071985.2	188515133	188515940	3	1	+	NC_071985.2	188515261	188515494	188515729	188515883	BEST4	XM_002810909.5	+	3	188515494	188515729	235	3
NC_071985.2	188516971	188517748	2	1	+	NC_071985.2	188516972	188517052	188517478	188517748	BEST4	XM_002810909.5	+	2	188517052	188517478	426	5
NC_071985.2	188538813	188539200	-3	1	-	NC_071985.2	188539048	188539153	188538841	188538954	KIF2C	XM_024247551.3	-	3	188538954	188539048	94	7
NC_071985.2	189323800	189324586	-2	1	-	NC_071985.2	189324470	189324548	189323801	189324388	CCDC24	XM_024247684.3	-	2	189324388	189324470	82	11
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327939	189328006	189327687	189327803	CCDC24	XM_024247684.3	-	2	189327803	189327939	136	4
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327939	189328108	189327687	189327803	CCDC24	XM_024247686.3	-	2	189327803	189327939	136	3
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327900	189328114	189327687	189327803	CCDC24	XM_054536116.2	-	2	189327803	189327900	97	3
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327939	189328114	189327687	189327803	CCDC24	XM_054536140.2	-	2	189327803	189327939	136	9
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327900	189328006	189327687	189327803	CCDC24	XM_054536165.2	-	2	189327803	189327900	97	1
NC_071985.2	189327685	189328231	-2	1	-	NC_071985.2	189327939	189328126	189327687	189327803	CCDC24	XM_063712652.1	-	2	189327803	189327939	136	5
NC_071985.2	189353269	189353635	-2	1	-	NC_071985.2	189353555	189353613	189353318	189353407	IPO13	NM_001132516.1	-	2	189353407	189353555	148	8
NC_071985.2	189865675	189866005	2	1	+	NC_071985.2	189865676	189865754	189865842	189865891	HYI	XM_002810939.6	+	2	189865754	189865842	88	1
NC_071985.2	189867215	189867647	-1	1	-	NC_071985.2	189867522	189867590	189867216	189867356	SZT2	XM_002810935.6	-	1	189867356	189867522	166	5
