	GC3
lcl|NC_060925.1_cds_NP_001372569.1_2	0.8321513002364066
lcl|NC_060925.1_cds_NP_001292204.1_36	0.8090865152247463
lcl|NC_060925.1_cds_XP_054190147.1_96	0.8461538461538461
lcl|NC_060925.1_cds_XP_054194969.1_117	0.870391061452514
lcl|NC_060925.1_cds_XP_054190485.1_183	0.8343848580441641
lcl|NC_060925.1_cds_NP_001291289.1_300	0.7810975609756098
lcl|NC_060925.1_cds_XP_054195704.1_382	0.7959305804907241
lcl|NC_060925.1_cds_NP_001229601.2_424	0.8305555555555556
lcl|NC_060925.1_cds_NP_071397.3_454	0.8238057948316366
lcl|NC_060925.1_cds_XP_054190812.1_464	0.7809096732863549
lcl|NC_060925.1_cds_XP_054195745.1_519	0.503099173553719
lcl|NC_060925.1_cds_NP_055917.1_542	0.7414155571128241
lcl|NC_060925.1_cds_NP_056372.1_579	0.8240409207161126
lcl|NC_060925.1_cds_XP_054194957.1_604	0.8614008941877794
lcl|NC_060925.1_cds_NP_001252522.1_623	0.8122676579925651
lcl|NC_060925.1_cds_NP_619642.2_634	0.7351543942992874
lcl|NC_060925.1_cds_XP_054191394.1_669	0.7085068411659726
lcl|NC_060925.1_cds_NP_001364204.1_720	0.5251857968620974
lcl|NC_060925.1_cds_NP_036234.3_780	0.6790044671346522
lcl|NC_060925.1_cds_NP_005017.3_831	0.8488038277511962
lcl|NC_060925.1_cds_NP_001009566.1_871	0.7067209775967414
lcl|NC_060925.1_cds_NP_001397673.1_900	0.5376661742983752
lcl|NC_060925.1_cds_NP_001352880.1_908	0.5228398458998349
lcl|NC_060925.1_cds_XP_054193226.1_935	0.8349256900212314
lcl|NC_060925.1_cds_XP_054193071.1_954	0.5387205387205387
lcl|NC_060925.1_cds_NP_001373429.1_957	0.6364705882352941
lcl|NC_060925.1_cds_NP_065831.1_971	0.8147882268485284
lcl|NC_060925.1_cds_XP_054192069.1_1026	0.704885993485342
lcl|NC_060925.1_cds_NP_001277.2_1048	0.6942528735632184
lcl|NC_060925.1_cds_NP_056193.2_1078	0.48575985418090684
lcl|NC_060925.1_cds_NP_001380915.1_1135	0.4441860465116279
lcl|NC_060925.1_cds_XP_054191377.1_1149	0.7504854368932039
lcl|NC_060925.1_cds_XP_054190087.1_1178	0.6227154046997389
lcl|NC_060925.1_cds_XP_054191348.1_1234	0.7637947725072604
lcl|NC_060925.1_cds_NP_055816.2_1288	0.4848567530695771
lcl|NC_060925.1_cds_XP_054190833.1_1316	0.8059244126659857
lcl|NC_060925.1_cds_NP_001392595.1_1371	0.5266862170087977
lcl|NC_060925.1_cds_XP_054195998.1_1382	0.5473595976529757
lcl|NC_060925.1_cds_NP_055490.4_1385	0.8334985133795837
lcl|NC_060925.1_cds_XP_054191604.1_1414	0.7778702163061564
lcl|NC_060925.1_cds_NP_060595.3_1489	0.81328125
lcl|NC_060925.1_cds_NP_689418.2_1523	0.8476190476190476
lcl|NC_060925.1_cds_XP_054191533.1_1580	0.5982023331420921
lcl|NC_060925.1_cds_NP_001362749.1_1586	0.6399197592778335
lcl|NC_060925.1_cds_NP_001034589.2_1690	0.7549342105263158
lcl|NC_060925.1_cds_XP_054193813.1_1720	0.7885338345864662
lcl|NC_060925.1_cds_XP_054195327.1_1810	0.4264443120905301
lcl|NC_060925.1_cds_NP_001375129.1_1855	0.7591933570581257
lcl|NC_060925.1_cds_NP_115612.4_1952	0.41023166023166024
lcl|NC_060925.1_cds_XP_054192210.1_1964	0.760655737704918
lcl|NC_060925.1_cds_NP_055685.3_1981	0.592741935483871
lcl|NC_060925.1_cds_NP_065387.1_1987	0.8449304174950298
lcl|NC_060925.1_cds_NP_001296122.1_2004	0.7765151515151515
lcl|NC_060925.1_cds_NP_001397691.1_2014	0.459613196814562
lcl|NC_060925.1_cds_NP_001382390.1_2023	0.5153203342618384
lcl|NC_060925.1_cds_XP_054193504.1_2068	0.7281553398058253
lcl|NC_060925.1_cds_NP_689585.3_2108	0.7141863699582753
lcl|NC_060925.1_cds_NP_001353524.1_2161	0.3862894450489663
lcl|NC_060925.1_cds_XP_054193270.1_2337	0.6954365079365079
lcl|NC_060925.1_cds_NP_006006.3_2383	0.6461067366579177
lcl|NC_060925.1_cds_NP_004663.3_2438	0.7726920093095423
lcl|NC_060925.1_cds_NP_001358857.1_2450	0.7387780548628429
lcl|NC_060925.1_cds_XP_054190960.1_2580	0.4187192118226601
lcl|NC_060925.1_cds_NP_005695.3_2672	0.7982031789910159
lcl|NC_060925.1_cds_NP_001018494.1_2684	0.4878048780487805
lcl|NC_060925.1_cds_NP_001847.3_2732	0.5657320872274143
lcl|NC_060925.1_cds_NP_001351786.1_2764	0.774905422446406
lcl|NC_060925.1_cds_NP_653170.3_2778	0.6655710764174199
lcl|NC_060925.1_cds_NP_065939.2_2906	0.6748858447488585
lcl|NC_060925.1_cds_NP_001372041.1_3005	0.671201814058957
lcl|NC_060925.1_cds_NP_660281.3_3007	0.5593869731800766
lcl|NC_060925.1_cds_NP_001268885.1_3023	0.6924559471365639
