sequence	Cluster
lcl|NC_072423.2_cds_XP_055151580.2_6	1
lcl|NC_072423.2_cds_XP_055151715.1_28	2
lcl|NC_072423.2_cds_XP_055151771.2_34	2
lcl|NC_072423.2_cds_XP_055151666.2_42	2
lcl|NC_072423.2_cds_XP_055151982.1_46	2
lcl|NC_072423.2_cds_XP_055152113.2_54	2
lcl|NC_072423.2_cds_XP_055152138.1_61	2
lcl|NC_072423.2_cds_XP_055152235.1_80	2
lcl|NC_072423.2_cds_XP_055152303.2_85	2
lcl|NC_072423.2_cds_XP_055152690.1_123	1
lcl|NC_072423.2_cds_XP_063493438.1_146	2
lcl|NC_072423.2_cds_XP_055153135.2_188	2
lcl|NC_072423.2_cds_XP_063493882.1_192	2
lcl|NC_072423.2_cds_XP_055153229.2_201	2
lcl|NC_072423.2_cds_XP_063495749.1_207	2
lcl|NC_072423.2_cds_XP_055153504.1_256	3
lcl|NC_072423.2_cds_XP_055153826.2_272	3
lcl|NC_072423.2_cds_XP_063495378.1_278	3
lcl|NC_072423.2_cds_XP_055153929.1_294	3
lcl|NC_072423.2_cds_XP_063497464.1_317	3
lcl|NC_072423.2_cds_XP_055154724.2_383	3
lcl|NC_072423.2_cds_XP_055155616.2_471	3
lcl|NC_072423.2_cds_XP_055088864.2_531	2
lcl|NC_072423.2_cds_XP_055148379.2_593	1
lcl|NC_072423.2_cds_XP_055089399.2_625	1
lcl|NC_072423.2_cds_XP_055089403.1_631	3
lcl|NC_072423.2_cds_XP_055089525.1_633	3
lcl|NC_072423.2_cds_XP_063501720.1_647	2
lcl|NC_072423.2_cds_XP_055089725.2_716	3
lcl|NC_072423.2_cds_XP_055089775.2_719	3
lcl|NC_072423.2_cds_XP_055090957.2_809	2
lcl|NC_072423.2_cds_XP_063466739.1_817	2
lcl|NC_072423.2_cds_XP_055091080.2_822	1
lcl|NC_072423.2_cds_XP_055091205.1_837	2
lcl|NC_072423.2_cds_XP_055091314.2_848	3
lcl|NC_072423.2_cds_XP_055091363.2_849	3
lcl|NC_072423.2_cds_XP_055091329.2_850	3
lcl|NC_072423.2_cds_XP_055091349.2_852	3
lcl|NC_072423.2_cds_XP_055091402.1_854	2
lcl|NC_072423.2_cds_XP_055091379.2_857	2
lcl|NC_072423.2_cds_XP_055091411.1_859	2
lcl|NC_072423.2_cds_XP_055091414.1_863	2
lcl|NC_072423.2_cds_XP_055091455.2_877	2
lcl|NC_072423.2_cds_XP_055091526.1_884	3
lcl|NC_072423.2_cds_XP_063470548.1_910	3
lcl|NC_072423.2_cds_XP_055091907.1_925	2
lcl|NC_072423.2_cds_XP_055091882.2_945	3
lcl|NC_072423.2_cds_XP_063470751.1_952	3
lcl|NC_072423.2_cds_XP_055092306.1_987	2
lcl|NC_072423.2_cds_XP_055092531.1_1000	1
lcl|NC_072423.2_cds_XP_055092544.1_1010	2
lcl|NC_072423.2_cds_XP_063496672.1_1017	3
lcl|NC_072423.2_cds_XP_055092514.1_1021	2
lcl|NC_072423.2_cds_XP_055092996.1_1058	2
lcl|NC_072423.2_cds_XP_063496888.1_1060	2
lcl|NC_072423.2_cds_XP_055093020.2_1064	3
lcl|NC_072423.2_cds_XP_055093101.2_1069	1
lcl|NC_072423.2_cds_XP_055093174.1_1082	2
lcl|NC_072423.2_cds_XP_055093594.2_1135	2
lcl|NC_072423.2_cds_XP_055093944.2_1162	3
lcl|NC_072423.2_cds_XP_055093986.1_1164	3
lcl|NC_072423.2_cds_XP_055094118.2_1183	2
lcl|NC_072423.2_cds_XP_055094246.2_1198	2
lcl|NC_072423.2_cds_XP_063497128.1_1229	2
lcl|NC_072423.2_cds_XP_063497418.1_1251	3
lcl|NC_072423.2_cds_XP_055094766.2_1256	3
lcl|NC_072423.2_cds_XP_063497443.1_1280	3
lcl|NC_072423.2_cds_XP_055095022.1_1300	1
lcl|NC_072423.2_cds_XP_055095250.2_1327	1
lcl|NC_072423.2_cds_XP_063494586.1_1377	3
lcl|NC_072423.2_cds_XP_055137209.2_1449	1
lcl|NC_072423.2_cds_XP_055128522.1_1519	1
lcl|NC_072423.2_cds_XP_055130417.2_1646	3
lcl|NC_072423.2_cds_XP_055132870.2_1681	1
lcl|NC_072423.2_cds_XP_063497859.1_1710	3
lcl|NC_072423.2_cds_XP_055134799.1_1713	1
lcl|NC_072423.2_cds_XP_055139169.1_1761	2
lcl|NC_072423.2_cds_XP_055139454.1_1764	1
lcl|NC_072423.2_cds_XP_063497997.1_1794	1
lcl|NC_072423.2_cds_XP_055143249.2_1822	3
lcl|NC_072423.2_cds_XP_055145009.1_1827	1
lcl|NC_072423.2_cds_XP_063498067.1_1842	1
lcl|NC_072423.2_cds_XP_055143811.2_1857	1
lcl|NC_072423.2_cds_XP_055143761.2_1859	1
lcl|NC_072423.2_cds_XP_055152412.2_1951	3
lcl|NC_072423.2_cds_XP_055093805.1_2056	1
lcl|NC_072423.2_cds_XP_063490832.1_2091	1
lcl|NC_072423.2_cds_XP_055097632.1_2135	2
lcl|NC_072423.2_cds_XP_055101153.1_2156	1
lcl|NC_072423.2_cds_XP_063491286.1_2189	1
lcl|NC_072423.2_cds_XP_055103274.2_2201	1
lcl|NC_072423.2_cds_XP_055110390.1_2318	2
lcl|NC_072423.2_cds_XP_055111809.2_2324	2
lcl|NC_072423.2_cds_XP_055112732.1_2330	1
lcl|NC_072423.2_cds_XP_055112382.1_2331	1
lcl|NC_072423.2_cds_XP_055112874.1_2335	2
lcl|NC_072423.2_cds_XP_055114678.1_2362	1
lcl|NC_072423.2_cds_XP_063499567.1_2424	1
lcl|NC_072423.2_cds_XP_055118459.1_2427	3
lcl|NC_072423.2_cds_XP_055150386.2_2478	1
lcl|NC_072423.2_cds_XP_055122321.2_2489	3
lcl|NC_072423.2_cds_XP_055122575.2_2511	1
lcl|NC_072423.2_cds_XP_055124037.1_2540	1
lcl|NC_072423.2_cds_XP_055125928.2_2568	1
lcl|NC_072423.2_cds_XP_055126054.1_2597	1
lcl|NC_072423.2_cds_XP_055126472.1_2650	2
lcl|NC_072423.2_cds_XP_063500214.1_2665	2
lcl|NC_072423.2_cds_XP_055126619.1_2670	2
lcl|NC_072423.2_cds_XP_055126733.2_2738	2
lcl|NC_072423.2_cds_XP_055127254.2_2757	3
lcl|NC_072423.2_cds_XP_055127178.1_2760	2
lcl|NC_072423.2_cds_XP_055127403.1_2809	3
lcl|NC_072423.2_cds_XP_055127552.1_2840	3
lcl|NC_072423.2_cds_XP_055127792.1_2886	2
lcl|NC_072423.2_cds_XP_063492229.1_2973	3
lcl|NC_072423.2_cds_XP_055128393.2_3036	3
lcl|NC_072423.2_cds_XP_055128475.1_3046	2
lcl|NC_072423.2_cds_XP_055129173.2_3084	1
lcl|NC_072423.2_cds_XP_055129508.2_3108	2
lcl|NC_072423.2_cds_XP_055129582.2_3127	1
lcl|NC_072423.2_cds_XP_063501387.1_3131	3
lcl|NC_072423.2_cds_XP_055129782.1_3140	3
lcl|NC_072423.2_cds_XP_063501725.1_3169	3
lcl|NC_072423.2_cds_XP_063502004.1_3182	1
lcl|NC_072423.2_cds_XP_063501939.1_3195	3
lcl|NC_072423.2_cds_XP_063501970.1_3203	3
lcl|NC_072423.2_cds_XP_055130181.1_3204	3
lcl|NC_072423.2_cds_XP_055130245.2_3206	1
lcl|NC_072423.2_cds_XP_063501833.1_3231	1
lcl|NC_072423.2_cds_XP_055129862.2_3281	1
lcl|NC_072423.2_cds_XP_055130557.1_3282	2
lcl|NC_072423.2_cds_XP_055130644.2_3301	1
lcl|NC_072423.2_cds_XP_055130754.2_3316	2
lcl|NC_072423.2_cds_XP_055131487.1_3370	1
lcl|NC_072423.2_cds_XP_055131467.2_3388	1
lcl|NC_072423.2_cds_XP_063502410.1_3399	1
lcl|NC_072423.2_cds_XP_055131521.2_3408	2
lcl|NC_072423.2_cds_XP_055131601.1_3416	1
lcl|NC_072423.2_cds_XP_055131844.2_3438	2
lcl|NC_072423.2_cds_XP_055131918.2_3506	1
lcl|NC_072423.2_cds_XP_055131710.2_3515	1
lcl|NC_072423.2_cds_XP_055132691.2_3540	1
lcl|NC_072423.2_cds_XP_055132733.1_3562	1
lcl|NC_072423.2_cds_XP_055132724.2_3578	1
lcl|NC_072423.2_cds_XP_063465707.1_3580	1
lcl|NC_072423.2_cds_XP_055132936.1_3631	1
lcl|NC_072423.2_cds_XP_055133167.1_3657	1
lcl|NC_072423.2_cds_XP_063465323.1_3670	1
lcl|NC_072423.2_cds_XP_055133655.1_3738	1
lcl|NC_072423.2_cds_XP_055133600.1_3761	1
lcl|NC_072423.2_cds_XP_055133640.2_3796	1
lcl|NC_072423.2_cds_XP_055133668.2_3818	3
lcl|NC_072423.2_cds_XP_055134483.2_3835	1
lcl|NC_072423.2_cds_XP_063465161.1_3883	3
lcl|NC_072423.2_cds_XP_055135054.1_3924	1
lcl|NC_072423.2_cds_XP_055135122.1_3926	1
lcl|NC_072423.2_cds_XP_055135322.1_3946	3
lcl|NC_072423.2_cds_XP_055135274.2_3951	1
lcl|NC_072423.2_cds_XP_055135452.1_3966	3
