chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_073249.2	103242122	103242722	-2	1	-	NC_073249.2	103242249	103242603	PIAS3	XM_003806201.7	-	2	2	119	127	12	13	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	133	37	1
NC_073249.2	113385288	113386134	-1	1	-	NC_073249.2	113385324	113385811	LOC134730803	XM_063606285.1	-	1	2	323	36	36	37	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	176	172	1
NC_073249.2	113390318	113391164	-2	1	-	NC_073249.2	113390354	113390841	LOC134730803	XM_063606285.1	-	2	2	323	36	29	30	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	176	172	1
NC_073249.2	113853442	113854288	-3	1	-	NC_073249.2	113853478	113853965	LOC129394614	XM_063606287.1	-	3	2	323	36	28	29	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	176	172	1
NC_073249.2	113858472	113859318	-1	1	-	NC_073249.2	113858508	113858995	LOC129394614	XM_063606287.1	-	1	2	323	36	21	22	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	176	172	1
NC_073249.2	114325482	114325914	1	1	+	NC_073249.2	114325522	114325913	PPM1J	XM_008963061.5	+	1	2	40	1	8	9	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	107	151	1
NC_073249.2	116918790	116920014	-1	1	-	NC_073249.2	116918960	116919995	LOC129397624	XM_063605312.1	-	1	3	19	170	4	6	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	294	117	1
NC_073249.2	117374324	117374816	-2	1	-	NC_073249.2	117374379	117374675	LOC129398196	XM_055114800.2	-	2	2	141	55	6	7	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	95	110	1
NC_073249.2	117578767	117579613	2	1	+	NC_073249.2	117579091	117579578	LOC117974945	XM_063606467.1	+	2	2	324	35	25	26	3	1	1	middle	middle	0.333	0.333	unique	unique	176	172	1
NC_073249.2	117583797	117584637	1	1	+	NC_073249.2	117584115	117584602	LOC117974945	XM_063606467.1	+	1	2	318	35	32	33	3	1	1	middle	middle	0.333	0.333	unique	unique	176	172	1
NC_073249.2	117588821	117589661	3	1	+	NC_073249.2	117589139	117589626	LOC117974945	XM_063606467.1	+	3	2	318	35	39	40	3	1	1	middle	middle	0.333	0.333	unique	unique	176	172	1
NC_073249.2	117636069	117636621	-1	1	-	NC_073249.2	117636204	117636588	LOC129398196	XM_055114800.2	-	1	2	33	135	1	2	1	1	1	first	middle	1.000	1.000	constitutive	constitutive	35	75	1
NC_073249.2	117645383	117645971	-2	1	-	NC_073249.2	117645546	117645842	GSTM4	NM_001367587.1	-	2	2	129	163	6	7	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	95	110	2
