seqname	GC	AT	GC_skew	GC3	GC_avg_stretch	AT_avg_stretch
lcl|NC_072423.2_cds_XP_055151580.2_6	50.39	49.61	-0.03177	52.05	3.89	4.10
lcl|NC_072423.2_cds_XP_055151715.1_28	63.25	36.75	0.06151	75.05	4.60	3.90
lcl|NC_072423.2_cds_XP_055151771.2_34	65.23	34.77	-0.16136	80.88	4.76	3.77
lcl|NC_072423.2_cds_XP_055151666.2_42	51.63	48.37	0.04612	61.50	4.06	3.87
lcl|NC_072423.2_cds_XP_055151982.1_46	68.44	31.56	-0.10161	86.76	5.47	3.63
lcl|NC_072423.2_cds_XP_055152113.2_54	53.61	46.39	-0.04845	61.63	4.03	4.03
lcl|NC_072423.2_cds_XP_055152138.1_61	65.92	34.08	-0.00521	79.73	5.02	3.50
lcl|NC_072423.2_cds_XP_055152235.1_80	58.87	41.13	-0.06618	78.76	4.24	3.57
lcl|NC_072423.2_cds_XP_055152303.2_85	47.84	52.16	0.08488	47.93	4.01	4.10
lcl|NC_072423.2_cds_XP_055152690.1_123	43.40	56.6	-0.00792	41.28	3.45	4.12
lcl|NC_072423.2_cds_XP_063493438.1_146	40.09	59.91	0.06730	36.63	3.54	4.51
lcl|NC_072423.2_cds_XP_055153135.2_188	58.82	41.18	-0.01944	66.45	4.98	3.86
lcl|NC_072423.2_cds_XP_063493882.1_192	56.79	43.21	-0.05594	56.37	4.92	3.83
lcl|NC_072423.2_cds_XP_055153229.2_201	44.84	55.16	0.05645	39.57	3.87	4.03
lcl|NC_072423.2_cds_XP_063495749.1_207	40.04	59.96	0.03014	36.63	3.30	4.23
lcl|NC_072423.2_cds_XP_055153504.1_256	50.51	49.49	-0.08059	57.53	3.77	3.95
lcl|NC_072423.2_cds_XP_055153826.2_272	47.98	52.02	0.03104	45.42	3.52	4.01
lcl|NC_072423.2_cds_XP_063495378.1_278	47.34	52.66	-0.01289	48.12	3.88	4.10
lcl|NC_072423.2_cds_XP_055153929.1_294	45.45	54.55	0.01933	49.92	3.68	4.17
lcl|NC_072423.2_cds_XP_063497464.1_317	46.01	53.99	0.00912	40.29	3.61	4.16
lcl|NC_072423.2_cds_XP_055154724.2_383	49.03	50.97	-0.04789	45.51	3.61	3.91
lcl|NC_072423.2_cds_XP_055155616.2_471	52.50	47.5	0.00618	68.54	3.90	3.81
lcl|NC_072423.2_cds_XP_055088864.2_531	67.72	32.28	-0.06317	79.47	6.21	4.02
lcl|NC_072423.2_cds_XP_055148379.2_593	54.38	45.62	0.13000	71.75	3.96	3.70
lcl|NC_072423.2_cds_XP_055089399.2_625	47.73	52.27	0.00379	51.90	3.62	3.98
lcl|NC_072423.2_cds_XP_055089403.1_631	55.34	44.66	-0.13146	70.90	3.85	3.40
lcl|NC_072423.2_cds_XP_055089525.1_633	53.04	46.96	-0.06100	60.24	3.95	3.74
lcl|NC_072423.2_cds_XP_063501720.1_647	42.03	57.97	0.08940	40.29	3.58	4.35
lcl|NC_072423.2_cds_XP_055089725.2_716	54.26	45.74	0.01438	61.68	4.01	3.89
lcl|NC_072423.2_cds_XP_055089775.2_719	52.62	47.38	0.01278	58.63	4.12	3.82
lcl|NC_072423.2_cds_XP_055090957.2_809	46.17	53.83	-0.07954	40.60	3.73	4.04
lcl|NC_072423.2_cds_XP_063466739.1_817	36.14	63.86	0.11479	32.62	3.31	4.63
lcl|NC_072423.2_cds_XP_055091080.2_822	52.41	47.59	-0.06454	57.47	3.75	3.70
lcl|NC_072423.2_cds_XP_055091205.1_837	40.18	59.82	0.01848	31.25	3.54	4.37
lcl|NC_072423.2_cds_XP_055091314.2_848	44.06	55.94	0.04530	38.16	3.65	4.11
lcl|NC_072423.2_cds_XP_055091363.2_849	45.30	54.7	0.02870	38.30	3.52	4.18
lcl|NC_072423.2_cds_XP_055091329.2_850	45.05	54.95	0.07413	40.83	3.69	4.20
lcl|NC_072423.2_cds_XP_055091349.2_852	43.80	56.2	0.07190	36.55	3.51	4.14
lcl|NC_072423.2_cds_XP_055091402.1_854	41.68	58.32	0.03843	35.31	3.48	4.26
lcl|NC_072423.2_cds_XP_055091379.2_857	42.78	57.22	0.05281	36.89	3.70	4.49
lcl|NC_072423.2_cds_XP_055091411.1_859	42.62	57.38	0.07236	36.57	3.82	4.40
lcl|NC_072423.2_cds_XP_055091414.1_863	46.31	53.69	0.01746	44.10	3.71	4.17
lcl|NC_072423.2_cds_XP_055091455.2_877	61.71	38.29	-0.02804	78.89	5.24	3.79
lcl|NC_072423.2_cds_XP_055091526.1_884	46.74	53.26	-0.05547	39.56	3.96	4.03
lcl|NC_072423.2_cds_XP_063470548.1_910	48.70	51.3	-0.05790	56.86	3.61	3.74
lcl|NC_072423.2_cds_XP_055091907.1_925	43.64	56.36	0.07952	42.59	3.53	4.11
lcl|NC_072423.2_cds_XP_055091882.2_945	51.08	48.92	0.04091	53.00	3.92	4.00
lcl|NC_072423.2_cds_XP_063470751.1_952	49.86	50.14	-0.01807	58.07	3.78	4.04
lcl|NC_072423.2_cds_XP_055092306.1_987	39.35	60.65	0.04340	31.18	3.54	4.41
lcl|NC_072423.2_cds_XP_055092531.1_1000	46.04	53.96	0.16319	38.33	3.71	3.90
lcl|NC_072423.2_cds_XP_055092544.1_1010	37.38	62.62	0.07317	30.80	3.21	4.57
lcl|NC_072423.2_cds_XP_063496672.1_1017	49.65	50.35	-0.02489	54.55	3.81	3.92
lcl|NC_072423.2_cds_XP_055092514.1_1021	37.83	62.17	0.19320	33.93	3.35	4.34
lcl|NC_072423.2_cds_XP_055092996.1_1058	38.75	61.25	0.09691	29.46	3.73	4.56
lcl|NC_072423.2_cds_XP_063496888.1_1060	56.15	43.85	0.03878	62.83	4.67	3.84
lcl|NC_072423.2_cds_XP_055093020.2_1064	48.64	51.36	-0.01687	51.71	3.74	3.89
lcl|NC_072423.2_cds_XP_055093101.2_1069	49.29	50.71	0.05995	52.01	3.85	3.97
lcl|NC_072423.2_cds_XP_055093174.1_1082	58.54	41.46	-0.06513	71.96	4.25	3.93
lcl|NC_072423.2_cds_XP_055093594.2_1135	50.50	49.5	0.03044	53.88	3.92	3.96
lcl|NC_072423.2_cds_XP_055093944.2_1162	51.53	48.47	0.03651	55.82	3.83	3.91
lcl|NC_072423.2_cds_XP_055093986.1_1164	49.38	50.62	0.00359	53.46	3.84	3.94
lcl|NC_072423.2_cds_XP_055094118.2_1183	64.06	35.94	0.01967	76.58	4.79	3.62
lcl|NC_072423.2_cds_XP_055094246.2_1198	36.13	63.87	0.04830	26.90	3.35	4.46
lcl|NC_072423.2_cds_XP_063497128.1_1229	46.56	53.44	0.05211	43.97	3.94	4.30
lcl|NC_072423.2_cds_XP_063497418.1_1251	38.95	61.05	0.15827	36.67	3.35	4.55
lcl|NC_072423.2_cds_XP_055094766.2_1256	47.03	52.97	0.02299	57.27	3.67	4.31
