seqname	GC	AT	GC_skew	GC3	GC_avg_stretch	AT_avg_stretch
lcl|NC_073224.2_cds_XP_055236872.1_96	52.59	47.41	0.06235	69.05	3.79	3.61
lcl|NC_073224.2_cds_XP_018888100.4_128	41.18	58.82	0.05485	32.23	3.55	4.22
lcl|NC_073224.2_cds_XP_063563152.1_133	54.35	45.65	-0.49634	58.27	3.33	3.05
lcl|NC_073224.2_cds_XP_004028745.5_150	62.37	37.63	-0.05125	78.37	4.50	3.55
lcl|NC_073224.2_cds_XP_063563173.1_167	39.73	60.27	0.06701	34.75	3.69	4.44
lcl|NC_073224.2_cds_XP_063563233.1_215	43.07	56.93	0.02183	32.48	3.43	4.07
lcl|NC_073224.2_cds_XP_030871371.3_266	42.31	57.69	0.06233	37.19	3.61	4.17
lcl|NC_073224.2_cds_XP_030871376.3_269	41.91	58.09	0.05608	41.85	3.29	4.32
lcl|NC_073224.2_cds_XP_030871419.3_293	58.16	41.84	-0.09270	54.86	4.87	3.96
lcl|NC_073224.2_cds_XP_055229668.2_295	58.35	41.65	-0.02524	64.65	3.97	3.63
lcl|NC_073224.2_cds_XP_063563436.1_305	58.39	41.61	-0.02329	64.78	3.97	3.65
lcl|NC_073224.2_cds_XP_063563435.1_314	58.38	41.62	-0.02461	64.58	3.99	3.64
lcl|NC_073224.2_cds_XP_063563527.1_351	64.04	35.96	0.08178	78.20	4.40	3.36
lcl|NC_073224.2_cds_XP_018887217.1_413	44.43	55.57	0.04929	41.40	3.76	4.19
lcl|NC_073224.2_cds_XP_018887255.2_421	50.97	49.03	0.00858	59.80	3.72	3.92
lcl|NC_073224.2_cds_XP_063563772.1_437	58.47	41.53	-0.02592	65.01	4.01	3.65
lcl|NC_073224.2_cds_XP_063558297.1_438	64.22	35.78	0.12515	79.03	4.14	3.31
lcl|NC_073224.2_cds_XP_063563802.1_448	58.19	41.81	-0.02551	64.58	3.98	3.64
lcl|NC_073224.2_cds_XP_030856593.1_465	46.60	53.4	0.04564	48.14	4.14	4.25
lcl|NC_073224.2_cds_XP_055229120.2_471	62.61	37.39	-0.01370	76.73	4.74	3.65
lcl|NC_073224.2_cds_XP_018887417.4_488	55.18	44.82	0.05767	57.04	3.86	3.68
lcl|NC_073224.2_cds_XP_004028651.4_502	52.22	47.78	-0.00185	57.69	3.88	3.93
lcl|NC_073224.2_cds_XP_030871888.3_512	46.16	53.84	-0.00881	42.13	4.32	4.36
lcl|NC_073224.2_cds_XP_055228859.2_516	51.38	48.62	-0.04572	58.52	3.90	3.98
lcl|NC_073224.2_cds_XP_018887492.4_519	57.35	42.65	-0.02178	62.44	4.72	3.94
lcl|NC_073224.2_cds_XP_030858165.3_531	48.77	51.23	0.08470	50.99	4.79	4.43
lcl|NC_073224.2_cds_XP_055228588.1_541	39.22	60.78	0.16764	30.24	3.40	4.31
lcl|NC_073224.2_cds_XP_055228536.2_560	41.13	58.87	0.03453	36.39	3.40	4.36
lcl|NC_073224.2_cds_XP_018887566.4_562	57.48	42.52	-0.01115	66.19	4.15	3.53
lcl|NC_073224.2_cds_XP_018887578.3_585	42.21	57.79	0.03829	44.80	3.64	4.26
lcl|NC_073224.2_cds_XP_004028695.1_586	53.18	46.82	0.06863	69.16	3.81	3.61
lcl|NC_073224.2_cds_XP_018887615.2_590	47.01	52.99	0.09292	48.67	3.71	4.12
lcl|NC_073224.2_cds_XP_063564094.1_598	46.21	53.79	0.07336	49.17	3.66	4.07
lcl|NC_073224.2_cds_XP_063560779.1_626	58.19	41.81	-0.02030	64.81	3.96	3.64
lcl|NC_073224.2_cds_XP_030871467.3_631	45.83	54.17	-0.02404	42.80	3.54	4.08
lcl|NC_073224.2_cds_XP_018886205.4_676	42.28	57.72	0.10996	36.91	3.45	4.18
lcl|NC_073224.2_cds_XP_063564313.1_685	43.59	56.41	0.06199	38.74	3.50	4.30
lcl|NC_073224.2_cds_XP_018886353.4_714	44.12	55.88	0.08408	37.37	3.57	4.29
lcl|NC_073224.2_cds_XP_055228322.2_728	47.45	52.55	-0.05442	52.00	3.71	4.12
lcl|NC_073224.2_cds_XP_055202639.2_732	43.66	56.34	-0.09689	49.48	3.51	4.08
lcl|NC_073224.2_cds_XP_030872045.2_742	48.25	51.75	0.02374	44.14	3.72	4.10
lcl|NC_073224.2_cds_XP_055228226.2_750	45.48	54.52	0.09121	39.48	3.66	4.04
lcl|NC_073224.2_cds_XP_055228065.2_766	39.31	60.69	0.02560	38.21	3.37	4.39
lcl|NC_073224.2_cds_XP_055227967.1_790	51.27	48.73	-0.12278	40.02	3.61	3.80
lcl|NC_073224.2_cds_XP_018886802.2_819	51.10	48.9	0.08740	64.33	3.81	3.95
lcl|NC_073224.2_cds_XP_030872229.2_822	62.43	37.57	0.06222	74.05	4.39	3.48
lcl|NC_073224.2_cds_XP_055227530.1_853	41.91	58.09	0.06247	37.05	3.55	4.26
lcl|NC_073224.2_cds_XP_030871034.3_882	40.83	59.17	0.15042	40.61	3.51	4.26
lcl|NC_073224.2_cds_XP_018886045.1_884	54.52	45.48	-0.00669	68.10	3.98	3.92
lcl|NC_073224.2_cds_XP_030857349.2_897	43.27	56.73	0.09314	35.71	3.70	4.17
lcl|NC_073224.2_cds_XP_055226885.1_957	43.58	56.42	-0.00766	41.24	3.41	3.93
lcl|NC_073224.2_cds_XP_018885814.1_987	52.49	47.51	0.06350	65.35	4.01	3.84
lcl|NC_073224.2_cds_XP_055234834.2_998	38.69	61.31	0.09163	31.10	3.46	4.46
lcl|NC_073224.2_cds_XP_055234726.2_1012	60.95	39.05	0.02846	70.48	4.12	3.58
lcl|NC_073224.2_cds_XP_030870382.1_1029	57.59	42.41	-0.05515	75.97	4.11	3.60
lcl|NC_073224.2_cds_XP_030870318.3_1048	49.08	50.92	-0.00897	46.41	3.90	3.96
lcl|NC_073224.2_cds_XP_004028362.3_1050	46.87	53.13	-0.00065	39.98	3.71	3.90
lcl|NC_073224.2_cds_XP_055225843.1_1122	53.18	46.82	-0.04448	66.82	3.98	3.74
lcl|NC_073224.2_cds_XP_063565113.1_1138	55.42	44.58	-0.09877	72.75	3.92	3.65
lcl|NC_073224.2_cds_XP_018885023.1_1187	53.20	46.8	0.05384	61.87	4.10	3.75
lcl|NC_073224.2_cds_XP_004028287.3_1202	60.61	39.39	-0.04596	73.97	4.14	3.39
lcl|NC_073224.2_cds_XP_018884896.4_1231	56.99	43.01	-0.05218	69.60	4.02	3.67
lcl|NC_073224.2_cds_XP_018884805.2_1251	57.04	42.96	-0.05432	72.11	4.09	3.66
lcl|NC_073224.2_cds_XP_030869896.3_1255	60.37	39.63	-0.07529	72.03	4.22	3.70
lcl|NC_073224.2_cds_XP_004028247.4_1285	42.18	57.82	0.04839	38.47	3.48	4.14
lcl|NC_073224.2_cds_XP_030869859.1_1292	50.86	49.14	0.02586	60.63	3.71	3.67
lcl|NC_073224.2_cds_XP_063565456.1_1316	60.77	39.23	0.05016	73.53	4.14	3.45
lcl|NC_073224.2_cds_XP_030869767.2_1344	47.77	52.23	0.06052	47.25	3.76	3.96
lcl|NC_073224.2_cds_XP_018884372.3_1366	51.42	48.58	0.05321	51.32	3.88	3.84
lcl|NC_073224.2_cds_XP_018891418.3_1374	61.67	38.33	-0.08654	75.21	4.33	3.48
lcl|NC_073224.2_cds_XP_063565784.1_1405	51.70	48.3	0.00346	55.37	4.13	3.82
lcl|NC_073224.2_cds_XP_055224012.2_1417	58.22	41.78	-0.07998	66.98	4.18	3.58
lcl|NC_073224.2_cds_XP_030856738.3_1429	60.73	39.27	0.03639	74.12	3.99	3.57
lcl|NC_073224.2_cds_XP_055223933.1_1441	55.83	44.17	-0.04924	76.93	3.87	3.43
lcl|NC_073224.2_cds_XP_004028168.4_1444	59.71	40.29	0.01909	78.75	4.18	3.44
lcl|NC_073224.2_cds_XP_018884043.3_1454	41.19	58.81	0.02662	33.56	3.49	4.24
lcl|NC_073224.2_cds_XP_055223829.2_1463	38.06	61.94	0.10356	30.08	3.37	4.27
lcl|NC_073224.2_cds_XP_018884009.1_1472	47.02	52.98	-0.00397	46.09	4.22	3.99
lcl|NC_073224.2_cds_XP_018883970.2_1483	41.65	58.35	-0.02511	37.95	3.57	4.37
lcl|NC_073224.2_cds_XP_004028144.3_1508	45.44	54.56	0.00521	45.77	3.45	4.18
lcl|NC_073224.2_cds_XP_004028143.2_1510	37.55	62.45	0.05756	28.24	3.39	4.52
lcl|NC_073224.2_cds_XP_018878054.3_1511	36.99	63.01	0.04977	31.44	3.55	4.56
lcl|NC_073224.2_cds_XP_018883842.4_1522	39.77	60.23	0.11020	28.98	3.51	4.39
lcl|NC_073224.2_cds_XP_055234312.2_1524	40.71	59.29	0.01576	38.32	3.46	4.31
lcl|NC_073224.2_cds_XP_004028101.2_1574	42.42	57.58	0.10531	32.30	3.71	4.06
lcl|NC_073224.2_cds_XP_018883558.4_1579	50.16	49.84	-0.33083	43.22	3.57	3.96
lcl|NC_073224.2_cds_XP_055223472.2_1581	45.15	54.85	0.03301	38.34	3.56	4.06
lcl|NC_073224.2_cds_XP_030868907.2_1592	36.89	63.11	0.05473	33.04	3.33	4.46
lcl|NC_073224.2_cds_XP_030860462.2_1610	51.52	48.48	0.07799	56.40	3.76	3.84
lcl|NC_073224.2_cds_XP_004028093.1_1613	42.50	57.5	0.11074	37.20	3.72	4.33
lcl|NC_073224.2_cds_XP_063566271.1_1653	47.95	52.05	-0.10258	48.31	3.48	3.95
lcl|NC_073224.2_cds_XP_004028075.2_1658	53.43	46.57	0.08189	56.01	3.87	3.58
lcl|NC_073224.2_cds_XP_004028074.4_1659	51.57	48.43	0.07346	54.35	4.01	3.69
lcl|NC_073224.2_cds_XP_030868559.1_1663	44.79	55.21	0.09719	38.71	3.63	4.07
lcl|NC_073224.2_cds_XP_030871424.3_1682	44.93	55.07	-0.02561	55.86	3.48	4.08
lcl|NC_073224.2_cds_XP_063566399.1_1692	55.81	44.19	-0.01095	70.58	4.12	3.84
lcl|NC_073224.2_cds_XP_018882952.4_1706	66.73	33.27	-0.02773	72.31	4.76	3.38
lcl|NC_073224.2_cds_XP_063566476.1_1725	41.88	58.12	0.04691	34.01	3.48	4.11
lcl|NC_073224.2_cds_XP_055222813.2_1747	43.39	56.61	0.05634	40.60	3.42	4.11
lcl|NC_073224.2_cds_XP_063566611.1_1762	38.71	61.29	0.12447	38.05	3.60	4.35
lcl|NC_073224.2_cds_XP_004028018.3_1776	52.30	47.7	0.01078	52.32	3.85	3.84
lcl|NC_073224.2_cds_XP_030869425.1_1819	49.63	50.37	0.00208	52.36	3.68	3.92
lcl|NC_073224.2_cds_XP_063566702.1_1823	55.27	44.73	0.00511	56.59	3.71	3.86
lcl|NC_073224.2_cds_XP_004028001.1_1836	56.27	43.73	-0.01921	68.96	4.02	3.55
