seqname	GC	AT	GC_skew	GC3	GC_avg_stretch	AT_avg_stretch
lcl|NC_060925.1_cds_NP_001372569.1_2	70.17	29.83	-0.06457	83.22	5.39	3.50
lcl|NC_060925.1_cds_NP_001292204.1_36	68.45	31.55	0.00777	80.91	4.75	3.25
lcl|NC_060925.1_cds_XP_054190147.1_96	64.38	35.62	0.05882	84.62	4.56	3.24
lcl|NC_060925.1_cds_XP_054194969.1_117	66.55	33.45	-0.01399	87.04	4.49	3.35
lcl|NC_060925.1_cds_XP_054190485.1_183	70.58	29.42	0.04432	83.44	5.24	3.13
lcl|NC_060925.1_cds_NP_001291289.1_300	59.09	40.91	-0.00172	78.11	4.19	3.59
lcl|NC_060925.1_cds_XP_054195704.1_382	65.07	34.93	-0.01962	79.59	4.58	3.32
lcl|NC_060925.1_cds_NP_001229601.2_424	70.46	29.54	-0.00044	83.06	5.00	3.25
lcl|NC_060925.1_cds_NP_071397.3_454	62.59	37.41	-0.07506	82.38	4.56	3.75
lcl|NC_060925.1_cds_XP_054190812.1_464	67.37	32.63	0.02314	78.09	4.53	3.26
lcl|NC_060925.1_cds_XP_054195745.1_519	48.66	51.34	0.04883	50.31	3.86	4.11
lcl|NC_060925.1_cds_NP_055917.1_542	60.73	39.27	-0.03385	74.14	4.15	3.51
lcl|NC_060925.1_cds_NP_056372.1_579	59.32	40.68	0.05318	82.40	4.48	3.49
lcl|NC_060925.1_cds_XP_054194957.1_604	69.95	30.05	-0.06889	86.14	5.44	3.28
lcl|NC_060925.1_cds_NP_001252522.1_623	64.41	35.59	0.00048	81.23	4.53	3.42
lcl|NC_060925.1_cds_NP_619642.2_634	58.16	41.84	-0.04969	73.52	3.84	3.51
lcl|NC_060925.1_cds_XP_054191394.1_669	56.97	43.03	-0.03515	70.85	4.05	3.85
lcl|NC_060925.1_cds_NP_001364204.1_720	51.25	48.75	-0.07411	52.52	3.86	3.83
lcl|NC_060925.1_cds_NP_036234.3_780	60.99	39.01	-0.15521	67.90	4.36	3.75
lcl|NC_060925.1_cds_NP_005017.3_831	60.70	39.3	-0.02575	84.88	4.33	3.47
lcl|NC_060925.1_cds_NP_001009566.1_871	56.18	43.82	0.03807	70.67	4.25	3.98
lcl|NC_060925.1_cds_NP_001397673.1_900	50.07	49.93	-0.05310	53.77	3.76	4.12
lcl|NC_060925.1_cds_NP_001352880.1_908	48.50	51.5	0.03026	52.28	3.65	3.99
lcl|NC_060925.1_cds_XP_054193226.1_935	64.70	35.3	-0.11239	83.49	4.80	3.63
lcl|NC_060925.1_cds_XP_054193071.1_954	49.31	50.69	-0.03642	53.87	3.64	3.99
lcl|NC_060925.1_cds_NP_001373429.1_957	53.11	46.89	-0.00763	63.65	3.79	3.73
lcl|NC_060925.1_cds_NP_065831.1_971	62.48	37.52	-0.07775	81.48	4.46	3.41
lcl|NC_060925.1_cds_XP_054192069.1_1026	64.78	35.22	0.04190	70.49	4.17	3.34
lcl|NC_060925.1_cds_NP_001277.2_1048	54.71	45.29	-0.00560	69.43	3.96	3.61
lcl|NC_060925.1_cds_NP_056193.2_1078	46.93	53.07	0.02476	48.58	3.69	3.96
lcl|NC_060925.1_cds_NP_001380915.1_1135	47.42	52.58	-0.05027	44.42	3.84	4.34
lcl|NC_060925.1_cds_XP_054191377.1_1149	60.06	39.94	0.00216	75.05	4.31	3.68
lcl|NC_060925.1_cds_XP_054190087.1_1178	50.11	49.89	0.09509	62.27	3.82	4.12
lcl|NC_060925.1_cds_XP_054191348.1_1234	60.47	39.53	-0.03629	76.38	4.09	3.54
lcl|NC_060925.1_cds_NP_055816.2_1288	51.95	48.05	-0.02766	48.49	3.89	3.89
lcl|NC_060925.1_cds_XP_054190833.1_1316	60.88	39.12	-0.00447	80.59	4.22	3.51
lcl|NC_060925.1_cds_NP_001392595.1_1371	49.25	50.75	0.08376	52.67	3.67	3.98
