seqname	GC	AT	GC_skew	GC3	GC_avg_stretch	AT_avg_stretch
lcl|NC_072398.2_cds_XP_024208856.2_100	52.75	47.25	0.05911	69.53	3.81	3.64
lcl|NC_072398.2_cds_XP_024208776.2_127	41.30	58.7	0.05825	32.43	3.54	4.24
lcl|NC_072398.2_cds_XP_063665404.1_139	55.05	44.95	-0.47504	53.47	3.24	3.46
lcl|NC_072398.2_cds_XP_514315.4_167	62.62	37.38	-0.04997	79.04	4.58	3.55
lcl|NC_072398.2_cds_XP_063665485.1_190	38.83	61.17	0.04394	33.98	3.57	4.40
lcl|NC_072398.2_cds_XP_063665566.1_251	43.16	56.84	0.02567	32.79	3.43	4.05
lcl|NC_072398.2_cds_XP_001160941.1_301	42.27	57.73	0.06331	36.84	3.65	4.17
lcl|NC_072398.2_cds_XP_009440026.2_309	41.80	58.2	0.06287	41.80	3.28	4.30
lcl|NC_072398.2_cds_XP_054516773.1_339	57.87	42.13	-0.09266	54.49	4.82	4.00
lcl|NC_072398.2_cds_XP_063646337.1_368	46.35	53.65	0.07139	49.55	3.66	4.07
lcl|NC_072398.2_cds_XP_514294.2_374	47.10	52.9	0.09670	48.66	3.68	4.16
lcl|NC_072398.2_cds_XP_016796969.1_380	53.89	46.11	0.06151	71.28	3.86	3.60
lcl|NC_072398.2_cds_XP_001157116.3_383	42.16	57.84	0.03870	44.76	3.62	4.27
lcl|NC_072398.2_cds_XP_001156001.1_412	57.37	42.63	-0.00745	65.71	4.13	3.53
lcl|NC_072398.2_cds_XP_063665762.1_413	41.30	58.7	0.03034	36.45	3.42	4.35
lcl|NC_072398.2_cds_XP_001154355.2_436	39.35	60.65	0.17086	30.44	3.39	4.30
lcl|NC_072398.2_cds_XP_514281.5_446	48.71	51.29	0.08354	51.11	4.79	4.43
lcl|NC_072398.2_cds_XP_003308869.3_455	57.18	42.82	-0.01630	62.10	4.75	3.92
lcl|NC_072398.2_cds_XP_514278.6_456	51.41	48.59	-0.05097	58.45	3.86	3.99
lcl|NC_072398.2_cds_XP_525093.4_465	46.63	53.37	-0.01228	43.61	4.40	4.35
lcl|NC_072398.2_cds_XP_016796501.1_466	52.20	47.8	0.00000	57.86	3.85	3.91
lcl|NC_072398.2_cds_XP_001151459.4_472	55.06	44.94	0.05426	57.04	3.80	3.72
lcl|NC_072398.2_cds_XP_054516048.1_501	62.76	37.24	-0.00747	77.37	4.72	3.65
lcl|NC_072398.2_cds_XP_009439925.2_506	46.42	53.58	0.04754	47.62	4.14	4.28
lcl|NC_072398.2_cds_XP_001146910.2_528	51.17	48.83	0.00812	59.93	3.72	3.90
lcl|NC_072398.2_cds_XP_003308855.3_535	44.34	55.66	0.05003	41.49	3.70	4.19
lcl|NC_072398.2_cds_XP_016795761.2_594	64.01	35.99	0.08267	78.33	4.40	3.36
lcl|NC_072398.2_cds_XP_016795435.1_677	41.77	58.23	0.07110	36.69	3.49	4.26
lcl|NC_072398.2_cds_XP_001141610.4_710	62.48	37.52	0.05915	73.60	4.42	3.56
lcl|NC_072398.2_cds_XP_003949754.2_717	51.07	48.93	0.08553	64.63	3.79	3.92
lcl|NC_072398.2_cds_XP_063656751.1_766	51.45	48.55	-0.10786	40.19	3.68	3.78
lcl|NC_072398.2_cds_XP_054515328.1_776	37.26	62.74	0.03487	33.52	3.38	4.53
lcl|NC_072398.2_cds_XP_054515300.1_793	45.90	54.1	0.06984	40.11	3.58	4.07
lcl|NC_072398.2_cds_XP_009439834.3_799	48.19	51.81	0.02133	44.23	3.71	4.09
lcl|NC_072398.2_cds_NP_001123934.1_816	43.69	56.31	-0.08881	49.48	3.47	4.04
lcl|NC_072398.2_cds_XP_009439805.2_820	46.78	53.22	-0.04775	51.53	3.57	4.14
lcl|NC_072398.2_cds_XP_016794837.2_865	45.74	54.26	0.03446	39.67	4.00	4.26
lcl|NC_072398.2_cds_XP_063647825.1_904	43.71	56.29	0.06127	39.17	3.53	4.29
lcl|NC_072398.2_cds_XP_009439782.2_924	42.32	57.68	0.10777	36.84	3.41	4.17
lcl|NC_072398.2_cds_XP_016794151.3_1005	45.87	54.13	-0.02430	42.82	3.51	4.08
lcl|NC_072398.2_cds_XP_001171564.3_1016	40.94	59.06	0.15159	40.64	3.52	4.25
lcl|NC_072398.2_cds_XP_054514755.1_1019	54.38	45.62	-0.00722	67.59	3.98	3.87
lcl|NC_072398.2_cds_XP_001171184.1_1040	43.36	56.64	0.09366	35.90	3.73	4.17
lcl|NC_072398.2_cds_NP_001267446.1_1124	43.27	56.73	-0.00640	40.29	3.41	3.95
lcl|NC_072398.2_cds_XP_016793612.1_1169	52.39	47.61	0.06427	65.15	3.96	3.82
lcl|NC_072398.2_cds_XP_063646329.1_1187	38.81	61.19	0.08640	31.45	3.44	4.52
lcl|NC_072398.2_cds_XP_054514183.1_1216	60.75	39.25	0.02903	70.22	4.12	3.56
lcl|NC_072398.2_cds_XP_016793354.2_1221	57.62	42.38	-0.05590	75.87	4.13	3.59
lcl|NC_072398.2_cds_NP_001180604.1_1247	49.22	50.78	-0.01195	46.52	3.91	3.97
lcl|NC_072398.2_cds_XP_054530287.1_1249	46.87	53.13	-0.00065	40.35	3.74	3.90
lcl|NC_072398.2_cds_XP_009439642.1_1337	53.43	46.57	-0.04428	67.28	3.97	3.74
lcl|NC_072398.2_cds_XP_016792835.1_1359	55.52	44.48	-0.09585	72.17	3.83	3.67
lcl|NC_072398.2_cds_NP_001029338.1_1413	53.10	46.9	0.05192	61.98	4.12	3.74
lcl|NC_072398.2_cds_XP_016792582.1_1436	60.68	39.32	-0.04485	73.87	4.15	3.38
lcl|NC_072398.2_cds_XP_009439481.3_1461	57.17	42.83	-0.05202	70.06	4.03	3.65
lcl|NC_072398.2_cds_XP_016792377.2_1484	57.02	42.98	-0.05542	72.29	4.08	3.62
lcl|NC_072398.2_cds_XP_016792182.1_1496	60.48	39.52	-0.07346	71.80	4.26	3.69
lcl|NC_072398.2_cds_XP_054513971.1_1612	42.11	57.89	0.04685	38.47	3.48	4.16
lcl|NC_072398.2_cds_XP_009439300.1_1622	50.78	49.22	0.02748	60.63	3.72	3.67
lcl|NC_072398.2_cds_XP_016791642.1_1651	60.84	39.16	0.06485	75.91	4.28	3.43
lcl|NC_072398.2_cds_XP_054513705.1_1666	48.03	51.97	0.05443	47.75	3.73	3.98
lcl|NC_072398.2_cds_XP_009439078.3_1687	51.26	48.74	0.05399	50.75	3.88	3.88
lcl|NC_072398.2_cds_XP_054513641.1_1701	61.84	38.16	-0.09400	74.29	4.24	3.46
lcl|NC_072398.2_cds_XP_514097.2_1734	50.83	49.17	0.00692	55.37	3.88	3.87
lcl|NC_072398.2_cds_XP_054513447.1_1742	58.09	41.91	-0.08068	66.70	4.18	3.59
lcl|NC_072398.2_cds_XP_024206688.2_1756	57.09	42.91	0.29537	54.77	3.81	3.77
lcl|NC_072398.2_cds_XP_016790956.2_1767	55.85	44.15	-0.04841	76.84	3.89	3.45
lcl|NC_072398.2_cds_XP_016790883.1_1770	59.97	40.03	0.01731	79.18	4.27	3.44
lcl|NC_072398.2_cds_XP_001144062.1_1782	41.05	58.95	0.02234	33.36	3.47	4.21
lcl|NC_072398.2_cds_XP_054513196.1_1794	38.12	61.88	0.09650	30.38	3.35	4.27
lcl|NC_072398.2_cds_XP_009438743.2_1805	47.19	52.81	-0.00472	46.71	4.19	3.99
lcl|NC_072398.2_cds_XP_063650047.1_1820	41.83	58.17	-0.02439	38.03	3.59	4.34
lcl|NC_072398.2_cds_XP_009438564.2_1844	45.25	54.75	0.00660	45.25	3.37	4.18
lcl|NC_072398.2_cds_XP_003949708.2_1850	37.40	62.6	0.05583	27.80	3.35	4.52
lcl|NC_072398.2_cds_NP_001008994.1_1853	36.92	63.08	0.05192	31.45	3.56	4.58
lcl|NC_072398.2_cds_XP_001136531.3_1890	39.66	60.34	0.12005	28.33	3.44	4.37
lcl|NC_072398.2_cds_XP_009438368.1_1894	40.57	59.43	0.01797	37.97	3.51	4.32
lcl|NC_072398.2_cds_XP_009438005.3_1966	42.38	57.62	0.10547	32.34	3.68	4.07
lcl|NC_072398.2_cds_XP_054512684.1_1975	50.28	49.72	-0.33839	43.50	3.54	3.95
lcl|NC_072398.2_cds_XP_514061.5_1977	45.16	54.84	0.02960	38.38	3.56	4.07
lcl|NC_072398.2_cds_XP_016789603.2_2012	37.74	62.26	0.01544	33.44	3.51	4.45
lcl|NC_072398.2_cds_XP_001164202.2_2033	51.42	48.58	0.08165	56.40	3.72	3.84
lcl|NC_072398.2_cds_XP_016789525.1_2035	42.46	57.54	0.11405	37.16	3.72	4.35
lcl|NC_072398.2_cds_XP_063666550.1_2086	47.82	52.18	-0.09851	48.07	3.48	3.93
lcl|NC_072398.2_cds_XP_009437685.3_2110	53.06	46.94	0.08046	55.29	3.87	3.61
lcl|NC_072398.2_cds_XP_001162648.2_2112	51.55	48.45	0.07068	54.47	3.98	3.65
lcl|NC_072398.2_cds_XP_024206246.1_2116	44.72	55.28	0.09560	38.55	3.61	4.09
lcl|NC_072398.2_cds_XP_054512492.1_2149	45.17	54.83	-0.02057	56.03	3.49	4.05
lcl|NC_072398.2_cds_XP_063651057.1_2181	55.78	44.22	-0.01385	70.48	4.10	3.85
lcl|NC_072398.2_cds_XP_009437550.4_2203	66.82	33.18	-0.02125	72.28	4.72	3.39
lcl|NC_072398.2_cds_XP_009437474.1_2227	41.74	58.26	0.04954	34.00	3.48	4.11
lcl|NC_072398.2_cds_XP_514031.3_2257	43.31	56.69	0.05052	40.35	3.44	4.10
lcl|NC_072398.2_cds_XP_001157492.2_2264	38.73	61.27	0.12489	38.40	3.59	4.35
lcl|NC_072398.2_cds_XP_009437332.1_2269	52.21	47.79	0.01133	52.16	3.86	3.84
lcl|NC_072398.2_cds_XP_009437173.2_2315	49.55	50.45	0.00052	52.05	3.68	3.92
lcl|NC_072398.2_cds_XP_063651202.1_2319	55.05	44.95	0.00570	56.31	3.68	3.83
lcl|NC_072398.2_cds_XP_514021.3_2328	56.40	43.6	-0.01963	69.34	4.04	3.54
lcl|NC_072398.2_cds_XP_009437092.3_2329	54.19	45.81	0.00309	59.88	3.79	3.57
lcl|NC_072398.2_cds_XP_524977.3_2354	55.85	44.15	0.00834	66.23	3.86	3.71
lcl|NC_072398.2_cds_XP_016788475.2_2361	58.62	41.38	0.07174	72.92	4.09	3.60
lcl|NC_072398.2_cds_XP_063667089.1_2367	43.69	56.31	0.13414	43.44	3.34	3.98
lcl|NC_072398.2_cds_XP_054529430.1_2408	48.40	51.6	-0.05218	40.26	3.51	3.87
lcl|NC_072398.2_cds_XP_054529272.1_2460	34.62	65.38	0.07095	32.98	3.36	4.83
lcl|NC_072398.2_cds_XP_514000.3_2502	39.04	60.96	0.03810	29.72	3.48	4.44
lcl|NC_072398.2_cds_XP_016788115.2_2517	47.97	52.03	-0.01438	50.80	3.81	3.84
lcl|NC_072398.2_cds_XP_016787867.3_2548	46.79	53.21	-0.07001	32.79	3.53	4.04
lcl|NC_072398.2_cds_XP_016787821.3_2576	40.95	59.05	0.01983	45.59	3.45	4.28
lcl|NC_072398.2_cds_XP_063651533.1_2622	42.32	57.68	-0.01727	39.58	3.45	4.18
lcl|NC_072398.2_cds_XP_016787540.3_2639	45.40	54.6	-0.09826	45.70	3.50	4.06
lcl|NC_072398.2_cds_XP_001174811.1_2686	44.05	55.95	0.03816	33.93	3.47	4.22
lcl|NC_072398.2_cds_XP_003308640.2_2704	43.64	56.36	0.01660	53.20	3.52	4.20
lcl|NC_072398.2_cds_XP_513970.5_2747	57.77	42.23	0.13026	72.19	3.91	3.53
lcl|NC_072398.2_cds_XP_016786744.1_2813	50.31	49.69	-0.00155	58.18	3.64	3.68
lcl|NC_072398.2_cds_XP_016786405.1_2935	62.85	37.15	-0.03319	68.24	4.23	3.28
lcl|NC_072398.2_cds_XP_016786131.3_2988	58.08	41.92	0.12500	58.08	3.94	3.48
lcl|NC_072398.2_cds_XP_001171563.1_3050	49.08	50.92	0.03577	52.59	3.70	3.73
lcl|NC_072398.2_cds_XP_016785786.1_3081	52.01	47.99	-0.00436	64.47	3.69	3.94
lcl|NC_072398.2_cds_XP_016785778.1_3083	56.97	43.03	0.01318	73.56	3.97	3.27
lcl|NC_072398.2_cds_XP_016785682.1_3096	63.90	36.1	-0.07250	69.75	4.46	3.38
lcl|NC_072398.2_cds_XP_009433401.4_3166	48.69	51.31	0.13437	54.17	3.61	3.72
lcl|NC_072398.2_cds_XP_009433125.3_3220	53.72	46.28	-0.06957	56.76	3.96	3.88
lcl|NC_072398.2_cds_XP_009432991.1_3240	56.88	43.12	-0.04451	62.72	3.99	3.74
lcl|NC_072398.2_cds_XP_016784987.1_3260	63.42	36.58	-0.09063	69.94	4.12	3.37
lcl|NC_072398.2_cds_XP_003949659.2_3280	60.99	39.01	-0.04253	74.27	4.07	3.43
lcl|NC_072398.2_cds_XP_003308562.5_3316	59.16	40.84	0.17623	61.63	4.20	3.69
lcl|NC_072398.2_cds_XP_009432761.3_3317	62.44	37.56	0.01822	67.95	4.21	3.40
lcl|NC_072398.2_cds_XP_016784678.3_3323	56.60	43.4	0.00902	69.14	3.77	3.64
lcl|NC_072398.2_cds_XP_009432669.1_3352	55.35	44.65	-0.03532	64.71	3.81	3.57
lcl|NC_072398.2_cds_XP_016803518.1_3420	59.17	40.83	0.00098	69.57	4.29	3.41
lcl|NC_072398.2_cds_XP_009432206.4_3477	50.19	49.81	0.02547	49.78	3.70	3.71
lcl|NC_072398.2_cds_XP_054528096.1_3534	44.10	55.9	-0.00801	40.05	3.52	4.07
lcl|NC_072398.2_cds_XP_063668661.1_3547	64.20	35.8	-0.06940	69.33	4.70	3.86
lcl|NC_072398.2_cds_XP_054527785.1_3598	56.02	43.98	0.05096	59.50	3.85	3.48
lcl|NC_072398.2_cds_XP_003308454.1_3656	61.61	38.39	-0.04822	66.90	4.11	3.74
lcl|NC_072398.2_cds_XP_016783728.1_3663	58.32	41.68	-0.01031	67.76	3.92	3.76
lcl|NC_072398.2_cds_XP_009431096.2_3731	51.12	48.88	-0.02267	55.70	3.71	3.83
lcl|NC_072398.2_cds_XP_003949623.1_3764	54.79	45.21	-0.02564	73.88	3.94	3.47
lcl|NC_072398.2_cds_XP_016783342.1_3812	53.08	46.92	-0.08835	52.42	3.96	3.66
