chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_071985.2	100111936	100112749	-2	1	-	NC_071985.2	100112026	100112742	ADAMTSL4	XM_063717774.1	-	2	3	7	90	8	10	9	9	9	middle	middle	1.000	1.000	constitutive	constitutive	172	185	9
NC_071985.2	100158379	100158877	-2	1	-	NC_071985.2	100158490	100158750	ECM1	XM_002810279.6	-	2	2	127	111	4	5	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	80	80	2
NC_071985.2	100399571	100400219	3	1	+	NC_071985.2	100399606	100400006	APH1A	XM_009244839.4	+	3	2	35	213	4	5	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	122	127	2
NC_071985.2	100744921	100745575	2	1	+	NC_071985.2	100745106	100745575	SF3B4	XM_024250558.3	+	2	2	185	0	5	6	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	173	184	1
NC_071985.2	111820246	111820846	2	1	+	NC_071985.2	111820366	111820720	PIAS3	XM_002810321.5	+	2	2	120	126	12	13	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	133	37	1
NC_071985.2	120022786	120023437	2	1	+	NC_071985.2	120022813	120023436	PPM1J	XM_002810421.6	+	2	3	27	1	7	9	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	63	151	1
NC_071985.2	123065513	123065882	-1	1	-	NC_071985.2	123065568	123065864	GSTM2	NM_001134015.1	-	1	2	18	55	6	7	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	95	110	1
NC_071985.2	123077954	123078587	-1	1	-	NC_071985.2	123078162	123078458	GSTM4	NM_001367596.1	-	1	2	129	208	6	7	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	95	110	3
NC_071985.2	123106155	123107292	-3	1	-	NC_071985.2	123106303	123106884	AMPD2	NM_001132278.3	-	3	2	408	148	15	16	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	173	110	5
NC_071985.2	123463531	123464164	-2	1	-	NC_071985.2	123463642	123464145	CELSR2	XM_024252814.3	-	2	2	19	111	31	32	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	194	170	4
NC_071985.2	123465226	123465697	-2	1	-	NC_071985.2	123465257	123465593	CELSR2	XM_024252814.3	-	2	2	104	31	27	28	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	126	122	4
NC_071985.2	133041168	133041612	-3	1	-	NC_071985.2	133041180	133041579	AGL	XM_024233359.3	-	3	2	33	12	15	16	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	155	150	2
NC_071985.2	162026944	162027238	2	1	+	NC_071985.2	162026977	162027228	ZRANB2	NM_001134156.1	+	2	2	33	10	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	52	108	1
NC_071985.2	178412092	178412941	-2	1	-	NC_071985.2	178412294	178412779	CIMAP2	XM_024246455.2	-	2	2	162	202	3	4	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	164	122	5
NC_071985.2	178971272	178971734	3	1	+	NC_071985.2	178971381	178971626	SSBP3	XM_024246597.3	+	3	2	109	108	8	9	13	13	13	middle	middle	1.000	1.000	constitutive	constitutive	66	76	13
NC_071985.2	178992494	178993373	3	1	+	NC_071985.2	178992564	178993133	SSBP3	XM_024246597.3	+	3	2	70	240	15	17	13	13	13	middle	middle	1.000	1.000	constitutive	constitutive	78	101	13
NC_071985.2	186908617	186909280	-2	1	-	NC_071985.2	186908708	186909041	LOC100453623	XM_024247329.3	-	2	2	239	91	6	7	9	4	9	middle	middle	0.444	1.000	alternative	constitutive	40	124	4
NC_071985.2	186908617	186909280	-2	1	-	NC_071985.2	186908708	186909062	LOC100453623	XM_054535295.2	-	2	2	218	91	6	7	9	5	9	middle	middle	0.556	1.000	alternative	constitutive	61	124	5
NC_071985.2	187116604	187116910	2	1	+	NC_071985.2	187116605	187116874	POMGNT1	NM_001133834.1	+	2	2	1	36	4	5	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	65	113	3
NC_071985.2	187117705	187118317	2	1	+	NC_071985.2	187117727	187118135	POMGNT1	NM_001133834.1	+	2	2	22	182	6	7	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	117	98	3
NC_071985.2	187127391	187127820	-3	1	-	NC_071985.2	187127401	187127748	TSPAN1	NM_001131902.1	-	3	2	72	10	5	6	6	6	6	middle	middle	1.000	1.000	constitutive	constitutive	155	83	6
NC_071985.2	187684898	187685393	3	1	+	NC_071985.2	187685035	187685392	GPBP1L1	XM_024256443.2	+	3	2	137	1	17	18	9	7	7	middle	middle	0.778	0.778	alternative	alternative	118	97	7
NC_071985.2	187967880	187968159	-3	1	-	NC_071985.2	187967882	187968152	TOE1	NM_001132198.1	-	3	2	7	2	2	3	4	2	4	middle	middle	0.500	1.000	alternative	constitutive	142	40	2
NC_071985.2	187967880	187968159	-3	1	-	NC_071985.2	187967882	187968066	TOE1	XM_009250980.3	-	3	2	93	2	1	2	4	2	4	first	middle	0.500	1.000	alternative	constitutive	56	40	2
NC_071985.2	188474806	188476039	2	1	+	NC_071985.2	188474932	188475719	PTCH2	XM_009251044.4	+	2	2	126	320	14	15	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	348	312	1
NC_071985.2	188475723	188476725	1	1	+	NC_071985.2	188475812	188476219	PTCH2	XM_009251044.4	+	1	2	89	506	16	17	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	142	180	1
NC_071985.2	188476117	188476972	2	1	+	NC_071985.2	188476353	188476882	PTCH2	XM_009251044.4	+	2	2	236	90	18	19	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	280	137	1
NC_071985.2	188516971	188517748	2	1	+	NC_071985.2	188516972	188517748	BEST4	XM_002810909.5	+	2	2	1	0	7	9	5	5	5	middle	last	1.000	1.000	constitutive	constitutive	80	270	5
NC_071985.2	188538813	188539200	-3	1	-	NC_071985.2	188538841	188539153	KIF2C	XM_024247551.3	-	3	2	47	28	18	19	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	105	113	7
NC_071985.2	189323800	189324586	-2	1	-	NC_071985.2	189323801	189324548	CCDC24	XM_024247684.3	-	2	2	38	1	5	6	27	11	11	middle	last	0.407	0.407	alternative	alternative	78	587	11
NC_071985.2	189353269	189353635	-2	1	-	NC_071985.2	189353318	189353613	IPO13	NM_001132516.1	-	2	2	22	49	17	18	8	8	8	middle	middle	1.000	1.000	constitutive	constitutive	58	89	4
NC_071985.2	189353269	189353635	-2	1	-	NC_071985.2	189353318	189353613	IPO13	XM_054524082.2	-	2	2	22	49	18	19	8	8	8	middle	last	1.000	1.000	constitutive	constitutive	58	89	4
NC_071985.2	189865675	189866005	2	1	+	NC_071985.2	189865676	189865891	HYI	XM_002810939.6	+	2	2	1	114	4	5	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	78	49	1
NC_071985.2	189867215	189867647	-1	1	-	NC_071985.2	189867216	189867590	SZT2	XM_002810935.6	-	1	2	57	1	71	72	5	5	5	middle	last	1.000	1.000	constitutive	constitutive	68	140	5
NC_071985.2	189874177	189874612	-2	1	-	NC_071985.2	189874226	189874515	SZT2	XM_002810935.6	-	2	2	97	49	60	61	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	79	125	5
NC_071985.2	189876035	189876551	-1	1	-	NC_071985.2	189876101	189876488	SZT2	XM_002810935.6	-	1	2	63	66	53	54	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	166	97	5
NC_071985.2	189878193	189879078	-3	1	-	NC_071985.2	189878259	189878999	SZT2	XM_002810935.6	-	3	3	79	66	47	49	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	118	84	5
NC_071985.2	1909850	1910459	3	1	+	NC_071985.2	1909951	1910313	LINC02897	XM_054549871.2	+	3	2	101	146	3	5	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	112	96	1
