sequence	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60
lcl|NC_072373.2_cds_XP_054337578.1_86	0.48017507188279396	0.971353767818453	2.6957476439619827	0.1938442853288642	0.4833399907156015	2.646770491735259	-0.7049075201597829	0.5954194359623453	2.204819757139411	0.9815032214605209	0.4194163394359114	1.6496550685917613	-0.011124596550559918	1.3039550718521629	-0.6046561130860344	0.20630784112056486	0.9833544147898694	2.320459264733303	0.17067369513678793	0.8943807957685809	1.0385415512411182	1.4714470558297488	1.1283384367816147	0.40441261306099563	0.2326886704529705	-1.4900355984819502	2.3053440392533	-0.4353153092783625	-0.8789420575198825	0.011581029806713494	-0.46136214553324656	0.933717726792308	-0.8586654603641726	0.6921407367584097	0.4849486675151228	0.5729368655443026	0.38497603065248154	0.11132213702334262	-0.1868980635897448	0.07991828443122838	-0.646787088615107	2.0545456635560266	-0.07018570348159935	7.216449660063518e-16	8.881784197001252e-16	-1.186550857568136e-15	2.1649348980190553e-15	-1.1102230246251565e-15	1.1102230246251565e-16	-1.970645868709653e-15	-7.008282842946301e-16	1.654926196081874e-15	-7.077671781985373e-16	9.367506770274758e-16	-3.8510861166685117e-16	-1.2264494975156026e-15	9.853229343548264e-16	1.0304257447302234e-15	-3.469446951953614e-17	7.650130529057719e-16
lcl|NC_072373.2_cds_XP_054337798.2_121	1.4449672388541999	-1.2599138515414934	-0.13572555645423337	0.3291435644095476	0.9914883102354707	-0.3552461604561757	0.39599382872835864	-1.1516105443806681	-0.03731772462627217	0.9220953962322912	1.6542591339231052	-0.22681111700938852	0.35306719422119104	1.4094304903843773	0.4085292871597352	0.4348030175743519	0.04326646810966651	0.3628656206245837	0.2936823124209865	-0.7063450856961571	-0.40463328829518114	0.62190339133922	0.9693957204364501	-0.30458133923073044	0.3465394802764825	0.430963654618822	-0.35571760473539993	-0.7569986775925897	-0.9274997337473153	0.5730508745640168	1.6952281761680459	0.37047743310019654	-0.04655183302879063	0.6337528338848032	1.0425011507920245	0.9464134564643509	-0.3861825397962135	0.8142741039872583	1.1543864380476367	1.2153111801455174	0.40706336891875305	-0.06975615634556771	-0.06680441355628386	-4.1086925528510676e-15	1.6631661325927638e-16	9.965986369486757e-16	1.1345091532888318e-15	-7.806255641895632e-16	-1.1102230246251565e-16	-2.0001361678012586e-15	1.945492378307989e-15	-2.3548871186385156e-16	1.0321604682062002e-16	9.540979117872439e-18	-4.2500725161431774e-16	1.201296007113939e-15	9.355580546377418e-16	8.476292584491674e-16	-1.6280379822042335e-15	2.1504065889077495e-15
lcl|NC_072373.2_cds_XP_054302984.1_154	2.430184916388662	0.15160597576093554	1.1809322020564104	0.6354046506169752	-0.14935977951763385	-1.5162930579889866	1.6088601500852726	1.727069608378861	0.9827161512973096	0.15513082962418076	-0.08094689001390115	-0.6060348882838623	1.7433673250436927	1.0149798103826968	-1.2492921547637645	1.3695148080775588	0.2653286898698999	-0.11774594788915695	0.6197712038872002	-1.5904283315874863	-0.15180813749108163	-0.37550429690647663	-0.9865189880678936	0.37190667621262335	-0.48304359669050506	-0.35728460184792216	0.012369314865063423	0.7761716825719056	-0.6471954795193412	0.45970618129963825	0.15475857950099908	0.09453880049695508	0.25504399994768884	-0.6765215046910835	0.6633878756190804	0.547901322745564	0.068274942805418945	-0.3194085958644215	0.3594841706882528	0.5141945022456955	0.4352319758100099	-0.41800115755717093	0.04121682452216329	5.1209037010835345e-15	1.803245053277891e-15	1.491862189340054e-16	-7.077671781985373e-16	1.0547118733938987e-15	-1.0547118733938987e-15	-2.1024848528838902e-15	-6.626643678231403e-16	-1.717376241217039e-16	2.3939183968479938e-15	-1.77115266897232e-15	-6.626643678231403e-16	-1.4094628242311558e-16	-2.8145888397723695e-16	8.300651832549022e-16	-2.419939248987646e-16	6.925883477837402e-16
lcl|NC_072373.2_cds_XP_054334781.1_173	0.7267005181105589	-0.778353749573051	-2.9387600913337835	-1.9407959093692948	0.625713858446429	2.659254110945626	1.7222989193551483	0.17837137158042068	0.382257967770951	-1.5310820173267452	0.37156837955977984	1.528805860860959	-0.3781500894539322	-0.02910414977339515	-0.3527909289998479	0.10525330011366994	-1.06238778719688	-2.499269833933219	1.086416525206427	-0.6966191397931585	0.5328116909752989	-0.7800679518969531	-0.11953759429442731	-1.3560950184030625	-0.8844260114455799	0.9182381195905258	-1.0420486430612326	-0.6498999833815786	1.7258114922643293	0.8376320262090838	1.2759212900915082	-0.056973920496428576	0.3184680345672142	-0.10516538536713435	-0.24961384799010988	-0.066729345707921	1.276417554118804	-0.7713085729990101	0.8775710282317218	0.48701055690860656	1.244048774599571	0.22306839749584306	-0.03956044601145831	-3.635980405647388e-15	9.402201239794294e-16	3.0878077872387166e-16	-1.4432899320127035e-15	1.1379786002407855e-15	-8.326672684688674e-16	1.1657341758564144e-15	-2.248201624865942e-15	-2.275957200481571e-15	-1.5681900222830336e-15	-5.447031714567174e-16	-1.9081958235744878e-17	1.2264494975156026e-15	-2.1423834928313568e-16	-4.2327252813834093e-16	-3.122502256758253e-17	5.412337245047638e-16
lcl|NC_072373.2_cds_XP_054356914.1_208	-0.5685707346866136	0.6025174098986598	-1.346047871383176	1.4273210356827746	1.1274623738261942	0.9180366924953495	0.2009936807997962	1.0568839036794662	-2.2513980171101355	-0.9767901472163869	-0.32888476652104165	-0.17020631085662513	-0.6157016643701826	0.6204955588551192	-0.7520724673570286	0.29280365979135775	-1.7804345628832365	1.1400733622213832	-1.175302380854595	0.3450719702873052	0.9085263551413417	0.12876551763589233	-0.8827496029679258	0.07189463488014089	1.2342474101247376	1.1011685754456475	0.45112514890291605	-1.3223571531043925	0.8648450055755583	-0.5507239955960432	-0.27031439115417655	1.6555199032481365	-0.25881798584598376	-0.495714555189532	-0.1059831262214958	-0.07254857482195223	0.40005955781839014	0.6274233650644719	0.6963006465376914	-0.21656410203232385	0.425654404235576	-0.9559507478929616	-0.034109302527124845	-4.093947403305265e-15	-4.9960036108132044e-15	6.800116025829084e-16	-1.1102230246251565e-15	-2.2065682614424986e-15	-9.43689570931383e-16	2.220446049250313e-16	-2.4390212072233908e-15	2.1163626406917047e-16	3.0808688933348094e-15	-1.4988010832439613e-15	-1.0477729794899915e-15	1.0607834055598175e-15	-1.8127860323957634e-15	-4.2674197509029455e-16	-1.3808398868775384e-15	-1.3500485451789501e-15
lcl|NC_072373.2_cds_XP_054334848.1_231	-1.5244169189755477	-1.1461290573168608	0.41117997096010567	0.4763104924102496	1.6791696149045583	2.2054459851891193	2.0843928049174583	0.32249691689683957	1.1748922174756904	1.5529897200212048	1.2010153309681106	1.6478899395403368	-1.8634444841868232	0.07120676406184279	2.5952755667733487	0.5758372009104659	-0.17515626299393156	0.7191080423530303	-2.1026452595912493	0.349616197962745	-0.701968198106495	-0.5920400283094929	0.9999972316229174	-0.0666302094764149	2.2765493891894093	-1.0709401143073904	-0.6383364498981877	-1.1009951009231802	-0.5050026423039031	0.16469792062710026	-3.712250044105467	0.4725201217016871	-1.546968156493988	-0.05095663868364783	0.7863772205644233	0.14100947138461511	2.133902726253015	-0.9288590484184286	0.33708467118780894	-0.699968118885602	0.4026029924200307	-0.18134440956694003	-0.12176657991130369	-5.676015213396113e-15	2.411265631607762e-15	-9.020562075079397e-17	1.4432899320127035e-15	-7.771561172376096e-16	-1.1102230246251565e-15	-2.0261570199409107e-15	-3.1225022567582528e-15	5.967448757360216e-16	-2.886579864025407e-15	-8.81239525796218e-16	-2.914335439641036e-16	-3.1710745140856034e-15	-2.8622937353617317e-16	1.6445178552260131e-15	-1.5612511283791264e-16	-1.0928757898653885e-15
lcl|NC_072373.2_cds_XP_054334881.1_239	1.3164500691238723	1.8804263183933774	1.4975192655321468	-1.4908656733334005	-1.743607609341054	-0.45709655150566836	0.016597637385724694	0.628243699927153	0.3901298391184978	0.162922484841623	1.1789300199283637	0.4830233077455317	-1.2150945161350006	1.1563365553314962	0.6672480870210772	-0.08617075243306363	-1.6620500738400485	-0.1922140138128029	-0.6683247576286558	-0.7019083226787215	-2.1638598428682236	3.0921622929388644	1.165129076322344	0.9709665222513393	-0.04115501860088419	-0.2885844786979986	-0.33289483793677854	0.17701532654948254	-0.111535764260138	-0.9279254939994629	0.7476932960250441	1.3169316258786523	0.24632702240466509	0.9971284591725555	0.6723592195599415	1.199542758973563	-0.29959365372275265	0.4928710130932726	0.3170452855927383	0.032659330511274516	-0.08772959457704038	-0.2865754210370988	-0.09016454991098724	-4.0783348920214735e-15	-4.145989107584569e-16	2.4433580159133328e-15	4.3576253716537394e-15	-1.4016565685892601e-15	9.853229343548264e-16	-1.734723475976807e-15	1.7416623698807143e-15	-6.4791921827733745e-16	-1.394717674685353e-15	-7.433290094560618e-16	-7.975391180803371e-16	-2.4214571320291256e-15	-7.218618064408489e-16	1.0508087455729509e-15	1.5612511283791264e-17	-1.4825380506566788e-15
lcl|NC_072373.2_cds_XP_063526783.1_260	4.041808341317614	-3.504334326245326	2.8391962372202393	1.927221734013971	1.6815090072714332	3.161152677065738	-0.8782372467307973	1.332413139676244	-0.9713883114638672	-0.3368464896742216	2.1866242894435155	0.38133315974463095	-1.088838537730797	-0.8175825510937631	3.6067966336052524	-0.3031661291453562	-2.0838405098994652	-1.079078658071688	-1.2895521673778583	0.34373193442156397	-0.16795646884415813	-0.5345163837507263	-2.997638906398944	1.5092898569528919	2.0050854388193344	-0.5761107358342775	-2.9321259887235365	-0.47321143183777115	-0.7073965574608938	-2.3090836830428176	-0.2564380298911557	-3.954597154986806	-2.3580222340370374	0.37960418703008564	-0.48006703494593295	0.6440328600938365	0.19620816967018093	-1.2979681087322266	-0.4405032566570942	-0.3764917392175453	1.5412467275631647	2.6088245109916226	-0.07516644093298751	3.236994006172722e-15	-1.31266525427165e-14	-2.9837243786801082e-15	-2.4702462297909733e-15	6.175615574477433e-16	-8.326672684688674e-15	6.522560269672795e-16	-5.1937620870745604e-15	-2.4598378889351125e-15	1.904726376622534e-15	-3.122502256758253e-17	6.218983661376853e-16	8.543513119185775e-16	-4.2374957709423455e-15	1.394717674685353e-15	-1.820592288037659e-15	-1.933999835279643e-15
lcl|NC_072373.2_cds_XP_054303956.1_273	0.2492932135704415	-0.46173029374217184	0.07520687725669986	-0.5655627000912684	-1.042364865068209	-0.8680994599691645	0.9099025074116016	0.34746927643550063	-0.30868394421985484	-0.0871815393011185	0.8862527807259527	0.12617568544053673	-0.7117563990626522	1.2920472142351356	-0.45321430812075514	-0.49268873430696447	-0.06321600106733541	0.007731715829027291	-0.008335763564993992	-0.13121558287406704	0.08237120420036693	-0.3229162122304048	1.0900206574951186	0.1645981006553059	0.12387961336039399	0.907427413566531	-0.3336879330549555	-0.20946172921144035	0.5937155001563305	0.38798894152597235	0.4832356199551878	-0.20737531260787367	0.3531888278976056	-0.00751361303287771	0.7706954916055639	0.2986701769024057	0.08616171669555651	-0.4494520777510025	-0.1338926426656144	-0.2926406652459888	-0.5839326901432472	0.7317884629390077	7.210588138327821e-4	-2.5118795932144167e-15	6.453171330633722e-16	-4.163336342344337e-16	-1.2628786905111156e-15	-5.412337245047638e-16	-1.5265566588595902e-15	-6.314393452555578e-16	-2.8622937353617317e-16	8.690964614643804e-16	-1.1206313654810174e-15	-5.204170427930421e-17	1.1622647289044608e-16	2.896988204881268e-16	-3.7470027081099033e-16	-8.344019919448442e-16	-8.066464163292153e-17	4.963477545638639e-16
lcl|NC_072373.2_cds_XP_054326515.1_277	0.30137070700529495	0.22021156876035589	0.9751054136165673	-0.5421759981514491	0.767290636577524	-0.9924126903822196	1.22508562798554	-1.3264484308045765	1.079602778758853	-1.035835432533876	2.067616792913248	-0.011426244810964535	-0.9333916601462183	0.32230101484940776	1.029551559902105	0.8633429742889105	0.9222263932983652	-0.26222951063922606	-0.33202533116828603	1.0829156533983029	-1.7015094524841845	-0.22756746320449045	1.007746328104236	0.125266259499369	-1.4467378723752582	0.049573129313307915	-0.491113835622931	0.738909629610726	-1.1388247882330462	0.9073926906078752	1.0826920920471848	-0.6904825285722153	2.0872253265053633	0.03331814041140935	-0.5559605903281956	0.11767454078113483	0.21144322066492507	0.4891835401747754	0.7518095654586143	-0.45689454770329524	0.2200149440930313	-0.8449510611182338	-0.13463238914410283	-8.118505867571457e-16	4.550613358356159e-15	-1.6566609195578508e-16	1.1449174941446927e-15	3.157196726277789e-15	1.7763568394002505e-15	-9.54097911787244e-16	2.1076890233118206e-15	-2.211772431870429e-15	-1.4085954624931674e-15	2.3436114160446664e-15	-4.683753385137379e-17	-2.0317948712378353e-15	3.9985376121265404e-16	4.2500725161431774e-17	4.0766001685454967e-16	-7.487500203184894e-16
