	GC3
lcl|NC_072398.2_cds_XP_024208856.2_100	0.695274831243973
lcl|NC_072398.2_cds_XP_024208776.2_127	0.3243478260869565
lcl|NC_072398.2_cds_XP_063665404.1_139	0.5346658338538414
lcl|NC_072398.2_cds_XP_514315.4_167	0.7904220009483167
lcl|NC_072398.2_cds_XP_063665485.1_190	0.3398157625383828
lcl|NC_072398.2_cds_XP_063665566.1_251	0.32789968652037615
lcl|NC_072398.2_cds_XP_001160941.1_301	0.36835891381345925
lcl|NC_072398.2_cds_XP_009440026.2_309	0.41796516956920254
lcl|NC_072398.2_cds_XP_054516773.1_339	0.5448564593301436
lcl|NC_072398.2_cds_XP_063646337.1_368	0.4954972983790274
lcl|NC_072398.2_cds_XP_514294.2_374	0.48657187993680884
lcl|NC_072398.2_cds_XP_016796969.1_380	0.7128491620111732
lcl|NC_072398.2_cds_XP_001157116.3_383	0.44755244755244755
lcl|NC_072398.2_cds_XP_001156001.1_412	0.657051282051282
lcl|NC_072398.2_cds_XP_063665762.1_413	0.3645320197044335
lcl|NC_072398.2_cds_XP_001154355.2_436	0.30441400304414
lcl|NC_072398.2_cds_XP_514281.5_446	0.5110974106041923
lcl|NC_072398.2_cds_XP_003308869.3_455	0.6210221793635486
lcl|NC_072398.2_cds_XP_514278.6_456	0.5844642021525503
lcl|NC_072398.2_cds_XP_525093.4_465	0.4360687022900763
lcl|NC_072398.2_cds_XP_016796501.1_466	0.5786419036564132
lcl|NC_072398.2_cds_XP_001151459.4_472	0.570430733410943
lcl|NC_072398.2_cds_XP_054516048.1_501	0.7737397420867527
lcl|NC_072398.2_cds_XP_009439925.2_506	0.47619047619047616
lcl|NC_072398.2_cds_XP_001146910.2_528	0.599344262295082
lcl|NC_072398.2_cds_XP_003308855.3_535	0.41486603284356094
lcl|NC_072398.2_cds_XP_016795761.2_594	0.7832712124534094
lcl|NC_072398.2_cds_XP_016795435.1_677	0.3668950975224038
lcl|NC_072398.2_cds_XP_001141610.4_710	0.7360084477296727
lcl|NC_072398.2_cds_XP_003949754.2_717	0.6463054187192119
lcl|NC_072398.2_cds_XP_063656751.1_766	0.40190249702734837
lcl|NC_072398.2_cds_XP_054515328.1_776	0.3352100476396708
lcl|NC_072398.2_cds_XP_054515300.1_793	0.4010928961748634
lcl|NC_072398.2_cds_XP_009439834.3_799	0.4422907488986784
lcl|NC_072398.2_cds_NP_001123934.1_816	0.4947613504074505
lcl|NC_072398.2_cds_XP_009439805.2_820	0.5152895250487963
lcl|NC_072398.2_cds_XP_016794837.2_865	0.39671478347436534
lcl|NC_072398.2_cds_XP_063647825.1_904	0.3916786226685796
lcl|NC_072398.2_cds_XP_009439782.2_924	0.3684210526315789
lcl|NC_072398.2_cds_XP_016794151.3_1005	0.4282144916394388
lcl|NC_072398.2_cds_XP_001171564.3_1016	0.4064205457463884
lcl|NC_072398.2_cds_XP_054514755.1_1019	0.6759259259259259
lcl|NC_072398.2_cds_XP_001171184.1_1040	0.358950328022493
lcl|NC_072398.2_cds_NP_001267446.1_1124	0.40290758047767394
lcl|NC_072398.2_cds_XP_016793612.1_1169	0.6515151515151515
lcl|NC_072398.2_cds_XP_063646329.1_1187	0.31445086705202313
lcl|NC_072398.2_cds_XP_054514183.1_1216	0.7022184300341296
lcl|NC_072398.2_cds_XP_016793354.2_1221	0.758656330749354
lcl|NC_072398.2_cds_NP_001180604.1_1247	0.46519607843137256
lcl|NC_072398.2_cds_XP_054530287.1_1249	0.40347666971637697
lcl|NC_072398.2_cds_XP_009439642.1_1337	0.6728110599078341
lcl|NC_072398.2_cds_XP_016792835.1_1359	0.7216828478964401
lcl|NC_072398.2_cds_NP_001029338.1_1413	0.6197636949516648
lcl|NC_072398.2_cds_XP_016792582.1_1436	0.7387127761767531
lcl|NC_072398.2_cds_XP_009439481.3_1461	0.7005948446794448
lcl|NC_072398.2_cds_XP_016792377.2_1484	0.7229357798165138
lcl|NC_072398.2_cds_XP_016792182.1_1496	0.7180277349768875
lcl|NC_072398.2_cds_XP_054513971.1_1612	0.3846938775510204
lcl|NC_072398.2_cds_XP_009439300.1_1622	0.606280193236715
lcl|NC_072398.2_cds_XP_016791642.1_1651	0.7591059602649006
lcl|NC_072398.2_cds_XP_054513705.1_1666	0.4775458570524984
lcl|NC_072398.2_cds_XP_009439078.3_1687	0.5075471698113208
lcl|NC_072398.2_cds_XP_054513641.1_1701	0.7428571428571429
lcl|NC_072398.2_cds_XP_514097.2_1734	0.553742802303263
lcl|NC_072398.2_cds_XP_054513447.1_1742	0.6669750231267345
lcl|NC_072398.2_cds_XP_024206688.2_1756	0.5476772616136919
lcl|NC_072398.2_cds_XP_016790956.2_1767	0.768409818569904
lcl|NC_072398.2_cds_XP_016790883.1_1770	0.7918192918192918
lcl|NC_072398.2_cds_XP_001144062.1_1782	0.33355704697986577
lcl|NC_072398.2_cds_XP_054513196.1_1794	0.30382049727107335
lcl|NC_072398.2_cds_XP_009438743.2_1805	0.46711259754738016
lcl|NC_072398.2_cds_XP_063650047.1_1820	0.3802601377199694
lcl|NC_072398.2_cds_XP_009438564.2_1844	0.4524793388429752
lcl|NC_072398.2_cds_XP_003949708.2_1850	0.27802197802197803
lcl|NC_072398.2_cds_NP_001008994.1_1853	0.3145485911443358
lcl|NC_072398.2_cds_XP_001136531.3_1890	0.2832792207792208
lcl|NC_072398.2_cds_XP_009438368.1_1894	0.37970253718285213
lcl|NC_072398.2_cds_XP_009438005.3_1966	0.3233851185609158
lcl|NC_072398.2_cds_XP_054512684.1_1975	0.435016835016835
lcl|NC_072398.2_cds_XP_514061.5_1977	0.38378282469836766
lcl|NC_072398.2_cds_XP_016789603.2_2012	0.3344262295081967
lcl|NC_072398.2_cds_XP_001164202.2_2033	0.5640473627556513
lcl|NC_072398.2_cds_XP_016789525.1_2035	0.37157894736842106
lcl|NC_072398.2_cds_XP_063666550.1_2086	0.4806902218570255
lcl|NC_072398.2_cds_XP_009437685.3_2110	0.552903739061257
lcl|NC_072398.2_cds_XP_001162648.2_2112	0.5447204968944099
lcl|NC_072398.2_cds_XP_024206246.1_2116	0.38552321007081036
lcl|NC_072398.2_cds_XP_054512492.1_2149	0.560251798561151
lcl|NC_072398.2_cds_XP_063651057.1_2181	0.7047580317202115
lcl|NC_072398.2_cds_XP_009437550.4_2203	0.7228047182175622
lcl|NC_072398.2_cds_XP_009437474.1_2227	0.33998100664767333
lcl|NC_072398.2_cds_XP_514031.3_2257	0.4034749034749035
lcl|NC_072398.2_cds_XP_001157492.2_2264	0.3840078973346496
lcl|NC_072398.2_cds_XP_009437332.1_2269	0.5215553677092138
lcl|NC_072398.2_cds_XP_009437173.2_2315	0.5205267234701781
lcl|NC_072398.2_cds_XP_063651202.1_2319	0.5630885122410546
lcl|NC_072398.2_cds_XP_514021.3_2328	0.6934362934362934
lcl|NC_072398.2_cds_XP_009437092.3_2329	0.5987723214285714
lcl|NC_072398.2_cds_XP_524977.3_2354	0.6622516556291391
lcl|NC_072398.2_cds_XP_016788475.2_2361	0.7292307692307692
lcl|NC_072398.2_cds_XP_063667089.1_2367	0.4344186046511628
lcl|NC_072398.2_cds_XP_054529430.1_2408	0.4026431718061674
lcl|NC_072398.2_cds_XP_054529272.1_2460	0.3298245614035088
lcl|NC_072398.2_cds_XP_514000.3_2502	0.2972111553784861
lcl|NC_072398.2_cds_XP_016788115.2_2517	0.5080459770114942
lcl|NC_072398.2_cds_XP_016787867.3_2548	0.3279310344827586
lcl|NC_072398.2_cds_XP_016787821.3_2576	0.45591647331786544
lcl|NC_072398.2_cds_XP_063651533.1_2622	0.3958333333333333
lcl|NC_072398.2_cds_XP_016787540.3_2639	0.45702775290957925
lcl|NC_072398.2_cds_XP_001174811.1_2686	0.3392857142857143
lcl|NC_072398.2_cds_XP_003308640.2_2704	0.531967721911856
lcl|NC_072398.2_cds_XP_513970.5_2747	0.7218884120171674
lcl|NC_072398.2_cds_XP_016786744.1_2813	0.5817757009345794
lcl|NC_072398.2_cds_XP_016786405.1_2935	0.6824085005903188
lcl|NC_072398.2_cds_XP_016786131.3_2988	0.5807622504537205
lcl|NC_072398.2_cds_XP_001171563.1_3050	0.5259319286871961
lcl|NC_072398.2_cds_XP_016785786.1_3081	0.6446601941747573
lcl|NC_072398.2_cds_XP_016785778.1_3083	0.7355533790401567
lcl|NC_072398.2_cds_XP_016785682.1_3096	0.6974576271186441
lcl|NC_072398.2_cds_XP_009433401.4_3166	0.5417355371900826
lcl|NC_072398.2_cds_XP_009433125.3_3220	0.5675675675675675
lcl|NC_072398.2_cds_XP_009432991.1_3240	0.6272151898734177
lcl|NC_072398.2_cds_XP_016784987.1_3260	0.6994219653179191
lcl|NC_072398.2_cds_XP_003949659.2_3280	0.7426810477657936
lcl|NC_072398.2_cds_XP_003308562.5_3316	0.6162862430598396
lcl|NC_072398.2_cds_XP_009432761.3_3317	0.6795154185022027
lcl|NC_072398.2_cds_XP_016784678.3_3323	0.6913655848132272
lcl|NC_072398.2_cds_XP_009432669.1_3352	0.6471153846153846
lcl|NC_072398.2_cds_XP_016803518.1_3420	0.6957279860505667
lcl|NC_072398.2_cds_XP_009432206.4_3477	0.4977698483496878
lcl|NC_072398.2_cds_XP_054528096.1_3534	0.4004637297118251
lcl|NC_072398.2_cds_XP_063668661.1_3547	0.6932692307692307
lcl|NC_072398.2_cds_XP_054527785.1_3598	0.5950044603033007
lcl|NC_072398.2_cds_XP_003308454.1_3656	0.6689814814814815
lcl|NC_072398.2_cds_XP_016783728.1_3663	0.677564825253664
lcl|NC_072398.2_cds_XP_009431096.2_3731	0.5569927243330639
lcl|NC_072398.2_cds_XP_003949623.1_3764	0.7388429752066116
lcl|NC_072398.2_cds_XP_016783342.1_3812	0.5241935483870968
lcl|NC_072398.2_cds_XP_513837.5_3847	0.43779777660137636
lcl|NC_072398.2_cds_XP_009430673.2_3882	0.6786188579017264
lcl|NC_072398.2_cds_XP_009430631.1_3908	0.6339044183949504
lcl|NC_072398.2_cds_XP_016783033.1_3913	0.7570621468926554
lcl|NC_072398.2_cds_XP_024204293.2_3995	0.4789460723959616
lcl|NC_072398.2_cds_XP_024204292.2_3998	0.7215326497571506
lcl|NC_072398.2_cds_XP_514428.5_3999	0.3856353591160221
lcl|NC_072398.2_cds_XP_513800.3_4065	0.6835548172757475
lcl|NC_072398.2_cds_XP_054526947.1_4067	0.5138199858256556
lcl|NC_072398.2_cds_XP_016782408.1_4091	0.6564705882352941
lcl|NC_072398.2_cds_XP_054526863.1_4116	0.6455598455598456
lcl|NC_072398.2_cds_XP_063669780.1_4152	0.6991485335856197
lcl|NC_072398.2_cds_XP_054526702.1_4238	0.5320959010054138
lcl|NC_072398.2_cds_XP_054526641.2_4248	0.5231481481481481
lcl|NC_072398.2_cds_XP_009428981.2_4298	0.6597472924187726
lcl|NC_072398.2_cds_XP_016781905.1_4312	0.47537619699042405
lcl|NC_072398.2_cds_XP_016781667.1_4369	0.5936018957345972
lcl|NC_072398.2_cds_XP_514418.4_4494	0.5539383561643836
lcl|NC_072398.2_cds_XP_016796612.3_4495	0.6351351351351351
lcl|NC_072398.2_cds_XP_001158033.4_4561	0.4816053511705686
lcl|NC_072398.2_cds_XP_016779850.1_4568	0.5388927820602663
lcl|NC_072398.2_cds_XP_024203535.1_4649	0.5538641686182669
lcl|NC_072398.2_cds_XP_024203620.2_4701	0.4143049932523617
lcl|NC_072398.2_cds_XP_016780735.2_4773	0.4906731549067315
lcl|NC_072398.2_cds_XP_513668.3_4790	0.4397163120567376
lcl|NC_072398.2_cds_XP_009426979.3_4794	0.4010752688172043
lcl|NC_072398.2_cds_XP_003949558.1_4800	0.3834319526627219
lcl|NC_072398.2_cds_XP_054541994.1_4815	0.2884422110552764
lcl|NC_072398.2_cds_XP_016780478.1_4852	0.556640625
