chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_072373.2	113548	113986	2	1	+	NC_072373.2	113833	113964	ZNF692	XM_054484252.2	+	2	1	284	22	5	5	5	1	1	middle	middle	0.200	0.200	unique	unique	131	131	1
NC_072373.2	113548	113986	2	1	+	NC_072373.2	113708	113964	ZNF692	XM_054484278.2	+	2	2	159	22	1	2	5	2	2	first	middle	0.400	0.400	alternative	alternative	33	93	2
NC_072373.2	113548	113986	2	1	+	NC_072373.2	113918	113964	ZNF692	XM_063670512.1	+	2	1	369	22	1	1	5	1	1	first	first	0.200	0.200	unique	unique	46	46	1
NC_072373.2	185662169	185663402	3	1	+	NC_072373.2	185662295	185663082	PTCH2	XM_054490402.2	+	3	2	125	320	14	15	12	8	8	middle	middle	0.667	0.667	alternative	alternative	348	312	8
NC_072373.2	185662169	185663402	3	1	+	NC_072373.2	185662995	185663082	PTCH2	XM_054490447.2	+	3	1	825	320	15	15	12	4	4	middle	middle	0.333	0.333	alternative	alternative	87	87	4
NC_072373.2	185663480	185664335	3	1	+	NC_072373.2	185663716	185664245	PTCH2	XM_054490402.2	+	3	2	235	90	17	18	12	12	8	middle	middle	1.000	0.667	constitutive	alternative	280	137	8
NC_072373.2	185663480	185664335	3	1	+	NC_072373.2	185663716	185663996	PTCH2	XM_063656657.1	+	3	1	235	339	17	17	12	12	12	middle	middle	1.000	1.000	constitutive	constitutive	280	280	4
NC_072373.2	185676222	185676786	-1	1	-	NC_072373.2	185676452	185676618	BTBD19	XM_054490513.2	-	1	1	168	229	7	7	4	2	2	middle	middle	0.500	0.500	alternative	alternative	166	166	2
NC_072373.2	185676222	185676786	-1	1	-	NC_072373.2	185676223	185676618	BTBD19	XM_054490528.2	-	1	2	168	0	7	8	4	2	2	middle	last	0.500	0.500	alternative	alternative	125	131	2
NC_072373.2	199181441	199181798	-2	1	-	NC_072373.2	199181442	199181622	TINAGL1	XM_054465366.1	-	2	1	176	0	12	12	4	3	3	last	last	0.750	0.750	alternative	alternative	180	180	3
NC_072373.2	199181441	199181798	-2	1	-	NC_072373.2	199181706	199181751	TINAGL1	XM_054465376.1	-	2	1	47	264	10	10	4	1	1	middle	middle	0.250	0.250	unique	unique	45	45	1
NC_072373.2	209502495	209503542	1	1	+	NC_072373.2	209502763	209503116	ECE1	XM_054502654.2	+	1	2	267	426	1	2	5	1	5	first	middle	0.200	1.000	unique	constitutive	53	86	1
NC_072373.2	209502495	209503542	1	1	+	NC_072373.2	209503030	209503116	ECE1	XM_054502661.1	+	1	1	534	426	2	2	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	86	86	2
NC_072373.2	209502495	209503542	1	1	+	NC_072373.2	209503030	209503116	ECE1	XM_054502681.1	+	1	1	534	426	1	1	5	5	5	first	first	1.000	1.000	constitutive	constitutive	86	86	2
NC_072373.2	221512806	221513520	-1	1	-	NC_072373.2	221512834	221513502	PIK3CD	XM_054440295.2	-	1	2	18	27	4	5	11	10	10	middle	middle	0.909	0.909	alternative	alternative	179	149	10
NC_072373.2	221512806	221513520	-1	1	-	NC_072373.2	221512834	221512972	PIK3CD	XM_054440386.2	-	1	1	548	27	2	2	11	1	1	middle	middle	0.091	0.091	unique	unique	138	138	1
NC_072373.2	225108373	225111646	2	1	+	NC_072373.2	225111159	225111545	CHD5	XM_054441784.1	+	2	2	2785	101	39	40	4	4	2	middle	middle	1.000	0.500	constitutive	alternative	163	114	2
NC_072373.2	225108373	225111646	2	1	+	NC_072373.2	225111159	225111322	CHD5	XM_054441787.2	+	2	1	2785	324	39	39	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	163	163	2
NC_072373.2	227743878	227744454	1	1	+	NC_072373.2	227744198	227744326	LOC129009708	XM_054443131.2	+	1	1	319	128	32	32	50	31	31	middle	middle	0.620	0.620	alternative	alternative	128	128	31
NC_072373.2	227743878	227744454	1	1	+	NC_072373.2	227743982	227744168	LOC129009708	XM_063660086.1	+	1	1	103	286	35	35	50	7	7	middle	middle	0.140	0.140	alternative	alternative	186	186	7
NC_072373.2	229419167	229419500	3	1	+	NC_072373.2	229419168	229419284	LOC129010362	XM_054444518.2	+	3	1	0	216	16	16	19	18	18	middle	middle	0.947	0.947	alternative	alternative	116	116	18
NC_072373.2	229419167	229419500	3	1	+	NC_072373.2	229419484	229419500	LOC129010362	XM_063660559.1	+	3	1	316	0	16	16	19	1	1	last	last	0.053	0.053	unique	unique	16	16	1
NC_072373.2	43440849	43441329	1	1	+	NC_072373.2	43440987	43441128	CTSE	XM_054447637.1	+	1	1	137	201	7	7	2	1	1	middle	middle	0.500	0.500	unique	unique	141	141	1
NC_072373.2	43440849	43441329	1	1	+	NC_072373.2	43441230	43441328	CTSE	XM_054447647.1	+	1	1	380	1	7	7	2	1	1	middle	middle	0.500	0.500	unique	unique	98	98	1
NC_072373.2	5928197	5929001	3	1	+	NC_072373.2	5928349	5928992	CEP170	XM_054500939.2	+	3	2	151	9	8	9	22	22	14	middle	middle	1.000	0.636	constitutive	alternative	163	293	14
NC_072373.2	5928197	5929001	3	1	+	NC_072373.2	5928349	5928512	CEP170	XM_054501047.2	+	3	1	151	489	8	8	22	22	22	middle	middle	1.000	1.000	constitutive	constitutive	163	163	8
NC_072373.2	69940751	69941333	-2	1	-	NC_072373.2	69940764	69941084	CEP350	XM_063651290.1	-	2	2	249	12	1	2	16	7	3	first	middle	0.438	0.188	alternative	alternative	38	41	3
NC_072373.2	69940751	69941333	-2	1	-	NC_072373.2	69941046	69941084	CEP350	XM_063651354.1	-	2	1	249	294	1	1	16	7	7	first	first	0.438	0.438	alternative	alternative	38	38	4
NC_072373.2	92791140	92791527	1	1	+	NC_072373.2	92791259	92791290	FCRL5	XM_054480668.1	+	1	1	118	237	15	15	8	7	7	middle	middle	0.875	0.875	alternative	alternative	31	31	7
NC_072373.2	92791140	92791527	1	1	+	NC_072373.2	92791368	92791527	FCRL5	XM_054480686.2	+	1	1	227	0	17	17	8	1	1	last	last	0.125	0.125	unique	unique	159	159	1
NC_072373.2	93446862	93447375	-1	1	-	NC_072373.2	93446864	93447158	LRRC71	XM_054484048.1	-	1	2	217	1	3	4	9	9	8	middle	middle	1.000	0.889	constitutive	alternative	128	75	8
NC_072373.2	93446862	93447375	-1	1	-	NC_072373.2	93447030	93447158	LRRC71	XM_054484062.1	-	1	1	217	167	3	3	9	9	9	middle	middle	1.000	1.000	constitutive	constitutive	128	128	1
NC_072373.2	95049526	95051632	-3	1	-	NC_072373.2	95050225	95051581	RUSC1	XM_054458960.2	-	3	1	51	698	1	1	5	2	2	first	first	0.400	0.400	alternative	alternative	1356	1356	1
