chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_072423.2	100226592	100227222	1	1	+	NC_072423.2	100226593	100227015	OSBPL5	XM_055271577.2	+	1	2	0	207	3	4	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	80	101	2
NC_072423.2	100446538	100447123	2	1	+	NC_072423.2	100446767	100447123	CDKN1C	XM_055271736.2	+	2	2	228	0	2	3	4	2	2	middle	last	0.500	0.500	alternative	alternative	135	133	2
NC_072423.2	100917509	100918727	3	1	+	NC_072423.2	100917753	100918316	TRPM5	XM_055271817.2	+	3	2	243	411	9	10	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	350	140	1
NC_072423.2	101415142	101415472	-1	1	-	NC_072423.2	101415176	101415466	TNNT3	XM_055272022.2	-	1	2	6	33	3	4	18	4	18	middle	middle	0.222	1.000	alternative	constitutive	116	77	4
NC_072423.2	101415142	101415472	-1	1	-	NC_072423.2	101415176	101415433	TNNT3	XM_055272055.1	-	1	2	39	33	1	2	18	14	18	first	middle	0.778	1.000	alternative	constitutive	83	77	14
NC_072423.2	101439777	101440224	-2	1	-	NC_072423.2	101439778	101440101	LSP1	XM_055272183.2	-	2	2	123	0	9	10	3	3	3	middle	last	1.000	1.000	constitutive	constitutive	77	86	3
NC_072423.2	101442962	101443415	-3	1	-	NC_072423.2	101443024	101443415	LSP1	XM_055272183.2	-	3	2	0	61	5	6	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	92	43	3
NC_072423.2	101490000	101490825	-2	1	-	NC_072423.2	101490469	101490804	SYT8	XM_055294575.2	-	2	2	21	468	7	8	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	105	133	4
NC_072423.2	101683498	101684725	2	1	+	NC_072423.2	101683547	101684573	LOC129488847	XM_055291375.1	+	2	2	48	152	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	562	184	1
NC_072423.2	101692719	101693475	-2	1	-	NC_072423.2	101692720	101693247	LOC129488854	XM_063638964.1	-	2	2	228	0	3	4	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	72	409	1
NC_072423.2	101830743	101831262	1	1	+	NC_072423.2	101830770	101831261	MOB2	XM_055272261.2	+	1	2	26	1	3	4	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	160	93	4
NC_072423.2	101854415	101855078	-3	1	-	NC_072423.2	101854526	101854865	BRSK2	XM_055272307.2	-	3	2	213	110	17	18	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	180	89	5
NC_072423.2	101868353	101868794	-3	1	-	NC_072423.2	101868414	101868711	BRSK2	XM_055272307.2	-	3	2	83	60	6	7	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	33	68	5
NC_072423.2	102043265	102043685	-3	1	-	NC_072423.2	102043329	102043658	MUC5B	XM_063636159.1	-	3	2	27	63	48	49	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	86	122	1
NC_072423.2	102051116	102061079	-3	1	-	NC_072423.2	102051122	102061027	MUC5B	XM_063636159.1	-	3	4	52	5	31	34	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	1970	2400	1
NC_072423.2	102074308	102075043	-1	1	-	NC_072423.2	102074411	102074884	MUC5B	XM_063636159.1	-	1	2	159	102	6	7	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	90	106	1
NC_072423.2	102730390	102731068	-1	1	-	NC_072423.2	102730651	102731028	FLNB	XM_055272418.2	-	1	2	40	260	38	39	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	152	122	4
NC_072423.2	107730739	107731252	2	1	+	NC_072423.2	107730851	107731154	TKT	XM_055274364.2	+	2	2	111	98	12	13	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	83	93	2
NC_072423.2	108141349	108141967	2	1	+	NC_072423.2	108141380	108141941	ITIH4	XM_055274098.2	+	2	2	30	26	7	8	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	116	168	4
NC_072423.2	108441424	108441775	2	1	+	NC_072423.2	108441530	108441774	NT5DC2	XM_055274386.2	+	2	2	105	1	7	8	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	60	102	5
NC_072423.2	108445818	108446235	-2	1	-	NC_072423.2	108445825	108446154	STAB1	XM_055273887.2	-	2	2	81	6	65	66	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	149	104	1
NC_072423.2	108446041	108446572	-1	1	-	NC_072423.2	108446240	108446556	STAB1	XM_055273887.2	-	1	2	16	198	63	64	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	109	119	1
NC_072423.2	108448866	108449505	-2	1	-	NC_072423.2	108449032	108449376	STAB1	XM_055273887.2	-	2	2	129	165	52	53	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	86	149	1
NC_072423.2	108453065	108453539	-3	1	-	NC_072423.2	108453128	108453536	STAB1	XM_055273887.2	-	3	2	3	62	38	39	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	195	95	1
NC_072423.2	108463501	108464170	-1	1	-	NC_072423.2	108463580	108464149	STAB1	XM_055273887.2	-	1	2	21	78	15	17	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	113	80	1
NC_072423.2	108464551	108465139	-1	1	-	NC_072423.2	108464675	108465079	STAB1	XM_055273887.2	-	1	2	60	123	12	13	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	137	140	1
NC_072423.2	108517786	108518167	2	1	+	NC_072423.2	108517918	108518167	TNNC1	XM_055274602.2	+	2	2	131	0	5	6	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	136	28	1
NC_072423.2	108560995	108561280	2	1	+	NC_072423.2	108561090	108561279	BAP1	XM_055274684.2	+	2	2	94	1	2	3	8	8	8	middle	middle	1.000	1.000	constitutive	constitutive	29	54	8
NC_072423.2	108578112	108578769	-2	1	-	NC_072423.2	108578151	108578701	DNAH1	XM_055274669.2	-	2	2	68	38	64	65	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	225	195	1
NC_072423.2	108617910	108618927	-2	1	-	NC_072423.2	108618046	108618576	DNAH1	XM_055274669.2	-	2	2	351	135	19	20	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	198	253	1
NC_072423.2	108742605	108743160	1	1	+	NC_072423.2	108742678	108743088	TWF2	XM_055274857.2	+	1	2	72	72	7	8	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	150	121	1
NC_072423.2	108981793	108982309	-1	1	-	NC_072423.2	108981794	108982100	ACY1	XM_055274914.2	-	1	2	209	0	13	14	4	4	4	middle	last	1.000	1.000	constitutive	constitutive	60	161	4
NC_072423.2	109010551	109011547	2	1	+	NC_072423.2	109010681	109011430	PCBP4	XM_055275116.2	+	2	2	129	117	4	6	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	116	128	4
NC_072423.2	109034695	109035193	2	1	+	NC_072423.2	109034850	109035148	RRP9	XM_055275176.2	+	2	2	154	45	7	8	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	124	92	1
NC_072423.2	109037561	109037867	3	1	+	NC_072423.2	109037595	109037867	RRP9	XM_055275176.2	+	3	2	33	0	14	15	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	73	90	1
NC_072423.2	109594515	109595211	-2	1	-	NC_072423.2	109594654	109595060	DOCK3	XM_055275626.2	-	2	2	151	138	42	43	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	166	86	7
NC_072423.2	110539576	110540218	2	1	+	NC_072423.2	110539628	110540140	CACNA2D2	XM_055275869.2	+	2	2	51	78	11	12	6	6	6	middle	middle	1.000	1.000	constitutive	constitutive	158	107	6
NC_072423.2	110540763	110541315	1	1	+	NC_072423.2	110540897	110541222	CACNA2D2	XM_055275869.2	+	1	2	133	93	14	15	6	6	6	middle	middle	1.000	1.000	constitutive	constitutive	49	89	6
NC_072423.2	110543107	110543476	2	1	+	NC_072423.2	110543183	110543407	CACNA2D2	XM_055275869.2	+	2	2	75	69	19	20	6	6	6	middle	middle	1.000	1.000	constitutive	constitutive	71	71	6
NC_072423.2	110554229	110554718	3	1	+	NC_072423.2	110554417	110554718	CACNA2D2	XM_055275869.2	+	3	2	187	0	38	39	6	5	6	middle	last	0.833	1.000	alternative	constitutive	82	137	5
NC_072423.2	110554229	110554718	3	1	+	NC_072423.2	110554410	110554718	CACNA2D2	XM_055275900.2	+	3	2	180	0	37	38	6	1	6	middle	last	0.167	1.000	unique	constitutive	89	137	1
NC_072423.2	111063698	111064292	3	1	+	NC_072423.2	111063737	111064134	CAMKV	XM_055276699.2	+	3	2	38	158	4	5	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	138	120	3
NC_072423.2	111131817	111132477	1	1	+	NC_072423.2	111131870	111132476	CDHR4	XM_055276730.2	+	1	2	52	1	14	15	9	9	9	middle	middle	1.000	1.000	constitutive	constitutive	220	142	9
NC_072423.2	111246209	111246599	3	1	+	NC_072423.2	111246254	111246588	MST1	XM_055276866.2	+	3	2	44	11	5	6	7	7	4	middle	middle	1.000	0.571	constitutive	alternative	136	116	4
NC_072423.2	111246209	111246599	3	1	+	NC_072423.2	111246254	111246592	MST1	XM_055276875.2	+	3	2	44	7	5	6	7	7	3	middle	middle	1.000	0.429	constitutive	alternative	136	120	3
NC_072423.2	111248878	111249268	2	1	+	NC_072423.2	111248881	111249223	MST1	XM_055276866.2	+	2	2	2	45	16	17	7	7	6	middle	middle	1.000	0.857	constitutive	alternative	106	139	6
NC_072423.2	111248878	111249268	2	1	+	NC_072423.2	111248881	111249166	MST1	XM_055276882.2	+	2	2	2	102	16	17	7	7	1	middle	middle	1.000	0.143	constitutive	unique	106	82	1
NC_072423.2	111251552	111251837	-3	1	-	NC_072423.2	111251558	111251803	APEH	XM_055276906.2	-	3	2	34	5	16	17	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	83	80	3
NC_072423.2	111258791	111259925	-3	1	-	NC_072423.2	111258893	111259112	APEH	XM_055276906.2	-	3	2	813	101	1	2	3	3	3	first	middle	1.000	1.000	constitutive	constitutive	11	132	3
NC_072423.2	111822980	111823508	3	1	+	NC_072423.2	111823140	111823491	LAMB2	XM_055277192.2	+	3	2	159	17	6	7	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	188	63	3
NC_072423.2	111830161	111830755	2	1	+	NC_072423.2	111830220	111830642	LAMB2	XM_055277192.2	+	2	2	58	113	23	24	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	217	96	3
NC_072423.2	111839182	111839776	2	1	+	NC_072423.2	111839184	111839684	USP19	XM_055277225.2	+	2	2	1	92	10	11	50	28	50	middle	middle	0.560	1.000	alternative	constitutive	220	195	28
NC_072423.2	111839182	111839776	2	1	+	NC_072423.2	111839190	111839684	USP19	XM_055277247.2	+	2	2	7	92	10	11	50	22	50	middle	middle	0.440	1.000	alternative	constitutive	214	195	22
NC_072423.2	111925502	111925979	3	1	+	NC_072423.2	111925623	111925908	IMPDH2	XM_055278111.2	+	3	2	120	71	8	9	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	90	95	5
NC_072423.2	111933552	111934161	1	1	+	NC_072423.2	111933619	111934160	DALRD3	XM_055277996.2	+	1	2	66	1	1	2	10	10	10	first	middle	1.000	1.000	constitutive	constitutive	164	295	10
NC_072423.2	112291784	112292393	3	1	+	NC_072423.2	112291805	112292307	NCKIPSD	XM_055277829.2	+	3	2	20	86	4	5	7	7	5	middle	middle	1.000	0.714	constitutive	alternative	204	111	5
NC_072423.2	112291784	112292393	3	1	+	NC_072423.2	112291805	112292307	NCKIPSD	XM_055277839.2	+	3	2	20	86	4	5	7	7	2	middle	middle	1.000	0.286	constitutive	alternative	204	90	2
NC_072423.2	112375014	112375824	1	1	+	NC_072423.2	112375076	112375569	UQCRC1	XM_055278097.2	+	1	2	61	255	7	8	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	115	143	2
NC_072423.2	112384262	112384709	3	1	+	NC_072423.2	112384303	112384653	COL7A1	XM_055277665.2	+	3	2	40	56	9	10	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	146	116	1
